"Date","AQI Category","Ozone AQI Value"
"01/01/2011","Good","36"
"01/02/2011","Good","31"
"01/03/2011","Good","32"
"01/04/2011","Good","24"
"01/05/2011","Good","28"
"01/06/2011","Good","28"
"01/07/2011","Good","29"
"01/08/2011","Good","27"
"01/09/2011","Good","31"
"01/10/2011","Good","31"
"01/11/2011","Good","20"
"01/12/2011","Good","32"
"01/13/2011","Good","35"
"01/14/2011","Good","32"
"01/15/2011","Good","31"
"01/16/2011","Good","37"
"01/17/2011","Good","33"
"01/18/2011","Good","34"
"01/19/2011","Good","20"
"01/20/2011","Good","27"
"01/21/2011","Good","36"
"01/22/2011","Good","31"
"01/23/2011","Good","31"
"01/24/2011","Good","29"
"01/25/2011","Good","22"
"01/26/2011","Good","30"
"01/27/2011","Good","34"
"01/28/2011","Good","31"
"01/29/2011","Good","33"
"01/30/2011","Good","33"
"01/31/2011","Good","30"
"02/01/2011","Good","28"
"02/02/2011","Good","35"
"02/03/2011","Good","42"
"02/04/2011","Good","31"
"02/05/2011","Good","28"
"02/06/2011","Good","44"
"02/07/2011","Good","36"
"02/08/2011","Good","39"
"02/09/2011","Good","32"
"02/10/2011","Good","37"
"02/11/2011","Good","37"
"02/12/2011","Good","41"
"02/13/2011","Good","40"
"02/14/2011","Good","46"
"02/15/2011","Good","43"
"02/16/2011","Good","39"
"02/17/2011","Good","48"
"02/18/2011","Good","45"
"02/19/2011","Good","43"
"02/20/2011","Good","41"
"02/21/2011","Good","39"
"02/22/2011","Good","39"
"02/23/2011","Good","36"
"02/24/2011","Good","37"
"02/25/2011","Good","38"
"02/26/2011","Good","37"
"02/27/2011","Good","39"
"02/28/2011","Good","36"
"03/01/2011","Good","39"
"03/02/2011","Good","41"
"03/03/2011","Good","37"
"03/04/2011","Good","41"
"03/05/2011","Good","42"
"03/06/2011","Good","38"
"03/07/2011","Good","44"
"03/08/2011","Good","34"
"03/09/2011","Good","40"
"03/10/2011","Good","42"
"03/11/2011","Good","33"
"03/12/2011","Good","43"
"03/13/2011","Good","42"
"03/14/2011","Good","39"
"03/15/2011","Good","36"
"03/16/2011","Good","33"
"03/17/2011","Good","45"
"03/18/2011","Moderate","51"
"03/19/2011","Good","44"
"03/20/2011","Good","42"
"03/21/2011","Good","37"
"03/22/2011","Good","37"
"03/23/2011","Good","36"
"03/24/2011","Good","40"
"03/25/2011","Good","40"
"03/26/2011","Good","45"
"03/27/2011","Good","41"
"03/28/2011","Good","42"
"03/29/2011","Good","44"
"03/30/2011","Good","43"
"03/31/2011","Good","40"
"04/01/2011","Good","40"
"04/02/2011","Good","48"
"04/03/2011","Good","50"
"04/04/2011","Moderate","58"
"04/05/2011","Good","38"
"04/06/2011","Good","48"
"04/07/2011","Good","39"
"04/08/2011","Good","43"
"04/09/2011","Good","49"
"04/10/2011","Good","46"
"04/11/2011","Good","43"
"04/12/2011","Good","43"
"04/13/2011","Good","39"
"04/14/2011","Moderate","61"
"04/15/2011","Good","43"
"04/16/2011","Good","47"
"04/17/2011","Good","47"
"04/18/2011","Good","48"
"04/19/2011","Good","37"
"04/20/2011","Moderate","67"
"04/21/2011","Good","50"
"04/22/2011","Good","41"
"04/23/2011","Good","38"
"04/24/2011","Good","47"
"04/25/2011","Good","49"
"04/26/2011","Good","30"
"04/27/2011","Good","27"
"04/28/2011","Good","44"
"04/29/2011","Good","48"
"04/30/2011","Good","39"
"05/01/2011","Good","46"
"05/02/2011","Good","44"
"05/03/2011","Good","50"
"05/04/2011","Good","30"
"05/05/2011","Good","47"
"05/06/2011","Moderate","64"
"05/07/2011","Moderate","51"
"05/08/2011","Moderate","61"
"05/09/2011","Good","45"
"05/10/2011","Moderate","51"
"05/11/2011","Good","47"
"05/12/2011","Moderate","61"
"05/13/2011","Good","44"
"05/14/2011","Good","32"
"05/15/2011","Good","46"
"05/16/2011","Good","49"
"05/17/2011","Good","45"
"05/18/2011","Good","42"
"05/19/2011","Good","45"
"05/20/2011","Good","36"
"05/21/2011","Moderate","64"
"05/22/2011","Good","47"
"05/23/2011","Good","50"
"05/24/2011","Moderate","71"
"05/25/2011","Unhealthy for Sensitive Groups","108"
"05/26/2011","Moderate","93"
"05/27/2011","Moderate","74"
"05/28/2011","Good","45"
"05/29/2011","Moderate","51"
"05/30/2011","Unhealthy for Sensitive Groups","101"
"05/31/2011","Unhealthy for Sensitive Groups","105"
"06/01/2011","Unhealthy","172"
"06/02/2011","Moderate","77"
"06/03/2011","Moderate","54"
"06/04/2011","Moderate","71"
"06/05/2011","Moderate","80"
"06/06/2011","Moderate","93"
"06/07/2011","Unhealthy","187"
"06/08/2011","Unhealthy","179"
"06/09/2011","Unhealthy","192"
"06/10/2011","Unhealthy","156"
"06/11/2011","Moderate","51"
"06/12/2011","Moderate","67"
"06/13/2011","Good","44"
"06/14/2011","Good","43"
"06/15/2011","Moderate","51"
"06/16/2011","Moderate","64"
"06/17/2011","Moderate","77"
"06/18/2011","Unhealthy for Sensitive Groups","108"
"06/19/2011","Moderate","90"
"06/20/2011","Moderate","74"
"06/21/2011","Moderate","80"
"06/22/2011","Moderate","87"
"06/23/2011","Moderate","61"
"06/24/2011","Moderate","87"
"06/25/2011","Moderate","51"
"06/26/2011","Good","47"
"06/27/2011","Good","50"
"06/28/2011","Moderate","80"
"06/29/2011","Moderate","77"
"06/30/2011","Moderate","80"
"07/01/2011","Moderate","90"
"07/02/2011","Moderate","93"
"07/03/2011","Unhealthy for Sensitive Groups","119"
"07/04/2011","Moderate","77"
"07/05/2011","Unhealthy for Sensitive Groups","122"
"07/06/2011","Unhealthy for Sensitive Groups","126"
"07/07/2011","Unhealthy","159"
"07/08/2011","Good","50"
"07/09/2011","Moderate","64"
"07/10/2011","Unhealthy for Sensitive Groups","122"
"07/11/2011","Moderate","97"
"07/12/2011","Unhealthy for Sensitive Groups","105"
"07/13/2011","Moderate","77"
"07/14/2011","Good","45"
"07/15/2011","Moderate","100"
"07/16/2011","Unhealthy for Sensitive Groups","101"
"07/17/2011","Moderate","61"
"07/18/2011","Unhealthy","154"
"07/19/2011","Unhealthy","166"
"07/20/2011","Unhealthy for Sensitive Groups","112"
"07/21/2011","Unhealthy for Sensitive Groups","150"
"07/22/2011","Unhealthy","161"
"07/23/2011","Unhealthy for Sensitive Groups","143"
"07/24/2011","Moderate","84"
"07/25/2011","Good","49"
"07/26/2011","Unhealthy for Sensitive Groups","101"
"07/27/2011","Moderate","64"
"07/28/2011","Moderate","71"
"07/29/2011","Unhealthy","151"
"07/30/2011","Moderate","58"
"07/31/2011","Unhealthy for Sensitive Groups","112"
"08/01/2011","Unhealthy for Sensitive Groups","129"
"08/02/2011","Moderate","90"
"08/03/2011","Good","44"
"08/04/2011","Good","41"
"08/05/2011","Moderate","84"
"08/06/2011","Good","41"
"08/07/2011","Moderate","58"
"08/08/2011","Moderate","87"
"08/09/2011","Moderate","58"
"08/10/2011","Moderate","67"
"08/11/2011","Good","48"
"08/12/2011","Moderate","58"
"08/13/2011","Moderate","80"
"08/14/2011","Good","45"
"08/15/2011","Good","40"
"08/16/2011","Good","35"
