"Date","AQI Category","PM2.5 AQI Value"
"01/01/2013","Moderate","59"
"01/02/2013","Moderate","55"
"01/03/2013","Moderate","77"
"01/04/2013","Moderate","86"
"01/05/2013","Moderate","73"
"01/06/2013","Moderate","82"
"01/07/2013","Moderate","69"
"01/08/2013","Unhealthy for Sensitive Groups","108"
"01/09/2013","Unhealthy for Sensitive Groups","112"
"01/10/2013","Moderate","55"
"01/11/2013","Moderate","53"
"01/12/2013","Moderate","67"
"01/13/2013","Moderate","62"
"01/14/2013","Good","50"
"01/15/2013","Moderate","62"
"01/16/2013","Moderate","62"
"01/17/2013","Moderate","63"
"01/18/2013","Moderate","56"
"01/19/2013","Moderate","52"
"01/20/2013","Good","41"
"01/21/2013","Moderate","53"
"01/22/2013","Moderate","59"
"01/23/2013","Moderate","75"
"01/24/2013","Moderate","72"
"01/25/2013","Moderate","59"
"01/26/2013","Moderate","91"
"01/27/2013","Moderate","88"
"01/28/2013","Unhealthy for Sensitive Groups","122"
"01/29/2013","Unhealthy for Sensitive Groups","119"
"01/30/2013","Moderate","68"
"01/31/2013","Good","47"
"02/01/2013","Moderate","52"
"02/02/2013","Moderate","58"
"02/03/2013","Moderate","72"
"02/04/2013","Moderate","64"
"02/05/2013","Moderate","85"
"02/06/2013","Moderate","96"
"02/07/2013","Moderate","69"
"02/08/2013","Moderate","57"
"02/09/2013","Good","40"
"02/10/2013","Good","48"
"02/11/2013","Moderate","56"
"02/12/2013","Moderate","65"
"02/13/2013","Moderate","74"
"02/14/2013","Moderate","80"
"02/15/2013","Moderate","82"
"02/16/2013","Good","50"
"02/17/2013","Good","43"
"02/18/2013","Moderate","51"
"02/19/2013","Moderate","52"
"02/20/2013","Moderate","56"
"02/21/2013","Good","47"
"02/22/2013","Good","48"
"02/23/2013","Moderate","52"
"02/24/2013","Moderate","54"
"02/25/2013","Moderate","60"
"02/26/2013","Moderate","71"
"02/27/2013","Moderate","61"
"02/28/2013","Moderate","51"
"03/01/2013","Good","48"
"03/02/2013","Good","42"
"03/03/2013","Good","39"
"03/04/2013","Good","37"
"03/05/2013","Moderate","52"
"03/06/2013","Moderate","59"
"03/07/2013","Good","29"
"03/08/2013","Good","35"
"03/09/2013","Good","38"
"03/10/2013","Moderate","78"
"03/11/2013","Moderate","53"
"03/12/2013","Good","37"
"03/13/2013","Moderate","56"
"03/14/2013","Good","39"
"03/15/2013","Moderate","56"
"03/16/2013","Moderate","72"
"03/17/2013","Moderate","59"
"03/18/2013","Moderate","62"
"03/19/2013","Good","48"
"03/20/2013","Moderate","57"
"03/21/2013","Moderate","70"
"03/22/2013","Moderate","58"
"03/23/2013","Moderate","52"
"03/24/2013","Good","50"
"03/25/2013","Moderate","52"
"03/26/2013","Moderate","71"
"03/27/2013","Good","39"
"03/28/2013","Good","40"
"03/29/2013","Good","39"
"03/30/2013","Moderate","58"
"03/31/2013","Moderate","62"
"04/01/2013","Moderate","61"
"04/02/2013","Good","45"
"04/03/2013","Moderate","67"
"04/04/2013","Moderate","56"
"04/05/2013","Moderate","57"
"04/06/2013","Good","48"
"04/07/2013","Good","40"
"04/08/2013","Moderate","56"
"04/09/2013","Moderate","58"
"04/10/2013","Moderate","66"
"04/11/2013","Moderate","60"
"04/12/2013","Moderate","60"
"04/13/2013","Moderate","54"
"04/14/2013","Moderate","56"
"04/15/2013","Good","44"
"04/16/2013","Good","43"
"04/17/2013","Good","47"
"04/18/2013","Moderate","52"
"04/19/2013","Good","36"
"04/20/2013","Good","40"
"04/21/2013","Good","45"
"04/22/2013","Moderate","61"
"04/23/2013","Moderate","63"
"04/24/2013","Moderate","61"
"04/25/2013","Moderate","52"
"04/26/2013","Moderate","56"
"04/27/2013","Moderate","55"
"04/28/2013","Moderate","56"
"04/29/2013","Good","42"
"04/30/2013","Good","47"
"05/01/2013","Good","48"
"05/02/2013","Good","38"
"05/03/2013","Moderate","51"
"05/04/2013","Good","48"
"05/05/2013","Moderate","57"
"05/06/2013","Moderate","53"
"05/07/2013","Moderate","53"
"05/08/2013","Good","30"
"05/09/2013","Moderate","55"
"05/10/2013","Moderate","55"
"05/11/2013","Good","46"
"05/12/2013","Good","43"
"05/13/2013","Good","45"
"05/14/2013","Good","46"
"05/15/2013","Moderate","62"
"05/16/2013","Moderate","77"
"05/17/2013","Good","41"
"05/18/2013","Good","35"
"05/19/2013","Good","37"
"05/20/2013","Moderate","52"
"05/21/2013","Moderate","54"
"05/22/2013","Moderate","69"
"05/23/2013","Good","37"
"05/24/2013","Good","23"
"05/25/2013","Good","22"
"05/26/2013","Good","38"
"05/27/2013","Moderate","55"
