Date,AQI Category,Ozone AQI Value
1/1/2018,Good,35
1/2/2018,Good,31
1/3/2018,Good,25
1/4/2018,Good,35
1/5/2018,Good,35
1/6/2018,Good,35
1/7/2018,Good,36
1/8/2018,Good,27
1/9/2018,Good,30
1/10/2018,Good,19
1/11/2018,Good,27
1/12/2018,Good,30
1/13/2018,Good,37
1/14/2018,Good,36
1/15/2018,Good,26
1/16/2018,Good,25
1/17/2018,Good,30
1/18/2018,Good,34
1/19/2018,Good,32
1/20/2018,Good,39
1/21/2018,Good,33
1/22/2018,Good,31
1/23/2018,Good,34
1/24/2018,Good,32
1/25/2018,Good,36
1/26/2018,Good,30
1/27/2018,Good,40
1/28/2018,Good,29
1/29/2018,Good,26
1/30/2018,Good,36
1/31/2018,Good,33
2/1/2018,Good,26
2/2/2018,Good,34
2/3/2018,Good,31
2/4/2018,Good,29
2/5/2018,Good,38
2/6/2018,Good,26
2/7/2018,Good,35
2/8/2018,Good,41
2/9/2018,Good,38
2/10/2018,Good,34
2/11/2018,Good,20
2/12/2018,Good,40
2/13/2018,Good,35
2/14/2018,Good,31
2/15/2018,Good,14
2/16/2018,Good,36
2/17/2018,Good,36
2/18/2018,Good,40
2/19/2018,Good,36
2/20/2018,Good,31
2/21/2018,Good,29
2/22/2018,Good,28
2/23/2018,Good,34
2/24/2018,Good,20
2/25/2018,Good,27
2/26/2018,Good,37
2/27/2018,Good,42
2/28/2018,Good,43
3/1/2018,Good,31
3/2/2018,Good,38
3/3/2018,Good,40
3/4/2018,Good,44
3/5/2018,Good,39
3/6/2018,Good,40
3/7/2018,Good,38
3/8/2018,Good,40
3/9/2018,Good,35
3/10/2018,Good,43
3/11/2018,Good,44
3/12/2018,Good,35
3/13/2018,Good,40
3/14/2018,Good,35
3/15/2018,Good,37
3/16/2018,Good,40
3/17/2018,Good,42
3/18/2018,Good,47
3/19/2018,Good,44
3/20/2018,Good,33
3/21/2018,Good,40
3/22/2018,Good,44
3/23/2018,Good,45
3/24/2018,Good,49
3/25/2018,Good,41
3/26/2018,Good,44
3/27/2018,Good,44
3/28/2018,Good,31
3/29/2018,Good,47
3/30/2018,Good,38
3/31/2018,Good,42
4/1/2018,Good,41
4/2/2018,Good,39
4/3/2018,Good,37
4/4/2018,Good,45
4/5/2018,Good,45
4/6/2018,Moderate,54
4/7/2018,Good,46
4/8/2018,Good,45
4/9/2018,Good,43
4/10/2018,Good,46
4/11/2018,Good,48
4/12/2018,Moderate,54
4/13/2018,Moderate,87
4/14/2018,Moderate,71
4/15/2018,Good,44
4/16/2018,Moderate,54
4/17/2018,Good,36
4/18/2018,Good,42
4/19/2018,Good,44
4/20/2018,Good,45
4/21/2018,Good,50
4/22/2018,Moderate,61
4/23/2018,Moderate,71
4/24/2018,Good,49
4/25/2018,Good,43
4/26/2018,Moderate,51
4/27/2018,Good,44
4/28/2018,Moderate,64
4/29/2018,Good,37
4/30/2018,Moderate,58
5/1/2018,Unhealthy for Sensitive Groups,112
5/2/2018,Unhealthy for Sensitive Groups,115
5/3/2018,Unhealthy for Sensitive Groups,105
5/4/2018,Moderate,87
5/5/2018,Moderate,58
5/6/2018,Good,45
5/7/2018,Moderate,74
5/8/2018,Moderate,58
5/9/2018,Moderate,87
5/10/2018,Good,49
5/11/2018,Moderate,54
5/12/2018,Good,49
5/13/2018,Good,33
5/14/2018,Good,37
5/15/2018,Moderate,64
5/16/2018,Good,34
5/17/2018,Good,25
5/18/2018,Good,33
5/19/2018,Good,28
5/20/2018,Good,40
5/21/2018,Moderate,84
5/22/2018,Good,32
5/23/2018,Good,44
5/24/2018,Moderate,93
5/25/2018,Unhealthy for Sensitive Groups,101
5/26/2018,Moderate,93
5/27/2018,Good,38
5/28/2018,Good,31
5/29/2018,Moderate,74
5/30/2018,Good,27
5/31/2018,Good,21
6/1/2018,Moderate,54
6/2/2018,Moderate,84
6/3/2018,Good,27
6/4/2018,Good,37
6/5/2018,Moderate,64
6/6/2018,Good,36
6/7/2018,Good,44
6/8/2018,Moderate,74
6/9/2018,Moderate,100
6/10/2018,Good,41
6/11/2018,Good,40
6/12/2018,Good,44
6/13/2018,Good,43
6/14/2018,Good,49
6/15/2018,Good,42
6/16/2018,Moderate,97
6/17/2018,Unhealthy for Sensitive Groups,136
6/18/2018,Unhealthy for Sensitive Groups,136
6/19/2018,Good,44
6/20/2018,Moderate,84
6/21/2018,Moderate,71
6/22/2018,Good,38
6/23/2018,Good,28
6/24/2018,Good,46
6/25/2018,Good,40
6/26/2018,Good,46
6/27/2018,Good,35
6/28/2018,Moderate,58
6/29/2018,Moderate,93
6/30/2018,Unhealthy for Sensitive Groups,129
7/1/2018,Unhealthy for Sensitive Groups,126
7/2/2018,Unhealthy,164
7/3/2018,Unhealthy for Sensitive Groups,126
7/4/2018,Good,47
7/5/2018,Good,31
7/6/2018,Good,39
7/7/2018,Moderate,58
7/8/2018,Moderate,71
7/9/2018,Unhealthy,151
7/10/2018,Unhealthy for Sensitive Groups,150
7/11/2018,Moderate,61
7/12/2018,Moderate,58
7/13/2018,Moderate,77
7/14/2018,Moderate,93
7/15/2018,Moderate,64
7/16/2018,Unhealthy,151
