Date,AQI Category,PM2.5 AQI Value
1/1/2018,Moderate,51
1/2/2018,Moderate,59
1/3/2018,Moderate,65
1/4/2018,Moderate,56
1/5/2018,Moderate,53
1/6/2018,Moderate,54
1/7/2018,Moderate,53
1/8/2018,Moderate,68
1/9/2018,Moderate,86
1/10/2018,Moderate,73
1/11/2018,Moderate,63
1/12/2018,Good,48
1/13/2018,Good,42
1/14/2018,Good,42
1/15/2018,Moderate,54
1/16/2018,Moderate,63
1/17/2018,Moderate,87
1/18/2018,Moderate,71
1/19/2018,Moderate,80
1/20/2018,Moderate,60
1/21/2018,Moderate,76
1/22/2018,Moderate,71
1/23/2018,Good,49
1/24/2018,Good,46
1/25/2018,Good,49
1/26/2018,Moderate,66
1/27/2018,Moderate,55
1/28/2018,Moderate,54
1/29/2018,Moderate,55
1/30/2018,Moderate,52
1/31/2018,Good,44
2/1/2018,Moderate,55
2/2/2018,Moderate,51
2/3/2018,Moderate,52
2/4/2018,Moderate,54
2/5/2018,Moderate,54
2/6/2018,Moderate,60
2/7/2018,Moderate,67
2/8/2018,Moderate,60
2/9/2018,Moderate,76
2/10/2018,Moderate,70
2/11/2018,Good,40
2/12/2018,Moderate,53
2/13/2018,Moderate,54
2/14/2018,Moderate,54
2/15/2018,Moderate,63
2/16/2018,Moderate,56
2/17/2018,Good,41
2/18/2018,Moderate,64
2/19/2018,Moderate,58
2/20/2018,Moderate,60
2/21/2018,Moderate,54
2/22/2018,Good,44
2/23/2018,Good,39
2/24/2018,Moderate,61
2/25/2018,Moderate,52
2/26/2018,Moderate,58
2/27/2018,Moderate,55
2/28/2018,Moderate,73
3/1/2018,Moderate,69
3/2/2018,Good,39
3/3/2018,Good,33
3/4/2018,Good,28
3/5/2018,Good,36
3/6/2018,Good,42
3/7/2018,Good,34
3/8/2018,Good,50
3/9/2018,Moderate,62
3/10/2018,Moderate,62
3/11/2018,Good,49
3/12/2018,Moderate,52
3/13/2018,Good,42
3/14/2018,Moderate,56
3/15/2018,Moderate,62
3/16/2018,Good,40
3/17/2018,Moderate,55
3/18/2018,Good,40
3/19/2018,Moderate,56
3/20/2018,Moderate,55
3/21/2018,Good,39
3/22/2018,Good,32
3/23/2018,Good,39
3/24/2018,Good,40
3/25/2018,Good,34
3/26/2018,Good,46
3/27/2018,Good,44
3/28/2018,Moderate,63
3/29/2018,Moderate,65
3/30/2018,Moderate,52
3/31/2018,Good,44
4/1/2018,Good,36
4/2/2018,Good,39
4/3/2018,Good,39
4/4/2018,Moderate,51
4/5/2018,Good,47
4/6/2018,Moderate,52
4/7/2018,Good,37
4/8/2018,Good,42
4/9/2018,Moderate,51
4/10/2018,Moderate,58
4/11/2018,Moderate,62
4/12/2018,Moderate,60
4/13/2018,Moderate,59
4/14/2018,Moderate,75
4/15/2018,Moderate,51
4/16/2018,Good,38
4/17/2018,Good,39
4/18/2018,Good,37
4/19/2018,Good,44
4/20/2018,Good,32
4/21/2018,Good,38
4/22/2018,Good,44
4/23/2018,Moderate,51
4/24/2018,Good,39
4/25/2018,Good,34
4/26/2018,Moderate,52
4/27/2018,Moderate,58
4/28/2018,Moderate,59
4/29/2018,Good,40
4/30/2018,Good,46
5/1/2018,Moderate,55
5/2/2018,Moderate,58
5/3/2018,Moderate,67
5/4/2018,Moderate,69
5/5/2018,Good,45
5/6/2018,Good,49
5/7/2018,Good,36
5/8/2018,Good,40
5/9/2018,Good,47
5/10/2018,Good,48
5/11/2018,Moderate,52
5/12/2018,Moderate,63
5/13/2018,Moderate,55
5/14/2018,Moderate,55
5/15/2018,Moderate,59
5/16/2018,Moderate,52
5/17/2018,Good,38
5/18/2018,Moderate,55
5/19/2018,Moderate,52
5/20/2018,Good,39
5/21/2018,Good,40
5/22/2018,Moderate,53
5/23/2018,Moderate,54
5/24/2018,Good,49
5/25/2018,Moderate,60
5/26/2018,Moderate,63
5/27/2018,Good,39
5/28/2018,Good,38
5/29/2018,Moderate,57
5/30/2018,Good,50
5/31/2018,Good,40
6/1/2018,Moderate,57
6/2/2018,Good,50
6/3/2018,Good,47
6/4/2018,Good,34
6/5/2018,Good,43
6/6/2018,Good,38
6/7/2018,Good,41
6/8/2018,Moderate,51
6/9/2018,Moderate,66
6/10/2018,Moderate,60
6/11/2018,Good,40
6/12/2018,Moderate,51
6/13/2018,Moderate,57
6/14/2018,Moderate,55
6/15/2018,Moderate,54
6/16/2018,Moderate,52
6/17/2018,Moderate,61
6/18/2018,Moderate,76
6/19/2018,Moderate,56
6/20/2018,Moderate,53
6/21/2018,Moderate,57
6/22/2018,Moderate,62
6/23/2018,Moderate,59
6/24/2018,Moderate,59
6/25/2018,Good,40
6/26/2018,Good,46
6/27/2018,Good,44
6/28/2018,Moderate,51
6/29/2018,Moderate,54
6/30/2018,Moderate,65
7/1/2018,Moderate,71
7/2/2018,Moderate,76
7/3/2018,Moderate,77
7/4/2018,Moderate,62
7/5/2018,Good,42
7/6/2018,Good,49
7/7/2018,Good,43
7/8/2018,Moderate,54
7/9/2018,Moderate,55
7/10/2018,Moderate,60
7/11/2018,Moderate,67
7/12/2018,Moderate,62
7/13/2018,Moderate,58
7/14/2018,Moderate,56
7/15/2018,Moderate,54
7/16/2018,Moderate,66
7/17/2018,Moderate,57
7/18/2018,Moderate,52
7/19/2018,Good,50
7/20/2018,Moderate,57
7/21/2018,Good,43
7/22/2018,Moderate,52
7/23/2018,Moderate,59
7/24/2018,Good,42
7/25/2018,Good,35
7/26/2018,Good,44
7/27/2018,Moderate,54
7/28/2018,Moderate,52
7/29/2018,Good,43
7/30/2018,Moderate,59
7/31/2018,Good,34
8/1/2018,Good,35
8/2/2018,Good,32
8/3/2018,Good,35
8/4/2018,Good,44
8/5/2018,Moderate,59
8/6/2018,Moderate,69
8/7/2018,Moderate,59
8/8/2018,Moderate,54
8/9/2018,Moderate,55
8/10/2018,Moderate,60
8/11/2018,Moderate,55
8/12/2018,Moderate,57
8/13/2018,Moderate,54
8/14/2018,Good,38
8/15/2018,Moderate,66
8/16/2018,Moderate,75
8/17/2018,Moderate,72
8/18/2018,Moderate,55
8/19/2018,Good,43
8/20/2018,Good,46
8/21/2018,Good,39
8/22/2018,Moderate,58
8/23/2018,Moderate,55
8/24/2018,Moderate,65
8/25/2018,Moderate,61
8/26/2018,Moderate,56
8/27/2018,Moderate,73
8/28/2018,Moderate,94
8/29/2018,Moderate,73
8/30/2018,Moderate,59
8/31/2018,Good,47
9/1/2018,Good,50
9/2/2018,Good,41
9/3/2018,Moderate,59
9/4/2018,Moderate,54
