GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Car, truck, or van:","Margin of Error; Car, truck, or van:","Estimate; Car, truck, or van: - Drove alone","Margin of Error; Car, truck, or van: - Drove alone","Estimate; Car, truck, or van: - Carpooled:","Margin of Error; Car, truck, or van: - Carpooled:","Estimate; Car, truck, or van: - Carpooled: - In 2-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 2-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 3-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 3-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 4-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 4-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 5- or 6-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 5- or 6-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 7-or-more-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 7-or-more-person carpool",Estimate; Public transportation (excluding taxicab):,Margin of Error; Public transportation (excluding taxicab):,Estimate; Public transportation (excluding taxicab): - Bus or trolley bus,Margin of Error; Public transportation (excluding taxicab): - Bus or trolley bus,Estimate; Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Margin of Error; Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Estimate; Public transportation (excluding taxicab): - Subway or elevated,Margin of Error; Public transportation (excluding taxicab): - Subway or elevated,Estimate; Public transportation (excluding taxicab): - Railroad,Margin of Error; Public transportation (excluding taxicab): - Railroad,Estimate; Public transportation (excluding taxicab): - Ferryboat,Margin of Error; Public transportation (excluding taxicab): - Ferryboat,Estimate; Taxicab,Margin of Error; Taxicab,Estimate; Motorcycle,Margin of Error; Motorcycle,Estimate; Bicycle,Margin of Error; Bicycle,Estimate; Walked,Margin of Error; Walked,Estimate; Other means,Margin of Error; Other means,Estimate; Worked at home,Margin of Error; Worked at home
0500000US34005,34005,"Burlington County, New Jersey",216314,3695,196453,3811,179160,3845,17293,2497,12702,1805,2594,1261,751,454,875,646,371,258,7663,1325,2468,774,0,281,950,449,4245,1039,0,281,64,108,107,126,548,350,2457,785,1427,606,7595,1331
0500000US34007,34007,"Camden County, New Jersey",233398,4886,201639,5040,182301,5490,19338,2405,14870,1981,2668,800,596,370,883,617,321,220,18947,2626,9167,1878,0,281,5960,1304,3820,1108,0,281,97,119,49,81,262,203,4215,1045,2002,968,6187,1136
0500000US34015,34015,"Gloucester County, New Jersey",136084,3894,127047,3857,117139,3589,9908,1830,8478,1608,1235,532,46,78,149,176,0,281,2928,865,1665,680,0,281,695,364,568,439,0,281,0,281,61,103,0,281,1704,579,828,530,3516,877
0500000US34021,34021,"Mercer County, New Jersey",169889,3990,136243,4598,117784,4259,18459,2318,12392,2204,2294,796,1470,814,1721,961,582,442,13158,2132,5365,1546,62,105,744,502,6797,1223,190,324,288,220,18,31,1022,631,8504,1670,2376,1021,8280,1617
0500000US42017,42017,"Bucks County, Pennsylvania",313294,6445,284796,6436,261669,6291,23127,2553,19204,2194,1853,750,1060,431,343,453,667,467,8556,1239,1339,618,75,120,513,344,6629,1103,0,246,210,178,102,126,332,272,4822,1595,998,515,13478,1668
0500000US42029,42029,"Chester County, Pennsylvania",247984,4945,217511,5386,200581,5080,16930,2507,12866,1947,2445,1213,668,527,143,152,808,907,6557,1299,1365,602,0,246,425,257,4767,1044,0,246,44,71,179,151,190,184,5847,1301,2550,1013,15106,2060
0500000US42045,42045,"Delaware County, Pennsylvania",260379,4743,216968,5071,199471,5094,17497,2697,14981,2466,1540,739,547,450,241,201,188,127,22051,2208,11245,1868,802,604,2748,747,7256,1322,0,246,71,119,47,79,634,335,10009,1741,1415,666,9184,1420
0500000US42091,42091,"Montgomery County, Pennsylvania",403233,4945,347349,5762,317820,5784,29529,3107,24028,2960,2490,739,1369,625,914,669,728,469,23126,2230,6670,1426,136,158,2004,841,14316,1749,0,246,55,71,602,339,631,435,11373,2149,2208,759,17889,1926
0500000US42101,42101,"Philadelphia County, Pennsylvania",583734,10479,343141,10131,291003,8961,52138,5040,41918,4476,5675,1585,1851,579,1581,928,1113,567,158717,7355,115974,6400,2562,1226,24137,2468,16044,2231,0,246,1411,624,808,407,10503,2309,48318,4496,4370,1121,16466,2475
