GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Car, truck, or van:","Margin of Error; Car, truck, or van:","Estimate; Car, truck, or van: - Drove alone","Margin of Error; Car, truck, or van: - Drove alone","Estimate; Car, truck, or van: - Carpooled:","Margin of Error; Car, truck, or van: - Carpooled:","Estimate; Car, truck, or van: - Carpooled: - In 2-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 2-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 3-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 3-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 4-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 4-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 5- or 6-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 5- or 6-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 7-or-more-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 7-or-more-person carpool",Estimate; Public transportation (excluding taxicab):,Margin of Error; Public transportation (excluding taxicab):,Estimate; Public transportation (excluding taxicab): - Bus or trolley bus,Margin of Error; Public transportation (excluding taxicab): - Bus or trolley bus,Estimate; Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Margin of Error; Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Estimate; Public transportation (excluding taxicab): - Subway or elevated,Margin of Error; Public transportation (excluding taxicab): - Subway or elevated,Estimate; Public transportation (excluding taxicab): - Railroad,Margin of Error; Public transportation (excluding taxicab): - Railroad,Estimate; Public transportation (excluding taxicab): - Ferryboat,Margin of Error; Public transportation (excluding taxicab): - Ferryboat,Estimate; Taxicab,Margin of Error; Taxicab,Estimate; Motorcycle,Margin of Error; Motorcycle,Estimate; Bicycle,Margin of Error; Bicycle,Estimate; Walked,Margin of Error; Walked,Estimate; Other means,Margin of Error; Other means,Estimate; Worked at home,Margin of Error; Worked at home
0500000US34005,34005,"Burlington County, New Jersey",205801,6500,188895,6400,170696,6237,18199,2709,14602,2418,1358,607,727,372,436,378,1076,916,3916,1097,2959,831,62,101,60,101,835,592,0,265,332,380,148,123,443,311,4249,1070,1583,699,6235,1120
0500000US34007,34007,"Camden County, New Jersey",212141,6597,186917,6084,167070,6055,19847,2315,14041,2174,3590,1034,738,504,1088,748,390,297,9841,2133,7446,1888,49,81,1306,695,1040,464,0,265,351,441,266,214,303,473,5577,1313,1357,539,7529,1424
0500000US34015,34015,"Gloucester County, New Jersey",103785,4989,95461,4859,87042,4503,8419,1771,6309,1523,908,733,224,192,782,707,196,165,2147,751,1984,747,33,56,67,112,63,101,0,265,0,265,90,137,273,241,2030,486,232,196,3552,851
0500000US34021,34021,"Mercer County, New Jersey",216722,6395,192560,6893,171649,6868,20911,2415,16332,2154,1960,792,1324,679,404,382,891,787,7970,1534,5350,1446,42,69,638,416,1940,662,0,265,0,265,384,274,973,560,7602,1364,1323,716,5910,1239
0500000US42017,42017,"Bucks County, Pennsylvania",260208,6531,236112,6617,210901,6285,25211,3318,18169,2683,3507,1170,1993,969,1174,502,368,269,4206,1421,3193,1373,0,265,203,246,810,672,0,265,0,265,216,180,358,215,7183,1677,1174,447,10959,1469
0500000US42029,42029,"Chester County, Pennsylvania",234000,6751,210086,6317,188327,6405,21759,2558,17304,2330,2007,730,1032,515,772,487,644,220,2749,935,2126,824,0,265,0,265,623,443,0,265,428,321,312,231,281,253,6162,1221,1421,595,12561,1630
0500000US42045,42045,"Delaware County, Pennsylvania",201860,6241,173469,6116,157162,5850,16307,1794,14044,1697,1233,582,429,288,399,256,202,174,10221,1803,8335,1570,263,233,444,288,1179,607,0,265,0,265,74,102,547,341,9350,1805,1028,570,7171,1183
0500000US42091,42091,"Montgomery County, Pennsylvania",465839,9557,420772,9083,381552,8216,39220,3283,32003,3176,4418,1205,1548,663,674,466,577,313,12917,1813,9063,1681,240,203,832,444,2782,1175,0,265,69,114,379,278,810,469,12405,1882,3761,1407,14726,1920
0500000US42101,42101,"Philadelphia County, Pennsylvania",650173,11474,403883,10734,342617,9274,61266,4293,45545,3553,8772,1995,3060,977,2137,1283,1752,1085,176841,6659,101025,5185,4797,1400,32944,3171,37791,2875,284,222,949,477,853,510,6227,1367,43050,3634,5375,1374,12995,1794
