GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Car, truck, or van:","Margin of Error; Car, truck, or van:","Estimate; Car, truck, or van: - Drove alone","Margin of Error; Car, truck, or van: - Drove alone","Estimate; Car, truck, or van: - Carpooled:","Margin of Error; Car, truck, or van: - Carpooled:","Estimate; Car, truck, or van: - Carpooled: - In 2-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 2-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 3-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 3-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 4-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 4-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 5- or 6-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 5- or 6-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 7-or-more-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 7-or-more-person carpool",Estimate; Public transportation (excluding taxicab):,Margin of Error; Public transportation (excluding taxicab):,Estimate; Public transportation (excluding taxicab): - Bus or trolley bus,Margin of Error; Public transportation (excluding taxicab): - Bus or trolley bus,Estimate; Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Margin of Error; Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Estimate; Public transportation (excluding taxicab): - Subway or elevated,Margin of Error; Public transportation (excluding taxicab): - Subway or elevated,Estimate; Public transportation (excluding taxicab): - Railroad,Margin of Error; Public transportation (excluding taxicab): - Railroad,Estimate; Public transportation (excluding taxicab): - Ferryboat,Margin of Error; Public transportation (excluding taxicab): - Ferryboat,Estimate; Taxicab,Margin of Error; Taxicab,Estimate; Motorcycle,Margin of Error; Motorcycle,Estimate; Bicycle,Margin of Error; Bicycle,Estimate; Walked,Margin of Error; Walked,Estimate; Other means,Margin of Error; Other means,Estimate; Worked at home,Margin of Error; Worked at home
0500000US34005,34005,"Burlington County, New Jersey",205505,6501,185644,6090,169693,5794,15951,2119,12445,1808,1878,895,342,287,580,349,706,402,3865,1146,3238,1091,322,359,118,116,187,139,0,193,0,193,265,212,773,456,3495,1191,1912,834,9551,1692
0500000US34007,34007,"Camden County, New Jersey",186425,5801,167150,5654,150959,5598,16191,2306,12302,1924,2670,1131,788,553,226,224,205,242,5526,1236,4053,1115,0,193,986,468,487,273,0,193,238,192,94,116,478,299,3145,810,1545,596,8249,1442
0500000US34015,34015,"Gloucester County, New Jersey",101217,4701,92706,4712,84343,4530,8363,1612,6390,1422,563,310,253,153,497,336,660,428,1719,724,1606,713,0,193,113,132,0,193,0,193,0,193,7,11,301,254,2091,751,1497,814,2896,756
0500000US34021,34021,"Mercer County, New Jersey",222054,6835,195440,6638,177333,6801,18107,2236,12467,1771,2762,1130,1112,661,1045,587,721,433,8311,1661,5093,1363,0,193,595,450,2623,875,0,193,396,378,51,83,516,294,8120,1793,1338,868,7882,1415
0500000US42017,42017,"Bucks County, Pennsylvania",255631,7338,229206,7051,205193,6165,24013,2751,19676,2466,2064,900,728,362,931,665,614,341,3976,1169,3148,1082,0,193,44,71,636,422,148,236,157,112,151,127,553,333,5245,1359,1742,650,14601,1674
0500000US42029,42029,"Chester County, Pennsylvania",236410,7128,211565,7095,193920,6023,17645,2108,14287,1862,2164,781,748,665,267,182,179,164,2700,1016,1796,912,0,193,176,172,728,356,0,193,0,193,345,233,312,185,4412,1421,1350,687,15726,2066
0500000US42045,42045,"Delaware County, Pennsylvania",204762,6459,174104,5848,159030,5819,15074,2147,13060,2004,1189,494,497,435,162,164,166,184,9623,1616,8394,1507,196,181,305,252,728,380,0,193,155,203,173,283,228,178,9611,1431,1533,603,9335,1112
0500000US42091,42091,"Montgomery County, Pennsylvania",464964,9537,416174,8552,379070,9144,37104,3604,28779,3085,4775,1426,1595,855,708,329,1247,580,14760,2283,11341,2166,46,74,1145,598,2228,620,0,193,268,256,639,420,963,541,12668,1989,1914,723,17578,2111
0500000US42101,42101,"Philadelphia County, Pennsylvania",699456,13277,415952,12067,359505,11868,56447,4763,43917,3832,6905,1621,2554,1037,2055,1230,1016,784,193411,7449,100542,5652,3238,1097,37988,3251,51615,3787,28,45,1231,660,988,660,10452,2037,53613,4884,6275,1339,17534,2689
