GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Car, truck, or van:","Margin of Error; Car, truck, or van:","Estimate; Car, truck, or van: - Drove alone","Margin of Error; Car, truck, or van: - Drove alone","Estimate; Car, truck, or van: - Carpooled:","Margin of Error; Car, truck, or van: - Carpooled:","Estimate; Car, truck, or van: - Carpooled: - In 2-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 2-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 3-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 3-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 4-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 4-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 5- or 6-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 5- or 6-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 7-or-more-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 7-or-more-person carpool",Estimate; Public transportation (excluding taxicab):,Margin of Error; Public transportation (excluding taxicab):,Estimate; Public transportation (excluding taxicab): - Bus or trolley bus,Margin of Error; Public transportation (excluding taxicab): - Bus or trolley bus,Estimate; Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Margin of Error; Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Estimate; Public transportation (excluding taxicab): - Subway or elevated,Margin of Error; Public transportation (excluding taxicab): - Subway or elevated,Estimate; Public transportation (excluding taxicab): - Railroad,Margin of Error; Public transportation (excluding taxicab): - Railroad,Estimate; Public transportation (excluding taxicab): - Ferryboat,Margin of Error; Public transportation (excluding taxicab): - Ferryboat,Estimate; Taxicab,Margin of Error; Taxicab,Estimate; Motorcycle,Margin of Error; Motorcycle,Estimate; Bicycle,Margin of Error; Bicycle,Estimate; Walked,Margin of Error; Walked,Estimate; Other means,Margin of Error; Other means,Estimate; Worked at home,Margin of Error; Worked at home
0500000US34005,34005,"Burlington County, New Jersey",218153,4326,198094,4387,179487,4330,18607,2918,14312,2365,2216,1082,802,567,959,918,318,319,6867,1317,3105,1063,111,131,1443,612,2208,718,0,273,286,373,219,195,509,335,4656,1142,1287,613,6235,1120
0500000US34007,34007,"Camden County, New Jersey",242976,4038,208007,4235,181732,4682,26275,2633,19801,2424,2890,732,1058,584,1448,966,1078,1041,19330,2266,9900,1798,186,160,5113,1024,4003,931,128,146,397,446,225,153,408,494,5247,1150,1833,620,7529,1424
0500000US34015,34015,"Gloucester County, New Jersey",140069,2764,130122,2866,119686,3039,10436,1554,7578,1554,1266,568,321,222,880,901,391,259,3586,927,2519,844,33,56,536,386,498,260,0,273,0,273,98,132,283,237,2145,477,283,208,3552,851
0500000US34021,34021,"Mercer County, New Jersey",171453,3751,141577,4851,125112,4370,16465,2725,12649,2400,1581,611,1201,729,326,297,708,771,12954,2003,5288,1375,0,273,645,390,6942,1229,79,121,72,119,123,154,1501,946,7676,1373,1640,753,5910,1239
0500000US42017,42017,"Bucks County, Pennsylvania",318862,3921,290796,4925,264050,5449,26746,3076,21189,2699,3279,1136,1431,724,508,217,339,227,8297,1857,1796,1181,0,240,312,212,6189,1291,0,240,0,240,339,235,374,242,6875,1585,1222,478,10959,1469
0500000US42029,42029,"Chester County, Pennsylvania",242616,4070,215003,3996,195229,4230,19774,2349,16101,2194,1541,734,1096,523,401,250,635,233,6029,1118,2137,745,0,240,311,293,3581,855,0,240,310,301,410,261,327,241,5837,1077,2139,637,12561,1630
0500000US42045,42045,"Delaware County, Pennsylvania",255335,3979,214894,4152,191065,4285,23829,2058,20064,1855,2287,835,854,514,371,140,253,166,20802,2142,9166,1655,1244,546,4258,1050,6029,1204,105,124,69,114,269,215,445,253,9747,1729,1938,830,7171,1183
0500000US42091,42091,"Montgomery County, Pennsylvania",391060,5648,345687,6000,316673,5934,29014,2957,24262,2558,3016,788,784,509,588,498,364,235,15216,2085,3258,1180,0,240,1414,502,10493,1606,51,85,0,240,379,224,753,422,11597,1876,2702,1246,14726,1920
0500000US42101,42101,"Philadelphia County, Pennsylvania",550988,7566,336284,8768,279650,8124,56634,4679,41090,4033,7612,1758,3714,1445,2634,1325,1584,1078,145634,6885,105364,5501,3873,1149,22908,2822,13489,2270,0,240,749,445,678,484,6403,1408,44102,3605,4143,1243,12995,1794
