GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Car, truck, or van:","Margin of Error; Car, truck, or van:","Estimate; Car, truck, or van: - Drove alone","Margin of Error; Car, truck, or van: - Drove alone","Estimate; Car, truck, or van: - Carpooled:","Margin of Error; Car, truck, or van: - Carpooled:","Estimate; Car, truck, or van: - Carpooled: - In 2-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 2-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 3-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 3-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 4-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 4-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 5- or 6-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 5- or 6-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 7-or-more-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 7-or-more-person carpool",Estimate; Public transportation (excluding taxicab):,Margin of Error; Public transportation (excluding taxicab):,Estimate; Public transportation (excluding taxicab): - Bus or trolley bus,Margin of Error; Public transportation (excluding taxicab): - Bus or trolley bus,Estimate; Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Margin of Error; Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Estimate; Public transportation (excluding taxicab): - Subway or elevated,Margin of Error; Public transportation (excluding taxicab): - Subway or elevated,Estimate; Public transportation (excluding taxicab): - Railroad,Margin of Error; Public transportation (excluding taxicab): - Railroad,Estimate; Public transportation (excluding taxicab): - Ferryboat,Margin of Error; Public transportation (excluding taxicab): - Ferryboat,Estimate; Taxicab,Margin of Error; Taxicab,Estimate; Motorcycle,Margin of Error; Motorcycle,Estimate; Bicycle,Margin of Error; Bicycle,Estimate; Walked,Margin of Error; Walked,Estimate; Other means,Margin of Error; Other means,Estimate; Worked at home,Margin of Error; Worked at home
0500000US34005,34005,"Burlington County, New Jersey",220815,4235,194301,6134,179196,6206,15105,2273,12724,2105,1193,594,549,457,76,111,563,360,6418,1226,2396,821,0,279,1085,554,2937,784,0,279,75,90,43,73,454,419,4173,2078,1629,904,13722,4744
0500000US34007,34007,"Camden County, New Jersey",240696,4843,206267,4935,183919,5167,22348,2817,17667,2404,3267,1327,776,539,563,531,75,118,18807,2251,7524,1524,141,165,7714,1680,3399,814,29,52,534,412,271,284,1083,536,4169,1063,2690,1589,6875,1448
0500000US34015,34015,"Gloucester County, New Jersey",142401,3707,129567,3372,117557,3147,12010,2368,10119,2228,799,409,707,567,273,265,112,133,4702,1337,2003,872,0,279,1397,634,1302,732,0,279,0,279,188,241,62,106,1669,722,1138,579,5075,1721
0500000US34021,34021,"Mercer County, New Jersey",175158,4961,144076,5104,125569,5185,18507,2587,14068,2246,2460,989,443,311,633,646,903,581,11980,2188,5008,1548,344,447,546,434,5988,1177,94,150,527,523,54,89,1158,709,6505,1841,2938,1393,7920,1609
0500000US42017,42017,"Bucks County, Pennsylvania",312379,6386,283607,6399,259452,6382,24155,2823,21551,2689,1235,468,802,501,149,186,418,489,9089,1656,878,407,93,149,822,478,7296,1396,0,246,248,249,389,259,949,568,4751,1322,1403,668,11943,1681
0500000US42029,42029,"Chester County, Pennsylvania",251961,4781,224791,4843,207663,5023,17128,2399,14608,2119,1881,831,346,235,162,142,131,150,7897,1755,2163,1098,118,146,440,311,5176,1251,0,246,0,246,0,246,1182,611,4189,1094,1687,730,12215,1871
0500000US42045,42045,"Delaware County, Pennsylvania",257675,5497,214632,5476,193382,5960,21250,2451,17180,2139,3135,1029,160,230,155,190,620,333,22518,2261,10807,1580,666,468,3060,803,7985,1124,0,246,224,189,21,36,1106,558,9078,1864,1266,493,8830,1369
0500000US42091,42091,"Montgomery County, Pennsylvania",395531,7211,343894,7352,317745,7243,26149,3008,21555,2775,2888,974,1121,470,268,316,317,198,19265,2296,4587,1240,349,316,1526,575,12803,1636,0,246,118,138,221,190,1396,562,13648,2156,1345,480,15644,1775
0500000US42101,42101,"Philadelphia County, Pennsylvania",616150,12225,368705,10863,316062,10414,52643,4909,40629,4038,6777,1545,2481,1028,971,615,1785,1038,153508,8041,107073,6353,3527,1103,24055,2978,18853,2805,0,246,2356,1147,262,228,13304,2416,53533,5084,3326,1123,21156,3690
