GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Car, truck, or van:","Margin of Error; Car, truck, or van:","Estimate; Car, truck, or van: - Drove alone","Margin of Error; Car, truck, or van: - Drove alone","Estimate; Car, truck, or van: - Carpooled:","Margin of Error; Car, truck, or van: - Carpooled:","Estimate; Car, truck, or van: - Carpooled: - In 2-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 2-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 3-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 3-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 4-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 4-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 5- or 6-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 5- or 6-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 7-or-more-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 7-or-more-person carpool",Estimate; Public transportation (excluding taxicab):,Margin of Error; Public transportation (excluding taxicab):,Estimate; Public transportation (excluding taxicab): - Bus or trolley bus,Margin of Error; Public transportation (excluding taxicab): - Bus or trolley bus,Estimate; Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Margin of Error; Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Estimate; Public transportation (excluding taxicab): - Subway or elevated,Margin of Error; Public transportation (excluding taxicab): - Subway or elevated,Estimate; Public transportation (excluding taxicab): - Railroad,Margin of Error; Public transportation (excluding taxicab): - Railroad,Estimate; Public transportation (excluding taxicab): - Ferryboat,Margin of Error; Public transportation (excluding taxicab): - Ferryboat,Estimate; Taxicab,Margin of Error; Taxicab,Estimate; Motorcycle,Margin of Error; Motorcycle,Estimate; Bicycle,Margin of Error; Bicycle,Estimate; Walked,Margin of Error; Walked,Estimate; Other means,Margin of Error; Other means,Estimate; Worked at home,Margin of Error; Worked at home
0500000US34005,34005,"Burlington County, New Jersey",204278,5889,189848,5913,171711,6059,18137,2188,12946,1750,1965,578,2323,1139,738,679,165,171,2512,936,2181,941,0,271,0,271,331,261,0,271,334,318,67,90,404,243,2163,778,967,431,7983,1586
0500000US34007,34007,"Camden County, New Jersey",213557,6257,192336,5939,171962,5964,20374,2512,14680,1973,4007,1349,676,558,485,364,526,390,7069,1918,5424,1760,0,271,794,441,851,462,0,271,690,535,0,271,553,484,5196,1298,1307,630,6406,1127
0500000US34015,34015,"Gloucester County, New Jersey",106642,4566,96184,4159,86729,4327,9455,1390,7737,1322,1287,655,271,197,75,125,85,100,1772,723,1458,611,0,271,233,379,81,132,0,271,134,217,100,118,237,217,2384,808,1607,922,4224,1377
0500000US34021,34021,"Mercer County, New Jersey",232578,7189,205091,6052,179955,5401,25136,3241,18183,2531,3050,1048,1619,715,1578,772,706,518,8088,1880,4820,1419,0,271,149,178,3119,1154,0,271,588,667,258,220,1608,746,6562,1480,2178,1013,8205,1421
0500000US42017,42017,"Bucks County, Pennsylvania",265889,7334,239413,7502,214217,7893,25196,2779,20065,2502,3464,1053,786,479,490,513,391,309,3067,956,2275,867,0,271,0,271,792,769,0,271,0,271,295,196,828,437,4851,979,1848,937,15587,2350
0500000US42029,42029,"Chester County, Pennsylvania",247082,7700,223546,7508,202945,7374,20601,3259,15522,2529,2388,720,2220,1275,156,141,315,216,2705,885,1391,634,0,271,322,366,992,538,0,271,0,271,619,366,557,439,5729,1376,1243,577,12683,2178
0500000US42045,42045,"Delaware County, Pennsylvania",216354,5554,184752,5756,166890,5476,17862,1808,13900,1722,1676,670,1126,776,442,324,718,503,12568,2219,10160,2020,584,340,306,341,1518,677,0,271,0,271,112,134,604,460,9299,1728,1139,499,7880,1261
0500000US42091,42091,"Montgomery County, Pennsylvania",467656,9684,421145,9171,382194,8533,38951,3532,30296,2970,5210,1218,1778,749,1101,545,566,297,12582,2149,9503,1925,188,229,998,406,1819,729,74,111,120,141,627,290,1229,476,14290,2157,2369,825,15294,1731
0500000US42101,42101,"Philadelphia County, Pennsylvania",695880,12811,422226,11311,359656,9946,62570,4489,49708,4040,8173,1591,2808,706,1151,528,730,350,192905,7389,103372,5848,2694,862,40324,3349,46490,3805,25,40,1001,479,419,243,9674,1667,49733,3660,5820,1328,14102,2648
