GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC03_EST_VC14,HC03_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC02_EST_VC21,HC02_MOE_VC21,HC03_EST_VC21,HC03_MOE_VC21,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC03_EST_VC22,HC03_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC03_EST_VC23,HC03_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC03_EST_VC24,HC03_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC03_EST_VC25,HC03_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC03_EST_VC26,HC03_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC03_EST_VC27,HC03_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC03_EST_VC28,HC03_MOE_VC28,HC01_EST_VC29,HC01_MOE_VC29,HC02_EST_VC29,HC02_MOE_VC29,HC03_EST_VC29,HC03_MOE_VC29,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC03_EST_VC30,HC03_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC03_EST_VC31,HC03_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC03_EST_VC32,HC03_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC03_EST_VC33,HC03_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC03_EST_VC34,HC03_MOE_VC34,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC03_EST_VC36,HC03_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC03_EST_VC37,HC03_MOE_VC37,HC01_EST_VC38,HC01_MOE_VC38,HC02_EST_VC38,HC02_MOE_VC38,HC03_EST_VC38,HC03_MOE_VC38,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC03_EST_VC39,HC03_MOE_VC39,HC01_EST_VC40,HC01_MOE_VC40,HC02_EST_VC40,HC02_MOE_VC40,HC03_EST_VC40,HC03_MOE_VC40,HC01_EST_VC42,HC01_MOE_VC42,HC02_EST_VC42,HC02_MOE_VC42,HC03_EST_VC42,HC03_MOE_VC42,HC01_EST_VC43,HC01_MOE_VC43,HC02_EST_VC43,HC02_MOE_VC43,HC03_EST_VC43,HC03_MOE_VC43,HC01_EST_VC44,HC01_MOE_VC44,HC02_EST_VC44,HC02_MOE_VC44,HC03_EST_VC44,HC03_MOE_VC44,HC01_EST_VC45,HC01_MOE_VC45,HC02_EST_VC45,HC02_MOE_VC45,HC03_EST_VC45,HC03_MOE_VC45,HC01_EST_VC46,HC01_MOE_VC46,HC02_EST_VC46,HC02_MOE_VC46,HC03_EST_VC46,HC03_MOE_VC46,HC01_EST_VC47,HC01_MOE_VC47,HC02_EST_VC47,HC02_MOE_VC47,HC03_EST_VC47,HC03_MOE_VC47,HC01_EST_VC49,HC01_MOE_VC49,HC02_EST_VC49,HC02_MOE_VC49,HC03_EST_VC49,HC03_MOE_VC49
0100000US,,United States,26295690,31345,13376325,20324,12919365,19414,19.6,0.2,22,0.3,17.1,0.2,34,0.2,36.2,0.3,31.7,0.2,37.1,0.2,34.3,0.3,40,0.2,9.3,0.1,7.5,0.1,11.2,0.2,188950759,39877,90506774,24218,98443985,28072,0.9,0.1,0.9,0.1,0.9,0.1,0.9,0.1,0.9,0.1,0.8,0.1,1.9,0.1,2,0.1,1.7,0.1,2.7,0.1,2.7,0.1,2.6,0.1,2.1,0.1,2.2,0.1,2,0.1,2.5,0.1,2.5,0.1,2.5,0.1,2.6,0.1,2.6,0.1,2.6,0.1,2.3,0.1,2.4,0.1,2.2,0.1,29.6,0.1,29,0.1,30,0.1,6.6,0.1,6.1,0.1,7,0.1,13.5,0.1,13.5,0.1,13.6,0.1,7.4,0.1,6.7,0.1,8,0.1,17.2,0.1,17.6,0.1,16.8,0.1,6.9,0.1,6.8,0.1,7,0.1,2,0.1,2.5,0.1,1.5,0.1,1.1,0.1,1.5,0.1,0.7,0.1,38785474,27224,19323847,21216,19461627,16407,86.4,0.1,84.8,0.2,87.9,0.2,29.9,0.2,27.2,0.2,32.5,0.2,43237594,26105,21328302,20151,21909292,17553,87.2,0.1,85.9,0.2,88.5,0.1,29.5,0.1,29,0.2,30.1,0.2,72167164,30974,35010496,20151,37156668,19466,87,0.1,86.5,0.1,87.4,0.1,28.6,0.1,30.7,0.1,26.6,0.1,34760527,15554,14844129,8974,19916398,10899,72.5,0.1,73.3,0.2,71.8,0.2,18.4,0.1,24.3,0.1,14,0.1,23.6,0.2,19,0.2,28,0.2,11.2,0.1,8.9,0.1,13.3,0.1,7.7,0.1,5.9,0.1,9.2,0.1,3.9,0.1,3.5,0.1,4.3,0.1,2.9,0.1,2.6,0.1,3.1,0.1,31788,43,38514,128,25736,51,18435,119,22138,104,13076,132,25829,56,31683,65,20179,65,31566,58,39601,177,25736,79,43954,153,53693,328,36250,116,57585,305,71918,212,47319,196,2.7,(X),(X),(X),(X),(X)
0500000US34005,34005,"Burlington County, New Jersey",35460,607,17826,366,17634,432,9.8,2.4,11.4,3.7,8.2,3.3,39.3,4.4,40.1,5.9,38.6,6.3,39.7,4.4,41.2,5.9,38.2,6.3,11.1,2.3,7.3,2.8,15,3.7,293085,624,138834,562,154251,570,0.5,0.3,0.3,0.3,0.7,0.4,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.3,0.2,0.4,0.2,1.3,0.3,1.2,0.6,1.4,0.3,1.2,0.3,1.3,0.6,1,0.4,1.7,0.4,1.6,0.5,1.8,0.5,1.6,0.3,1.5,0.4,1.6,0.5,1.9,0.4,2,0.6,1.9,0.5,30.9,1.6,28.8,2.1,32.8,1.8,6.3,0.8,6.2,1.1,6.3,1,13.2,1.1,14.2,1.5,12.2,1.4,7.8,0.8,7.3,1.2,8.3,1.2,23.3,1.3,23.5,1.6,23.2,1.8,7.4,0.7,8.1,0.9,6.7,0.8,1.8,0.3,2.4,0.5,1.3,0.3,0.6,0.2,1,0.4,0.3,0.2,51826,784,25453,555,26373,454,93,1.8,91.6,2.9,94.4,2.8,43.6,4.5,39.8,5.5,47.2,5.2,72348,940,34834,749,37514,539,95.2,1.3,94,2.4,96.2,1.4,36.4,3.4,35.6,4.6,37.2,4.2,115172,989,55872,747,59300,550,94.1,1.1,94.4,1.3,93.8,1.5,32.8,2.2,37,2.7,28.9,2.7,53739,327,22675,279,31064,165,78.8,2.3,81.1,3.5,77,2.9,19.5,2.3,24.2,4.1,16.1,3.1,12.3,3.6,13.5,5.7,11.2,3.9,4.9,1.5,4.1,1.8,5.5,1.7,3.6,1.3,3.3,1.5,3.9,1.6,2,1,1.5,0.8,2.5,1.4,1.8,1.3,0.5,0.6,3.5,2.8,42121,989,51902,1417,33090,2139,24875,4677,33088,9625,20833,4976,34424,2170,44124,3459,26546,1325,39638,2780,48594,4245,30746,1522,52256,1942,69365,5246,42940,3108,70556,4440,81230,3889,58125,4977,2,(X),(X),(X),(X),(X)
0500000US34007,34007,"Camden County, New Jersey",47408,455,24347,340,23061,179,19.8,3.2,19.5,4.4,20,4.3,37,4.1,42.7,6.1,31,5.6,31.3,3.9,28.8,5.7,34,5.1,11.9,2.7,9,3.2,15,4,325958,438,151517,394,174441,166,0.6,0.2,0.7,0.3,0.5,0.2,0.7,0.3,0.8,0.5,0.7,0.3,0.9,0.2,1,0.4,0.8,0.3,2,0.3,1.8,0.4,2.1,0.4,2.2,0.4,2.5,0.7,1.9,0.7,2.8,0.4,2.5,0.6,3.1,0.6,3,0.5,2.9,0.9,3.1,0.7,3,0.5,2.9,0.7,3.1,0.7,33.2,1.3,31.7,1.8,34.4,1.8,5.9,0.7,5.7,0.9,6.2,0.9,10.6,1,10.1,1.1,11,1.4,7,1,5.8,1.2,8,1.2,19,0.9,20.9,1.6,17.4,1.2,5.8,0.6,5.9,0.9,5.7,0.8,2.4,0.4,3.4,0.6,1.6,0.5,0.8,0.2,1.3,0.4,0.4,0.2,60423,413,29018,413,31405,2,87.4,2.4,86.6,3.3,88.2,3.2,31.2,3.3,31.1,5,31.3,3.9,77888,79,37316,4,40572,79,88.1,1.9,86.8,2.7,89.3,2,28.8,2.8,27.7,3.6,29.8,3.3,127948,187,60759,161,67189,99,87.6,1.7,87.7,2.4,87.4,2.3,32.3,2.3,37.1,2.8,27.9,2.7,59699,152,24424,129,35275,138,71.8,2.2,72.3,3.2,71.4,3.4,14.9,2.2,23.3,4.1,9.1,1.8,22.8,3.3,15.9,3.7,28.8,5.4,10.7,1.7,6.8,1.8,13.8,2.4,5.7,1.8,4.3,2,6.8,2.7,3,1.1,1.2,0.8,4.8,2.2,2.3,1.2,2.4,1.6,2.2,1.6,35971,747,42641,1857,28233,2018,19592,1838,23856,3181,11876,1582,26371,1674,35929,1925,19994,1792,36152,1638,42348,2307,30084,2836,49240,3120,56418,2012,39482,2709,70755,4143,90434,6344,52077,4488,3.1,(X),(X),(X),(X),(X)
0500000US34015,34015,"Gloucester County, New Jersey",25065,828,13050,619,12015,560,7.5,2.6,7.2,3.7,7.7,4.1,38,8.2,39.1,9.5,36.7,10.1,44.4,7.6,45.8,10.2,42.8,9.1,10.2,3,7.9,3.5,12.8,5.1,178988,829,84186,685,94802,605,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0,0.2,0.3,0.2,0.3,0.2,0.2,0.2,0.4,0.3,2,0.5,1.9,0.7,2,0.6,1.3,0.4,1.3,0.6,1.3,0.6,2.3,0.5,2.9,0.9,1.7,0.6,2,0.5,1.6,0.6,2.3,0.7,2.5,0.6,3.2,1,1.8,0.6,37.3,1.9,37.1,2.7,37.5,2.6,7.1,1.2,7.6,1.7,6.6,1.3,12,1.3,12.9,1.9,11.2,1.4,7.7,1.3,5.6,1.2,9.5,2.1,17.7,1.4,17.6,1.7,17.8,1.8,5,0.8,4.8,1.1,5.2,1,1.9,0.4,2.3,0.7,1.5,0.5,0.6,0.3,0.9,0.5,0.4,0.3,33873,1009,15942,882,17931,615,94,2,94.5,2.8,93.6,2.9,33.5,4.2,29.5,5.9,37.1,4.9,44628,915,21478,643,23150,561,93.6,1.8,90.5,3.4,96.5,1.9,27.9,3.2,26.3,5.1,29.3,4.2,69770,945,33851,621,35919,504,91.5,1.6,90.3,2.7,92.7,1.7,25.9,2.4,28.4,3.6,23.6,2.8,30717,670,12915,517,17802,392,73.1,3.6,74.7,5.7,71.9,4.1,10.8,2.6,12.3,4.1,9.7,3.2,9.2,3.1,5.4,3.5,13,4.4,5.8,1.5,4.3,1.8,7.1,2.2,5,1.6,2,1.2,7.5,2.8,1.9,1.4,0.9,1.1,2.7,2.4,2.8,2.4,4.2,4.5,1.3,1.6,41274,955,51134,1243,30050,1508,33511,4922,36407,2655,22454,11954,33118,3045,45749,2726,22054,1282,38073,5119,51026,3196,29555,1555,51446,2907,67112,5081,41344,2886,66358,3968,76997,10015,55757,10625,1.3,(X),(X),(X),(X),(X)
0500000US34021,34021,"Mercer County, New Jersey",28817,303,14960,335,13857,129,19.5,4.1,24.9,6,13.6,5.3,30.4,5.5,25.5,6.7,35.7,8.4,35.7,6.5,35.3,8.1,36.2,7.9,14.4,3.6,14.2,5,14.5,5.1,229063,316,107908,334,121155,103,0.9,0.4,0.6,0.5,1.1,0.5,0.6,0.4,0.6,0.5,0.7,0.4,1.9,0.5,2.6,1,1.3,0.5,2.1,0.5,2,0.7,2.2,0.7,1.2,0.4,0.7,0.5,1.7,0.6,2.8,0.8,3.2,1.2,2.4,0.8,2.9,0.7,2.9,1.1,2.9,0.8,2,0.5,1.8,0.6,2.3,0.9,26.5,1.9,25.6,2.6,27.4,2.1,5.1,0.7,5.4,1.2,4.9,0.9,10.1,1,10.3,1.5,10,1.2,6,0.9,4.3,1,7.6,1.3,20.3,1.3,20.4,1.9,20.2,1.8,11.9,1.2,12.4,1.8,11.4,1.3,2.3,0.5,2.8,0.8,1.8,0.6,3.2,0.6,4.4,0.8,2.2,0.8,43227,352,21484,323,21743,99,85.8,3,82.4,4.4,89.2,3.8,43.4,4.3,38.5,6.3,48.3,5.5,54724,560,26341,155,28383,529,87.5,3.1,85.2,4.1,89.6,3.6,38.6,3.8,36.8,4.7,40.1,4.9,90583,767,43753,284,46830,713,90.1,1.7,91.1,2.5,89.2,2.6,42.1,2.8,46.4,3.4,38,3.4,40529,633,16330,292,24199,548,72,3.7,75.1,4.8,69.9,4.6,20.6,2.5,30.1,4.6,14.2,2.6,15.3,3.7,6.3,3.5,23.3,6.2,7.2,2,7.4,3.1,7.1,2.3,6.4,1.7,5.9,3.3,6.7,2.6,2.9,1.2,2.9,1.7,2.8,1.7,3.7,2.1,2.9,2,4.7,2.9,41231,971,48965,4743,35745,1663,21405,2789,22334,2890,20036,5019,31353,1378,34244,3564,27494,4330,41029,1456,44805,3587,37763,2899,55005,4965,68305,5914,42036,3004,72000,6831,97230,10239,51307,2616,2.5,(X),(X),(X),(X),(X)
0500000US42017,42017,"Bucks County, Pennsylvania",46552,793,23867,416,22685,658,11.9,1.9,14.1,3.3,9.6,2.2,35,4.1,36.1,4.9,33.8,5.8,39.8,3.8,37.7,5.3,42,5.1,13.3,2.3,12.1,3.4,14.5,3.3,419393,792,204359,474,215034,681,0.3,0.1,0.2,0.1,0.4,0.3,0,0.1,0,0.1,0.1,0.1,0.4,0.2,0.3,0.2,0.5,0.3,1.3,0.2,1,0.4,1.5,0.4,0.8,0.2,1,0.3,0.6,0.2,1.4,0.3,1.2,0.3,1.5,0.4,1.5,0.3,1.7,0.5,1.3,0.4,1.8,0.4,1.5,0.4,2.1,0.6,33.3,1.3,31.8,2,34.7,1.5,6.3,0.6,5.7,0.7,6.9,0.9,10.9,0.7,11.4,1,10.4,1,7.4,0.6,6.8,0.8,8,0.9,21.6,1.1,22.3,1.8,21,1.2,8.9,0.6,9.8,0.9,8,0.7,2.3,0.4,2.9,0.5,1.8,0.4,1.6,0.3,2.2,0.5,1.1,0.3,67627,1223,34200,401,33427,1178,95.3,1.2,95.3,1.8,95.4,2,40.5,3.4,33.5,4.6,47.6,4.1,98566,1284,48790,447,49776,1213,96.1,1.1,95.4,1.6,96.9,1.3,38.5,3.2,38,4.1,39.1,3.6,177220,1459,87161,771,90059,1010,94.3,1,94.9,1.1,93.8,1.3,35.5,1.8,40.9,2.5,30.3,2.3,75980,744,34208,533,41772,430,80.8,2.3,82.6,3.4,79.3,2.4,21.7,2.3,31.2,3.5,14,2.3,8.7,3.6,8.6,4.5,8.8,3.9,9.3,1.8,8.3,2.4,10.2,2.2,3.7,1.1,2,0.8,5.3,1.8,2.4,0.8,2.4,1.1,2.3,1.1,2.1,1.1,1.4,1,3,2.2,40899,604,50368,895,31145,791,24590,2797,31361,4157,19419,5543,31202,945,39631,3949,23820,2359,40042,1800,46950,2050,29446,2993,53000,3435,66496,2302,36948,2724,66596,4416,82029,6012,54242,6331,1.8,(X),(X),(X),(X),(X)
0500000US42029,42029,"Chester County, Pennsylvania",37492,814,18579,429,18913,693,17.2,5.1,19.7,6.7,14.8,5,25.2,4,26,5.1,24.4,5.1,41.5,4.7,40,5.7,43.1,6.5,16,3.7,14.4,3.9,17.7,5.5,305340,814,148189,450,157151,680,0.2,0.1,0.3,0.2,0.2,0.1,0.2,0.1,0.3,0.2,0.2,0.2,0.7,0.3,0.9,0.4,0.6,0.3,1.5,0.3,1.5,0.5,1.4,0.5,1.4,0.4,1.5,0.5,1.3,0.4,1.2,0.3,0.9,0.3,1.4,0.5,1.4,0.3,1.2,0.4,1.6,0.5,2,0.5,1.6,0.7,2.5,1,25.1,1.2,24.1,1.6,26,1.5,4.7,0.6,4.2,0.7,5.2,0.7,9.8,0.7,10,1.1,9.6,1.2,5.8,0.6,4.8,0.8,6.8,0.9,27.7,1.4,28.1,1.7,27.2,1.8,12.6,0.8,13.4,1.2,11.9,1.1,3.2,0.4,3.8,0.6,2.7,0.5,2.4,0.4,3.4,0.7,1.5,0.4,52463,1124,26522,584,25941,943,93.1,2.1,93.4,2.4,92.7,3.2,53.6,3.7,49.4,4.7,57.9,5,73180,961,35832,352,37348,833,92.5,2,90.5,3.4,94.4,1.9,52.4,2.8,51.1,3.3,53.7,3.8,127200,766,62475,286,64725,708,92.9,1.4,93.5,1.2,92.4,2.3,44.9,2,49.5,2.7,40.3,2.6,52497,402,23360,288,29137,228,84.1,1.6,87.6,2.1,81.4,2.6,31.8,3,42,4.5,23.7,3.5,15.1,4,11.8,3.8,17.8,6,5.8,1.5,5.6,2.3,5.9,1.5,3.6,1.1,3.4,1.6,3.8,1.5,1.7,0.7,0.9,0.7,2.4,1.2,2,1,1.8,1.5,2.3,1.2,44135,1678,57122,3288,32904,1692,22148,2061,26130,3555,16761,4033,31867,1622,41072,2174,23605,1357,39108,2534,47353,2788,31656,1943,59934,3418,76346,8210,40228,2288,75448,6252,99275,8097,53779,2334,1.6,(X),(X),(X),(X),(X)
0500000US42045,42045,"Delaware County, Pennsylvania",42794,366,22312,285,20482,231,16.6,2.9,18.3,3.3,14.9,4.5,33.7,3.4,34,5.2,33.4,5.6,32.2,3.1,31.6,4.8,33,4.6,17.4,2.8,16.1,4.4,18.7,4,355992,366,165554,329,190438,299,0.5,0.2,0.7,0.4,0.4,0.2,0.2,0.1,0.1,0.1,0.3,0.2,0.7,0.2,0.4,0.2,0.9,0.3,1.4,0.3,1.2,0.4,1.6,0.5,1.1,0.3,1.3,0.5,1,0.4,2.2,0.5,2.1,0.6,2.2,0.7,2.1,0.3,2.1,0.6,2.1,0.4,3.4,0.8,3.5,1,3.3,1,31.9,1.4,30.1,2.1,33.6,1.6,5.9,0.6,5.4,0.7,6.2,0.8,9.7,0.8,9.6,1.1,9.7,0.9,6.9,0.7,6.4,1.2,7.4,0.8,20,0.9,21.4,1.3,18.8,1.2,9.1,0.7,8.9,1,9.3,0.9,2.8,0.4,4,0.8,1.8,0.5,1.9,0.4,2.5,0.6,1.4,0.4,58125,411,28155,325,29970,282,93,2.2,91.2,3.9,94.8,2,40.5,3,39.4,4.1,41.5,4.3,81873,856,39346,878,42527,329,92.5,2,93,2.3,92.1,2.9,38.5,2.5,38.3,4,38.7,3.6,141418,813,67669,908,73749,331,91.6,1.5,91,1.9,92.2,1.8,35.8,2,39,2.8,32.8,2.6,74576,220,30384,106,44192,218,73.8,3.6,74.2,4.4,73.6,4,20,2.2,27.7,3.8,14.8,2.1,21.1,3.7,18.4,4.7,23.4,5.1,10.5,1.7,9.4,2.3,11.4,2.1,5.6,1.3,4.8,1.8,6.1,1.7,2.5,0.9,2.5,1.4,2.5,1.2,2,0.9,1,0.8,3,1.5,37198,865,46790,1621,30788,1341,20344,3723,22280,3793,16536,3963,27258,1226,35852,2006,21890,1551,35611,897,42453,4789,31433,2207,51028,1308,63470,3937,39742,2402,62768,4418,81457,5506,50821,3242,2.6,(X),(X),(X),(X),(X)
0500000US42091,42091,"Montgomery County, Pennsylvania",54776,*****,28507,3,26269,242,13.5,2.3,16.6,3.4,10.2,3.1,33.7,3.5,36.5,5,30.7,4.8,36.8,4.4,35.4,5.2,38.2,5.8,16,2.3,11.4,2.8,20.9,3.4,517403,*****,246082,341,271321,340,0.3,0.1,0.3,0.2,0.3,0.2,0.2,0.1,0.1,0.1,0.3,0.1,0.4,0.1,0.4,0.2,0.5,0.2,1.1,0.2,1,0.3,1.2,0.3,0.9,0.2,0.8,0.3,1,0.3,1.6,0.3,1.7,0.4,1.6,0.4,1.1,0.2,1.1,0.3,1.1,0.3,1.6,0.3,1.4,0.3,1.9,0.4,28.3,1.4,26.3,1.5,30.1,1.8,5,0.5,3.9,0.7,6,0.8,10.2,0.7,10.6,1.1,9.8,0.9,6.1,0.5,5.5,0.7,6.7,0.7,24.5,1.1,26,1.4,23.2,1.4,12.2,0.7,11.9,0.9,12.4,0.9,4,0.4,5.4,0.6,2.7,0.5,2.4,0.3,3.7,0.6,1.2,0.3,85326,*****,42592,4,42734,3,95.4,0.9,93.8,1.3,97,1,52.4,4.2,49.6,4.7,55.2,4.8,119701,383,58101,4,61600,383,96.3,0.8,96.1,1.2,96.6,1.1,47.8,2.7,47.6,3.2,47.9,3.4,206629,544,99909,197,106720,646,95.4,0.8,95.7,0.9,95.1,1.1,44.5,1.9,48.5,2.5,40.8,2.4,105747,389,45480,243,60267,296,81,1.7,83.7,2.5,79,2.2,27.3,1.9,40.1,2.9,17.6,2.2,11.3,2.6,9.7,3.7,12.5,3.4,5.5,1.1,5.1,1.5,5.7,1.3,3,0.8,2,1,3.8,1.1,3.5,1.3,2.6,1.2,4.5,2,1.6,0.7,1.3,0.7,2,1.1,42256,759,51504,659,33373,1563,22118,2343,26400,5009,19227,3265,31509,891,38324,1672,26058,1429,37418,2026,45830,2115,30128,2165,51909,1044,62188,3607,40507,2000,71878,1747,88593,6851,56575,3242,1.9,(X),(X),(X),(X),(X)
0500000US42101,42101,"Philadelphia County, Pennsylvania",130743,439,63116,194,67627,255,19.4,2.2,22.6,3,16.4,3.3,38.5,3.1,38.5,4.8,38.6,4.5,28,2.6,30.5,4.8,25.7,3.1,14.1,1.8,8.4,2.4,19.3,2.7,905287,555,400444,542,504843,333,1.2,0.3,1.4,0.4,1.1,0.3,0.9,0.2,1.2,0.4,0.7,0.2,1.6,0.2,1.8,0.4,1.4,0.3,2.5,0.4,2.1,0.5,2.8,0.5,2.7,0.4,2.5,0.5,2.8,0.5,4,0.4,4.2,0.6,3.8,0.4,5.3,0.6,4.9,0.8,5.7,0.8,3.3,0.4,3.1,0.6,3.4,0.5,36.2,1.1,35.2,1.4,37.1,1.4,5.6,0.5,5.2,0.7,6,0.7,10,0.6,10.4,1.1,9.7,0.8,5,0.4,4.4,0.7,5.5,0.6,12.2,0.6,13.4,0.9,11.2,0.7,6,0.5,6,0.7,6.1,0.7,2.1,0.3,2.6,0.4,1.8,0.3,1.3,0.2,1.7,0.3,0.9,0.2,194635,520,90112,408,104523,228,87.4,1.9,86.8,3.1,88,2.1,34,2,33.8,2.4,34.2,3.2,200704,321,93701,172,107003,254,83.9,1.6,84.3,2.3,83.5,2.4,21.4,2,24.1,2.7,19.1,2.4,331616,581,149471,394,182145,359,81,1.6,80.3,2.1,81.6,1.8,20,1.3,21.5,2.2,18.7,1.4,178332,321,67160,303,111172,254,58,2.1,57.3,2.8,58.5,2.7,11.4,1.4,14.3,2,9.6,1.6,33.3,2.2,26.3,3.2,38.7,3,19.3,1.8,13.7,2.2,23.4,2.3,14.9,1.8,12.2,2.3,16.8,2.5,7.7,1.4,7,2.2,8.4,1.7,7.4,2.1,8.1,3.3,6.8,2.2,30460,631,33793,1595,27116,845,19777,1541,23642,1821,14672,2097,25677,990,29509,1783,22331,1560,31439,1457,35343,2532,28349,2041,41224,1526,46523,4638,37349,3147,47088,2361,52716,4549,44186,3896,5,(X),(X),(X),(X),(X)
