GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC03_EST_VC14,HC03_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC02_EST_VC21,HC02_MOE_VC21,HC03_EST_VC21,HC03_MOE_VC21,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC03_EST_VC22,HC03_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC03_EST_VC23,HC03_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC03_EST_VC24,HC03_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC03_EST_VC25,HC03_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC03_EST_VC26,HC03_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC03_EST_VC27,HC03_MOE_VC27,HC01_EST_VC29,HC01_MOE_VC29,HC02_EST_VC29,HC02_MOE_VC29,HC03_EST_VC29,HC03_MOE_VC29,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC03_EST_VC30,HC03_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC03_EST_VC31,HC03_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC03_EST_VC32,HC03_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC03_EST_VC33,HC03_MOE_VC33,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC03_EST_VC35,HC03_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC03_EST_VC36,HC03_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC03_EST_VC37,HC03_MOE_VC37,HC01_EST_VC38,HC01_MOE_VC38,HC02_EST_VC38,HC02_MOE_VC38,HC03_EST_VC38,HC03_MOE_VC38,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC03_EST_VC39,HC03_MOE_VC39,HC01_EST_VC40,HC01_MOE_VC40,HC02_EST_VC40,HC02_MOE_VC40,HC03_EST_VC40,HC03_MOE_VC40,HC01_EST_VC42,HC01_MOE_VC42,HC02_EST_VC42,HC02_MOE_VC42,HC03_EST_VC42,HC03_MOE_VC42
0100000US,,United States,29820815,43492,15389806,26575,14431009,23506,17.1,0.1,19.7,0.2,14.3,0.1,33.3,0.1,35.7,0.2,30.8,0.2,40.7,0.1,37.5,0.2,44.1,0.2,8.9,0.1,7.1,0.1,10.8,0.1,197892369,69080,95390158,37815,102502211,38338,6.4,0.1,6.6,0.1,6.2,0.1,9.1,0.1,9.5,0.1,8.8,0.1,30.1,0.1,30.1,0.1,30.2,0.1,19.5,0.1,18.9,0.1,20,0.1,7.4,0.1,6.7,0.1,8.1,0.1,17.4,0.1,17.5,0.1,17.2,0.1,10.1,0.1,10.7,0.1,9.6,0.1,84.5,0.1,83.9,0.1,85,0.1,27.5,0.1,28.2,0.1,26.7,0.1,39987053,38223,20306633,24914,19680420,22739,86.3,0.1,84.2,0.2,88.4,0.1,29.1,0.1,25.7,0.2,32.7,0.2,43410417,31589,21735375,21151,21675042,17569,87.2,0.1,85.6,0.1,88.8,0.1,30.4,0.1,29.1,0.2,31.8,0.2,76654341,40164,37411005,24235,39243336,21436,87.2,0.1,86.6,0.1,87.9,0.1,28.9,0.1,30.3,0.1,27.6,0.1,37840558,17617,15937145,9686,21903413,11095,74,0.1,75,0.1,73.2,0.1,19.3,0.1,25.3,0.1,15,0.1,23.3,0.2,19,0.2,27.4,0.2,11.3,0.1,9.1,0.1,13.4,0.1,7.6,0.1,5.7,0.1,9.1,0.1,3.9,0.1,3.5,0.1,4.3,0.1,2.8,0.1,2.5,0.1,3.1,0.1,33452,65,40481,53,27276,46,19405,84,22602,137,14202,116,26894,52,32435,63,21219,54,32874,82,41035,83,27046,69,46805,103,57397,227,38628,156,61287,113,77219,347,50937,133,3.5,(X),(X),(X),(X),(X)
0500000US34005,34005,"Burlington County, New Jersey",38373,417,21291,417,17082,4,18.7,2.8,23.8,4.4,12.4,3.9,31.6,3.8,30.4,4.8,33,4.9,38.7,3.9,37.5,5.4,40.3,5.2,11,2.3,8.3,3.1,14.3,3.4,304787,648,147118,570,157669,334,2.8,0.4,2.8,0.6,2.8,0.6,6.4,0.6,6.8,1,6,0.9,30.5,1.4,30.3,2,30.6,1.8,19.1,1.2,18.6,1.5,19.5,1.7,7.5,0.6,5.7,0.9,9.2,0.9,21.6,1,23.3,1.5,20.1,1.4,12.1,0.9,12.4,1.2,11.9,1.1,90.8,0.7,90.4,1.1,91.2,1,33.8,1.3,35.7,1.6,32,1.7,55923,384,29148,384,26775,4,91.9,1.9,89.9,2.8,94.1,2.1,36.8,3.8,30.6,4.6,43.7,5.5,70656,208,35149,207,35507,156,95.5,1.3,93.3,2.2,97.7,1.1,40.3,2.8,40.8,3.9,39.7,3.4,120118,603,58858,410,61260,411,92.3,1.1,91.7,1.7,92.9,1.4,34.9,1.9,38.2,2.4,31.8,2.4,58090,510,23963,298,34127,386,81,1.9,83.4,3,79.2,2.6,20.6,2.4,28,3.9,15.3,3,15.1,3.9,10.9,3.7,18.8,6.2,5.2,1.3,3.6,1.4,6.6,1.8,3.5,1.1,2.1,1.6,4.7,1.7,2,0.9,1.8,1.2,2.3,1.4,0.6,0.4,0,1,1.2,0.9,45060,1612,51951,987,35375,1488,21699,2526,24002,5611,18104,6560,33046,2603,41137,1633,26455,1777,40727,1891,50430,1482,33126,2787,60616,2125,78110,6633,45107,2980,72830,4978,88039,4178,60230,5525,2.8,(X),(X),(X),(X),(X)
0500000US34007,34007,"Camden County, New Jersey",47132,356,24468,339,22664,64,20.6,2.7,23.3,3.8,17.7,3.8,34.6,3.9,35.9,4.9,33.2,5.7,34.2,3.5,32.8,4.3,35.7,6.1,10.6,2.7,8,2.7,13.4,4.2,338088,333,159067,312,179021,126,5.7,0.7,6.5,0.9,5,0.9,10.1,0.9,10.4,1.2,9.8,1.1,35.1,1.3,35.5,2,34.8,1.7,17.3,1,15.5,1.4,18.9,1.3,6,0.7,4.6,0.7,7.3,1,16.4,0.9,17.1,1.2,15.8,1.2,9.3,0.7,10.3,1,8.3,0.8,84.2,1,83.1,1.4,85.1,1.2,25.7,1.1,27.5,1.4,24.2,1.3,64523,321,31936,280,32587,132,85.1,2.5,82.3,3.2,87.9,3.1,27.7,2.6,25,3.5,30.3,3.2,76327,170,37096,133,39231,121,91.8,1.3,91.4,2,92.1,2,27.5,2.6,26.4,3.2,28.6,3.8,134311,160,64408,203,69903,160,86,1.6,84.3,2.3,87.6,1.8,28.1,1.8,30.4,2.4,25.9,2.2,62927,174,25627,177,37300,44,70,2.9,69,4.3,70.8,3.6,16.5,2.2,24.6,3.8,10.9,2.1,21.7,3.4,15.7,3.6,27.8,5.2,8.7,1.4,7.1,1.9,10.1,2,6.9,1.3,4.4,1.8,8.6,1.8,2.1,1,2,1.3,2.1,1.3,3.2,1.5,3.6,2.3,2.9,1.7,39105,1412,46194,1750,31640,1072,20896,2253,24507,2790,16337,2263,31784,1239,37713,1909,25418,1431,37033,2564,49646,3333,30509,1581,55130,2755,63103,4500,45073,2339,70546,3716,80464,4375,60218,5365,5.4,(X),(X),(X),(X),(X)
0500000US34015,34015,"Gloucester County, New Jersey",30256,808,14957,725,15299,436,8.5,2.6,10.7,3.5,6.3,3,38.9,5.4,37.5,7.2,40.4,6.8,44.1,5.5,45.2,7.6,43,7.2,8.5,2.4,6.7,3.1,10.3,3.5,188358,812,89860,792,98498,502,3.5,0.8,4.2,1.2,2.8,0.9,8.5,1,9.8,1.6,7.5,1.3,37.7,1.8,35.6,2.5,39.6,2.4,18.1,1.4,19.5,1.9,16.9,1.9,7,1,5.7,1.4,8.1,1.5,18.2,1.3,17.9,2.1,18.4,1.5,7,0.9,7.2,1.2,6.7,1.3,87.9,1.2,86,2,89.7,1.6,25.1,1.5,25.2,2.4,25.1,1.8,35131,1135,17733,849,17398,648,93.2,2.4,91.8,3.7,94.5,3.3,30.9,4.5,28.6,6.9,33.3,4.9,44115,1006,21396,526,22719,776,93.8,2,91,3.5,96.4,1.8,32.6,3.7,28.3,4.2,36.8,5.1,76320,818,37417,610,38903,594,89.9,1.7,87,2.8,92.7,2.2,24.7,2.4,26.8,2.9,22.7,2.9,32792,383,13314,192,19478,261,69.9,3.2,67.6,5.5,71.6,4.6,9.9,2.3,10.9,3.1,9.2,2.9,18.6,4.9,15.5,6.1,22.6,7.9,6.6,1.8,6.6,3.3,6.7,2,3.7,1.4,2.4,1.7,5,2.1,1.3,1,1.5,1.8,1.1,0.9,0,1.3,0,2.7,0,2.6,43583,2618,51588,1687,36910,1791,35204,6896,41087,4693,15219,6288,36395,1534,43017,4093,30009,2204,42429,2591,52062,2992,36148,3010,58797,4136,67664,8724,50654,1667,70369,6550,82157,8872,60556,6428,4.1,(X),(X),(X),(X),(X)
0500000US34021,34021,"Mercer County, New Jersey",40495,160,20435,116,20060,192,13.6,3,16.1,5.1,11,3.8,41.3,4.8,41.4,7.8,41.3,7.7,33.9,4.6,29.4,5.6,38.5,7.7,11.2,3.1,13.1,4.8,9.3,3.3,240790,204,116344,168,124446,195,5.4,0.9,6.4,1.4,4.5,0.8,7.3,0.9,7.6,1.4,7,1.2,27.3,1.7,27.7,2.5,26.9,1.9,15.9,1.4,15.3,1.9,16.6,1.7,6.3,0.8,5.1,1.1,7.4,1.3,20,1.3,19.3,1.7,20.7,1.7,17.8,1.4,18.6,1.6,16.9,1.7,87.3,1.4,86,2,88.6,1.4,37.8,1.6,37.9,1.8,37.7,2,47798,4,25492,4,22306,2,85.6,3.3,81.5,4.8,90.3,3.6,34.8,3.1,28.5,3.8,42,4.4,54893,248,27299,191,27594,179,91.4,2.3,89.7,3.2,93.1,2.6,42.8,3.4,41,4,44.7,4.6,94318,450,45635,419,48683,122,91.1,1.7,91,2.5,91.1,2.2,42,2.5,43.5,3.1,40.5,2.9,43781,425,17918,414,25863,125,76,3.4,73.9,5.6,77.5,3.9,25.6,2.6,32.4,4.4,21,3.4,16.3,3.3,17,5,15.5,5.1,9.7,2.2,7.9,3.3,11.4,3.2,4.1,1.4,2,1.3,5.7,2.3,2.1,1,0.4,0.6,3.5,1.7,4.1,1.9,4.4,2.6,3.8,2.7,43260,2100,51116,1355,36742,2605,19760,3231,19402,3585,20332,5965,30812,1411,34917,5075,26658,2411,39464,3432,48632,3302,35141,4016,57410,7419,72638,8342,45245,3483,84834,4815,"100,000+",***,62981,6955,4.6,(X),(X),(X),(X),(X)
0500000US42017,42017,"Bucks County, Pennsylvania",54346,1067,28321,1020,26025,601,19.2,3.4,22.7,6.7,15.5,4,29.2,3.6,30.4,5.8,28,4.4,38.7,3.8,37.9,6,39.5,5.4,12.9,2.6,9,3,17,4,423692,1084,205230,1082,218462,644,3.4,0.5,3.7,0.8,3,0.7,6.7,0.6,6.2,0.7,7.2,0.8,30.8,1.3,29.6,1.7,32,1.6,17.9,1.1,18.2,1.5,17.6,1.2,7.4,0.5,6.2,0.8,8.4,0.8,20.3,1,21.3,1.4,19.4,1.2,13.5,0.8,14.7,1.1,12.4,1,89.9,0.7,90.1,1,89.8,0.9,33.9,1.3,36.1,1.6,31.8,1.6,62252,1302,31747,1306,30505,696,93.3,1.3,92.8,2.3,93.8,2.2,42.9,3.8,36.9,4.2,49.2,4.8,93465,1334,45874,778,47591,912,90.8,2.4,89.2,4.1,92.3,2.5,38.4,2.7,38.2,3,38.6,3.7,184044,1324,91084,883,92960,875,93.9,1,93,1.6,94.7,1.2,34.5,1.7,37.5,2.3,31.5,2.3,83931,688,36525,564,47406,318,77.9,1.9,81.6,2.5,75,2.2,20.8,2,29.1,2.8,14.4,2.4,19.3,3.6,23.6,6,15.4,3.7,4.2,1.1,3.3,1.3,5.1,1.4,3.1,0.8,2.2,0.9,4,1.2,1.4,0.7,0.8,0.4,2.1,1.3,1.5,0.8,0.9,1,2.1,1,41571,708,51454,809,32295,1097,17203,2656,21820,7039,13606,2538,33221,1903,41724,1320,25124,1863,39426,1767,48128,3191,32290,1823,53960,3725,69028,3431,42475,2360,72287,3120,88646,8438,58767,5098,1.3,(X),(X),(X),(X),(X)
0500000US42029,42029,"Chester County, Pennsylvania",45789,706,22858,290,22931,664,10.5,2,14.6,3.1,6.4,2.4,29.4,3.5,32.9,5.4,25.9,4.3,46.2,4.4,44,6.5,48.5,5.6,13.9,2.4,8.5,2.6,19.2,4.4,321210,718,155831,385,165379,688,2.9,0.5,3,0.6,2.9,0.7,4.3,0.6,4.4,0.8,4.2,0.8,24,1.1,23.1,1.4,24.8,1.6,14.6,1,13.7,1.1,15.4,1.5,6.2,0.6,5.7,0.9,6.7,0.8,29,1.1,29.8,1.7,28.3,1.6,18.9,1,20.2,1.3,17.7,1.3,92.7,0.8,92.6,1,92.9,1,47.9,1.3,50,1.6,46,1.9,54379,828,27256,482,27123,779,94.6,1.5,92.2,2.3,97,1.5,55.9,3.4,48,4.4,63.9,5.1,71536,706,35782,495,35754,468,95.6,1.2,95.7,1.7,95.6,1.5,54.5,2.5,53.3,2.9,55.8,3.8,136705,645,67337,440,69368,483,94.5,1,94.2,1.4,94.8,1.3,49.3,2.1,53.5,2.7,45.3,2.7,58590,437,25456,251,33134,309,83.3,2.4,84.4,3.2,82.4,3.4,29.2,2.4,38.3,3.5,22.2,2.7,17.3,3.9,13.3,4.1,21.5,5.7,7.9,1.7,7.9,2.5,7.9,2.2,2.6,1,1.6,0.9,3.4,1.6,1.1,0.5,1.1,0.8,1.2,0.6,2.2,0.9,1.3,1,3.2,1.7,49563,2048,60650,2056,39195,2531,23413,2237,27528,5651,20854,916,31137,1353,37437,3825,23901,1764,42682,2169,51138,3054,35419,3406,59797,4776,81700,3126,44837,3646,83388,3637,"100,000+",***,61033,5851,3.5,(X),(X),(X),(X),(X)
0500000US42045,42045,"Delaware County, Pennsylvania",60306,323,30733,85,29573,302,12.1,2.4,13.8,3.3,10.4,2.8,31.7,3.4,33.3,4.8,30.1,4.4,44.6,4,46.1,5.9,43,4.5,11.6,1.7,6.9,1.8,16.5,3,361232,363,168718,310,192514,309,3.1,0.4,2.9,0.7,3.4,0.6,7.1,0.6,7.7,0.9,6.6,0.8,33.1,1.1,31.6,1.6,34.4,1.3,15.7,0.9,16.2,1.2,15.2,1.2,7.1,0.6,6.1,0.9,8,0.9,19.5,1.2,20.3,1.7,18.7,1.2,14.4,1,15.2,1.2,13.7,1.2,89.7,0.6,89.4,1.1,90,0.8,33.9,1.3,35.5,1.8,32.4,1.4,56098,767,28024,511,28074,500,91.9,1.8,88,3,95.7,1.7,43.4,3.3,36.1,4.7,50.7,3.9,78164,605,37876,398,40288,426,93.2,1.7,93.2,2.6,93.2,2,38.8,2.9,35.2,3.6,42.1,3.4,148851,502,71787,356,77064,337,92.1,1,91.8,1.3,92.5,1.1,34.9,1.8,38.5,2.4,31.5,2.2,78119,270,31031,197,47088,143,80.2,1.5,80.6,2.6,79.9,2.4,20.2,1.9,28.6,3,14.6,2,22.4,3.4,18.6,3.8,25.9,5.2,9.1,1.5,6.6,1.6,11.1,2,7.2,1.5,4.1,1.8,9.9,2.2,2.4,0.8,2,1.1,2.7,1.1,2.8,1.2,1.1,0.8,4.5,2.1,39666,1219,47733,2001,31682,932,20015,2713,21858,4577,15211,6019,29991,1517,39655,2462,22277,2491,36838,1726,44348,2893,30150,2547,52363,2362,66465,5429,42020,2618,62025,5041,77859,9498,51648,2468,5.4,(X),(X),(X),(X),(X)
0500000US42091,42091,"Montgomery County, Pennsylvania",64164,176,32086,160,32078,122,11.7,1.9,15.1,3.1,8.4,2.2,29.7,2.5,31.7,4.1,27.7,3.7,40.5,3.1,37.4,4.2,43.6,4.5,18.1,2.2,15.8,2.7,20.3,3.1,531856,236,254072,354,277784,263,2.3,0.3,2.1,0.5,2.6,0.4,5.9,0.4,6,0.5,5.9,0.6,27.8,0.9,26,1.2,29.5,1.2,15.2,0.8,15.9,1,14.6,1.1,6.4,0.5,5.2,0.6,7.4,0.7,24.4,0.9,25.6,1.2,23.3,1.2,18,0.6,19.3,0.9,16.8,0.9,91.8,0.5,92,0.6,91.6,0.8,42.4,1.1,44.9,1.4,40.1,1.3,81531,194,41810,193,39721,2,94.1,1.6,92.5,2,95.8,1.9,50.8,3.1,45.6,3.8,56.3,3.9,117662,415,58747,407,58915,181,95.8,0.8,94.7,1.2,96.9,1,50.4,2.2,50.4,3.2,50.4,2.9,218423,673,106234,562,112189,348,94.6,0.7,94.9,1,94.4,1.1,43.8,1.6,45.2,2,42.5,2.1,114240,456,47281,331,66959,336,80.5,1.6,81.5,2.2,79.8,2,25.5,1.6,36.8,2.9,17.5,1.5,14.5,3.7,13.8,5.5,15.1,4,5.9,1.1,5.2,1.4,6.5,1.4,4.2,0.8,3.5,1.2,4.7,1.2,2.2,0.6,1.7,0.6,2.8,1.1,1.4,0.6,1.5,0.9,1.3,0.6,43124,1441,52066,1105,35755,1056,21852,2421,26219,3226,16229,2091,30905,932,36521,1685,25130,1739,39208,1739,45851,2492,32440,1887,55115,2112,70015,3319,42850,2259,75660,2540,93641,4359,61908,3459,2.8,(X),(X),(X),(X),(X)
0500000US42101,42101,"Philadelphia County, Pennsylvania",158538,308,78187,138,80351,283,14.7,1.5,17.6,2.3,11.8,1.7,35.1,2.2,36.6,3.2,33.6,3.1,40.3,2,37.9,3.3,42.6,3,10,1.3,7.9,1.6,12,1.9,927446,309,415544,273,511902,406,5.7,0.4,5.5,0.6,5.8,0.5,15,0.7,14.5,1,15.4,1,36.8,1,36.4,1.4,37.1,1.1,15.1,0.7,15.3,1.1,15,0.9,6.3,0.5,6.1,0.7,6.5,0.7,12.4,0.7,13.4,1,11.6,0.7,8.7,0.5,8.7,0.7,8.7,0.6,79.3,0.8,79.9,1,78.8,1,21.1,0.8,22.2,1.2,20.2,0.9,190192,255,90486,236,99706,98,87.9,1.4,87,1.9,88.7,1.9,31.3,1.9,30.6,2.6,31.9,2.4,206068,341,97742,261,108326,204,84,1.5,84.3,2.3,83.7,2.2,21.2,1.7,20.8,2.5,21.6,2,344615,342,157104,203,187511,294,81.3,1.2,81.8,1.7,80.9,1.6,20,1.2,21.1,1.6,19,1.5,186571,260,70212,273,116359,272,61.8,1.9,60.5,2.7,62.6,2.3,12.6,1.1,15.6,1.9,10.8,1.4,33.1,2.2,26.8,2.9,37.8,3.1,18.4,1.3,13.9,1.8,22,1.8,13.8,1.8,11.2,2.6,15.8,2.1,7.6,1.5,5.3,1.4,9.8,2.4,6.5,1.7,5.2,2.1,7.6,2.4,31056,526,34704,1555,28183,988,19172,1090,20330,1274,17744,1856,25647,1037,30603,1509,22241,893,32067,893,36365,1991,30276,904,41859,1289,47927,3188,37640,3023,53826,3265,61523,4169,50145,2519,7.3,(X),(X),(X),(X),(X)
