GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC03_EST_VC14,HC03_MOE_VC14,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC02_EST_VC21,HC02_MOE_VC21,HC03_EST_VC21,HC03_MOE_VC21,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC03_EST_VC23,HC03_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC03_EST_VC24,HC03_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC03_EST_VC25,HC03_MOE_VC25,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC03_EST_VC27,HC03_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC03_EST_VC28,HC03_MOE_VC28,HC01_EST_VC29,HC01_MOE_VC29,HC02_EST_VC29,HC02_MOE_VC29,HC03_EST_VC29,HC03_MOE_VC29,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC03_EST_VC31,HC03_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC03_EST_VC32,HC03_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC03_EST_VC33,HC03_MOE_VC33,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC03_EST_VC37,HC03_MOE_VC37,HC01_EST_VC38,HC01_MOE_VC38,HC02_EST_VC38,HC02_MOE_VC38,HC03_EST_VC38,HC03_MOE_VC38,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC03_EST_VC39,HC03_MOE_VC39,HC01_EST_VC40,HC01_MOE_VC40,HC02_EST_VC40,HC02_MOE_VC40,HC03_EST_VC40,HC03_MOE_VC40,HC01_EST_VC44,HC01_MOE_VC44,HC02_EST_VC44,HC02_MOE_VC44,HC03_EST_VC44,HC03_MOE_VC44,HC01_EST_VC45,HC01_MOE_VC45,HC02_EST_VC45,HC02_MOE_VC45,HC03_EST_VC45,HC03_MOE_VC45,HC01_EST_VC46,HC01_MOE_VC46,HC02_EST_VC46,HC02_MOE_VC46,HC03_EST_VC46,HC03_MOE_VC46,HC01_EST_VC47,HC01_MOE_VC47,HC02_EST_VC47,HC02_MOE_VC47,HC03_EST_VC47,HC03_MOE_VC47,HC01_EST_VC48,HC01_MOE_VC48,HC02_EST_VC48,HC02_MOE_VC48,HC03_EST_VC48,HC03_MOE_VC48,HC01_EST_VC49,HC01_MOE_VC49,HC02_EST_VC49,HC02_MOE_VC49,HC03_EST_VC49,HC03_MOE_VC49,HC01_EST_VC52,HC01_MOE_VC52,HC02_EST_VC52,HC02_MOE_VC52,HC03_EST_VC52,HC03_MOE_VC52
0100000US,,United States,31209548,43704,15994990,22624,15214558,28633,15.9,0.1,18.4,0.2,13.2,0.1,29.4,0.2,32.1,0.2,26.6,0.2,45.6,0.2,42.1,0.2,49.2,0.3,9.1,0.1,7.4,0.1,11,0.2,206471670,68523,99453188,36076,107018482,40197,6,0.1,6.2,0.1,5.8,0.1,8.1,0.1,8.6,0.1,7.7,0.1,28.4,0.1,28.8,0.1,28,0.1,21.2,0.1,20.8,0.1,21.6,0.1,7.8,0.1,6.9,0.1,8.6,0.1,17.9,0.1,17.8,0.1,18,0.1,10.6,0.1,11,0.1,10.4,0.1,85.9,0.1,85.2,0.1,86.5,0.1,28.5,0.1,28.7,0.1,28.3,0.1,41540346,31959,20892342,20191,20648004,22463,87.9,0.1,86.1,0.1,89.6,0.1,31.5,0.2,27.6,0.2,35.5,0.2,40827710,28310,20308235,21030,20519475,19089,87.4,0.1,85.8,0.1,88.9,0.1,31.9,0.2,29.7,0.2,34.1,0.2,82718588,45319,40336365,28269,42382223,26294,87.8,0.1,86.9,0.1,88.7,0.1,28.6,0.1,29.1,0.1,28.1,0.1,41385026,20340,17916246,11114,23468780,12957,78.7,0.1,79.6,0.1,78,0.1,22.1,0.1,28.2,0.1,17.4,0.1,27.9,0.2,24,0.2,31.7,0.2,14.2,0.1,12.3,0.1,15.9,0.1,10.5,0.1,8.4,0.1,12.3,0.1,4.4,0.1,4,0.1,4.8,0.1,34334,85,40514,55,29132,93,18794,102,21840,98,14623,139,26699,65,31730,72,21682,71,32321,48,40248,86,27330,83,48309,199,59459,455,40645,96,64322,330,80917,240,54115,262,4.7,(X),(X),(X),(X),(X)
0500000US34005,34005,"Burlington County, New Jersey",37740,525,20805,4,16935,524,9.3,2.2,10.4,3.6,7.9,3.6,40.9,4.8,44.4,6,36.7,6.3,37.5,3.7,30.6,4.7,46,5.6,12.3,2.8,14.7,4.4,9.4,2.4,309495,525,148235,183,161260,609,2.5,0.5,2.5,0.6,2.5,0.6,5.4,0.6,5.3,0.9,5.5,0.8,30.6,1.3,30.3,1.9,30.9,1.5,19.5,1.2,19.6,1.8,19.5,1.5,7.9,0.8,6.9,0.8,8.8,1.3,22.4,1.2,22.4,1.5,22.3,1.6,11.7,0.9,13.1,1.2,10.5,1.2,92.1,0.8,92.2,1.1,92,0.9,34.1,1.3,35.5,1.6,32.8,1.7,52460,802,26889,220,25571,783,92.4,2,90.8,3,94.1,2.5,31.5,3.3,26.8,3.5,36.4,4.6,61232,661,30322,437,30910,494,93.4,2,92.4,2.5,94.3,2.4,40,3.2,37.9,4.3,42.1,4.5,132514,354,64214,364,68300,191,94.9,0.9,94.9,1.3,94.9,1.1,36.3,2.1,39,2.8,33.7,2.6,63289,122,26810,17,36479,119,84.7,1.6,87.1,2.1,83,2.2,25.9,2.2,33.1,3.3,20.6,3.1,10.7,3.3,12.3,5.5,9.5,3.6,7.1,1.4,5.7,1.9,8.2,1.7,4.5,1.2,3.9,1.5,5,1.6,1.5,0.4,1.3,0.5,1.7,0.7,46083,1099,53331,1938,39091,2166,22017,4398,26644,6213,17404,2863,34066,2350,41841,4372,28447,2438,39894,1792,46030,4248,36247,2415,62805,3589,73504,6313,53323,4283,82211,2990,100203,10080,72298,6799,4.1,(X),(X),(X),(X),(X)
0500000US34007,34007,"Camden County, New Jersey",46794,980,23815,563,22979,595,15.1,2.6,16.4,3.8,13.7,3.5,34.2,3.5,40.1,5.4,28.1,5,41.9,3.7,35.8,4.6,48.1,5.4,8.8,2.1,7.7,3,10.1,2.4,343288,972,161016,602,182272,598,4.9,0.6,4.8,0.8,5,0.7,8.1,0.8,8.7,1.2,7.6,0.9,31.6,1.2,31.7,1.7,31.5,1.7,19.5,1.2,19.8,1.9,19.2,1.3,7.2,0.8,6.4,1,7.9,0.9,18.1,1.1,17.2,1.3,18.9,1.5,10.6,0.8,11.4,1.2,9.9,1.1,86.9,0.9,86.4,1.2,87.4,1.1,28.7,1.4,28.6,1.6,28.8,1.6,67894,974,33441,856,34453,588,91.9,1.8,92.3,2.2,91.4,2.2,35.1,3.6,29.9,4.3,40,4.9,67306,658,32547,657,34759,5,88.8,2.1,86,2.9,91.4,2.5,31.5,2.7,28.5,4.1,34.3,3.5,141345,178,67308,170,74037,88,88.4,1.2,87.4,1.9,89.4,1.4,29.1,1.9,29.3,2.5,28.9,2.4,66743,149,27720,122,39023,71,76.9,2.3,77.6,2.9,76.5,2.8,18.4,2.1,25,3.2,13.7,2.5,30.6,4.1,26.5,5.1,34.4,5,12.1,1.7,9.9,2.4,14,2.1,7.2,1.5,5.5,1.8,8.8,1.8,4,1.3,4.3,1.9,3.7,1.3,40760,726,49649,2472,32473,1556,20140,2603,22248,3374,14628,2407,30935,1454,40372,2827,24004,1728,37811,3306,46992,3136,31109,1198,51307,2067,65824,4524,46240,2461,75095,5734,90478,12261,62559,5892,4.2,(X),(X),(X),(X),(X)
0500000US34015,34015,"Gloucester County, New Jersey",26349,1071,13904,758,12445,593,8.8,3.3,11.2,5.1,6.1,3,32.3,6.6,36.1,9.2,27.9,7.2,48.7,5.5,45.5,8.9,52.2,7.3,10.3,3.5,7.2,3.5,13.8,5.3,193438,1073,90701,808,102737,664,2.9,0.7,3.3,1,2.5,0.8,6.4,0.7,7.1,1.2,5.9,1.1,33.3,1.9,32.7,2.6,33.7,2.6,20,1.4,21.1,2,19.1,2.1,9,1.2,7.3,1.6,10.6,1.6,19.1,1.5,18.6,2,19.4,2.1,9.3,1.3,9.9,1.8,8.7,1.4,90.7,1,89.6,1.5,91.6,1.4,28.3,2,28.5,2.8,28.1,2.2,34467,1175,16671,907,17796,594,91.2,3.1,87.2,5.4,94.9,2.4,33,4.5,26.9,5.7,38.8,6.3,39783,905,19110,589,20673,575,96.2,1.7,96,2.5,96.4,2.1,35.8,3.7,32.2,4.9,39.1,5,83245,958,39652,599,43593,617,92.6,1.5,92.2,2.1,92.9,2.1,27.5,2.7,29.9,4,25.4,3,35943,474,15268,275,20675,290,79.5,3.4,77.5,5.3,81,4,17.4,3,22.2,4.6,13.8,3.7,17.6,5.8,15.6,7.8,19.7,7.7,6,1.5,5.8,2,6.1,1.8,4.1,1.2,2.8,1.3,5.2,1.8,1.4,0.7,1.3,0.9,1.5,1.2,45750,2352,52432,3397,39688,3262,23371,10453,30598,6827,14492,13033,34282,4631,44487,6172,26903,1997,44098,3019,52796,6038,39346,4479,60924,3200,71477,3127,51861,2124,71290,7121,80144,8538,62555,7093,2.1,(X),(X),(X),(X),(X)
0500000US34021,34021,"Mercer County, New Jersey",40023,576,20259,2,19764,575,12,3.2,12.4,4.3,11.7,4.3,26.3,4,30.1,6.1,22.3,5.8,52.1,4.5,49.3,6.2,54.9,7.1,9.6,2.4,8.2,3.2,11.2,3.3,245001,597,117402,288,127599,611,5.5,1,6.5,1.3,4.5,0.9,6.5,0.7,6.2,1.1,6.7,1.1,25.8,1.5,26,2.3,25.7,1.8,16.8,1.2,16,1.9,17.4,1.7,6.6,0.8,5.4,0.9,7.7,1.3,20.6,1.4,19.6,1.7,21.5,2,18.3,1.3,20.3,2,16.5,1.5,88.1,1.1,87.3,1.6,88.8,1.4,38.9,1.8,39.9,2.5,37.9,2.2,46399,725,23582,498,22817,576,89.5,2.5,89.6,3.5,89.5,3.7,40.4,3.5,36.3,4.9,44.6,4,51010,525,25472,481,25538,239,87.5,2.9,82.3,4.1,92.7,2.8,41.1,3.4,39.4,4.5,42.9,4.2,100308,447,48458,110,51850,420,90.8,1.5,90.3,1.8,91.2,2.1,41.7,2.6,42.5,3.4,41,3.2,47284,528,19890,298,27394,432,81.4,2.7,83.5,3.3,79.8,3.7,28.8,3,38.3,4.5,21.8,3.1,29.5,5.4,30.7,8.1,28.2,5.8,9,1.8,6.1,2.4,11.7,2.8,8.4,2.5,8.6,3.4,8.3,3.1,2.7,1.2,2.6,1.2,2.8,1.6,45533,2873,51274,1957,41147,2041,20606,1926,21918,3501,19301,1826,31247,2132,34108,5992,29244,3122,39581,3242,41366,3248,37316,3879,64810,4755,71358,7340,54989,5142,82264,7164,101828,11350,67852,9989,5.3,(X),(X),(X),(X),(X)
0500000US42017,42017,"Bucks County, Pennsylvania",47823,892,25588,390,22235,782,11.9,2.2,11.8,2.9,12.1,3.3,29.5,3.5,31.9,5,26.7,5,43.2,3.8,45.6,5.8,40.4,4.9,15.4,2.9,10.7,2.8,20.8,4.6,437857,888,209311,473,228546,869,1.8,0.3,1.6,0.4,2.1,0.4,5,0.5,5.9,0.8,4.2,0.6,32.6,1.2,31.7,1.7,33.5,1.5,18.3,1,18.8,1.4,17.8,1.3,7.3,0.5,6.2,0.8,8.3,0.9,21.5,1,21.6,1.4,21.4,1.4,13.4,0.8,14.3,1.1,12.6,1,93.1,0.6,92.6,0.9,93.7,0.7,34.9,1.3,35.8,1.5,34.1,1.6,66997,1043,32893,390,34104,937,94.9,1.2,93.9,2.1,95.9,1.7,37.8,3.5,33.7,4.3,41.7,4.4,81226,446,39553,66,41673,444,95.8,1.1,93.4,2.1,98,0.8,38.9,2.8,36.5,3.7,41.2,3.6,196010,424,96541,442,99469,160,95.7,0.6,94.8,1,96.5,0.7,37.1,1.9,36.5,2.5,37.6,2.6,93624,369,40324,336,53300,172,84.3,1.8,85.4,2.3,83.5,2.4,24.9,1.6,35.3,3,17,1.6,12.1,3.2,10.3,4,13.9,3.9,8,1.6,7.1,2,8.8,1.9,4.6,1,3.7,1.3,5.5,1.4,3.2,0.9,3,1.2,3.4,1.1,43293,1496,50753,895,35921,1390,22847,3383,30655,7184,17468,3972,34180,1940,41695,1359,26446,2306,40998,1134,45584,1653,34876,3361,55295,3227,71566,6981,42367,3271,74340,5326,89816,9597,62246,7460,2.9,(X),(X),(X),(X),(X)
0500000US42029,42029,"Chester County, Pennsylvania",45509,339,23166,214,22343,250,12.9,2.7,15.9,4.1,9.7,3.2,26.4,3.3,26,5,26.8,4.8,47,4.2,47.9,7.4,46,4.8,13.7,2.2,10.2,3,17.4,3.4,335337,340,161343,259,173994,260,3.1,0.5,3.7,0.6,2.6,0.6,4.3,0.6,4.5,0.8,4.2,0.7,25,1.2,25.2,1.9,24.8,1.5,14.7,0.9,13.8,1.1,15.6,1.3,6.3,0.7,5.5,1,7,0.9,27.8,1.1,26.3,1.7,29.2,1.6,18.7,1.1,21,1.6,16.5,1.1,92.5,0.7,91.9,1,93.2,0.8,46.5,1.4,47.3,1.8,45.8,1.8,55345,542,27672,252,27673,500,90.8,2.6,89.9,3.1,91.6,3,43.6,3.7,36.3,4.7,50.9,4.6,67345,691,32958,94,34387,715,95.8,1.1,95.6,1.6,96.1,1.5,56,2.8,53.2,3.4,58.8,4.3,146513,482,71451,328,75062,449,93.8,1,92.9,1.2,94.7,1.3,48.7,2,50,2.4,47.5,2.7,66134,398,29262,323,36872,229,87.9,1.6,87.1,2.5,88.5,2.1,34.3,2.5,44.6,3.2,26.2,3.3,18.8,4.1,18.2,4.6,19.5,5.9,10.4,2,9.5,2.3,11.2,2.7,4.2,1.3,4.3,1.7,4.1,1.8,1.6,0.6,2,0.9,1.2,0.6,47463,2039,56760,2547,38748,1818,21916,2608,31383,3447,15381,2301,32262,1641,36523,2279,26863,3271,42813,3390,52931,3009,32555,4049,56270,1794,72689,5879,45004,3510,82416,3890,102297,2844,63304,5044,2.6,(X),(X),(X),(X),(X)
0500000US42045,42045,"Delaware County, Pennsylvania",59339,354,29949,295,29390,208,11.1,2,12.5,2.8,9.7,2.5,31,3.1,36.2,4.9,25.7,3.4,48.9,3.5,44,4.8,53.9,4.8,9,1.5,7.2,1.8,10.7,2.4,371863,343,172622,406,199241,175,2.6,0.4,2.7,0.6,2.6,0.5,5.6,0.5,4.9,0.8,6.2,0.7,32.4,1.1,31.6,1.6,33.1,1.4,18,0.9,18.5,1.5,17.6,1.2,7.3,0.6,7.1,1.1,7.5,0.8,20.3,1,20.9,1.4,19.8,1.1,13.8,0.8,14.3,1,13.3,1.1,91.8,0.6,92.4,1,91.3,0.8,34.1,1.2,35.2,1.6,33,1.3,67193,591,32600,539,34593,361,95,1.3,95.8,1.7,94.2,2.1,39.2,3.1,34.2,4.1,43.9,3.5,68257,687,32791,558,35466,362,92.9,1.5,91.5,2.4,94.2,1.9,39.5,3.1,37,3.8,41.9,3.8,155916,595,74417,517,81499,235,94.3,0.7,94.6,1.1,94.1,1,34.4,1.9,35.9,2.7,32.9,2.1,80497,303,32814,173,47683,214,83.2,1.9,84.9,2.6,82.1,2.2,24.5,2.3,32.8,3.4,18.8,2.4,21.6,3.5,23.4,5.8,20.3,4.7,10.1,1.5,9.3,2.1,10.7,1.9,7.8,1.6,4.9,1.5,10.3,2.6,2,0.6,2.1,0.9,1.9,0.8,40536,860,47181,1816,35403,1147,20492,2057,21393,1524,17770,3889,31504,1258,36846,3011,28602,2476,35931,1237,41293,2447,30859,1734,52404,2245,62914,5570,45881,3642,73528,4788,86297,9420,61381,4569,6.8,(X),(X),(X),(X),(X)
0500000US42091,42091,"Montgomery County, Pennsylvania",62067,143,31148,143,30919,4,11.1,1.9,13.8,3.1,8.5,2.2,26.9,3,27.9,4,25.9,4.3,44.9,3.6,43.7,4.8,46.1,4.9,17,1.9,14.7,2.7,19.4,2.9,560437,143,266263,312,294174,309,2,0.3,1.8,0.4,2.2,0.4,4.6,0.4,5.1,0.7,4.2,0.5,25.2,0.8,24.6,1.3,25.8,1.1,16.5,0.7,16.9,1.1,16.1,1,6.7,0.5,6.1,0.7,7.2,0.6,25.7,0.9,26,1,25.4,1.2,19.3,0.8,19.5,1,19,1,93.4,0.6,93.1,0.8,93.7,0.7,44.9,1.1,45.4,1.2,44.5,1.3,98522,240,49428,86,49094,230,96,1.1,94.8,1.6,97.3,1.3,53.9,2.4,47.7,2.9,60.3,3.1,106588,253,52743,260,53845,133,97.2,0.8,96.6,1.1,97.9,1.1,54.1,2.3,51.9,3.3,56.2,2.9,232281,334,112484,287,119797,167,94.9,0.8,94.4,1,95.3,1,44.4,1.5,44.1,1.8,44.7,2.1,123046,335,51608,354,71438,125,85.3,1.4,85.2,2.3,85.3,1.7,30.8,1.9,39.7,2.8,24.3,2.2,17.3,4.2,13.1,4.6,21.4,6,8.1,1.2,7.4,1.6,8.8,1.6,5.3,1.1,4.7,1.7,5.8,1.4,3,0.6,2.4,0.6,3.7,0.8,46814,961,53984,2091,40105,1374,22925,4531,30467,5798,18025,2675,31857,1188,38200,3067,25352,1857,40228,1124,46452,3334,34927,1498,56296,2121,69194,4017,48490,2537,80650,2471,101687,2107,63531,2599,2.7,(X),(X),(X),(X),(X)
0500000US42101,42101,"Philadelphia County, Pennsylvania",197952,204,96173,107,101779,173,15.5,1.7,18.3,2.9,12.9,2.2,28.6,2.1,30.7,3.2,26.7,2.5,42.5,2.4,40.4,3.8,44.4,3.1,13.4,1.5,10.6,1.9,16,2.3,992547,205,453439,106,539108,172,6,0.4,5.9,0.6,6.1,0.5,13.2,0.6,13.4,0.9,13.1,0.9,34.3,0.9,36,1.4,32.9,1.1,18,0.7,16.8,1.1,18.9,0.9,5,0.4,4.4,0.5,5.5,0.5,13.9,0.7,13.7,0.9,14,0.8,9.7,0.6,9.9,0.8,9.5,0.6,80.8,0.6,80.7,1,80.8,0.9,23.6,0.9,23.5,1.2,23.6,1,255152,469,121964,209,133188,424,89,1.2,88.2,1.9,89.6,1.7,37.5,2,35.2,3.1,39.6,2.1,187211,423,90138,351,97073,229,84.9,1.6,85.5,2.1,84.4,2,23.8,1.9,22.9,2.3,24.6,2.4,364446,417,169098,297,195348,358,79.5,1,78.2,1.7,80.7,1.5,18,1,17.8,1.4,18.2,1.4,185738,184,72239,89,113499,164,67.8,1.8,67.8,2.5,67.8,2.1,15.1,1.3,18.1,2.1,13.1,1.5,39.1,2.4,35.8,3.2,41.9,3.3,23.9,1.5,20.8,1.8,26.8,1.9,20.6,1.9,18.6,3,22,2.3,9.1,1.1,9.3,1.8,8.9,1.4,32247,566,35213,1257,30646,754,17838,1546,20103,2097,16229,1194,26901,940,31178,1216,23576,1579,32088,1003,33713,1627,30880,1321,43046,2380,49366,4029,39774,2339,57203,3020,62944,4548,53750,4200,9.6,(X),(X),(X),(X),(X)
