GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17,VD18,VD19,VD20,VD21,VD22,VD23,VD24,VD25,VD26,VD27,VD28,VD29,VD30,VD31,VD32,VD33,VD34,VD35
0100000US,,United States,182211639,87077686,1280190,685869,1734088,2975188,2191473,2634693,2463952,3365005,24031288,5650895,12281914,5058006,14029287,5248166,2245107,1202565,95133953,1337770,703643,1716190,3322539,2301406,2871422,2723627,3408570,28137693,7233948,13184838,6454827,14288505,5522781,1374428,551766
0500000US34005,34005,"Burlington County, New Jersey",285553,137398,743,361,767,2724,2195,3575,3112,4663,40319,10099,18337,8005,27938,9451,3706,1403,148155,657,549,802,2961,1873,3783,3165,4729,48565,11980,18884,11637,26783,8443,2719,625
0500000US34007,34007,"Camden County, New Jersey",331765,154666,1965,858,1876,4252,3757,5398,5215,6522,46680,9724,19661,7559,25378,8443,5291,2087,177099,2013,958,2097,5482,4440,7215,6216,7193,59892,11943,20355,10792,26404,8411,2947,741
0500000US34015,34015,"Gloucester County, New Jersey",164801,77394,410,204,635,1929,1662,2262,2172,2689,27761,5717,9601,4582,12321,3514,1336,599,87407,394,248,595,1960,1864,2909,2770,3103,33067,6134,9536,6419,13374,3732,1107,195
0500000US34021,34021,"Mercer County, New Jersey",231139,109467,984,709,1887,2763,2593,3304,2866,4755,26380,6035,11959,5098,20122,11211,3975,4826,121672,967,748,1754,3786,3280,3349,3555,4705,32761,8139,12961,7295,22558,11280,2503,2031
0500000US42017,42017,"Bucks County, Pennsylvania",402575,193077,702,219,890,3156,2485,4460,3734,5429,58033,11909,23939,11198,41792,16226,5385,3520,209498,628,293,806,4384,2679,5203,4594,6267,71731,14651,23710,15887,38042,15319,3742,1562
0500000US42029,42029,"Chester County, Pennsylvania",285816,137064,916,426,1108,2755,2007,2859,2449,2960,32576,5743,14540,6178,37466,15669,4955,4457,148752,636,361,943,2940,1966,2786,2589,2875,41603,8278,15719,9251,38537,15149,3466,1653
0500000US42045,42045,"Delaware County, Pennsylvania",365174,167924,1135,497,1149,2857,2490,4289,3820,5726,51622,9893,19759,8774,33185,12577,6290,3861,197250,1449,441,1456,4535,2909,5053,4511,6909,69076,12199,21334,13621,33299,14505,4172,1781
0500000US42091,42091,"Montgomery County, Pennsylvania",515871,242968,1189,549,1245,4045,3465,5297,5347,6157,60433,12119,28337,12304,59571,22233,14113,6564,272903,1045,583,1313,5680,3976,6072,6082,7262,80406,15857,29029,18292,59339,27401,7211,3355
0500000US42101,42101,"Philadelphia County, Pennsylvania",966197,428856,8081,3144,7362,12881,13215,22640,24295,31319,138711,22522,43717,17627,47873,19193,10911,5365,537341,9472,3680,8450,19547,17132,29072,31961,35839,183348,31575,52599,25367,52063,25152,8203,3881
