GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17,VD18,VD19,VD20,VD21,VD22,VD23,VD24,VD25,VD26,VD27,VD28,VD29,VD30,VD31,VD32,VD33,VD34,VD35
0100000US,,United States,182211639,87077686,1280190,685869,1734088,2975188,2191473,2634693,2463952,3365005,24031288,5650895,12281914,5058006,14029287,5248166,2245107,1202565,95133953,1337770,703643,1716190,3322539,2301406,2871422,2723627,3408570,28137693,7233948,13184838,6454827,14288505,5522781,1374428,551766
0600000US3400503370,3400503370,"Bass River township, Burlington County, New Jersey",1011,510,2,0,2,22,23,12,13,40,186,41,66,12,66,12,9,4,501,2,0,10,8,7,27,14,15,211,28,55,34,66,10,12,2
0600000US3400505740,3400505740,"Beverly city, Burlington County, New Jersey",1689,776,4,11,9,6,17,36,41,58,317,62,84,21,77,23,10,0,913,0,8,0,38,37,49,21,53,394,66,121,46,36,27,9,8
0600000US3400506670,3400506670,"Bordentown city, Burlington County, New Jersey",2837,1306,8,0,2,37,29,43,25,37,356,80,262,73,238,89,21,6,1531,0,8,10,25,38,57,58,29,518,147,151,86,299,85,20,0
0600000US3400506700,3400506700,"Bordentown township, Burlington County, New Jersey",5863,2786,17,0,46,55,44,80,73,63,868,198,490,163,470,178,34,7,3077,31,0,13,57,42,74,87,81,1080,231,362,306,493,159,55,6
0600000US3400508920,3400508920,"Burlington city, Burlington County, New Jersey",6646,3012,19,21,39,120,111,144,57,153,1130,290,412,144,263,50,39,20,3634,15,0,29,201,109,160,174,140,1400,329,396,251,295,101,25,9
0600000US3400508950,3400508950,"Burlington township, Burlington County, New Jersey",13724,6332,82,8,48,100,68,162,162,235,1860,460,906,428,1281,399,85,48,7392,76,50,82,246,98,205,138,285,2386,642,903,532,1291,302,112,44
0600000US3400512670,3400512670,"Chesterfield township, Burlington County, New Jersey",2790,1909,7,0,26,28,98,129,175,75,530,211,160,80,279,94,9,8,881,4,0,4,4,0,8,29,13,214,68,102,84,252,78,13,8
0600000US3400512940,3400512940,"Cinnaminson township, Burlington County, New Jersey",10127,4762,21,24,39,102,81,66,82,83,1398,334,666,230,1084,355,121,76,5365,0,5,29,51,44,143,78,199,1990,433,693,415,896,256,112,21
0600000US3400517080,3400517080,"Delanco township, Burlington County, New Jersey",2213,1059,5,5,4,37,25,54,18,13,441,72,174,51,113,38,9,0,1154,6,5,11,32,32,32,29,20,513,127,92,87,110,38,20,0
0600000US3400517440,3400517440,"Delran township, Burlington County, New Jersey",10463,5097,19,55,20,117,55,143,102,125,1616,346,713,329,1028,343,70,16,5366,34,20,44,98,50,93,125,132,2009,373,587,400,978,316,93,14
0600000US3400518790,3400518790,"Eastampton township, Burlington County, New Jersey",3945,1953,14,4,0,33,65,21,19,64,565,145,260,187,361,161,21,33,1992,6,0,17,31,14,24,38,41,565,157,309,197,468,103,22,0
0600000US3400520050,3400520050,"Edgewater Park township, Burlington County, New Jersey",5527,2623,13,0,35,40,26,54,82,88,1029,249,366,120,406,90,15,10,2904,19,11,24,52,69,100,63,111,1065,235,361,230,450,79,35,0
0600000US3400522110,3400522110,"Evesham township, Burlington County, New Jersey",28565,13507,34,5,38,85,126,178,157,216,2865,1014,1747,891,4085,1431,467,168,15058,18,40,37,176,86,279,151,289,4372,1094,1979,1340,3758,994,389,56
0600000US3400523250,3400523250,"Fieldsboro borough, Burlington County, New Jersey",351,172,0,0,0,6,2,6,4,2,63,21,15,5,42,6,0,0,179,0,0,0,0,6,0,9,5,50,23,22,15,36,11,2,0
0600000US3400523850,3400523850,"Florence township, Burlington County, New Jersey",7210,3374,43,4,21,133,37,84,58,99,1192,324,395,208,511,196,45,24,3836,20,3,23,120,75,125,62,137,1525,326,467,294,436,145,60,18
0600000US3400529010,3400529010,"Hainesport township, Burlington County, New Jersey",2784,1339,0,0,3,11,27,35,25,80,491,117,163,35,246,55,29,22,1445,0,0,0,11,20,43,15,47,563,141,190,78,229,54,25,29
0600000US3400542060,3400542060,"Lumberton township, Burlington County, New Jersey",6790,3168,25,12,0,79,26,102,53,79,930,163,391,269,713,235,79,12,3622,0,24,22,145,43,92,94,140,1034,292,415,264,732,224,101,0
0600000US3400543290,3400543290,"Mansfield township, Burlington County, New Jersey",3816,1762,7,0,0,62,33,80,14,106,603,76,215,88,270,179,3,26,2054,20,8,0,39,49,20,32,80,862,133,213,117,255,163,57,6
0600000US3400543740,3400543740,"Maple Shade township, Burlington County, New Jersey",13711,6561,22,12,63,198,144,260,182,325,2301,522,760,299,934,310,177,52,7150,31,26,77,204,130,249,205,297,2795,594,662,414,1033,240,156,37
0600000US3400545120,3400545120,"Medford township, Burlington County, New Jersey",15045,6996,17,0,0,71,21,44,54,96,1140,351,822,345,2450,932,494,159,8049,9,0,0,85,40,130,81,133,1818,579,1020,681,2277,952,202,42
0600000US3400545210,3400545210,"Medford Lakes borough, Burlington County, New Jersey",2910,1398,7,0,7,6,5,28,15,6,214,77,127,117,509,198,64,18,1512,0,0,0,15,0,5,25,22,301,75,189,211,542,91,36,0
0600000US3400547880,3400547880,"Moorestown township, Burlington County, New Jersey",12946,5874,15,0,15,115,38,55,57,74,865,217,644,211,1800,852,701,215,7072,6,82,19,102,63,69,123,143,1489,404,861,484,1995,800,332,100
0600000US3400548900,3400548900,"Mount Holly township, Burlington County, New Jersey",6955,3377,17,22,12,69,127,171,101,188,1139,277,379,208,493,137,28,9,3578,31,53,47,60,98,138,142,262,1302,281,341,197,508,105,9,4
