GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Housing units with a mortgage:,Margin of Error; Housing units with a mortgage:,Estimate; Housing units with a mortgage: - Less than 10.0 percent,Margin of Error; Housing units with a mortgage: - Less than 10.0 percent,Estimate; Housing units with a mortgage: - 10.0 to 14.9 percent,Margin of Error; Housing units with a mortgage: - 10.0 to 14.9 percent,Estimate; Housing units with a mortgage: - 15.0 to 19.9 percent,Margin of Error; Housing units with a mortgage: - 15.0 to 19.9 percent,Estimate; Housing units with a mortgage: - 20.0 to 24.9 percent,Margin of Error; Housing units with a mortgage: - 20.0 to 24.9 percent,Estimate; Housing units with a mortgage: - 25.0 to 29.9 percent,Margin of Error; Housing units with a mortgage: - 25.0 to 29.9 percent,Estimate; Housing units with a mortgage: - 30.0 to 34.9 percent,Margin of Error; Housing units with a mortgage: - 30.0 to 34.9 percent,Estimate; Housing units with a mortgage: - 35.0 to 39.9 percent,Margin of Error; Housing units with a mortgage: - 35.0 to 39.9 percent,Estimate; Housing units with a mortgage: - 40.0 to 49.9 percent,Margin of Error; Housing units with a mortgage: - 40.0 to 49.9 percent,Estimate; Housing units with a mortgage: - 50.0 percent or more,Margin of Error; Housing units with a mortgage: - 50.0 percent or more,Estimate; Housing units with a mortgage: - Not computed,Margin of Error; Housing units with a mortgage: - Not computed,Estimate; Housing units without a mortgage:,Margin of Error; Housing units without a mortgage:,Estimate; Housing units without a mortgage: - Less than 10.0 percent,Margin of Error; Housing units without a mortgage: - Less than 10.0 percent,Estimate; Housing units without a mortgage: - 10.0 to 14.9 percent,Margin of Error; Housing units without a mortgage: - 10.0 to 14.9 percent,Estimate; Housing units without a mortgage: - 15.0 to 19.9 percent,Margin of Error; Housing units without a mortgage: - 15.0 to 19.9 percent,Estimate; Housing units without a mortgage: - 20.0 to 24.9 percent,Margin of Error; Housing units without a mortgage: - 20.0 to 24.9 percent,Estimate; Housing units without a mortgage: - 25.0 to 29.9 percent,Margin of Error; Housing units without a mortgage: - 25.0 to 29.9 percent,Estimate; Housing units without a mortgage: - 30.0 to 34.9 percent,Margin of Error; Housing units without a mortgage: - 30.0 to 34.9 percent,Estimate; Housing units without a mortgage: - 35.0 to 39.9 percent,Margin of Error; Housing units without a mortgage: - 35.0 to 39.9 percent,Estimate; Housing units without a mortgage: - 40.0 to 49.9 percent,Margin of Error; Housing units without a mortgage: - 40.0 to 49.9 percent,Estimate; Housing units without a mortgage: - 50.0 percent or more,Margin of Error; Housing units without a mortgage: - 50.0 percent or more,Estimate; Housing units without a mortgage: - Not computed,Margin of Error; Housing units without a mortgage: - Not computed
0500000US34005,34005,"Burlington County, New Jersey",129201,2873,98392,2741,4515,1010,12186,1848,17344,2205,18213,1872,13560,1677,8984,1324,6174,1307,7121,1383,10233,1549,62,81,30809,1892,7272,945,6443,951,4890,816,2804,642,2467,631,1311,471,1311,462,1205,427,2503,636,603,513
0500000US34007,34007,"Camden County, New Jersey",130576,3292,93522,3427,4201,879,11036,1494,16190,1782,16687,2115,11119,1731,8993,1264,5495,1234,7304,1192,12258,2206,239,208,37054,2749,8236,1206,6648,949,4262,934,4376,1379,2259,648,2216,583,1573,605,2771,929,4319,954,394,327
0500000US34015,34015,"Gloucester County, New Jersey",80615,2217,59402,2313,2569,662,5196,1309,10076,1214,12128,1522,9568,1573,6175,1463,2687,641,3121,836,7731,1254,151,178,21213,1477,5294,899,3569,806,2680,559,2772,701,1394,536,1174,423,1360,526,868,414,2055,581,47,81
0500000US34021,34021,"Mercer County, New Jersey",88365,3123,62331,3013,2260,628,7697,1304,11196,1806,10385,1715,9810,1778,6165,1158,4752,1075,3463,782,6541,1227,62,103,26034,2031,6373,1145,4935,1018,2735,721,2595,683,1908,649,1658,608,836,357,1400,645,3264,741,330,255
0500000US42017,42017,"Bucks County, Pennsylvania",176434,3713,127296,3886,4499,929,12970,1710,21038,1989,23857,2063,18368,1959,12315,1591,8398,1317,10446,1873,14161,1422,1244,1144,49138,2643,13512,1673,10666,1325,6121,811,4614,890,3373,731,1873,515,2374,1144,2441,674,3434,891,730,408
0500000US42029,42029,"Chester County, Pennsylvania",133635,3016,101166,3003,5233,972,12718,1412,18266,2048,17404,1616,13604,1599,9964,1577,5488,930,6255,1190,11973,1971,261,191,32469,2228,11436,1325,5892,962,4275,1141,2600,706,1853,566,1624,626,1060,452,756,342,2922,751,51,89
0500000US42045,42045,"Delaware County, Pennsylvania",145995,3966,100346,3605,5159,1122,11745,1576,18326,1565,16988,1580,13844,1437,9901,1445,5964,1097,6106,969,12086,1886,227,161,45649,2464,13453,1910,7835,1039,6478,857,5033,1132,3331,709,1476,480,1166,476,1908,516,4683,971,286,358
0500000US42091,42091,"Montgomery County, Pennsylvania",220504,3742,156457,4149,7915,1387,20333,2415,30825,2506,27677,2179,19587,1604,13469,1471,7663,1094,11140,1563,17623,2162,225,199,64047,2253,20780,1695,12383,1407,9610,1255,5571,1050,4058,899,2377,600,1425,509,2383,544,5172,958,288,229
0500000US42101,42101,"Philadelphia County, Pennsylvania",320641,7022,187226,7044,11645,1815,23852,2295,29561,2568,26690,3434,23271,3358,13738,1725,10807,2059,11840,1715,34586,3873,1236,606,133415,5313,41119,3885,22121,2006,15359,1730,12324,2137,9630,1928,6740,1214,4805,1102,5252,1163,12911,1784,3154,1167
