GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Housing units with a mortgage:,Margin of Error; Housing units with a mortgage:,Estimate; Housing units with a mortgage: - Less than 10.0 percent,Margin of Error; Housing units with a mortgage: - Less than 10.0 percent,Estimate; Housing units with a mortgage: - 10.0 to 14.9 percent,Margin of Error; Housing units with a mortgage: - 10.0 to 14.9 percent,Estimate; Housing units with a mortgage: - 15.0 to 19.9 percent,Margin of Error; Housing units with a mortgage: - 15.0 to 19.9 percent,Estimate; Housing units with a mortgage: - 20.0 to 24.9 percent,Margin of Error; Housing units with a mortgage: - 20.0 to 24.9 percent,Estimate; Housing units with a mortgage: - 25.0 to 29.9 percent,Margin of Error; Housing units with a mortgage: - 25.0 to 29.9 percent,Estimate; Housing units with a mortgage: - 30.0 to 34.9 percent,Margin of Error; Housing units with a mortgage: - 30.0 to 34.9 percent,Estimate; Housing units with a mortgage: - 35.0 to 39.9 percent,Margin of Error; Housing units with a mortgage: - 35.0 to 39.9 percent,Estimate; Housing units with a mortgage: - 40.0 to 49.9 percent,Margin of Error; Housing units with a mortgage: - 40.0 to 49.9 percent,Estimate; Housing units with a mortgage: - 50.0 percent or more,Margin of Error; Housing units with a mortgage: - 50.0 percent or more,Estimate; Housing units with a mortgage: - Not computed,Margin of Error; Housing units with a mortgage: - Not computed,Estimate; Housing units without a mortgage:,Margin of Error; Housing units without a mortgage:,Estimate; Housing units without a mortgage: - Less than 10.0 percent,Margin of Error; Housing units without a mortgage: - Less than 10.0 percent,Estimate; Housing units without a mortgage: - 10.0 to 14.9 percent,Margin of Error; Housing units without a mortgage: - 10.0 to 14.9 percent,Estimate; Housing units without a mortgage: - 15.0 to 19.9 percent,Margin of Error; Housing units without a mortgage: - 15.0 to 19.9 percent,Estimate; Housing units without a mortgage: - 20.0 to 24.9 percent,Margin of Error; Housing units without a mortgage: - 20.0 to 24.9 percent,Estimate; Housing units without a mortgage: - 25.0 to 29.9 percent,Margin of Error; Housing units without a mortgage: - 25.0 to 29.9 percent,Estimate; Housing units without a mortgage: - 30.0 to 34.9 percent,Margin of Error; Housing units without a mortgage: - 30.0 to 34.9 percent,Estimate; Housing units without a mortgage: - 35.0 to 39.9 percent,Margin of Error; Housing units without a mortgage: - 35.0 to 39.9 percent,Estimate; Housing units without a mortgage: - 40.0 to 49.9 percent,Margin of Error; Housing units without a mortgage: - 40.0 to 49.9 percent,Estimate; Housing units without a mortgage: - 50.0 percent or more,Margin of Error; Housing units without a mortgage: - 50.0 percent or more,Estimate; Housing units without a mortgage: - Not computed,Margin of Error; Housing units without a mortgage: - Not computed
0500000US34005,34005,"Burlington County, New Jersey",124823,2943,90181,2691,4277,853,10635,1270,19037,1715,15759,1663,10661,1482,6128,915,4872,911,6918,1086,11586,1376,308,347,34642,1938,8299,1221,7607,1112,4726,900,3302,658,2209,583,1610,447,1236,421,1486,429,4095,1104,72,121
0500000US34007,34007,"Camden County, New Jersey",125909,3234,83858,3041,4302,851,8975,970,16413,1975,13884,1794,9774,1282,7526,1278,5190,966,4984,850,11633,1452,1177,637,42051,2249,8401,1390,8428,1101,5420,1173,4887,933,2796,597,2416,736,1449,396,1958,637,5460,1034,836,427
0500000US34015,34015,"Gloucester County, New Jersey",81414,2079,56310,2081,2718,682,7986,1368,9936,1295,10725,1385,6276,866,4795,895,4282,918,4168,857,5133,1001,291,224,25104,1441,6494,944,5135,891,3431,693,2777,658,1659,645,1034,508,1104,408,1365,540,1894,608,211,163
0500000US34021,34021,"Mercer County, New Jersey",83605,3003,59073,3039,3332,684,7277,1301,9923,1586,9505,1466,6151,1162,5136,1044,3519,867,4641,1299,9421,1368,168,200,24532,2134,7674,1183,4891,1002,3092,694,2019,532,1222,496,1097,435,843,455,937,415,2265,656,492,448
0500000US42017,42017,"Bucks County, Pennsylvania",174020,3512,117610,3892,7520,1046,17083,1719,20809,1656,20184,2012,13767,1649,9649,1366,5281,918,8398,1409,14641,1758,278,226,56410,2502,19458,1915,11173,1299,6733,1029,4924,925,2978,677,2453,707,2073,616,2542,706,3779,886,297,169
0500000US42029,42029,"Chester County, Pennsylvania",141327,2869,98818,2670,7349,941,15813,1381,18664,1777,17372,1559,10082,1509,7439,1200,4866,1048,5719,1068,11364,1471,150,152,42509,2305,14577,1338,8083,991,6025,1129,4022,973,2240,606,1606,483,1319,456,1058,510,3330,729,249,183
0500000US42045,42045,"Delaware County, Pennsylvania",143462,2341,96874,2952,5749,1007,11978,1233,17893,1637,17217,1475,11641,1337,7208,1227,5278,1100,5648,1045,13938,1682,324,232,46588,2505,13773,1495,10205,1364,5838,912,4163,759,2782,748,1724,531,1643,596,1918,554,4160,796,382,232
0500000US42091,42091,"Montgomery County, Pennsylvania",220564,3242,152605,3354,10268,1110,21998,1660,31045,2096,27236,2019,17059,1580,11163,1359,8655,1017,9067,1383,15846,1634,268,185,67959,2256,25039,1515,12415,1361,8215,1075,4915,914,3319,736,2965,634,2016,492,2555,600,5961,1018,559,343
0500000US42101,42101,"Philadelphia County, Pennsylvania",300561,6655,181506,5471,12249,1620,25614,2362,32819,2899,23232,2484,15450,2068,15078,1715,9893,1641,13066,1722,32036,2932,2069,905,119055,4262,38966,2436,19789,1917,14109,1828,9681,1469,6483,1237,5202,1020,3714,740,5208,1287,12938,1816,2965,907
