GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Housing units with a mortgage:,Margin of Error; Housing units with a mortgage:,Estimate; Housing units with a mortgage: - Less than 10.0 percent,Margin of Error; Housing units with a mortgage: - Less than 10.0 percent,Estimate; Housing units with a mortgage: - 10.0 to 14.9 percent,Margin of Error; Housing units with a mortgage: - 10.0 to 14.9 percent,Estimate; Housing units with a mortgage: - 15.0 to 19.9 percent,Margin of Error; Housing units with a mortgage: - 15.0 to 19.9 percent,Estimate; Housing units with a mortgage: - 20.0 to 24.9 percent,Margin of Error; Housing units with a mortgage: - 20.0 to 24.9 percent,Estimate; Housing units with a mortgage: - 25.0 to 29.9 percent,Margin of Error; Housing units with a mortgage: - 25.0 to 29.9 percent,Estimate; Housing units with a mortgage: - 30.0 to 34.9 percent,Margin of Error; Housing units with a mortgage: - 30.0 to 34.9 percent,Estimate; Housing units with a mortgage: - 35.0 to 39.9 percent,Margin of Error; Housing units with a mortgage: - 35.0 to 39.9 percent,Estimate; Housing units with a mortgage: - 40.0 to 49.9 percent,Margin of Error; Housing units with a mortgage: - 40.0 to 49.9 percent,Estimate; Housing units with a mortgage: - 50.0 percent or more,Margin of Error; Housing units with a mortgage: - 50.0 percent or more,Estimate; Housing units with a mortgage: - Not computed,Margin of Error; Housing units with a mortgage: - Not computed,Estimate; Housing units without a mortgage:,Margin of Error; Housing units without a mortgage:,Estimate; Housing units without a mortgage: - Less than 10.0 percent,Margin of Error; Housing units without a mortgage: - Less than 10.0 percent,Estimate; Housing units without a mortgage: - 10.0 to 14.9 percent,Margin of Error; Housing units without a mortgage: - 10.0 to 14.9 percent,Estimate; Housing units without a mortgage: - 15.0 to 19.9 percent,Margin of Error; Housing units without a mortgage: - 15.0 to 19.9 percent,Estimate; Housing units without a mortgage: - 20.0 to 24.9 percent,Margin of Error; Housing units without a mortgage: - 20.0 to 24.9 percent,Estimate; Housing units without a mortgage: - 25.0 to 29.9 percent,Margin of Error; Housing units without a mortgage: - 25.0 to 29.9 percent,Estimate; Housing units without a mortgage: - 30.0 to 34.9 percent,Margin of Error; Housing units without a mortgage: - 30.0 to 34.9 percent,Estimate; Housing units without a mortgage: - 35.0 to 39.9 percent,Margin of Error; Housing units without a mortgage: - 35.0 to 39.9 percent,Estimate; Housing units without a mortgage: - 40.0 to 49.9 percent,Margin of Error; Housing units without a mortgage: - 40.0 to 49.9 percent,Estimate; Housing units without a mortgage: - 50.0 percent or more,Margin of Error; Housing units without a mortgage: - 50.0 percent or more,Estimate; Housing units without a mortgage: - Not computed,Margin of Error; Housing units without a mortgage: - Not computed
0600000US3400503370,3400503370,"Bass River township, Burlington County, New Jersey",467,62,288,59,11,11,10,9,70,28,25,23,53,25,7,7,11,13,53,29,48,21,0,12,179,43,53,29,30,22,31,19,7,7,6,6,16,16,6,9,3,4,18,17,9,14
0600000US3400505740,3400505740,"Beverly city, Burlington County, New Jersey",668,80,470,73,6,10,38,27,62,26,112,41,33,20,61,29,50,30,30,25,78,45,0,12,198,55,19,15,33,25,61,36,10,11,0,12,10,11,22,17,14,17,29,30,0,12
0600000US3400506670,3400506670,"Bordentown city, Burlington County, New Jersey",951,140,713,124,19,19,72,43,133,60,192,70,46,31,45,31,40,30,18,18,148,75,0,12,238,71,126,58,12,17,47,33,17,20,13,16,0,12,0,12,0,12,14,16,9,14
0600000US3400506700,3400506700,"Bordentown township, Burlington County, New Jersey",3245,231,2441,216,105,63,122,68,347,100,462,124,473,138,270,93,177,99,240,103,245,107,0,19,804,164,190,76,153,84,88,52,99,69,52,49,115,62,41,48,11,18,55,47,0,19
0600000US3400508920,3400508920,"Burlington city, Burlington County, New Jersey",2570,167,1780,177,54,31,94,47,342,100,395,102,243,86,189,77,53,32,186,75,224,84,0,17,790,135,89,45,208,62,115,43,53,30,39,26,67,35,18,18,35,28,130,56,36,45
0600000US3400508950,3400508950,"Burlington township, Burlington County, New Jersey",5937,252,4636,285,99,44,392,124,767,168,923,195,705,171,475,124,274,118,457,147,544,155,0,22,1301,208,271,95,337,121,185,74,102,52,45,35,81,46,119,88,40,38,121,72,0,22
0600000US3400512670,3400512670,"Chesterfield township, Burlington County, New Jersey",1680,136,1301,140,33,30,75,48,223,88,247,101,282,103,175,78,91,57,80,65,95,49,0,17,379,93,71,52,75,37,38,33,77,42,10,16,34,51,0,17,10,16,64,37,0,17
0600000US3400512940,3400512940,"Cinnaminson township, Burlington County, New Jersey",5330,226,3595,255,123,52,353,76,473,122,809,145,395,85,472,126,204,88,326,113,440,99,0,19,1735,157,376,95,285,83,193,59,187,57,128,43,91,50,66,39,102,35,289,90,18,22
0600000US3400517080,3400517080,"Delanco township, Burlington County, New Jersey",1421,113,1081,108,52,46,88,44,157,53,189,74,236,77,85,45,33,22,90,59,144,61,7,12,340,93,78,40,34,26,78,47,32,24,11,17,16,19,18,20,15,17,55,55,3,5
0600000US3400517440,3400517440,"Delran township, Burlington County, New Jersey",4557,273,3218,255,216,89,365,131,537,139,731,168,438,157,242,92,259,90,135,79,269,108,26,30,1339,196,384,110,287,102,151,69,130,58,90,56,41,42,64,45,36,36,136,93,20,31
0600000US3400518790,3400518790,"Eastampton township, Burlington County, New Jersey",1523,161,1180,153,36,40,89,69,192,99,177,90,277,115,16,28,34,44,95,75,264,128,0,17,343,114,140,77,76,74,0,17,30,29,82,57,0,17,0,17,0,17,15,25,0,17
0600000US3400520050,3400520050,"Edgewater Park township, Burlington County, New Jersey",2191,199,1461,195,137,103,104,70,287,123,201,95,161,85,185,94,38,34,115,81,233,96,0,17,730,141,222,105,179,81,69,43,70,49,7,11,74,58,37,35,40,41,32,31,0,17
0600000US3400522110,3400522110,"Evesham township, Burlington County, New Jersey",13047,401,10090,414,436,126,1229,202,1729,240,1910,276,1451,248,864,166,525,142,820,173,1121,190,5,8,2957,251,840,149,699,152,330,98,356,93,154,63,130,60,102,48,148,56,183,74,15,18
0600000US3400523250,3400523250,"Fieldsboro borough, Burlington County, New Jersey",173,36,106,28,0,12,11,12,25,16,14,9,16,11,8,9,11,11,13,11,8,13,0,12,67,28,21,16,7,7,9,7,3,5,7,10,4,6,10,13,0,12,6,10,0,12
0600000US3400523850,3400523850,"Florence township, Burlington County, New Jersey",4109,171,3185,178,100,46,366,113,658,143,537,141,419,109,411,101,192,73,201,82,292,110,9,14,924,144,199,59,200,72,122,56,126,59,77,36,38,33,70,44,62,35,30,29,0,19
0600000US3400529010,3400529010,"Hainesport township, Burlington County, New Jersey",2180,150,1756,154,48,45,143,79,293,91,315,114,273,136,166,91,100,65,150,87,268,112,0,17,424,101,95,61,116,70,54,42,28,28,30,28,10,16,11,17,15,24,65,59,0,17
0600000US3400542060,3400542060,"Lumberton township, Burlington County, New Jersey",3143,194,2588,198,118,47,295,115,451,128,418,109,330,90,322,96,274,135,142,76,215,98,23,34,555,112,138,65,143,63,65,36,57,47,30,27,16,20,22,27,31,28,53,38,0,19
