GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Less than 10.0 percent,Margin of Error; Less than 10.0 percent,Estimate; 10.0 to 14.9 percent,Margin of Error; 10.0 to 14.9 percent,Estimate; 15.0 to 19.9 percent,Margin of Error; 15.0 to 19.9 percent,Estimate; 20.0 to 24.9 percent,Margin of Error; 20.0 to 24.9 percent,Estimate; 25.0 to 29.9 percent,Margin of Error; 25.0 to 29.9 percent,Estimate; 30.0 to 34.9 percent,Margin of Error; 30.0 to 34.9 percent,Estimate; 35.0 to 39.9 percent,Margin of Error; 35.0 to 39.9 percent,Estimate; 40.0 to 49.9 percent,Margin of Error; 40.0 to 49.9 percent,Estimate; 50.0 percent or more,Margin of Error; 50.0 percent or more,Estimate; Not computed,Margin of Error; Not computed
0500000US34005,34005,"Burlington County, New Jersey",34845,2501,762,430,3284,928,4459,1035,2943,819,3807,1190,3542,872,1958,751,2851,1052,7999,1669,3240,701
0500000US34007,34007,"Camden County, New Jersey",60083,3287,2097,774,4347,1144,7780,1347,7854,1769,6626,1534,5263,1507,2793,901,6201,1905,15085,2092,2037,744
0500000US34015,34015,"Gloucester County, New Jersey",17719,1777,292,313,1018,542,2429,911,2870,909,2004,804,1500,457,1380,629,1046,628,4137,1334,1043,456
0500000US34021,34021,"Mercer County, New Jersey",38760,3206,637,364,2983,1052,5232,1749,4922,1301,4826,1133,2781,1110,2008,755,2885,953,10338,1844,2148,781
0500000US42017,42017,"Bucks County, Pennsylvania",51171,3507,1215,587,3137,942,6786,1765,6168,1593,5963,1485,5482,1694,2765,869,3707,967,12135,1757,3813,1182
0500000US42029,42029,"Chester County, Pennsylvania",37804,2693,1143,602,3062,932,5626,1233,5491,1206,3717,1167,2685,797,2075,899,2737,945,8057,1413,3211,1271
0500000US42045,42045,"Delaware County, Pennsylvania",57317,3238,2030,700,5946,1603,7454,1478,6871,1298,5626,1173,4596,1154,3557,1116,4886,1602,12795,1723,3556,987
0500000US42091,42091,"Montgomery County, Pennsylvania",71750,3776,2473,991,6191,1359,11692,1773,8782,1497,8048,1522,6563,1558,3185,807,6311,1353,15833,2268,2672,717
0500000US42101,42101,"Philadelphia County, Pennsylvania",244792,8317,8247,1853,15452,2704,26315,3494,24512,2999,26773,3046,15588,2424,13299,2395,20765,3499,76847,4608,16994,2618
