GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Less than 10.0 percent,Margin of Error; Total: - Less than 10.0 percent,Estimate; Total: - 10.0 to 14.9 percent,Margin of Error; Total: - 10.0 to 14.9 percent,Estimate; Total: - 15.0 to 19.9 percent,Margin of Error; Total: - 15.0 to 19.9 percent,Estimate; Total: - 20.0 to 24.9 percent,Margin of Error; Total: - 20.0 to 24.9 percent,Estimate; Total: - 25.0 to 29.9 percent,Margin of Error; Total: - 25.0 to 29.9 percent,Estimate; Total: - 30.0 to 34.9 percent,Margin of Error; Total: - 30.0 to 34.9 percent,Estimate; Total: - 35.0 to 39.9 percent,Margin of Error; Total: - 35.0 to 39.9 percent,Estimate; Total: - 40.0 to 49.9 percent,Margin of Error; Total: - 40.0 to 49.9 percent,Estimate; Total: - 50.0 percent or more,Margin of Error; Total: - 50.0 percent or more,Estimate; Total: - Not computed,Margin of Error; Total: - Not computed
0500000US34005,34005,"Burlington County, New Jersey",34877,2526,992,476,1134,460,4584,847,5235,1320,4479,1207,2896,793,1870,634,3060,1068,8829,1511,1798,578
0500000US34007,34007,"Camden County, New Jersey",63191,3452,1935,755,3206,1083,6655,1410,5781,1413,6942,1613,6759,1630,3491,1005,5093,1314,20164,2226,3165,589
0500000US34015,34015,"Gloucester County, New Jersey",23110,2178,353,309,2191,882,3083,1023,3093,895,2238,904,1436,754,1397,700,1860,771,6358,1483,1101,476
0500000US34021,34021,"Mercer County, New Jersey",47400,2890,612,372,3579,1101,5096,1089,5743,1347,6385,1455,3187,827,2527,797,5052,1211,11850,2005,3369,1076
0500000US42017,42017,"Bucks County, Pennsylvania",56760,3436,2459,980,4288,1128,6930,1389,5851,1242,6571,1424,5586,1444,3506,954,6311,1443,12805,1732,2453,688
0500000US42029,42029,"Chester County, Pennsylvania",48497,2489,1735,598,3942,992,5573,1166,5773,1243,4863,1102,4073,1155,2188,755,4204,1075,13351,1968,2795,763
0500000US42045,42045,"Delaware County, Pennsylvania",61542,3434,1790,602,3553,1039,8304,1614,7132,1162,7770,1613,4439,944,3836,1111,4253,919,16849,1915,3616,934
0500000US42091,42091,"Montgomery County, Pennsylvania",84165,3448,3323,847,6931,1303,11383,1705,9317,1249,10280,1753,5886,1081,5193,1089,6634,1722,20344,2188,4874,1282
0500000US42101,42101,"Philadelphia County, Pennsylvania",285430,7014,7948,1439,17039,2268,28428,2962,27011,2884,29409,3213,21186,2587,13867,1946,25611,2661,88542,4647,26389,2780
