GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Less than 10.0 percent,Margin of Error; Less than 10.0 percent,Estimate; 10.0 to 14.9 percent,Margin of Error; 10.0 to 14.9 percent,Estimate; 15.0 to 19.9 percent,Margin of Error; 15.0 to 19.9 percent,Estimate; 20.0 to 24.9 percent,Margin of Error; 20.0 to 24.9 percent,Estimate; 25.0 to 29.9 percent,Margin of Error; 25.0 to 29.9 percent,Estimate; 30.0 to 34.9 percent,Margin of Error; 30.0 to 34.9 percent,Estimate; 35.0 to 39.9 percent,Margin of Error; 35.0 to 39.9 percent,Estimate; 40.0 to 49.9 percent,Margin of Error; 40.0 to 49.9 percent,Estimate; 50.0 percent or more,Margin of Error; 50.0 percent or more,Estimate; Not computed,Margin of Error; Not computed
0600000US3400503370,3400503370,"Bass River township, Burlington County, New Jersey",79,51,11,12,15,13,6,10,4,8,33,39,4,7,0,123,3,4,1,3,2,4
0600000US3400505740,3400505740,"Beverly city, Burlington County, New Jersey",298,78,0,123,43,39,47,35,16,17,22,20,39,34,9,11,18,16,86,44,18,28
0600000US3400506670,3400506670,"Bordentown city, Burlington County, New Jersey",716,135,0,123,51,47,89,57,166,93,63,50,53,47,42,52,60,53,113,67,79,52
0600000US3400506700,3400506700,"Bordentown township, Burlington County, New Jersey",854,143,48,53,184,75,74,40,161,98,43,63,103,86,34,32,46,52,135,86,26,29
0600000US3400508920,3400508920,"Burlington city, Burlington County, New Jersey",1347,183,24,27,9,14,178,72,92,55,220,108,123,82,65,47,114,78,439,169,83,52
0600000US3400508950,3400508950,"Burlington township, Burlington County, New Jersey",1681,188,21,24,245,103,223,116,180,97,228,116,160,71,52,65,106,69,406,167,60,52
0600000US3400512670,3400512670,"Chesterfield township, Burlington County, New Jersey",72,39,0,123,15,23,5,9,25,20,0,123,0,123,0,123,15,24,0,123,12,13
0600000US3400512940,3400512940,"Cinnaminson township, Burlington County, New Jersey",198,106,0,123,70,58,53,57,0,123,5,8,40,61,0,123,0,123,13,20,17,27
0600000US3400517080,3400517080,"Delanco township, Burlington County, New Jersey",247,84,0,123,12,18,28,43,35,33,0,123,75,79,0,123,59,64,27,33,11,19
