GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 to 24 years,Margin of Error; Male: - 20 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 44 years,Margin of Error; Male: - 35 to 44 years,Estimate; Male: - 45 to 54 years,Margin of Error; Male: - 45 to 54 years,Estimate; Male: - 55 to 64 years,Margin of Error; Male: - 55 to 64 years,Estimate; Male: - 65 to 74 years,Margin of Error; Male: - 65 to 74 years,Estimate; Male: - 75 to 84 years,Margin of Error; Male: - 75 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 to 24 years,Margin of Error; Female: - 20 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 44 years,Margin of Error; Female: - 35 to 44 years,Estimate; Female: - 45 to 54 years,Margin of Error; Female: - 45 to 54 years,Estimate; Female: - 55 to 64 years,Margin of Error; Female: - 55 to 64 years,Estimate; Female: - 65 to 74 years,Margin of Error; Female: - 65 to 74 years,Estimate; Female: - 75 to 84 years,Margin of Error; Female: - 75 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
0500000US34001,34001,"Atlantic County, New Jersey",164477,582,79280,221,4240,278,4558,668,5607,668,3391,89,1792,278,3992,115,4083,278,4762,278,12744,278,13589,87,9147,278,5760,278,4898,388,717,388,85197,383,3995,278,4495,802,5311,789,3309,278,1608,121,4324,143,4431,278,5158,278,13116,278,13705,126,9887,278,7233,278,5947,938,2678,938
0500000US34003,34003,"Bergen County, New Jersey",593656,1126,286920,624,15870,81,20390,2603,18614,2601,12050,70,6784,278,13893,87,10552,64,13824,116,44679,145,47850,485,37922,278,22039,278,17552,880,4901,876,306736,665,15410,278,16763,1595,20231,1614,11336,278,6270,107,12645,114,10949,57,14170,249,44983,187,50705,270,41617,88,26665,278,25260,1343,9732,1343
0500000US34005,34005,"Burlington County, New Jersey",324510,723,157877,662,9510,278,9945,1232,11883,1232,7252,278,3809,106,8500,84,7993,320,9933,278,26009,337,25697,278,18266,278,10148,278,7397,455,1535,455,166633,207,9116,73,10634,1219,10385,1219,6880,278,3563,278,8463,278,8133,81,9932,278,27424,278,26641,97,19236,104,12424,278,10501,629,3301,629
0500000US34007,34007,"Camden County, New Jersey",327571,487,158841,272,9409,278,9116,1194,12574,1191,7433,81,4073,278,10169,97,7843,249,9049,278,25216,278,26312,278,18365,104,9651,278,7663,498,1968,498,168730,258,8951,278,8481,999,11835,993,7060,278,3875,278,9405,278,8023,93,9288,278,26179,278,27663,278,19967,266,12147,278,12347,702,3509,702
0500000US34009,34009,"Cape May County, New Jersey",86478,952,41189,446,1928,249,1912,570,3248,570,1934,278,1035,278,2080,278,1833,203,2071,278,5555,278,6535,278,5256,278,3932,278,3353,232,517,232,45289,518,1700,366,2150,571,2644,571,1762,278,915,278,2143,155,2074,278,2189,278,6101,278,7013,278,5985,278,4807,278,4452,486,1354,486
0500000US34011,34011,"Cumberland County, New Jersey",80327,322,38534,79,2104,77,2149,498,2674,498,1808,278,927,278,2315,278,2180,278,2193,278,5712,278,6087,278,4946,17,2842,278,1973,329,624,329,41793,268,2149,278,2119,532,2432,538,1637,278,928,278,2010,71,2030,140,2489,278,5740,131,6486,278,5537,17,3620,278,3583,379,1033,379
0500000US34013,34013,"Essex County, New Jersey",274251,2207,132346,1395,8075,262,9535,1251,8188,1079,5434,278,2674,422,6738,238,5900,398,7037,152,20339,706,22535,294,16864,365,9236,76,7531,534,2260,534,141905,1005,7669,217,8871,979,8424,1055,5223,278,2752,278,6326,475,5871,148,7064,274,20883,401,23877,137,18461,346,10924,214,10991,709,4569,709
0500000US34015,34015,"Gloucester County, New Jersey",228941,308,111646,278,6747,278,7159,1099,8759,1099,5371,278,3072,278,7708,278,6495,278,6843,278,17963,278,18235,278,12193,278,6169,278,4420,272,512,272,117295,308,6530,278,6668,1047,8593,1047,5085,278,2957,278,7579,290,6767,278,6996,278,19136,104,18931,278,12442,278,7610,278,5936,472,2065,472
0500000US34017,34017,"Hudson County, New Jersey",200807,1611,100522,690,5528,278,6061,1127,3699,1118,2889,77,1790,63,4538,184,8404,242,11165,281,19642,392,14674,136,9849,87,5823,135,5378,416,1082,416,100285,1048,4862,528,4449,1098,4686,1098,2663,278,1653,278,4555,340,7748,92,9809,263,16202,311,13410,368,10655,155,7585,278,8433,1111,3575,1111
0500000US34019,34019,"Hunterdon County, New Jersey",115299,284,56907,169,3103,169,3745,760,4813,760,2743,278,1378,278,2792,278,1984,278,2576,278,8999,278,10954,278,7797,278,3442,278,2006,329,575,329,58392,167,3159,278,3699,556,4242,575,2736,278,1360,278,2516,278,2096,278,2816,278,9826,278,11170,278,7660,72,3536,278,3030,311,546,311
0500000US34021,34021,"Mercer County, New Jersey",204924,434,98941,267,5503,278,5367,899,7538,922,4326,278,2276,278,5185,278,4472,278,5483,278,15337,278,17334,278,12847,278,6612,278,4932,543,1729,543,105983,339,5225,278,6090,1205,6238,1205,3987,100,2222,278,4920,121,4298,278,5639,278,16363,278,18283,113,13996,278,8018,278,7604,700,3100,700
0500000US34023,34023,"Middlesex County, New Jersey",423055,848,204992,531,10541,133,13478,1347,12395,1350,8676,278,4979,278,12540,179,9616,58,11434,141,32496,76,35275,110,24930,94,13747,250,11876,658,3009,658,218063,482,10073,278,10272,1361,14309,1361,8045,83,4394,163,12505,369,9191,278,11342,278,32458,278,36216,85,27304,93,17660,224,18419,1016,5875,1016
0500000US34025,34025,"Monmouth County, New Jersey",493134,767,239522,499,14182,69,15522,1655,20088,1657,11779,278,6172,278,12735,129,9570,326,11605,259,37874,139,42257,84,30204,278,15064,278,9153,760,3317,760,253612,432,13615,278,16493,1400,17450,1390,11087,278,5795,278,12427,278,10185,82,12218,278,40755,156,43623,273,31623,278,17660,278,13850,1110,6831,1110
0500000US34027,34027,"Morris County, New Jersey",375941,1614,184205,1131,11639,278,13423,1391,14214,1419,8386,76,4451,278,8346,278,6543,278,9245,278,30570,338,31518,278,23840,404,12658,376,7576,458,1796,458,191736,759,11167,278,13688,1460,12388,1430,7839,278,4071,278,8204,278,6259,334,9609,308,31595,76,32742,137,25866,278,14260,278,10718,607,3330,607
0500000US34029,34029,"Ocean County, New Jersey",485333,238,230538,278,14939,278,14704,1216,16162,1216,9767,278,5184,278,11957,278,12977,278,13120,278,33020,278,31815,278,23711,278,18001,278,19781,947,5400,947,254795,238,14291,278,12677,1586,16545,1586,9158,212,4903,278,12038,106,12746,278,14268,278,34547,25,32818,278,26644,278,24471,278,31021,1290,8668,1290
0500000US34031,34031,"Passaic County, New Jersey",236197,1226,114720,599,7016,278,7109,1173,8223,1171,4634,278,2631,188,5456,132,5026,119,6532,278,18258,151,19318,142,13998,116,8202,278,5947,762,2370,762,121477,853,6904,180,7235,1113,7386,1122,4443,278,2409,278,6077,278,4933,278,6225,91,17931,171,19097,389,15379,278,9990,278,10564,765,2904,736
0500000US34033,34033,"Salem County, New Jersey",51358,281,25011,154,1387,278,2087,335,1108,335,1124,278,628,278,1809,278,1339,278,1464,278,3654,278,4107,278,3189,278,1554,154,1352,140,209,140,26347,131,1362,278,1699,376,1502,376,1146,278,630,278,1377,278,1547,278,1591,278,3912,278,4232,39,3287,278,1826,124,1705,212,531,212
0500000US34035,34035,"Somerset County, New Jersey",212819,559,103993,331,6431,278,7631,1024,8322,989,4651,71,2371,278,4651,278,3286,278,5313,278,17616,140,19209,278,12759,278,6650,278,4027,457,1076,457,108826,349,6121,143,7295,1076,7761,1078,4476,278,2146,278,4101,278,3432,202,5421,278,19127,67,19796,278,13500,278,7933,278,5699,543,2018,543
0500000US34037,34037,"Sussex County, New Jersey",137787,100,68455,278,3920,278,4574,818,5784,818,3615,278,1884,278,3956,278,2892,278,3637,278,11307,278,12392,278,8515,278,3572,278,1906,271,501,271,69332,100,3758,278,4235,762,5698,773,3391,278,1718,278,3817,278,2927,278,3842,278,11811,278,12478,278,8450,278,3699,278,2143,348,1365,348
0500000US34039,34039,"Union County, New Jersey",258020,1221,124439,721,7548,92,8203,995,9358,1027,5237,278,3019,278,5888,113,4481,278,5951,139,19316,393,21488,106,15574,182,8575,278,7572,647,2229,647,133581,725,7240,278,8040,978,8609,978,5061,99,2629,240,5612,193,4543,176,5998,119,20312,278,21834,177,16928,214,10505,278,11876,1024,4394,1023
0500000US34041,34041,"Warren County, New Jersey",96509,124,47017,50,2854,278,3638,671,3405,671,2296,278,1151,278,2449,278,2002,278,2733,278,8123,278,7887,50,5403,278,2684,278,1620,328,772,328,49492,86,2672,278,3410,586,3199,587,2165,278,1060,278,2302,54,2336,278,2921,278,8540,278,8045,278,5555,278,3185,278,2999,407,1103,407
0500000US42001,42001,"Adams County, Pennsylvania",88196,242,43550,242,2304,242,2474,589,3084,589,2055,242,930,242,2720,242,2787,242,2708,242,6897,242,6948,242,4932,242,3099,242,2147,229,465,229,44646,242,2161,242,3127,436,2345,436,1934,242,866,242,2378,242,2873,242,2740,242,7076,242,7137,242,5221,242,3339,242,2757,248,692,248
0500000US42003,42003,"Allegheny County, Pennsylvania",989558,945,475148,485,25325,127,27423,1789,28631,1868,18825,270,10434,242,29202,233,25599,242,26947,242,70195,161,83826,18,57208,116,33605,242,30776,945,7152,945,514410,616,24044,359,24971,1634,28158,1657,18315,242,8971,242,27085,242,25325,242,26811,242,73190,357,87551,120,64482,264,42994,242,46802,1262,15711,1262
0500000US42005,42005,"Armstrong County, Pennsylvania",68132,242,33297,242,1757,242,1379,324,2818,324,1404,242,723,242,1885,242,2069,242,1860,242,4746,242,5764,242,4030,242,2370,242,1907,361,585,361,34835,242,1593,242,1807,370,2119,370,1362,242,643,242,1919,242,1921,242,1870,242,4941,242,5553,242,4274,242,2950,242,2882,402,1001,402
0500000US42007,42007,"Beaver County, Pennsylvania",158832,216,76793,133,3980,242,4416,752,5160,743,3301,242,1749,242,4259,242,4122,242,3864,242,11068,242,13320,242,9463,242,5880,97,5031,301,1180,301,82039,113,3801,242,3667,709,5222,718,3112,242,1486,242,3916,242,4280,242,3957,242,11823,242,13867,242,10083,78,7264,242,7102,497,2459,497
0500000US42011,42011,"Berks County, Pennsylvania",312862,313,153131,180,8509,242,8265,767,10816,771,6590,242,3254,242,8976,242,9186,126,8790,242,23570,45,25172,69,18758,242,10729,242,8216,524,2300,524,159731,203,8041,242,7685,987,10272,987,6256,242,2834,242,9433,102,9724,101,8814,242,24246,242,25373,242,19369,242,12321,242,11167,685,4196,695
0500000US42013,42013,"Blair County, Pennsylvania",118914,316,57151,175,3538,242,4032,737,3313,737,2397,92,1348,242,3564,242,3758,242,3454,242,7944,84,9251,242,6862,242,4044,242,3171,226,475,226,61763,142,3241,242,3077,523,3871,512,2386,242,1117,63,3508,242,3693,242,3473,242,8387,242,9613,242,7703,242,5181,242,4717,563,1796,563
0500000US42017,42017,"Bucks County, Pennsylvania",547953,544,271038,368,15480,111,17986,1304,19026,1307,12702,242,6491,242,14982,180,13743,242,14487,242,42919,136,47531,242,33153,117,17840,242,11896,650,2802,650,276915,248,14321,113,15163,1417,20123,1417,11970,72,5536,242,14446,242,13137,242,14840,242,44244,155,48266,242,34176,101,19650,242,15414,1126,5629,1126
0500000US42019,42019,"Butler County, Pennsylvania",170347,222,83798,103,5009,242,4818,789,6835,789,3681,242,1841,242,5509,242,4989,242,4741,242,13137,242,14058,242,9312,242,5292,242,4163,271,413,246,86549,197,4869,242,4950,640,6022,632,3448,102,1639,242,5080,242,5230,242,4750,242,13721,242,13990,242,9702,242,6014,242,5355,461,1779,461
0500000US42021,42021,"Cambria County, Pennsylvania",133235,242,63889,242,3475,242,2904,578,4810,578,2606,242,1428,242,3788,242,3633,242,3561,242,8465,242,11005,242,8158,242,4740,242,4121,361,1195,361,69346,242,3403,242,3322,560,4010,560,2593,242,1277,242,3430,242,3743,242,3566,242,8697,242,11151,242,8599,242,6113,242,7294,559,2148,559
0500000US42027,42027,"Centre County, Pennsylvania",112961,197,57320,242,2583,242,2483,419,3033,419,1833,242,1084,242,12269,242,5806,242,3315,242,6604,242,7067,242,4978,242,3381,242,2483,236,401,236,55641,197,2701,242,2651,452,2642,452,1746,242,836,197,10910,242,4583,242,3026,242,6733,242,6777,242,5238,242,3827,242,3027,334,944,334
0500000US42029,42029,"Chester County, Pennsylvania",395452,531,194160,90,12100,242,13246,1235,14420,1247,9184,242,4329,242,10930,242,10646,242,10691,242,30438,242,33513,242,23210,242,11751,242,7471,569,2231,569,201292,484,11932,242,11264,1049,14895,1043,8845,242,3580,242,11907,394,10527,242,10792,118,32280,242,34541,242,24080,242,12902,153,11123,661,2624,661
0500000US42033,42033,"Clearfield County, Pennsylvania",77884,84,38218,72,2008,242,1960,465,2857,465,1699,242,862,242,2458,242,2160,242,2254,242,5667,242,6033,72,4667,242,2899,242,1803,329,891,329,39666,23,1821,242,2023,466,2627,466,1551,242,739,242,2100,242,2352,242,2201,242,5666,23,6098,242,4854,242,3430,242,3077,325,1127,325
0500000US42039,42039,"Crawford County, Pennsylvania",82880,242,40926,242,2436,242,2646,416,2941,416,1891,242,896,242,2840,242,2480,242,2196,242,5508,242,6366,242,5079,242,3038,242,2213,169,396,169,41954,242,2353,242,2556,416,2596,416,1723,242,753,242,2447,242,2576,242,2254,242,5701,242,6593,242,5198,242,3302,242,3245,252,657,252
0500000US42041,42041,"Cumberland County, Pennsylvania",194311,595,94416,286,5265,242,5021,739,6783,739,3887,242,2012,242,6057,242,5475,286,5885,242,14212,242,15673,242,11681,242,6742,242,5076,304,647,304,99895,311,4949,242,5436,995,5813,995,3819,242,1716,242,6254,242,5738,311,5794,242,14804,242,16117,242,12509,242,8017,242,6516,591,2413,591
0500000US42043,42043,"Dauphin County, Pennsylvania",183132,110,88220,110,5093,242,5926,941,4703,941,3650,68,1883,242,4455,242,4961,242,5342,242,13580,242,15644,87,11365,242,6072,242,4356,417,1190,417,94912,242,5198,242,4773,744,5380,744,3404,242,1543,242,4333,242,5426,242,5712,242,13992,242,16552,242,12018,242,7544,242,6719,586,2318,586
0500000US42045,42045,"Delaware County, Pennsylvania",399795,776,193550,260,11560,242,12416,1172,13919,1172,8959,68,4762,22,11194,71,8984,242,9815,107,29401,242,33217,242,22772,121,12444,23,11692,671,2415,671,206245,541,11043,242,10890,1296,14060,1301,8703,242,4296,242,9671,128,8991,242,10374,242,30423,244,34788,25,24838,124,15509,242,16409,1063,6250,1080
0500000US42049,42049,"Erie County, Pennsylvania",239122,72,116330,242,7065,242,6119,930,9562,930,5214,242,2738,242,8712,242,7147,242,6533,242,16255,242,19182,242,13234,242,7350,242,5775,541,1444,541,122792,72,6601,242,6608,802,8175,802,5006,242,2304,242,8785,242,7278,242,6878,242,16889,242,19740,72,13994,242,8758,242,8773,670,3003,670
