GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC04_EST_VC12,HC04_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC03_EST_VC14,HC03_MOE_VC14,HC04_EST_VC14,HC04_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC04_EST_VC16,HC04_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17,HC04_EST_VC17,HC04_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC03_EST_VC22,HC03_MOE_VC22,HC04_EST_VC22,HC04_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC03_EST_VC23,HC03_MOE_VC23,HC04_EST_VC23,HC04_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC03_EST_VC24,HC03_MOE_VC24,HC04_EST_VC24,HC04_MOE_VC24,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC03_EST_VC26,HC03_MOE_VC26,HC04_EST_VC26,HC04_MOE_VC26,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC03_EST_VC28,HC03_MOE_VC28,HC04_EST_VC28,HC04_MOE_VC28,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC03_EST_VC30,HC03_MOE_VC30,HC04_EST_VC30,HC04_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC03_EST_VC31,HC03_MOE_VC31,HC04_EST_VC31,HC04_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC03_EST_VC32,HC03_MOE_VC32,HC04_EST_VC32,HC04_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC03_EST_VC33,HC03_MOE_VC33,HC04_EST_VC33,HC04_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC03_EST_VC34,HC03_MOE_VC34,HC04_EST_VC34,HC04_MOE_VC34,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC03_EST_VC36,HC03_MOE_VC36,HC04_EST_VC36,HC04_MOE_VC36
0500000US34001,34001,"Atlantic County, New Jersey",203942,1131,68.7,1.6,63.3,1.5,7.6,1.3,13033,1629,50.8,6.8,34.7,6.7,31.8,10.7,14708,802,85.3,5.0,74.4,6.5,12.8,6.0,75703,904,83.1,2.2,76.7,2.6,7.5,1.9,39461,493,83.5,3.4,80.5,3.3,3.0,1.2,27432,911,67.2,4.7,64.2,4.7,4.2,2.0,16100,839,29.1,5.1,27.5,5.0,5.3,4.3,17505,593,10.8,4.6,9.5,4.6,11.7,18.0,N,N,N,N,N,N,N,N,141833,2267,67.9,1.9,63.6,1.8,5.9,1.3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,133580,1044,67.5,1.9,63.3,1.9,5.9,1.3,157304,1389,80.6,1.7,75.3,1.6,6.4,1.2,76284,1086,87.7,1.9,81.4,2.2,6.6,1.6,81020,791,74.0,2.4,69.5,2.5,6.1,2.0,(X),(X),(X),(X),(X),(X),(X),(X),12423,2211,56.5,9.5,35.1,7.8,37.9,9.7,18943,1955,58.1,6.6,50.6,5.9,12.9,4.8,142596,1211,80.2,1.7,75.4,1.7,5.7,1.2,18847,2553,73.1,7.1,62.3,6.7,14.7,5.2,47254,3173,79.9,3.0,75.7,3.3,5.3,1.9,39660,3087,83.8,2.6,78.0,3.3,5.9,2.4,36835,2840,80.2,3.0,78.8,2.9,1.5,1.0,3.1,(X),(X),(X),(X),(X),(X),(X)
0500000US34003,34003,"Bergen County, New Jersey",705894,1637,65.5,0.8,61.7,0.9,5.6,0.6,43508,1638,36.5,4.1,30.0,3.7,17.3,7.5,46153,1119,70.8,4.3,61.6,4.2,12.2,3.5,242391,102,82.3,1.3,77.7,1.4,5.5,1.0,141365,167,82.9,1.5,79.7,1.7,3.8,0.9,104752,242,69.6,2.1,66.7,2.2,4.1,1.0,62569,633,30.5,3.0,29.3,3.1,4.0,2.0,65156,509,7.6,1.4,7.2,1.3,4.4,3.5,N,N,N,N,N,N,N,N,526039,5355,64.2,0.9,60.9,1.0,5.0,0.8,37102,1641,73.2,4.1,69.1,4.6,5.5,2.8,N,N,N,N,N,N,N,N,93157,2597,65.2,2.2,61.8,2.2,5.2,1.9,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,89899,609,73.9,2.4,66.4,2.9,10.2,2.6,478894,1443,63.5,1.0,60.4,1.0,4.8,0.7,534661,1195,79.0,0.9,74.7,1.0,5.3,0.6,262255,876,87.5,1.2,82.5,1.5,5.6,1.1,272406,790,70.7,1.4,67.2,1.5,4.9,1.0,(X),(X),(X),(X),(X),(X),(X),(X),27094,3932,48.2,4.5,32.0,5.1,33.5,10.0,40322,3226,47.9,4.0,43.5,3.7,9.1,3.0,488508,306,79.7,0.9,75.9,1.0,4.7,0.6,34182,4344,56.8,5.1,51.8,5.3,8.8,3.9,114279,6410,79.4,2.3,73.5,2.7,7.4,1.7,104574,5043,79.5,2.1,75.5,2.2,5.0,1.2,235473,6721,83.3,1.2,80.8,1.3,3.0,0.7,3.7,(X),(X),(X),(X),(X),(X),(X)
0500000US34005,34005,"Burlington County, New Jersey",341101,1024,70.3,0.9,65.0,1.0,6.4,0.9,22265,1152,54.1,4.4,40.0,4.5,26.0,5.8,25751,780,85.5,3.5,71.0,5.1,15.2,4.7,124174,1170,85.2,1.5,80.0,1.7,4.3,1.1,67110,955,84.3,2.0,80.0,2.6,4.7,1.7,48062,410,68.0,3.2,65.2,3.5,3.8,1.9,27714,426,30.3,3.7,29.6,3.6,2.3,2.1,26025,319,8.2,2.1,7.7,2.0,7.2,7.1,N,N,N,N,N,N,N,N,263765,1442,70.3,0.9,65.8,1.1,5.5,0.9,48866,1305,68.6,3.1,59.5,3.9,11.2,3.2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,257877,1078,70.1,1.0,65.6,1.1,5.5,0.9,265097,671,81.9,1.1,76.4,1.2,5.4,0.9,129100,645,88.5,1.4,82.1,1.6,5.2,1.3,135997,450,75.7,1.5,71.1,1.7,5.7,1.1,(X),(X),(X),(X),(X),(X),(X),(X),11269,2238,58.4,8.3,41.8,9.0,28.3,10.0,28732,2520,50.6,4.6,45.7,4.8,9.7,3.8,239346,683,81.5,1.0,77.0,1.1,4.3,0.9,13909,1952,66.1,5.8,60.1,6.9,9.2,4.7,70510,4206,79.4,2.3,74.1,2.5,6.1,2.1,68230,4071,81.9,2.3,78.1,2.4,3.1,1.1,86697,4235,85.4,1.7,81.2,1.9,3.3,1.2,2.8,(X),(X),(X),(X),(X),(X),(X)
0500000US34007,34007,"Camden County, New Jersey",388753,1181,68.3,1.2,63.4,1.2,7.1,0.8,29657,1187,54.1,5.1,40.1,4.5,25.8,4.8,33138,428,82.1,4.6,70.9,4.9,13.1,3.3,138311,444,83.0,1.5,78.5,1.8,5.3,1.2,75578,159,82.9,2.4,78.4,2.8,5.3,1.7,52370,157,65.4,3.6,62.9,3.6,3.9,1.9,29684,437,29.4,4.4,28.1,4.4,4.4,4.7,30015,418,6.3,1.8,6.1,1.8,2.8,3.8,N,N,N,N,N,N,N,N,270088,1934,67.8,1.4,64.0,1.4,5.4,0.8,66821,1426,69.3,2.9,60.8,3.3,12.3,3.2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,28889,2060,67.9,5.0,60.0,5.1,11.6,3.6,N,N,N,N,N,N,N,N,38598,444,67.2,4.1,59.2,4.1,11.9,3.2,261544,879,68.0,1.4,64.2,1.4,5.4,0.8,299397,515,79.8,1.4,74.9,1.4,5.9,0.9,143800,562,86.5,1.5,81.6,1.7,5.6,1.2,155597,312,73.5,1.9,68.7,1.9,6.3,1.0,(X),(X),(X),(X),(X),(X),(X),(X),30833,3323,49.6,5.5,36.9,5.1,25.6,5.9,39480,2943,46.6,4.9,40.7,5.1,12.6,4.7,266259,386,79.5,1.3,75.4,1.4,5.0,0.8,32758,3057,58.9,4.6,52.9,4.4,10.1,3.4,83044,3749,76.9,2.4,71.5,2.7,7.0,2.0,67842,4129,84.2,2.0,80.7,2.1,4.2,1.3,82615,4039,86.4,1.8,83.9,1.8,2.6,0.9,2.8,(X),(X),(X),(X),(X),(X),(X)
0500000US34009,34009,"Cape May County, New Jersey",78229,445,61.0,2.3,56.6,2.4,6.3,1.7,5145,533,55.6,9.8,46.8,9.6,15.9,10.4,5234,519,74.4,11.0,67.9,11.4,5.9,5.5,21781,540,81.2,3.9,76.2,4.3,5.5,2.8,14672,611,84.1,5.5,79.1,5.9,4.4,2.2,11902,420,66.2,5.4,62.7,5.3,5.4,2.9,9562,422,20.4,4.7,17.0,4.6,16.5,12.0,9933,309,11.0,4.7,10.5,4.7,4.9,9.1,N,N,N,N,N,N,N,N,73309,946,60.9,2.4,56.6,2.5,6.3,1.7,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,71687,528,60.6,2.5,56.2,2.5,6.4,1.7,53589,409,78.0,3.0,73.2,3.0,5.2,1.6,25750,313,85.7,3.1,80.6,3.5,4.4,2.1,27839,359,70.9,4.7,66.3,4.6,6.0,2.2,(X),(X),(X),(X),(X),(X),(X),(X),3174,871,48.1,16.2,40.6,16.4,15.5,15.4,5321,976,49.2,10.2,43.7,9.4,11.2,7.4,48355,476,78.4,2.8,73.8,2.8,5.1,1.6,3923,870,66.0,9.9,61.2,10.8,7.3,7.4,17612,1798,76.5,5.1,71.8,5.4,4.9,2.8,13317,1441,78.2,6.2,75.0,6.4,3.5,2.1,13503,1394,84.6,4.0,78.7,5.0,6.4,3.5,3.5,(X),(X),(X),(X),(X),(X),(X)
0500000US34011,34011,"Cumberland County, New Jersey",106596,725,64.3,2.3,58.0,2.3,9.6,1.9,8340,1121,42.5,9.2,24.3,7.0,42.8,12.1,8619,674,77.0,8.6,71.9,8.5,6.7,4.4,38765,681,83.7,4.1,74.5,5.1,10.6,3.1,18587,153,78.4,3.9,74.7,4.5,4.7,2.6,14730,495,61.4,6.1,58.3,5.9,5.0,3.4,8865,424,17.9,5.9,17.9,5.9,0.0,10.6,8690,461,8.1,4.6,8.1,4.6,0.0,22.1,N,N,N,N,N,N,N,N,78182,2379,64.3,2.6,59.1,2.3,7.9,2.1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,65419,612,63.9,2.3,59.4,2.4,6.9,1.9,80701,1059,77.7,2.5,71.3,2.8,8.0,1.9,39175,740,82.4,3.1,75.0,4.3,8.7,3.1,41526,699,73.2,3.3,67.8,3.3,7.3,2.5,(X),(X),(X),(X),(X),(X),(X),(X),8890,2261,32.9,9.0,17.1,7.8,47.9,19.2,13042,2098,44.8,7.6,36.8,7.0,17.8,7.0,72082,852,77.7,2.5,71.2,2.9,8.2,2.0,14219,1833,60.9,6.8,52.1,7.1,14.4,6.0,27237,2227,76.1,4.5,67.8,5.6,10.8,4.1,18675,1992,85.1,3.4,79.7,4.0,6.4,2.7,11951,1922,90.0,3.7,88.8,3.9,0.7,0.9,2.2,(X),(X),(X),(X),(X),(X),(X)
0500000US34013,34013,"Essex County, New Jersey",580623,1450,66.5,1.1,60.0,1.2,9.8,1.0,42143,1571,35.8,4.0,21.7,4.2,39.3,8.8,48290,406,74.9,3.9,62.3,4.8,16.8,4.1,217251,326,83.6,1.5,76.8,1.8,8.1,1.2,109840,307,79.3,2.1,73.2,2.4,7.7,1.8,77925,273,65.1,2.6,60.9,2.8,6.4,2.3,43917,491,27.6,3.5,25.3,3.5,8.6,3.6,41257,494,7.9,2.4,7.6,2.4,3.8,6.1,N,N,N,N,N,N,N,N,252488,4320,64.7,1.4,60.6,1.6,6.3,1.1,230447,2691,66.4,1.8,57.5,2.0,13.4,2.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,65639,4714,72.5,3.8,64.9,3.8,10.5,3.3,N,N,N,N,N,N,N,N,98559,917,71.2,2.8,64.3,2.9,9.6,2.3,219995,1816,64.7,1.3,60.9,1.5,5.9,1.2,453306,476,78.4,1.1,71.7,1.3,8.6,1.0,213795,446,85.9,1.4,78.0,1.7,9.1,1.4,239511,371,71.8,1.8,66.0,1.8,8.1,1.4,(X),(X),(X),(X),(X),(X),(X),(X),53944,5413,47.4,4.7,30.7,4.3,35.2,5.4,40688,4043,40.4,4.0,33.3,3.5,17.6,5.2,405016,322,78.9,1.2,72.8,1.3,7.7,0.9,61738,4391,63.8,3.8,58.0,4.1,9.2,3.1,120995,5317,79.2,2.1,70.3,2.7,11.3,2.3,88299,4956,81.1,1.8,74.0,2.2,8.8,1.9,133984,5517,84.0,1.5,81.1,1.6,3.4,0.8,4.2,(X),(X),(X),(X),(X),(X),(X)
0500000US34015,34015,"Gloucester County, New Jersey",212564,871,68.7,1.4,65.1,1.5,5.0,0.9,15257,989,43.4,5.8,37.2,5.9,14.3,6.2,18319,784,81.3,6.9,72.3,7.5,10.0,2.9,78501,1092,86.1,2.0,83.4,2.2,3.0,1.1,42255,580,84.2,2.3,80.5,2.5,4.4,1.5,27515,550,63.0,4.2,59.5,4.2,5.5,3.1,16032,698,20.9,4.5,19.1,4.3,8.8,6.0,14685,515,4.6,2.2,4.2,2.1,9.1,14.3,N,N,N,N,N,N,N,N,182663,1065,69.3,1.4,65.9,1.5,4.7,0.9,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,180736,725,69.2,1.4,65.9,1.5,4.6,0.9,166590,812,81.2,1.5,77.5,1.7,4.5,0.9,80678,665,86.8,2.1,82.2,2.4,5.1,1.3,85912,498,76.0,2.3,73.1,2.5,3.8,1.2,(X),(X),(X),(X),(X),(X),(X),(X),10771,2174,47.3,9.2,35.5,9.3,25.0,10.5,16848,2435,46.2,5.6,40.7,6.2,12.0,6.9,148271,1047,81.2,1.5,78.1,1.7,3.8,0.9,10794,1605,64.6,7.2,62.0,8.3,4.0,5.4,53467,2880,77.1,2.4,71.9,3.0,6.7,2.3,42125,3138,84.4,2.8,82.3,3.1,2.3,1.3,41885,2596,87.7,2.3,86.0,2.6,2.0,1.3,2.0,(X),(X),(X),(X),(X),(X),(X)
0500000US34017,34017,"Hudson County, New Jersey",468471,1449,66.5,1.1,61.6,1.2,7.2,0.8,28525,1472,32.5,5.4,24.4,5.0,24.1,7.6,38493,627,77.6,4.0,65.6,4.7,15.2,4.0,204807,270,81.7,1.7,76.8,1.7,5.9,0.8,78368,216,79.6,2.6,76.1,2.6,4.4,1.5,54334,310,64.9,3.3,60.8,3.7,6.3,2.3,33069,321,19.9,3.2,17.3,3.1,13.2,7.5,30875,272,3.1,1.3,3.1,1.3,0.0,17.0,N,N,N,N,N,N,N,N,274488,6413,65.8,1.4,61.2,1.5,6.7,1.1,58488,2226,69.6,2.6,60.6,2.8,12.8,3.2,N,N,N,N,N,N,N,N,52546,1070,67.0,3.1,63.9,3.1,4.6,1.3,N,N,N,N,N,N,N,N,74763,6425,65.7,3.3,62.2,3.4,5.3,1.7,N,N,N,N,N,N,N,N,186121,1162,66.8,1.8,61.9,1.9,7.3,1.4,170173,1513,65.6,1.7,61.6,1.7,5.7,1.2,376002,655,78.4,1.3,73.2,1.3,6.6,0.8,188256,456,86.3,1.2,80.4,1.6,6.6,1.2,187746,589,70.5,2.1,65.9,2.2,6.5,1.0,(X),(X),(X),(X),(X),(X),(X),(X),46362,6744,49.1,4.6,39.5,5.1,19.6,5.8,35585,3187,38.2,4.8,32.8,4.5,14.1,4.9,337509,339,78.5,1.3,74.0,1.3,5.6,0.7,58484,4497,61.2,3.9,55.5,3.9,9.2,3.0,87333,5521,77.7,2.4,73.8,2.4,4.6,1.3,73100,4928,80.5,3.1,74.7,3.3,7.2,1.7,118592,5157,86.5,1.7,82.9,1.7,4.1,0.9,3.5,(X),(X),(X),(X),(X),(X),(X)
0500000US34019,34019,"Hunterdon County, New Jersey",98839,558,68.7,2.2,66.1,2.2,3.9,1.1,6889,480,44.7,9.9,39.3,9.8,12.0,8.1,5740,292,81.1,8.7,76.8,8.8,5.4,4.7,32802,809,80.1,3.2,76.8,3.2,4.1,1.6,23162,495,86.5,3.9,84.1,3.8,2.7,1.5,16558,535,70.0,5.4,68.4,5.3,2.4,1.5,7411,340,25.2,9.5,23.9,9.6,5.1,7.3,6277,112,7.0,4.3,7.0,4.3,0.0,32.1,N,N,N,N,N,N,N,N,92786,993,68.6,2.3,66.0,2.2,3.8,1.1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,90842,446,68.5,2.3,65.9,2.3,3.9,1.2,78262,349,79.9,2.3,77.2,2.3,3.4,1.1,38331,312,89.6,2.4,86.9,2.5,3.0,1.2,39931,311,70.7,3.7,67.9,3.6,4.0,1.7,(X),(X),(X),(X),(X),(X),(X),(X),N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,72522,424,79.9,2.5,77.2,2.4,3.3,1.0,2123,927,74.3,15.2,68.4,16.8,7.9,8.1,15594,1596,72.6,4.9,69.8,5.1,3.9,2.8,14480,1628,77.7,4.2,74.8,4.4,3.7,2.2,40325,2302,83.7,3.6,81.4,3.7,2.7,1.3,2.0,(X),(X),(X),(X),(X),(X),(X)
