GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 to 24 years,Margin of Error; Male: - 20 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 44 years,Margin of Error; Male: - 35 to 44 years,Estimate; Male: - 45 to 54 years,Margin of Error; Male: - 45 to 54 years,Estimate; Male: - 55 to 64 years,Margin of Error; Male: - 55 to 64 years,Estimate; Male: - 65 to 74 years,Margin of Error; Male: - 65 to 74 years,Estimate; Male: - 75 to 84 years,Margin of Error; Male: - 75 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 to 24 years,Margin of Error; Female: - 20 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 44 years,Margin of Error; Female: - 35 to 44 years,Estimate; Female: - 45 to 54 years,Margin of Error; Female: - 45 to 54 years,Estimate; Female: - 55 to 64 years,Margin of Error; Female: - 55 to 64 years,Estimate; Female: - 65 to 74 years,Margin of Error; Female: - 65 to 74 years,Estimate; Female: - 75 to 84 years,Margin of Error; Female: - 75 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
0500000US34001,34001,"Atlantic County, New Jersey",44553,746,20859,433,1823,123,869,454,2830,517,1326,273,751,595,1765,613,1182,243,821,421,3252,420,2661,273,1640,273,1087,273,778,151,74,121,23694,641,1502,236,1276,522,2370,558,1487,339,791,415,1466,415,1535,273,1568,273,3519,155,3333,383,2024,171,1339,174,1031,330,453,325
0500000US34003,34003,"Bergen County, New Jersey",51504,1863,23852,1106,823,583,1969,695,1632,686,1395,316,1274,712,1806,637,1532,175,1642,92,3924,232,3444,94,2336,273,1634,412,275,257,166,221,27652,1134,1342,316,1555,636,1846,634,1146,131,571,477,2095,521,1488,273,1855,150,5010,522,3966,90,3256,370,2094,184,721,316,707,316
0500000US34005,34005,"Burlington County, New Jersey",73366,1587,37830,821,2062,298,2424,522,3146,623,1861,216,1201,133,4226,181,3294,263,2712,208,5926,215,4824,229,3178,185,1888,130,979,140,109,126,35536,1166,1879,415,1914,536,3368,503,1850,146,825,176,2551,224,2401,248,2512,273,5731,478,5256,173,3433,331,2296,198,965,221,555,220
0500000US34007,34007,"Camden County, New Jersey",97253,2588,45359,1334,3830,337,3417,753,4459,774,2514,288,1616,273,3469,268,3359,229,3102,323,6948,423,5939,472,3315,332,2126,165,1172,164,93,164,51894,1544,3987,336,2823,590,4443,664,2586,243,1573,224,4116,275,3519,567,3791,344,8125,441,7238,184,4564,199,2831,120,1400,308,898,308
0500000US34011,34011,"Cumberland County, New Jersey",31540,1234,17734,881,1301,627,1248,397,974,354,753,93,910,711,971,475,1435,540,1718,539,5106,886,1643,679,818,176,508,220,232,208,117,158,13806,549,854,259,1391,466,932,488,757,40,695,353,602,349,1120,50,1288,359,1910,20,1754,77,1094,273,735,273,604,69,70,69
0500000US34013,34013,"Essex County, New Jersey",323306,3312,148735,1859,13705,467,12716,1538,13625,1497,8361,308,4723,130,11179,621,10726,782,9842,438,21072,563,19182,484,11963,462,7175,133,3326,561,1140,486,174571,2108,12600,644,11602,1472,12947,1389,8367,354,4745,87,11943,491,12331,392,12366,365,27207,284,23385,592,17087,269,11195,430,6607,783,2189,688
0500000US34015,34015,"Gloucester County, New Jersey",27447,1569,13498,838,1029,132,722,292,1170,406,1226,379,592,387,793,538,1059,601,814,87,1848,229,1842,43,1205,273,606,259,540,275,52,86,13949,1121,619,375,1116,472,796,427,480,348,658,569,806,530,1199,751,394,272,2914,357,1915,235,1451,273,1036,317,473,261,92,111
0500000US34017,34017,"Hudson County, New Jersey",85206,3193,40885,2023,3331,665,2983,810,4004,753,1959,345,1373,360,4292,845,2680,444,3430,86,6941,267,4486,477,3167,451,1479,379,482,214,278,261,44321,1688,3357,506,2276,678,3463,678,1907,160,1400,221,3480,370,3137,315,3267,311,7447,418,6757,725,3731,392,2319,99,1356,366,424,295
0500000US34021,34021,"Mercer County, New Jersey",72257,1632,34929,954,2716,547,2401,866,3793,827,1981,108,1397,152,2738,220,2571,397,2707,170,5160,177,4569,273,2338,217,1536,273,897,126,125,126,37328,1155,2693,368,2772,518,3093,550,2069,78,1171,273,2433,527,2993,122,2337,398,5547,252,5308,273,3227,227,2041,192,1486,316,158,169
0500000US34023,34023,"Middlesex County, New Jersey",73615,1847,35979,996,2785,239,1972,717,3879,774,2010,162,1791,478,2422,468,2379,273,2226,679,6504,259,5226,182,2843,84,1185,316,508,300,249,238,37636,1287,2457,419,1811,749,3150,871,1881,273,1625,626,2665,668,2158,196,2847,122,6793,259,5669,185,3402,180,1872,273,998,229,308,219
0500000US34025,34025,"Monmouth County, New Jersey",48488,1222,22222,827,1730,212,2776,500,1298,437,1232,260,883,273,1645,263,1397,247,1009,611,3276,608,2922,259,1946,87,1281,273,528,221,299,215,26266,708,1638,250,1815,515,2113,529,1373,273,721,339,1829,345,1534,105,1667,273,3732,118,3755,81,2507,146,1853,164,1253,292,476,273
0500000US34027,34027,"Morris County, New Jersey",15151,953,7726,580,765,227,946,296,421,295,350,197,177,231,553,375,434,364,261,274,1636,273,1023,108,558,323,587,320,15,26,0,273,7425,643,221,172,452,205,657,199,305,183,289,293,233,287,518,304,639,742,1434,568,870,487,573,365,414,252,457,376,363,340
0500000US34029,34029,"Ocean County, New Jersey",18501,944,8943,503,814,97,935,378,826,319,259,234,650,371,544,448,404,361,681,402,1821,508,677,485,727,329,496,312,109,135,0,273,9558,658,661,179,771,224,904,234,791,220,309,267,707,398,656,552,856,237,1409,496,1098,449,901,371,446,271,0,273,49,84
0500000US34031,34031,"Passaic County, New Jersey",60066,2107,27448,1180,2207,375,2559,696,2560,723,1813,249,1027,434,2275,443,1976,400,1553,177,4283,289,3161,482,2389,324,1074,332,571,305,0,273,32618,1357,2333,203,1981,746,3132,674,1498,252,1121,439,2480,443,2010,452,1996,413,5291,120,4375,405,3189,508,2016,273,763,239,433,239
0500000US34033,34033,"Salem County, New Jersey",10104,558,4682,425,421,278,534,179,303,175,398,123,485,606,38,64,421,350,20,36,769,592,327,380,487,14,389,112,90,107,0,273,5422,403,320,248,442,288,510,314,135,109,242,295,325,327,469,361,394,380,546,308,769,360,565,54,327,176,273,149,105,116
0500000US34035,34035,"Somerset County, New Jersey",27536,733,13050,916,1029,657,858,349,1063,361,646,314,147,181,1147,687,813,735,1446,690,1943,650,2030,175,1386,269,195,187,347,238,0,273,14486,804,1299,668,1128,381,934,328,798,322,206,230,675,491,1230,520,921,110,2619,273,2294,99,1418,123,763,224,133,164,68,90
0500000US34039,34039,"Union County, New Jersey",112370,1951,51846,1368,4015,350,3648,941,5561,1018,2969,189,1914,133,3817,362,2821,539,3085,123,8477,645,6904,273,4606,350,2603,273,1179,235,247,235,60524,981,3944,138,4002,853,4702,796,2895,291,1712,146,4246,203,3649,136,4001,266,10324,370,8600,371,6218,273,3559,220,1450,391,1222,380
0500000US42003,42003,"Allegheny County, Pennsylvania",156335,3524,70500,1748,6125,663,6385,1234,7089,1123,4193,370,2731,239,6148,159,4158,265,3733,178,8850,244,8901,517,5827,374,3478,105,1984,425,898,398,85835,2237,5259,939,6105,1266,6986,1235,4547,316,2717,182,6499,410,4974,446,5160,115,11598,369,12370,332,8218,233,5439,247,4211,535,1752,494
0500000US42007,42007,"Beaver County, Pennsylvania",10975,938,5419,501,606,51,541,301,358,240,367,183,410,298,254,188,333,247,90,130,639,324,846,380,334,194,371,214,270,194,0,240,5556,694,470,153,617,233,309,137,352,180,260,287,503,314,186,192,433,328,527,328,826,240,528,111,347,208,198,126,0,240
0500000US42011,42011,"Berks County, Pennsylvania",17979,1773,9377,1164,582,262,615,349,1316,560,513,86,359,213,677,295,606,320,755,496,1597,529,1108,219,832,234,195,180,92,151,130,205,8602,806,583,165,514,351,1055,432,621,235,467,417,772,368,284,219,665,480,1240,481,954,174,825,295,412,240,105,124,105,122
0500000US42017,42017,"Bucks County, Pennsylvania",21631,1062,9741,788,604,351,914,338,682,302,533,298,794,186,267,190,647,262,1032,621,1273,838,1359,596,946,375,380,336,274,294,36,61,11890,647,1232,430,328,290,1642,274,813,302,173,137,973,298,371,289,807,240,2752,406,963,406,1376,311,340,242,66,92,54,89
0500000US42029,42029,"Chester County, Pennsylvania",29965,1172,15023,723,1054,234,1491,487,801,351,1212,229,840,297,1667,460,790,404,750,429,2418,415,1535,296,1133,148,1015,222,245,206,72,117,14942,838,1022,178,568,377,1418,468,450,225,880,586,1699,523,971,62,808,202,1860,343,2118,240,1354,20,879,240,640,184,275,184
0500000US42041,42041,"Cumberland County, Pennsylvania",6440,786,4302,628,280,291,373,295,377,335,0,240,178,150,221,147,811,442,399,322,551,255,759,422,140,116,134,125,79,104,0,240,2138,431,139,173,0,240,142,154,55,92,380,207,91,145,447,424,302,288,98,133,262,281,129,123,0,240,22,45,71,111
0500000US42043,42043,"Dauphin County, Pennsylvania",44287,1415,20699,1021,1950,442,1555,510,2188,610,1210,171,614,97,522,376,2168,428,1330,240,2884,136,2971,240,1844,240,952,245,511,245,0,240,23588,660,2050,194,1704,495,2340,492,1384,240,733,240,1343,192,1450,235,1378,225,3592,22,3019,224,2131,240,1412,237,621,225,431,228
0500000US42045,42045,"Delaware County, Pennsylvania",99995,1332,47455,743,3870,476,4309,625,4308,645,3252,141,1886,121,4047,191,3617,111,3127,119,7085,255,5926,107,3025,240,1682,240,1164,206,157,195,52540,810,3722,465,3734,784,4169,791,2849,29,1794,55,3929,119,4323,74,3648,62,8343,87,6907,284,4122,69,2425,240,1757,312,818,312
0500000US42049,42049,"Erie County, Pennsylvania",17696,1129,9048,793,805,398,1170,387,620,248,703,217,601,415,232,237,999,516,657,363,1103,392,1061,410,423,248,439,232,235,171,0,240,8648,726,833,245,631,330,789,325,523,215,418,243,351,236,844,305,567,304,1808,530,523,284,857,231,275,167,173,196,56,96
0500000US42071,42071,"Lancaster County, Pennsylvania",16818,1232,7954,849,490,344,1249,327,494,368,59,99,492,350,969,471,672,200,437,382,988,546,1177,581,497,182,140,112,290,203,0,240,8864,876,1133,526,1233,439,921,362,556,475,407,352,451,295,519,333,350,302,1173,521,1206,490,406,236,409,224,49,85,51,84
0500000US42077,42077,"Lehigh County, Pennsylvania",16733,1380,8723,857,847,534,763,372,1155,426,898,181,942,375,456,256,248,281,323,258,1285,381,1070,414,592,142,144,142,0,240,0,240,8010,863,997,449,463,250,1013,365,122,181,570,380,491,251,566,399,486,327,1904,476,479,318,475,191,308,184,52,84,84,98
0500000US42079,42079,"Luzerne County, Pennsylvania",7514,591,4732,435,411,224,113,119,398,260,103,168,283,216,410,206,304,144,451,353,1356,445,578,261,241,107,61,72,23,38,0,240,2782,456,153,129,248,211,257,172,282,194,29,49,0,240,130,209,290,238,624,361,474,259,224,108,71,88,0,240,0,240
0500000US42085,42085,"Mercer County, Pennsylvania",6594,865,2851,515,0,240,217,233,401,308,104,97,98,141,98,141,247,284,275,165,517,223,333,193,197,123,273,173,91,157,0,240,3743,545,330,381,98,115,398,294,413,181,70,115,0,240,66,126,280,206,583,413,754,405,424,170,17,30,260,191,50,78
0500000US42089,42089,"Monroe County, Pennsylvania",20949,1285,10843,857,698,375,1027,509,780,481,645,292,1113,601,604,483,805,575,1005,661,1587,599,1352,143,617,221,78,124,438,269,94,154,10106,950,462,350,994,416,823,400,550,299,505,649,1596,727,484,504,369,433,1921,535,1323,480,796,297,96,123,187,207,0,240
0500000US42091,42091,"Montgomery County, Pennsylvania",60245,2323,29847,1262,1731,499,2366,593,1278,581,1520,233,956,138,2419,220,2286,181,1974,463,5453,118,4580,118,2847,240,1549,51,647,172,241,157,30398,1420,1583,603,1892,594,2189,548,1503,325,950,127,1767,508,1909,303,2001,210,5077,280,4759,151,3225,172,1764,108,1256,258,523,258
0500000US42095,42095,"Northampton County, Pennsylvania",11024,826,5712,596,534,175,463,220,359,233,394,173,412,269,650,302,303,203,181,148,914,396,617,359,406,297,300,233,179,226,0,240,5312,537,453,197,665,153,364,188,268,150,89,143,276,260,472,354,807,325,1069,291,367,244,186,186,81,139,124,148,91,146
0500000US42101,42101,"Philadelphia County, Pennsylvania",642013,3944,287681,2106,27923,972,24089,2264,28404,2188,17989,463,9891,431,20732,504,18837,468,16015,403,38109,591,36837,582,24108,492,14168,241,8045,657,2534,630,354332,2566,26200,1138,24045,1961,27017,1877,18149,480,10908,233,23302,681,22384,618,21533,392,50764,532,49698,533,34499,256,23073,97,17049,944,5711,934
0500000US42125,42125,"Washington County, Pennsylvania",6957,1072,3392,721,105,194,516,537,152,187,144,203,136,158,306,201,0,240,53,100,775,265,479,240,311,215,170,148,245,175,0,240,3565,650,166,306,0,240,219,235,471,369,68,114,185,144,99,122,223,252,716,302,468,240,313,194,170,115,158,133,309,176
0500000US42129,42129,"Westmoreland County, Pennsylvania",8382,772,4473,415,359,253,385,187,435,204,206,143,250,257,330,292,286,285,250,237,846,264,408,267,307,186,137,150,226,240,48,99,3909,579,391,278,344,250,341,222,246,153,173,179,81,140,127,159,218,173,574,312,528,310,410,217,357,224,119,131,0,240
0500000US42133,42133,"York County, Pennsylvania",19752,1694,9782,1040,681,348,868,390,868,319,790,302,713,540,1003,366,309,236,600,385,1684,484,1121,417,561,260,520,287,64,108,0,240,9970,908,1245,301,756,359,1280,505,556,95,201,212,926,491,599,427,683,126,1127,477,1193,529,679,252,539,252,186,141,0,240
