GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 to 24 years,Margin of Error; Male: - 20 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 44 years,Margin of Error; Male: - 35 to 44 years,Estimate; Male: - 45 to 54 years,Margin of Error; Male: - 45 to 54 years,Estimate; Male: - 55 to 64 years,Margin of Error; Male: - 55 to 64 years,Estimate; Male: - 65 to 74 years,Margin of Error; Male: - 65 to 74 years,Estimate; Male: - 75 to 84 years,Margin of Error; Male: - 75 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 to 24 years,Margin of Error; Female: - 20 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 44 years,Margin of Error; Female: - 35 to 44 years,Estimate; Female: - 45 to 54 years,Margin of Error; Female: - 45 to 54 years,Estimate; Female: - 55 to 64 years,Margin of Error; Female: - 55 to 64 years,Estimate; Female: - 65 to 74 years,Margin of Error; Female: - 65 to 74 years,Estimate; Female: - 75 to 84 years,Margin of Error; Female: - 75 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
0500000US34001,34001,"Atlantic County, New Jersey",17984,355,8725,330,696,277,807,250,542,250,150,149,323,281,231,236,713,305,474,325,1915,337,1349,137,1230,291,201,250,94,160,0,273,9259,313,387,241,614,417,570,267,590,321,29,47,513,99,689,273,1006,273,2111,260,1076,260,986,346,246,200,338,285,104,124
0500000US34003,34003,"Bergen County, New Jersey",125373,1835,60757,1054,3462,302,3731,816,4842,725,2680,133,1093,126,2965,359,3760,140,5546,98,12623,135,10488,174,5750,90,2700,112,1029,223,88,141,64616,1036,3358,306,4509,739,3801,809,2674,133,1004,273,2865,199,4145,262,6218,438,14154,280,10806,257,5998,138,3181,273,1752,181,151,181
0500000US34005,34005,"Burlington County, New Jersey",18007,1028,8764,568,470,269,330,188,849,218,691,163,451,476,106,166,725,449,308,197,2478,278,1009,163,697,273,421,153,229,153,0,273,9243,937,782,271,481,283,451,301,127,164,350,491,379,334,673,475,888,330,1953,88,1229,144,941,273,473,190,274,236,242,258
0500000US34007,34007,"Camden County, New Jersey",23789,699,11748,546,687,180,784,403,780,400,601,285,383,266,786,277,688,273,1114,273,1942,157,1784,273,1259,110,474,261,466,273,0,273,12041,393,679,151,757,269,938,336,387,261,500,305,718,381,548,339,1170,34,2084,273,1840,97,1462,273,395,260,387,278,176,197
0500000US34013,34013,"Essex County, New Jersey",33772,845,15853,633,847,240,1188,360,798,339,457,232,484,291,1056,301,1242,273,1320,273,2749,283,2631,79,1772,149,1229,124,80,124,0,273,17919,462,929,172,1584,292,577,282,964,241,508,259,861,257,1091,95,1434,156,3235,273,3184,79,1938,102,1035,346,495,347,84,139
0500000US34017,34017,"Hudson County, New Jersey",68136,1342,35235,970,2325,311,2167,504,1664,467,1469,451,555,305,2664,321,3467,130,4150,273,6642,342,4445,196,3419,257,1602,370,666,361,0,273,32901,777,2172,363,1223,453,2277,500,689,426,390,238,2436,178,2531,103,3742,175,6186,250,4730,104,3694,178,1790,92,815,190,226,190
0500000US34021,34021,"Mercer County, New Jersey",30494,355,14910,310,1101,273,1079,300,784,286,457,210,466,284,1193,344,1101,363,1591,273,2846,273,2111,273,1236,273,584,255,361,255,0,273,15584,250,895,118,1290,309,702,306,544,203,287,234,559,393,1807,468,1866,273,3122,273,2097,273,1377,447,749,446,289,299,0,273
0500000US34023,34023,"Middlesex County, New Jersey",142423,1513,71832,903,5850,379,5523,678,4039,668,2338,122,1682,231,3291,189,5092,117,9751,219,15991,116,9272,192,5027,152,2751,132,942,232,283,231,70591,804,5922,261,4732,831,4401,829,2156,170,1680,106,3795,57,6340,22,9318,108,13770,237,8791,136,5106,178,2935,273,1159,385,486,338
0500000US34025,34025,"Monmouth County, New Jersey",32998,896,16241,521,985,173,1165,464,1177,493,833,273,624,368,485,334,1103,194,1509,298,2983,273,2552,139,1697,273,839,225,289,225,0,273,16757,582,910,157,1491,287,830,296,613,139,182,152,782,208,1010,156,1376,273,3479,296,2929,73,1696,273,1053,316,406,316,0,273
