GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Less than $10,000","Margin of Error; Less than $10,000","Estimate; $10,000 to $14,999","Margin of Error; $10,000 to $14,999","Estimate; $15,000 to $19,999","Margin of Error; $15,000 to $19,999","Estimate; $20,000 to $24,999","Margin of Error; $20,000 to $24,999","Estimate; $25,000 to $29,999","Margin of Error; $25,000 to $29,999","Estimate; $30,000 to $34,999","Margin of Error; $30,000 to $34,999","Estimate; $35,000 to $39,999","Margin of Error; $35,000 to $39,999","Estimate; $40,000 to $44,999","Margin of Error; $40,000 to $44,999","Estimate; $45,000 to $49,999","Margin of Error; $45,000 to $49,999","Estimate; $50,000 to $59,999","Margin of Error; $50,000 to $59,999","Estimate; $60,000 to $74,999","Margin of Error; $60,000 to $74,999","Estimate; $75,000 to $99,999","Margin of Error; $75,000 to $99,999","Estimate; $100,000 to $124,999","Margin of Error; $100,000 to $124,999","Estimate; $125,000 to $149,999","Margin of Error; $125,000 to $149,999","Estimate; $150,000 to $199,999","Margin of Error; $150,000 to $199,999","Estimate; $200,000 or more","Margin of Error; $200,000 or more"
0500000US34001,34001,"Atlantic County, New Jersey",17017,1108,2000,668,1234,689,873,432,683,391,543,354,1376,522,819,567,1147,621,943,583,1930,756,2421,835,1689,768,736,368,330,262,258,216,35,61
0500000US34003,34003,"Bergen County, New Jersey",19361,1507,1397,815,1304,634,467,403,282,238,574,433,411,358,825,587,1412,827,1217,618,1695,754,2943,971,2503,993,1492,615,980,519,1256,655,603,376
0500000US34005,34005,"Burlington County, New Jersey",24508,1510,1389,867,1356,693,668,375,1431,682,810,545,765,353,777,406,1396,541,2291,858,2487,707,3601,959,3552,920,2171,777,1072,483,582,400,160,157
0500000US34007,34007,"Camden County, New Jersey",33690,1558,4054,1000,1544,567,1867,726,2496,1005,1319,650,3113,857,1394,525,1371,501,1618,496,3716,1139,3919,858,3276,884,2059,680,716,400,734,430,494,397
0500000US34011,34011,"Cumberland County, New Jersey",9061,799,1456,631,843,398,1230,436,516,429,881,445,763,622,280,250,530,311,141,118,488,322,900,661,566,389,155,212,282,283,13,21,17,31
0500000US34013,34013,"Essex County, New Jersey",115288,2759,17935,2230,8278,1360,7404,1268,5930,1172,5388,1066,6791,1421,6581,1395,6988,1710,6823,1497,8316,1517,11044,1742,10321,1525,5580,1293,2297,803,3750,944,1862,618
0500000US34015,34015,"Gloucester County, New Jersey",9466,985,723,398,839,483,391,246,350,351,471,277,368,285,85,106,533,390,486,403,839,459,972,551,1174,641,555,339,879,520,387,270,414,374
0500000US34017,34017,"Hudson County, New Jersey",32559,2259,4918,1130,3160,1003,2166,818,2728,852,2235,877,1515,619,1853,663,2733,1104,1205,593,1686,612,2154,760,3110,864,1483,658,221,229,1186,855,206,183
0500000US34021,34021,"Mercer County, New Jersey",22806,1471,3225,875,1324,565,1094,534,1367,622,2330,817,1033,504,1035,629,648,455,1153,556,1586,604,1474,713,3243,1019,1423,671,627,491,1117,632,127,138
0500000US34023,34023,"Middlesex County, New Jersey",23925,1483,1232,578,1141,547,687,473,795,517,858,606,1212,574,998,535,929,440,978,612,2294,833,2011,766,4543,1190,2693,826,1337,574,1805,918,412,390
0500000US34025,34025,"Monmouth County, New Jersey",16263,1207,1962,694,705,475,1213,493,926,505,1064,455,1033,540,545,351,901,537,900,483,969,484,1141,537,2167,743,1153,515,638,308,381,231,565,377
0500000US34029,34029,"Ocean County, New Jersey",5646,837,204,196,190,157,435,318,0,273,207,214,540,573,356,286,327,427,414,411,511,320,585,422,645,275,748,441,132,168,85,145,267,341
0500000US34031,34031,"Passaic County, New Jersey",19289,1284,2857,827,1924,719,822,446,1077,503,634,427,1994,694,1244,560,696,358,1169,606,583,281,1555,546,2603,771,1182,492,325,251,408,337,216,229
0500000US34039,34039,"Union County, New Jersey",38294,1454,2689,750,1617,723,1906,711,1671,603,2384,810,2124,911,2236,832,2145,891,1454,722,2636,767,4257,896,5796,1159,3306,873,1621,677,1419,529,1033,631
0500000US42003,42003,"Allegheny County, Pennsylvania",62976,2283,13749,2090,7287,1195,6058,1386,5314,1258,4050,1007,4069,979,3561,994,3092,950,2295,829,3928,1099,3540,1100,3488,928,858,466,733,359,619,391,335,287
0500000US42011,42011,"Berks County, Pennsylvania",5284,730,589,397,522,318,519,364,106,133,188,132,331,231,211,241,112,124,375,256,886,575,511,374,523,383,178,177,92,115,141,171,0,240
0500000US42017,42017,"Bucks County, Pennsylvania",8112,1369,982,667,746,551,426,310,630,460,419,448,752,539,513,470,805,573,190,187,564,456,262,251,799,548,350,300,101,100,204,239,369,337
0500000US42029,42029,"Chester County, Pennsylvania",9526,909,1204,623,1284,556,520,284,523,326,480,287,525,387,387,229,359,257,130,162,627,370,629,365,874,432,1329,518,361,337,96,117,198,195
0500000US42043,42043,"Dauphin County, Pennsylvania",16593,1327,2767,933,680,370,1289,590,956,585,1555,584,1687,633,591,451,482,330,767,364,1471,718,2381,784,1245,584,500,316,222,213,0,240,0,240
0500000US42045,42045,"Delaware County, Pennsylvania",34947,1421,4029,968,2747,689,2107,702,2890,857,2988,890,1703,591,2292,663,2099,728,2053,741,3103,724,2745,792,3412,882,1546,503,880,504,194,157,159,174
0500000US42071,42071,"Lancaster County, Pennsylvania",5187,714,922,530,658,372,595,515,235,221,217,293,170,161,270,231,159,218,324,251,456,279,273,235,680,524,63,109,165,186,0,240,0,240
0500000US42077,42077,"Lehigh County, Pennsylvania",5036,708,647,370,329,253,343,228,246,177,585,403,186,169,510,435,364,273,171,169,434,380,579,423,308,197,198,162,136,173,0,240,0,240
0500000US42091,42091,"Montgomery County, Pennsylvania",22497,1546,1400,581,1431,720,927,424,919,449,727,426,1356,569,955,515,1237,589,1527,611,1744,760,2812,963,3303,793,1720,654,861,399,1016,457,562,333
0500000US42101,42101,"Philadelphia County, Pennsylvania",234111,4223,52354,3750,23430,2538,18991,2269,15872,2010,17374,2054,15781,1798,12945,2005,11133,1762,6649,1333,17203,2128,16291,2503,16356,2255,5144,1050,2404,823,1428,509,756,544
0500000US42133,42133,"York County, Pennsylvania",6574,770,1233,495,603,414,810,368,480,389,410,246,362,316,680,428,378,335,0,240,286,282,232,244,485,362,53,88,278,299,139,127,145,212
