GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Less than $10,000","Margin of Error; Less than $10,000","Estimate; $10,000 to $14,999","Margin of Error; $10,000 to $14,999","Estimate; $15,000 to $19,999","Margin of Error; $15,000 to $19,999","Estimate; $20,000 to $24,999","Margin of Error; $20,000 to $24,999","Estimate; $25,000 to $29,999","Margin of Error; $25,000 to $29,999","Estimate; $30,000 to $34,999","Margin of Error; $30,000 to $34,999","Estimate; $35,000 to $39,999","Margin of Error; $35,000 to $39,999","Estimate; $40,000 to $44,999","Margin of Error; $40,000 to $44,999","Estimate; $45,000 to $49,999","Margin of Error; $45,000 to $49,999","Estimate; $50,000 to $59,999","Margin of Error; $50,000 to $59,999","Estimate; $60,000 to $74,999","Margin of Error; $60,000 to $74,999","Estimate; $75,000 to $99,999","Margin of Error; $75,000 to $99,999","Estimate; $100,000 to $124,999","Margin of Error; $100,000 to $124,999","Estimate; $125,000 to $149,999","Margin of Error; $125,000 to $149,999","Estimate; $150,000 to $199,999","Margin of Error; $150,000 to $199,999","Estimate; $200,000 or more","Margin of Error; $200,000 or more"
0500000US34001,34001,"Atlantic County, New Jersey",8290,1327,974,599,804,499,795,619,659,486,583,423,809,635,901,532,263,362,363,333,217,267,1272,692,327,228,259,182,64,101,0,273,0,273
0500000US34003,34003,"Bergen County, New Jersey",12567,1924,533,421,433,368,466,418,850,510,837,535,394,474,731,543,1090,858,246,342,1755,804,1191,554,2033,831,682,418,344,245,856,490,126,151
0500000US34007,34007,"Camden County, New Jersey",11881,1364,2894,1097,397,314,1103,486,1086,562,426,341,61,103,499,343,622,374,454,338,1067,515,1088,464,1422,696,474,434,288,314,0,273,0,273
0500000US34013,34013,"Essex County, New Jersey",21138,1882,2525,959,1025,540,1806,893,1382,628,669,371,1309,657,1288,468,973,525,730,465,1607,687,2791,948,2586,826,1266,497,734,429,293,330,154,150
0500000US34017,34017,"Hudson County, New Jersey",28890,2438,2791,751,2492,949,1737,662,1592,690,2127,704,1962,788,1274,497,1722,608,1618,720,3332,935,2973,1004,2929,781,1566,719,184,214,394,359,197,193
0500000US34023,34023,"Middlesex County, New Jersey",21014,1698,1522,843,1205,645,1143,684,617,396,1151,515,1728,843,1314,679,1559,709,773,418,2880,1047,1657,682,2808,839,1280,680,685,398,530,470,162,230
0500000US34025,34025,"Monmouth County, New Jersey",5372,920,107,123,548,355,604,382,465,327,730,391,125,196,194,225,295,283,0,273,267,257,440,299,832,450,348,353,290,450,77,90,50,83
0500000US34031,34031,"Passaic County, New Jersey",31902,2049,4541,1276,2089,740,2523,916,3032,1105,3021,1075,1918,930,2009,866,1641,676,2342,886,2461,863,1943,749,2261,865,1216,596,452,450,385,265,68,118
0500000US34039,34039,"Union County, New Jersey",20251,1834,1350,665,636,421,745,532,1435,656,1019,545,1013,550,1930,627,799,496,1534,777,1955,749,3064,963,2044,674,1445,657,704,441,339,362,239,239
0500000US42011,42011,"Berks County, Pennsylvania",9729,1022,1208,607,660,451,1244,624,1345,537,702,381,899,483,1222,577,534,369,713,439,640,480,259,329,303,285,0,240,0,240,0,240,0,240
0500000US42071,42071,"Lancaster County, Pennsylvania",4221,915,307,245,306,279,525,398,401,317,627,445,479,336,289,320,266,285,160,136,235,290,485,394,63,108,0,240,78,119,0,240,0,240
0500000US42077,42077,"Lehigh County, Pennsylvania",8786,1256,1419,571,797,531,978,530,615,465,920,551,613,519,494,463,150,226,277,339,706,462,598,459,827,502,268,295,0,240,124,179,0,240
0500000US42095,42095,"Northampton County, Pennsylvania",3977,759,508,302,119,119,243,286,284,258,605,345,219,205,133,171,101,118,363,268,412,362,399,350,166,139,240,237,0,240,185,178,0,240
0500000US42101,42101,"Philadelphia County, Pennsylvania",28772,2065,7212,1538,2449,809,1722,604,2669,859,1549,712,1933,688,1843,738,1581,678,1244,679,1897,870,1012,540,2522,738,868,461,49,80,155,173,67,109
