GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2006 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2006 inflation-adjusted dollars)
0500000US34001,34001,"Atlantic County, New Jersey",31442,4336
0500000US34003,34003,"Bergen County, New Jersey",53839,4793
0500000US34005,34005,"Burlington County, New Jersey",41367,15995
0500000US34007,34007,"Camden County, New Jersey",33914,17142
0500000US34011,34011,"Cumberland County, New Jersey",36250,28138
0500000US34013,34013,"Essex County, New Jersey",42410,5904
0500000US34015,34015,"Gloucester County, New Jersey",59513,26916
0500000US34017,34017,"Hudson County, New Jersey",41085,4294
0500000US34021,34021,"Mercer County, New Jersey",34038,20459
0500000US34023,34023,"Middlesex County, New Jersey",46679,7827
0500000US34025,34025,"Monmouth County, New Jersey",38879,14364
0500000US34027,34027,"Morris County, New Jersey",49770,10253
0500000US34029,34029,"Ocean County, New Jersey",53193,4873
0500000US34031,34031,"Passaic County, New Jersey",31634,3885
0500000US34033,34033,"Salem County, New Jersey",60282,35795
0500000US34035,34035,"Somerset County, New Jersey",60645,18812
0500000US34037,34037,"Sussex County, New Jersey",90368,7761
0500000US34039,34039,"Union County, New Jersey",49013,4131
0500000US34041,34041,"Warren County, New Jersey",48827,4047
0500000US42001,42001,"Adams County, Pennsylvania",42625,20520
0500000US42005,42005,"Armstrong County, Pennsylvania",-,**
0500000US42011,42011,"Berks County, Pennsylvania",28182,6450
0500000US42013,42013,"Blair County, Pennsylvania",-,**
0500000US42017,42017,"Bucks County, Pennsylvania",47261,22162
0500000US42019,42019,"Butler County, Pennsylvania",-,**
0500000US42021,42021,"Cambria County, Pennsylvania",-,**
0500000US42029,42029,"Chester County, Pennsylvania",39345,29124
0500000US42033,42033,"Clearfield County, Pennsylvania",-,**
0500000US42037,42037,"Columbia County, Pennsylvania",-,**
0500000US42039,42039,"Crawford County, Pennsylvania",-,**
0500000US42041,42041,"Cumberland County, Pennsylvania",100602,86171
0500000US42043,42043,"Dauphin County, Pennsylvania",31357,19589
0500000US42045,42045,"Delaware County, Pennsylvania",39697,17424
0500000US42051,42051,"Fayette County, Pennsylvania",-,**
0500000US42063,42063,"Indiana County, Pennsylvania",55076,24953
0500000US42069,42069,"Lackawanna County, Pennsylvania",34647,21709
0500000US42071,42071,"Lancaster County, Pennsylvania",29449,5545
0500000US42073,42073,"Lawrence County, Pennsylvania",-,**
0500000US42075,42075,"Lebanon County, Pennsylvania",34516,9016
0500000US42077,42077,"Lehigh County, Pennsylvania",29020,4718
0500000US42079,42079,"Luzerne County, Pennsylvania",22314,7056
0500000US42085,42085,"Mercer County, Pennsylvania",-,**
0500000US42089,42089,"Monroe County, Pennsylvania",41624,32086
0500000US42091,42091,"Montgomery County, Pennsylvania",62595,21134
0500000US42095,42095,"Northampton County, Pennsylvania",35197,11581
0500000US42101,42101,"Philadelphia County, Pennsylvania",25821,3796
0500000US42107,42107,"Schuylkill County, Pennsylvania",46105,26256
0500000US42111,42111,"Somerset County, Pennsylvania",-,**
0500000US42129,42129,"Westmoreland County, Pennsylvania",-,**
0500000US42133,42133,"York County, Pennsylvania",29349,25977
