GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Less than $10,000","Margin of Error; Less than $10,000","Estimate; $10,000 to $14,999","Margin of Error; $10,000 to $14,999","Estimate; $15,000 to $19,999","Margin of Error; $15,000 to $19,999","Estimate; $20,000 to $24,999","Margin of Error; $20,000 to $24,999","Estimate; $25,000 to $29,999","Margin of Error; $25,000 to $29,999","Estimate; $30,000 to $34,999","Margin of Error; $30,000 to $34,999","Estimate; $35,000 to $39,999","Margin of Error; $35,000 to $39,999","Estimate; $40,000 to $44,999","Margin of Error; $40,000 to $44,999","Estimate; $45,000 to $49,999","Margin of Error; $45,000 to $49,999","Estimate; $50,000 to $59,999","Margin of Error; $50,000 to $59,999","Estimate; $60,000 to $74,999","Margin of Error; $60,000 to $74,999","Estimate; $75,000 to $99,999","Margin of Error; $75,000 to $99,999","Estimate; $100,000 to $124,999","Margin of Error; $100,000 to $124,999","Estimate; $125,000 to $149,999","Margin of Error; $125,000 to $149,999","Estimate; $150,000 to $199,999","Margin of Error; $150,000 to $199,999","Estimate; $200,000 or more","Margin of Error; $200,000 or more"
0500000US34001,34001,"Atlantic County, New Jersey",68701,2130,3980,980,2987,837,2910,724,2627,744,2734,765,3835,897,3167,968,2196,747,2329,664,5991,1250,7356,1286,12022,1675,7365,1361,3606,884,2751,738,2845,667
0500000US34003,34003,"Bergen County, New Jersey",231537,2763,7688,1478,7832,1202,7654,1434,7735,1190,7490,1619,6143,1231,7269,1362,7975,1561,7418,1350,17240,2074,20527,2239,30055,2247,25773,2105,18021,2106,21664,2230,31053,2007
0500000US34005,34005,"Burlington County, New Jersey",126678,1674,3414,971,2843,769,3734,815,3859,1084,4004,915,4204,940,4720,1029,4954,1009,5336,1002,10389,1632,13911,1315,21311,1838,15531,1752,9698,1189,10580,1226,8190,1247
0500000US34007,34007,"Camden County, New Jersey",130419,1961,4824,1040,6126,1244,4272,830,3643,694,6769,1302,4695,975,6094,1103,4644,903,4827,1035,10482,1470,14829,1625,20981,1949,15369,1802,8770,1254,8646,1158,5448,987
0500000US34009,34009,"Cape May County, New Jersey",42203,1782,1581,638,1700,566,1264,393,2030,750,1650,803,1922,748,3119,1090,2568,876,2828,1085,4508,1281,4700,1042,5760,1213,3575,821,1896,607,1929,699,1173,402
0500000US34011,34011,"Cumberland County, New Jersey",32231,1209,1668,496,1842,654,1638,577,1897,613,1327,470,2555,758,1745,465,1073,478,1088,384,2918,855,3412,767,4996,1017,2743,724,1489,443,941,380,899,341
0500000US34013,34013,"Essex County, New Jersey",105661,2377,4175,1037,3146,916,3546,897,3541,990,3836,877,3430,795,2916,842,4756,1082,2760,916,6875,1403,8641,1397,12762,1725,10243,1336,7897,1245,10163,1397,16974,1303
0500000US34015,34015,"Gloucester County, New Jersey",85073,1714,3188,919,3634,936,2345,641,2803,826,3151,891,4089,972,2393,716,3554,979,3076,808,6141,1001,10075,1473,14267,1482,10127,1259,6855,1225,5895,1142,3480,785
0500000US34017,34017,"Hudson County, New Jersey",93761,2382,4247,995,4752,961,4096,1023,3791,1017,3476,933,3855,1029,3670,937,4459,1050,3460,1016,6376,1458,9019,1301,11754,1845,10382,1571,5484,911,7094,1398,7846,1378
0500000US34019,34019,"Hunterdon County, New Jersey",44257,667,816,414,731,279,1012,366,1094,735,738,333,990,563,739,282,1569,642,1147,648,2194,607,4925,1014,6531,1061,5352,964,3649,768,4674,887,8096,1086
0500000US34021,34021,"Mercer County, New Jersey",82371,1779,3238,987,3221,863,2204,708,2306,659,3737,861,2945,832,2102,572,2408,713,2920,1095,6221,1345,6914,1048,10284,1418,9682,1523,6378,978,8505,1479,9306,1315
0500000US34023,34023,"Middlesex County, New Jersey",161145,2580,5982,1382,6117,1176,5930,1156,5579,1143,5805,1212,5439,1079,5013,970,5287,1253,5836,1107,11757,1623,17330,1784,24363,2419,20625,2179,13075,1507,12562,1360,10445,1332
0500000US34025,34025,"Monmouth County, New Jersey",189120,2516,7359,1188,6533,1067,5253,855,6703,1233,4822,1054,5515,1101,4715,956,6701,1391,7473,1170,11974,1704,18180,1948,26149,2467,20085,1961,14852,1613,21235,2022,21571,1780
0500000US34027,34027,"Morris County, New Jersey",139783,1922,2953,956,2870,803,3444,942,3530,782,2856,728,2428,682,4032,870,3536,872,3770,916,8683,1390,12584,1656,20528,1903,18677,1617,12556,1419,16230,1562,21106,2116
0500000US34029,34029,"Ocean County, New Jersey",200479,3210,9538,1402,10893,1615,11698,1588,9827,1146,10231,1644,9602,1444,9075,1337,9685,1509,7693,1350,16434,1733,20742,2291,25699,2202,19204,1884,12061,1507,10280,1300,7817,1107
0500000US34031,34031,"Passaic County, New Jersey",85287,2354,4389,1001,3801,793,2449,682,3880,808,3310,1075,3262,794,2689,730,4010,1177,3228,958,6361,1122,8911,1366,12397,1623,8540,1297,5910,1077,7685,1352,4465,915
0500000US34033,34033,"Salem County, New Jersey",20092,731,830,426,738,304,968,560,676,286,1354,430,962,392,1005,513,973,438,728,317,1557,604,2316,528,3578,849,2047,564,1178,401,842,378,340,179
0500000US34035,34035,"Somerset County, New Jersey",81204,1566,2047,720,1642,713,2293,812,1906,553,1441,573,2165,744,2186,744,2174,657,2182,746,5178,1101,6662,1047,10741,1288,10337,1298,7383,1266,9343,1492,13524,1428
0500000US34037,34037,"Sussex County, New Jersey",50189,1264,1802,614,1492,496,1123,400,2129,650,1499,632,1548,542,773,330,1733,552,1013,381,4739,1041,6330,909,8027,1261,7093,996,4301,868,3602,712,2985,629
0500000US34039,34039,"Union County, New Jersey",94303,2063,3694,1042,2978,939,3328,1043,3778,1154,4066,993,3095,696,2880,784,2975,901,3084,901,5879,946,10663,1577,13492,1475,8918,1128,6361,1011,8616,1132,10496,1145
0500000US34041,34041,"Warren County, New Jersey",37928,869,1808,653,1102,513,1999,614,1518,593,1959,594,1633,551,926,435,1380,544,901,403,3384,923,4550,857,6243,1000,4515,763,2547,722,2161,696,1302,470
0500000US42001,42001,"Adams County, Pennsylvania",35451,909,1651,604,1919,568,1911,452,1516,472,1607,484,2419,667,1779,507,1698,485,1818,634,4368,1058,4642,892,5097,970,2507,584,1294,433,703,375,522,220
0500000US42003,42003,"Allegheny County, Pennsylvania",432725,4482,25545,2250,25819,2467,25658,2150,24736,2102,23740,1837,23949,2598,22620,2080,21241,1798,19165,2129,35749,2527,48673,2985,53805,3146,31538,2294,16860,1838,16005,1635,17622,1635
0500000US42005,42005,"Armstrong County, Pennsylvania",29097,723,2675,694,1871,455,1962,577,1831,528,1715,523,2133,527,2059,658,2384,651,1447,401,2451,522,3006,560,3352,758,1342,455,413,225,249,176,207,159
0500000US42007,42007,"Beaver County, Pennsylvania",64389,1456,3435,911,3523,851,3730,622,4137,815,4228,977,4099,821,4499,878,3727,836,3382,879,6050,874,8084,1117,7733,1089,3595,720,2110,591,1048,369,1009,357
0500000US42011,42011,"Berks County, Pennsylvania",125660,1981,3965,716,5168,830,6553,1196,7404,1247,7608,1094,6138,1105,5401,1004,5460,979,5282,1023,11337,1290,17745,1493,19526,1780,9313,1182,6316,952,4998,847,3446,690
0500000US42013,42013,"Blair County, Pennsylvania",49782,1263,4373,984,2576,723,4340,804,2516,623,3668,867,3242,791,2532,830,2982,687,3061,759,5246,1027,5338,897,4896,911,2900,782,1007,395,604,300,501,306
0500000US42017,42017,"Bucks County, Pennsylvania",207118,2391,5065,1112,7612,1300,7718,1224,7516,1452,6595,1297,8103,1228,7805,1426,8525,1409,9970,1567,16285,1627,23556,2240,30632,2177,25485,1976,15144,1664,14267,1543,12840,1608
0500000US42019,42019,"Butler County, Pennsylvania",69320,1292,3452,757,3879,923,3917,682,3661,760,2866,580,4308,891,3809,830,3452,692,2740,595,5364,862,8555,1301,9843,1199,5996,878,3030,853,2329,563,2119,572
0500000US42021,42021,"Cambria County, Pennsylvania",55544,1517,4553,738,5225,826,4807,798,3535,691,3490,624,4100,869,3425,667,2798,618,2894,618,4609,807,6076,843,5153,931,2635,644,734,333,663,293,847,504
0500000US42027,42027,"Centre County, Pennsylvania",48057,1298,4624,1014,2142,709,3661,904,3347,840,2651,867,2826,620,2477,633,1945,534,2341,668,4093,729,4472,878,6883,1003,2831,626,1531,495,620,294,1613,490
0500000US42029,42029,"Chester County, Pennsylvania",155382,1580,4450,1144,4382,911,4289,807,4196,963,4024,916,4960,1079,4671,878,4421,959,6387,1221,10728,1253,14974,1622,23617,1972,19290,1631,12979,1508,13626,1598,18388,1521
0500000US42033,42033,"Clearfield County, Pennsylvania",33196,989,3389,754,2774,603,3190,918,2505,724,2039,540,2180,572,2415,622,1515,412,1442,373,2965,625,2510,532,3740,746,1436,536,241,158,241,199,614,479
0500000US42037,42037,"Columbia County, Pennsylvania",25328,815,2537,740,1494,463,2075,709,1273,434,1289,438,1915,614,1226,385,1536,454,1793,477,2457,675,2363,576,2595,615,1061,364,768,268,525,269,421,176
0500000US42039,42039,"Crawford County, Pennsylvania",33759,1109,2979,676,2450,523,2789,659,2218,537,2916,689,2647,572,2270,522,1836,397,1367,308,3010,607,3418,537,2942,522,1434,425,626,285,460,167,397,230
