GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
0500000US34001,34001,"Atlantic County, New Jersey",271712,*****
0500000US34003,34003,"Bergen County, New Jersey",895250,*****
0500000US34005,34005,"Burlington County, New Jersey",446108,*****
0500000US34007,34007,"Camden County, New Jersey",517879,*****
0500000US34009,34009,"Cape May County, New Jersey",96092,*****
0500000US34011,34011,"Cumberland County, New Jersey",157745,*****
0500000US34013,34013,"Essex County, New Jersey",769644,*****
0500000US34015,34015,"Gloucester County, New Jersey",289920,*****
0500000US34017,34017,"Hudson County, New Jersey",597924,*****
0500000US34019,34019,"Hunterdon County, New Jersey",130034,*****
0500000US34021,34021,"Mercer County, New Jersey",366222,*****
0500000US34023,34023,"Middlesex County, New Jersey",790738,*****
0500000US34025,34025,"Monmouth County, New Jersey",644105,*****
0500000US34027,34027,"Morris County, New Jersey",488518,*****
0500000US34029,34029,"Ocean County, New Jersey",573678,*****
0500000US34031,34031,"Passaic County, New Jersey",491778,*****
0500000US34033,34033,"Salem County, New Jersey",66342,*****
0500000US34035,34035,"Somerset County, New Jersey",326869,*****
0500000US34037,34037,"Sussex County, New Jersey",151118,*****
0500000US34039,34039,"Union County, New Jersey",526426,*****
0500000US34041,34041,"Warren County, New Jersey",109638,*****
0500000US42001,42001,"Adams County, Pennsylvania",102323,*****
0500000US42003,42003,"Allegheny County, Pennsylvania",1218494,*****
0500000US42005,42005,"Armstrong County, Pennsylvania",67851,*****
0500000US42007,42007,"Beaver County, Pennsylvania",171673,*****
0500000US42011,42011,"Berks County, Pennsylvania",407125,*****
0500000US42013,42013,"Blair County, Pennsylvania",126122,*****
0500000US42017,42017,"Bucks County, Pennsylvania",626015,*****
0500000US42019,42019,"Butler County, Pennsylvania",184694,*****
0500000US42021,42021,"Cambria County, Pennsylvania",143998,*****
0500000US42027,42027,"Centre County, Pennsylvania",146212,*****
0500000US42029,42029,"Chester County, Pennsylvania",498894,*****
0500000US42033,42033,"Clearfield County, Pennsylvania",82324,*****
0500000US42037,42037,"Columbia County, Pennsylvania",65111,*****
0500000US42039,42039,"Crawford County, Pennsylvania",88521,*****
0500000US42041,42041,"Cumberland County, Pennsylvania",232483,*****
0500000US42043,42043,"Dauphin County, Pennsylvania",258934,*****
0500000US42045,42045,"Delaware County, Pennsylvania",558028,*****
0500000US42049,42049,"Erie County, Pennsylvania",280291,*****
0500000US42051,42051,"Fayette County, Pennsylvania",142605,*****
0500000US42055,42055,"Franklin County, Pennsylvania",144994,*****
0500000US42063,42063,"Indiana County, Pennsylvania",87450,*****
0500000US42069,42069,"Lackawanna County, Pennsylvania",208801,*****
0500000US42071,42071,"Lancaster County, Pennsylvania",507766,*****
0500000US42073,42073,"Lawrence County, Pennsylvania",90160,*****
0500000US42075,42075,"Lebanon County, Pennsylvania",130506,*****
0500000US42077,42077,"Lehigh County, Pennsylvania",343519,*****
0500000US42079,42079,"Luzerne County, Pennsylvania",312845,*****
0500000US42081,42081,"Lycoming County, Pennsylvania",116840,*****
0500000US42085,42085,"Mercer County, Pennsylvania",116071,*****
0500000US42089,42089,"Monroe County, Pennsylvania",166355,*****
0500000US42091,42091,"Montgomery County, Pennsylvania",782339,*****
0500000US42095,42095,"Northampton County, Pennsylvania",298990,*****
0500000US42097,42097,"Northumberland County, Pennsylvania",91311,*****
0500000US42101,42101,"Philadelphia County, Pennsylvania",1547297,*****
0500000US42107,42107,"Schuylkill County, Pennsylvania",146952,*****
0500000US42111,42111,"Somerset County, Pennsylvania",76953,*****
0500000US42125,42125,"Washington County, Pennsylvania",207389,*****
0500000US42129,42129,"Westmoreland County, Pennsylvania",362251,*****
0500000US42133,42133,"York County, Pennsylvania",428937,*****
