GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 to 24 years,Margin of Error; Male: - 20 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 44 years,Margin of Error; Male: - 35 to 44 years,Estimate; Male: - 45 to 54 years,Margin of Error; Male: - 45 to 54 years,Estimate; Male: - 55 to 64 years,Margin of Error; Male: - 55 to 64 years,Estimate; Male: - 65 to 74 years,Margin of Error; Male: - 65 to 74 years,Estimate; Male: - 75 to 84 years,Margin of Error; Male: - 75 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 to 24 years,Margin of Error; Female: - 20 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 44 years,Margin of Error; Female: - 35 to 44 years,Estimate; Female: - 45 to 54 years,Margin of Error; Female: - 45 to 54 years,Estimate; Female: - 55 to 64 years,Margin of Error; Female: - 55 to 64 years,Estimate; Female: - 65 to 74 years,Margin of Error; Female: - 65 to 74 years,Estimate; Female: - 75 to 84 years,Margin of Error; Female: - 75 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
0500000US34001,34001,"Atlantic County, New Jersey",160240,740,77675,345,3480,281,3866,581,4450,577,3049,281,1985,281,4532,59,4004,281,3842,281,9560,281,14070,281,11941,281,7229,281,4617,365,1050,365,82565,426,3192,183,3165,668,4646,687,2931,79,1975,281,4555,281,3918,281,3937,281,10042,281,14447,93,12439,281,8508,281,5844,695,2966,695
0500000US34003,34003,"Bergen County, New Jersey",566304,930,273673,604,13314,78,16043,1748,18674,1736,11385,281,5652,281,13423,105,13215,281,13393,281,35309,160,46849,417,40569,76,23179,120,16318,946,6350,968,292631,444,12803,124,16450,1407,16360,1393,10622,281,5172,135,12930,281,13073,281,13639,163,36386,181,48418,200,43127,281,27409,150,21961,1278,14281,1278
0500000US34005,34005,"Burlington County, New Jersey",317447,802,154926,505,8061,137,9016,1055,10615,1055,6545,281,3696,281,8500,99,8699,186,8135,178,21004,281,27746,281,21351,281,11857,281,7054,608,2647,608,162521,300,7605,151,7648,992,11024,992,6297,281,3215,281,7594,281,8179,136,8550,281,22027,281,28567,94,22391,281,13879,281,10043,719,5502,719
0500000US34007,34007,"Camden County, New Jersey",307829,1409,149269,707,7889,281,8476,1113,9143,1130,6003,281,3613,281,8613,146,9382,103,9073,281,19962,247,25578,117,20909,86,11056,90,7419,444,2153,426,158560,749,7445,62,7505,960,9014,967,5671,281,3100,281,8336,175,9340,79,8749,222,20476,207,26628,92,22582,166,13327,281,10155,898,6232,875
0500000US34009,34009,"Cape May County, New Jersey",84484,79,40644,79,1649,281,2014,447,2029,447,1600,281,1022,281,2249,281,2002,281,1651,281,4178,79,6617,281,6946,281,4933,281,3306,237,448,237,43840,281,1619,281,1642,390,2208,390,1461,281,829,281,1985,281,1899,281,1789,281,4374,281,7251,281,7442,281,5575,281,4305,614,1461,614
0500000US34011,34011,"Cumberland County, New Jersey",78723,263,38493,128,1785,281,1792,525,2119,525,1361,281,855,281,2151,281,2280,281,2221,128,5342,281,6578,281,5700,281,3535,281,2043,282,731,282,40230,239,1630,112,1997,531,1647,553,1316,281,818,281,2044,281,2189,281,2049,281,5021,281,6563,281,6171,107,4200,281,2775,574,1810,574
0500000US34013,34013,"Essex County, New Jersey",263300,664,128232,409,7216,281,7220,975,8339,967,4733,281,2695,281,6642,146,6799,281,7204,76,18442,171,21347,210,18322,281,9930,281,6165,699,3178,699,135068,354,6615,168,7767,990,7318,990,4499,281,2221,93,6293,281,6561,63,6978,132,18474,75,21702,120,19178,107,11290,281,9393,1096,6779,1096
0500000US34015,34015,"Gloucester County, New Jersey",233621,380,113606,226,6367,281,6742,1083,8600,1098,5051,281,3153,281,7868,90,6366,87,6416,281,15845,281,19476,281,14402,86,7760,281,4381,406,1179,406,120015,181,6194,281,7332,1043,7299,1043,4709,86,2994,281,7186,281,6512,281,7057,281,16962,281,20123,81,15473,281,8991,281,6627,610,2556,609
0500000US34017,34017,"Hudson County, New Jersey",191498,2880,97150,1636,5057,338,3473,831,2613,757,2046,261,1800,121,6702,249,11704,237,11203,281,15738,469,14069,157,11208,344,6032,90,3659,558,1846,577,94348,1467,4707,226,3751,636,2626,685,1742,332,1454,281,6058,315,10992,539,10052,159,12909,420,12216,308,11240,298,7069,310,6264,683,3268,656
0500000US34019,34019,"Hunterdon County, New Jersey",112656,67,55748,67,2514,281,4527,670,3383,670,2793,281,1272,281,2465,281,2041,67,2100,281,7181,281,11595,281,8775,281,4382,281,2323,206,397,206,56908,281,2360,281,3781,617,3901,617,2541,281,950,281,2076,281,2022,281,2222,281,8051,281,11924,281,8662,281,4467,281,2777,417,1174,417
