GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
0500000US34003,34003,"Bergen County, New Jersey",11955,1536,77,128,713,539,766,586,775,521,890,557,726,509,529,390,1187,672,434,312,631,408,446,377,1136,505,1336,795,423,299,889,571,997,645
0500000US34007,34007,"Camden County, New Jersey",12568,1358,1383,523,1712,740,619,386,402,303,712,484,711,531,879,492,760,532,342,346,689,399,934,542,1552,693,1041,528,505,406,256,268,71,117
0500000US34013,34013,"Essex County, New Jersey",14587,2100,1749,745,1836,858,880,502,1858,707,469,345,948,506,632,483,833,483,50,83,963,493,1500,711,1138,597,534,365,473,353,340,320,384,345
0500000US34017,34017,"Hudson County, New Jersey",33793,2174,3302,1225,2651,938,2137,676,1654,624,1534,667,2332,858,2128,914,1958,794,1372,663,4017,1105,3119,944,3428,963,2279,971,634,458,420,306,828,563
0500000US34023,34023,"Middlesex County, New Jersey",6802,1214,316,222,94,114,681,476,255,335,203,172,453,280,282,259,47,78,295,281,791,469,989,487,772,493,921,379,48,81,387,435,268,298
0500000US34031,34031,"Passaic County, New Jersey",16946,1839,2383,1109,627,420,1684,793,2750,863,1492,794,1186,613,996,587,915,600,1271,626,1058,548,1241,618,375,309,330,269,435,379,151,179,52,87
0500000US34039,34039,"Union County, New Jersey",19586,1918,2188,836,345,318,1108,580,1290,641,699,496,1205,506,1475,748,1186,537,1836,939,2284,809,1388,659,2243,766,1361,681,262,275,648,372,68,114
0500000US42011,42011,"Berks County, Pennsylvania",8856,1117,2471,842,1075,495,404,321,756,418,329,320,299,299,782,529,701,513,101,118,524,374,536,443,690,576,94,113,94,110,0,246,0,246
0500000US42101,42101,"Philadelphia County, Pennsylvania",22136,2358,5092,1373,2172,818,1752,858,2388,937,1399,726,1293,666,876,533,637,403,335,255,2042,931,2036,830,1471,751,300,311,144,168,199,302,0,246
