GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Quintile Means: - Lowest Quintile,Margin of Error; Quintile Means: - Lowest Quintile,Estimate; Quintile Means: - Second Quintile,Margin of Error; Quintile Means: - Second Quintile,Estimate; Quintile Means: - Third Quintile,Margin of Error; Quintile Means: - Third Quintile,Estimate; Quintile Means: - Fourth Quintile,Margin of Error; Quintile Means: - Fourth Quintile,Estimate; Quintile Means: - Highest Quintile,Margin of Error; Quintile Means: - Highest Quintile,Estimate; Top 5 Percent,Margin of Error; Top 5 Percent
0500000US34001,34001,"Atlantic County, New Jersey",12229,1210,31125,1821,52365,2609,79632,3516,156671,7951,240087,19109
0500000US34003,34003,"Bergen County, New Jersey",16427,1101,45124,1937,77236,2376,123479,3070,265173,11158,459912,31067
0500000US34005,34005,"Burlington County, New Jersey",20883,1646,47885,1825,74369,2004,111461,3036,220541,10376,366182,32693
0500000US34007,34007,"Camden County, New Jersey",12478,965,33452,1560,58022,2035,89179,2524,179723,8576,303250,28405
0500000US34009,34009,"Cape May County, New Jersey",13766,1749,33417,3170,55220,4590,89330,6380,191442,22418,334060,70277
0500000US34011,34011,"Cumberland County, New Jersey",10567,1073,27469,2212,51496,3609,80262,4965,152058,13221,239366,39698
0500000US34013,34013,"Essex County, New Jersey",9409,642,28646,1100,52739,1484,88583,2507,221456,9442,402851,27369
0500000US34015,34015,"Gloucester County, New Jersey",16029,1662,43762,2536,69904,2620,100378,3730,188751,10066,281135,24261
0500000US34017,34017,"Hudson County, New Jersey",11145,676,31352,1466,55163,1989,87885,3129,196150,8570,331274,24138
0500000US34019,34019,"Hunterdon County, New Jersey",22431,2747,60990,5319,97381,5259,144266,9558,279740,22189,443471,68286
0500000US34021,34021,"Mercer County, New Jersey",15138,1339,40480,2354,70905,2566,111808,3381,240588,12532,416610,38926
0500000US34023,34023,"Middlesex County, New Jersey",18954,1053,48966,1582,76388,1955,110420,2035,200656,5613,311382,15941
0500000US34025,34025,"Monmouth County, New Jersey",17539,991,46001,1898,80747,2606,125012,3166,280237,14499,512090,44846
0500000US34027,34027,"Morris County, New Jersey",23034,1625,57797,2391,91344,2831,139167,4147,297579,15445,532098,45025
0500000US34029,34029,"Ocean County, New Jersey",14535,821,34929,1280,57994,2077,88836,2302,168520,5148,263552,14340
0500000US34031,34031,"Passaic County, New Jersey",11004,891,29829,1624,54291,2486,91240,3170,181725,10891,288222,37084
0500000US34033,34033,"Salem County, New Jersey",12297,1930,33160,3627,56659,4130,87302,6182,157120,15102,233557,49615
0500000US34035,34035,"Somerset County, New Jersey",24672,1886,60960,3282,95383,3266,142689,4290,282778,17434,477539,51861
0500000US34037,34037,"Sussex County, New Jersey",22488,2615,52024,3345,83052,4586,115805,4348,209267,16341,326751,46688
0500000US34039,34039,"Union County, New Jersey",15094,1148,40261,1590,66917,2134,106906,3269,244119,11840,441748,37990
0500000US34041,34041,"Warren County, New Jersey",16019,2175,43604,4411,71376,4579,106466,5495,190607,12295,276330,23839
0500000US42001,42001,"Adams County, Pennsylvania",15653,1723,35385,2663,55803,3024,80734,4375,143285,9580,213728,25981
0500000US42003,42003,"Allegheny County, Pennsylvania",11091,447,27609,654,47578,967,75529,1160,176726,6780,332051,21977
0500000US42005,42005,"Armstrong County, Pennsylvania",11470,1370,25654,2790,43528,3334,65940,4240,114232,6294,164038,15724
0500000US42007,42007,"Beaver County, Pennsylvania",9705,1150,25983,1651,44201,2232,68144,2469,129629,8306,204533,22872
0500000US42011,42011,"Berks County, Pennsylvania",12529,950,30747,1309,51364,1702,77349,2448,157130,12634,269389,42933
0500000US42013,42013,"Blair County, Pennsylvania",10827,1166,25768,1825,42956,2950,65215,3114,133983,16159,243535,54457
0500000US42017,42017,"Bucks County, Pennsylvania",18659,987,44117,1698,70829,2036,106810,2508,218580,12300,376462,40431
0500000US42019,42019,"Butler County, Pennsylvania",14799,1112,33710,2013,54812,2549,84168,3720,155687,8975,245787,27386
0500000US42021,42021,"Cambria County, Pennsylvania",11331,949,25115,1430,41053,2169,61742,2571,115610,11257,188053,37225
0500000US42025,42025,"Carbon County, Pennsylvania",13402,1714,28919,3616,49372,4401,68859,3868,126010,13215,195484,36278
0500000US42027,42027,"Centre County, Pennsylvania",9774,1504,26732,2297,45680,2809,72773,3876,139924,8215,209496,19605
0500000US42029,42029,"Chester County, Pennsylvania",21025,1249,51863,1910,84339,2150,123291,2930,258139,12196,450305,38557
0500000US42033,42033,"Clearfield County, Pennsylvania",10382,1143,22065,1588,36041,2742,55266,3679,102138,6718,152824,23930
0500000US42037,42037,"Columbia County, Pennsylvania",8686,1802,25480,2732,42625,2844,64902,3927,134305,27356,241971,103953
0500000US42039,42039,"Crawford County, Pennsylvania",9859,1318,23495,1559,38669,2579,58622,3169,108929,7873,173062,23525
0500000US42041,42041,"Cumberland County, Pennsylvania",15795,1308,35998,1716,56561,2053,84128,2892,166518,12370,271271,35578
0500000US42043,42043,"Dauphin County, Pennsylvania",12216,1344,32124,1897,52732,2497,80444,3014,148557,6873,232000,19120
0500000US42045,42045,"Delaware County, Pennsylvania",14738,1042,35659,1445,59265,1947,93542,2741,194864,8571,324246,23623
0500000US42049,42049,"Erie County, Pennsylvania",8961,853,23898,1265,42866,1741,66934,2323,131867,8260,215862,23896
0500000US42051,42051,"Fayette County, Pennsylvania",9525,1066,21822,1571,35435,2550,55290,3406,110141,10355,188576,32697
0500000US42055,42055,"Franklin County, Pennsylvania",15118,1430,32467,2446,49923,2682,72292,2652,127002,5973,180173,13583
0500000US42063,42063,"Indiana County, Pennsylvania",7389,1588,23713,2141,41416,3491,65439,3902,142655,19402,262002,65521
0500000US42069,42069,"Lackawanna County, Pennsylvania",11345,1043,26927,1375,42999,1963,70085,3269,146004,8603,248389,24373
0500000US42071,42071,"Lancaster County, Pennsylvania",13656,832,32329,1391,51800,1497,77063,1943,152102,8433,255149,27280
