GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 to 24 years,Margin of Error; Male: - 20 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 44 years,Margin of Error; Male: - 35 to 44 years,Estimate; Male: - 45 to 54 years,Margin of Error; Male: - 45 to 54 years,Estimate; Male: - 55 to 64 years,Margin of Error; Male: - 55 to 64 years,Estimate; Male: - 65 to 74 years,Margin of Error; Male: - 65 to 74 years,Estimate; Male: - 75 to 84 years,Margin of Error; Male: - 75 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 to 24 years,Margin of Error; Female: - 20 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 44 years,Margin of Error; Female: - 35 to 44 years,Estimate; Female: - 45 to 54 years,Margin of Error; Female: - 45 to 54 years,Estimate; Female: - 55 to 64 years,Margin of Error; Female: - 55 to 64 years,Estimate; Female: - 65 to 74 years,Margin of Error; Female: - 65 to 74 years,Estimate; Female: - 75 to 84 years,Margin of Error; Female: - 75 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
0500000US34001,34001,"Atlantic County, New Jersey",179270,3187,88204,1914,4497,635,4703,1023,5486,845,3319,218,2364,197,5994,548,4497,629,5409,314,10176,554,14707,490,12834,570,8298,582,4437,560,1483,492,91066,1791,4720,707,4779,697,4344,936,3379,294,2152,196,4987,317,4796,434,4689,408,10386,452,15344,581,13700,420,8783,135,5182,862,3825,878
0500000US34003,34003,"Bergen County, New Jersey",654563,6838,318016,3655,16933,715,19896,1731,21691,1541,13255,561,7195,568,16738,991,16712,935,16651,1014,40741,1084,53241,1022,45697,515,25476,443,17078,1140,6712,1096,336547,4007,15108,897,19489,1752,19097,1633,12146,677,7138,458,15267,820,16018,778,17909,928,42524,1094,54214,1050,49595,491,30507,543,23485,1450,14050,1379
0500000US34005,34005,"Burlington County, New Jersey",330917,3237,161252,1575,8560,292,9631,1172,10511,1126,6532,133,3901,187,9580,520,9519,448,9007,263,21307,449,27897,501,22548,244,12425,144,7472,519,2362,518,169665,2072,8541,261,9199,1237,10110,1235,7095,303,3435,264,8576,613,8937,385,8795,253,21560,593,29542,310,23628,249,14489,156,10543,906,5215,932
0500000US34007,34007,"Camden County, New Jersey",333172,4001,161821,2298,9412,572,9802,1071,10277,964,6455,447,3604,155,9904,510,10155,452,10994,478,20796,616,26237,371,22726,389,11584,210,6579,614,3296,548,171351,2187,8604,501,9282,932,9158,1075,6313,335,3553,302,9912,451,10158,393,9997,412,21473,512,27285,390,24641,327,14365,241,10254,818,6356,814
0500000US34009,34009,"Cape May County, New Jersey",88427,901,42310,601,1740,148,1323,547,2875,575,1737,267,1002,198,2492,231,2096,65,1942,200,4555,379,6431,166,7302,251,5007,198,2695,400,1113,400,46117,1034,2379,498,1594,404,2523,336,1486,148,824,46,2150,135,2164,387,1931,159,4398,308,7254,291,7897,348,5780,124,4392,580,1345,589
0500000US34011,34011,"Cumberland County, New Jersey",99207,3293,48919,1759,3731,441,2778,727,2708,817,1833,289,1244,294,3385,414,2814,353,2780,345,7026,596,7345,373,6404,279,3974,230,2066,319,831,307,50288,1717,2637,439,2843,560,2730,593,1849,240,1133,346,3351,406,2819,374,2858,323,6405,406,7185,298,7010,272,4729,239,3468,372,1271,342
0500000US34013,34013,"Essex County, New Jersey",347152,6142,168969,3407,10740,842,11012,1209,11504,1281,7147,535,4304,473,8932,924,10826,1035,11005,865,22865,1203,26783,890,22084,746,11623,375,5646,758,4498,772,178183,3459,9618,916,10899,1266,10840,1064,6651,540,4348,368,10037,794,10150,775,10568,779,24470,1048,26277,775,23298,639,13678,474,9659,972,7690,954
0500000US34015,34015,"Gloucester County, New Jersey",239025,1420,116209,797,6497,196,6918,919,8711,940,4994,98,3085,198,8085,118,6667,149,6571,208,15768,316,19646,187,15417,290,8211,224,4098,401,1541,401,122816,779,6377,230,7159,1049,8009,926,4649,198,2778,29,7498,136,6799,214,7096,93,16858,234,20491,377,16278,232,9445,206,6011,605,3368,660
0500000US34017,34017,"Hudson County, New Jersey",351987,8279,175998,4623,11074,1165,8890,1360,8380,1232,5363,796,4709,446,12052,1179,18667,1210,17169,1132,27808,1298,22989,1210,19582,837,10940,546,6375,691,2000,643,175989,4718,10909,974,8843,1159,7539,1029,4744,642,2997,469,11317,899,16788,1188,16965,931,25582,1337,22168,1185,20984,1001,12809,841,8801,943,5543,801
