GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 to 24 years,Margin of Error; Male: - 20 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 44 years,Margin of Error; Male: - 35 to 44 years,Estimate; Male: - 45 to 54 years,Margin of Error; Male: - 45 to 54 years,Estimate; Male: - 55 to 64 years,Margin of Error; Male: - 55 to 64 years,Estimate; Male: - 65 to 74 years,Margin of Error; Male: - 65 to 74 years,Estimate; Male: - 75 to 84 years,Margin of Error; Male: - 75 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 to 24 years,Margin of Error; Female: - 20 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 44 years,Margin of Error; Female: - 35 to 44 years,Estimate; Female: - 45 to 54 years,Margin of Error; Female: - 45 to 54 years,Estimate; Female: - 55 to 64 years,Margin of Error; Female: - 55 to 64 years,Estimate; Female: - 65 to 74 years,Margin of Error; Female: - 65 to 74 years,Estimate; Female: - 75 to 84 years,Margin of Error; Female: - 75 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
0500000US34001,34001,"Atlantic County, New Jersey",159204,828,77103,516,3417,198,3443,763,4841,763,3035,198,1919,198,4661,198,3952,252,3864,198,9097,198,13610,198,12097,270,7452,198,4232,492,1483,492,82101,314,3288,198,4255,669,3483,669,2928,198,1922,9,4576,86,4045,198,3923,198,9544,198,14142,198,12678,230,8587,198,5051,860,3679,860
0500000US34003,34003,"Bergen County, New Jersey",558052,1855,270630,788,12664,82,15979,1344,17736,1343,11308,37,5863,372,13135,100,13409,64,12954,385,33877,151,46464,106,41444,198,23370,207,15932,1061,6495,1057,287422,1168,11896,340,15182,1478,16792,1461,10192,398,5762,198,12548,102,12685,309,13231,386,34585,368,47434,104,43820,242,27645,198,22099,1384,13551,1384
0500000US34005,34005,"Burlington County, New Jersey",314163,1969,153436,607,7723,198,8716,1061,10185,1087,6351,198,3699,198,8699,10,8699,121,8497,198,20046,143,27101,446,21855,74,12089,198,7414,518,2362,518,160727,1449,7370,128,8274,1227,9317,1163,6133,198,3220,198,7682,198,8491,198,8513,56,20683,447,28440,198,22982,198,14116,198,10355,917,5151,917
0500000US34007,34007,"Camden County, New Jersey",306624,358,148592,277,7744,198,8197,830,9258,830,5754,111,3374,198,8842,198,9463,237,9142,198,19296,83,25003,198,21623,198,11347,198,6308,562,3241,562,158032,175,7218,69,8343,909,7923,900,5525,198,2936,198,8497,198,9494,198,9123,198,19665,53,26111,198,23393,198,13609,198,9877,807,6318,807
0500000US34009,34009,"Cape May County, New Jersey",83656,198,40263,198,1619,198,1249,532,2648,532,1476,198,1002,198,2305,198,2046,198,1734,198,3953,198,6303,198,7113,198,5007,198,2695,400,1113,400,43393,198,1646,198,1181,327,2465,327,1365,198,798,198,2044,198,1878,198,1795,198,4166,198,6984,198,7650,198,5709,198,4392,580,1320,580
0500000US34011,34011,"Cumberland County, New Jersey",78254,219,38204,89,1838,198,2161,616,1709,616,1270,198,784,198,2165,198,2272,198,2305,198,5093,89,6405,198,5840,198,3601,198,1930,307,831,307,40050,132,1671,79,1961,364,1757,364,1240,198,734,198,2083,198,2174,198,2031,54,4854,198,6484,198,6287,198,4235,198,3344,352,1195,352
0500000US34013,34013,"Essex County, New Jersey",256936,2035,124479,1398,6627,361,7897,879,7558,901,4610,33,2931,57,6192,309,6473,322,6840,253,16905,817,20796,321,18382,280,10039,198,5120,721,4109,721,132457,891,6188,504,7174,913,7933,878,4393,100,2510,43,6124,114,6121,253,6974,198,17645,269,21101,288,19060,307,11465,198,8553,903,7216,906
0500000US34015,34015,"Gloucester County, New Jersey",233326,198,113507,198,6189,198,6767,907,8358,907,4937,198,2923,198,7993,198,6556,198,6412,198,15327,198,19355,198,15030,198,8021,198,4098,401,1541,401,119819,198,5968,198,6771,978,7560,978,4649,198,2762,198,7354,198,6563,198,6991,198,16591,198,20077,198,16051,198,9256,198,6011,605,3215,605
0500000US34017,34017,"Hudson County, New Jersey",195440,1273,98905,885,5157,616,3730,607,3371,603,2209,44,1681,198,6459,198,11943,198,11403,126,16012,506,13900,179,11451,283,6155,198,4312,384,1122,384,96535,652,5215,198,3226,566,3507,563,1917,9,1285,198,5609,209,11618,130,10583,84,13392,131,11943,189,11719,71,7005,306,5572,660,3944,660
