GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
0500000US34001,34001,"Atlantic County, New Jersey",72371,2367,6059,1332,3156,823,3569,957,3990,1219,3326,1031,3556,980,2956,837,4010,1036,2596,810,5416,952,7033,1246,8847,1201,7039,1050,4517,1230,3585,917,2716,707
0500000US34003,34003,"Bergen County, New Jersey",247594,3699,9595,1643,7383,1486,9552,1630,11043,1860,8842,1512,8592,1550,8042,1223,9313,1461,7581,1334,15650,2209,20172,2458,29880,2814,23991,2307,18018,2239,25927,2498,34013,2972
0500000US34005,34005,"Burlington County, New Jersey",128609,2187,3678,828,2831,682,4564,971,5087,1124,5320,1116,4111,910,3766,976,5226,1198,5507,1229,8830,1211,14515,1716,19251,1689,14852,1750,10311,1344,10879,1478,9881,1283
0500000US34007,34007,"Camden County, New Jersey",126394,2324,5663,1085,5749,1159,4420,904,4868,845,4513,1009,5321,969,4609,922,4797,918,4839,1177,11371,1455,13044,1523,17599,1648,15106,1302,9699,1259,8603,1204,6193,1001
0500000US34009,34009,"Cape May County, New Jersey",38694,2388,2345,693,1859,877,1893,809,1418,508,2209,782,1985,663,1996,824,2301,831,1556,602,4053,951,3281,944,4916,961,2822,798,2700,872,1738,543,1622,660
0500000US34011,34011,"Cumberland County, New Jersey",35066,1654,1701,547,1796,596,1583,548,2046,582,1931,633,1696,516,1991,585,1520,566,1316,481,2423,701,3952,897,5688,1092,3655,806,1616,451,1152,507,1000,466
0500000US34013,34013,"Essex County, New Jersey",124776,2594,6543,1218,5551,1207,4993,1156,5136,950,3968,961,5629,865,5019,918,3304,884,4720,1116,7041,1269,11668,1596,13218,1581,10271,1176,8756,1179,11082,1229,17877,1503
0500000US34015,34015,"Gloucester County, New Jersey",88455,1425,2416,773,2710,903,3465,872,3272,988,3196,900,3394,905,2531,731,3611,890,3729,941,6639,1435,8964,1466,14184,1477,10487,1296,7171,1117,7861,1322,4825,1132
0500000US34017,34017,"Hudson County, New Jersey",145221,3611,10705,1934,8158,1421,7429,1352,7804,1362,6392,1208,7214,1305,5520,1265,6251,1277,5206,1141,9093,1393,13819,1711,18288,1999,13331,1836,8289,1380,8900,1516,8822,1419
0500000US34019,34019,"Hunterdon County, New Jersey",43599,1030,1074,524,370,166,1598,540,1060,382,1045,353,1803,603,902,379,718,321,1284,514,2091,598,3547,722,6201,1050,6401,1122,3901,993,4549,837,7055,1116
0500000US34021,34021,"Mercer County, New Jersey",85516,2133,3385,802,2272,628,3659,926,2289,645,1694,535,2412,702,3016,803,2910,817,3507,1000,5121,1006,7753,1190,11842,1766,10126,1430,6486,1188,9146,1463,9898,1433
0500000US34023,34023,"Middlesex County, New Jersey",186922,2942,8841,1868,6194,1233,8231,1296,7930,1220,7609,1517,8272,1216,6660,1178,7002,1338,7492,1343,14749,1855,18033,2073,25316,2382,19936,2256,13700,1797,14002,1659,12955,1497
0500000US34025,34025,"Monmouth County, New Jersey",198430,2832,6564,1513,6636,1204,7768,1546,6869,1434,7183,1446,6193,1188,6986,1255,6059,1269,5374,1039,13611,1800,17167,1910,25846,2572,21702,1972,15194,1720,21296,1951,23982,2438
0500000US34027,34027,"Morris County, New Jersey",156317,1968,5162,1080,3487,1006,5668,1521,3851,890,3945,1025,2953,791,3631,931,3919,923,4931,1186,10337,1594,14594,1628,22841,2470,18966,1961,12811,1685,17020,1735,22201,1908
0500000US34029,34029,"Ocean County, New Jersey",207834,3807,8600,1409,9451,1400,12323,1532,13099,1854,10806,1591,10873,1817,10034,1386,10065,1866,7144,1256,15250,1912,21489,2065,26955,2324,20218,2038,11604,1605,11612,1363,8311,1380
0500000US34031,34031,"Passaic County, New Jersey",117413,2750,7788,1387,4617,1038,4476,938,4901,1043,6418,1261,4693,1248,5545,1206,5163,1179,4378,1159,8515,1605,9612,1675,16425,2170,10683,1972,8986,1615,9172,1522,6041,1467
0500000US34033,34033,"Salem County, New Jersey",20235,747,956,433,824,388,1357,607,786,329,378,192,1067,380,783,340,1115,391,996,355,1989,531,2096,478,3035,639,2382,656,1190,344,743,266,538,207
0500000US34035,34035,"Somerset County, New Jersey",85553,1939,2303,873,2128,662,2262,715,2010,719,2026,624,2702,766,2028,714,2703,823,2073,597,6112,1450,7269,1334,10886,1715,8800,1456,7855,1287,9985,1555,14411,1365
0500000US34037,34037,"Sussex County, New Jersey",52410,1422,1325,551,1594,643,1313,521,2118,635,1408,519,2014,534,1075,386,2304,903,1846,532,3372,599,5226,1082,8504,1218,6398,1143,5432,1115,4327,763,4154,959
0500000US34039,34039,"Union County, New Jersey",111709,2411,4796,1052,3462,914,4820,975,3644,939,3794,773,3769,877,3865,871,4435,835,3285,854,7934,1460,9418,1450,14790,1589,11531,1444,8135,1253,9823,1417,14208,1486
0500000US34041,34041,"Warren County, New Jersey",38767,1147,1375,476,1440,501,1721,538,1674,584,1290,496,1852,564,1127,449,1833,553,1970,709,3005,783,4826,783,4940,844,4436,931,2282,669,3096,778,1900,573
0500000US42001,42001,"Adams County, Pennsylvania",36432,1014,1544,581,2125,626,1538,366,2350,558,1328,446,2234,594,1621,444,1678,529,1618,505,4519,836,4097,758,5264,773,2742,541,1511,437,1375,387,888,338
0500000US42003,42003,"Allegheny County, Pennsylvania",433235,3807,28370,2229,23901,2127,23712,1926,25566,2095,23587,1887,20807,2014,20310,2133,18562,1558,16689,1398,37705,2275,48579,3156,50659,2452,35222,2387,20290,1815,18963,1838,20313,2081
0500000US42005,42005,"Armstrong County, Pennsylvania",27989,921,1964,561,1566,376,2077,512,1924,523,1972,543,1969,397,1334,384,1824,527,876,307,3037,560,3130,679,2891,553,1361,307,755,269,737,381,572,295
0500000US42007,42007,"Beaver County, Pennsylvania",65056,1317,4356,1028,3164,690,4289,727,3361,596,3894,659,2801,576,3286,596,3678,833,3105,618,6292,966,6834,948,8625,1252,5389,873,2191,586,2208,635,1583,672
0500000US42011,42011,"Berks County, Pennsylvania",136789,1969,6658,1241,7114,1255,6704,1301,7235,1159,6568,1195,8004,1236,5698,1027,7118,1269,6646,1364,11700,1395,16619,1909,17874,1791,11939,1523,7328,1258,5160,1059,4424,1180
0500000US42013,42013,"Blair County, Pennsylvania",49664,1294,3816,849,2750,559,3842,771,3642,746,2623,658,2700,674,3236,1043,3328,849,2837,717,5604,1049,5235,907,4282,794,2952,692,1420,575,615,256,782,303
0500000US42017,42017,"Bucks County, Pennsylvania",213621,2498,7095,1065,7797,1152,7359,1240,7934,1265,8371,1453,8448,1171,7192,1328,9625,1491,8244,1618,18659,2030,22138,1869,28989,2197,23958,2019,14995,1687,16700,1894,16117,1769
0500000US42019,42019,"Butler County, Pennsylvania",71750,1418,3112,708,3954,852,3114,664,2848,612,3946,846,3784,734,3437,860,3529,986,3779,799,7363,1276,7162,1161,9718,1177,5429,840,3592,758,3638,841,3345,1067
0500000US42021,42021,"Cambria County, Pennsylvania",54984,1594,3754,731,4155,673,4223,654,4064,614,4027,701,3259,686,3040,676,3172,581,2690,640,4595,668,5958,829,6227,950,2710,555,1112,353,1147,429,851,323
0500000US42025,42025,"Carbon County, Pennsylvania",24567,1391,1821,782,1398,533,1750,738,1274,496,1545,565,1330,493,1930,697,1157,430,1647,662,1851,648,2068,671,3044,905,1658,530,1480,619,352,237,262,176
0500000US42027,42027,"Centre County, Pennsylvania",53158,1405,5268,1264,3438,793,2889,736,2978,803,2515,696,2205,614,2470,580,2831,907,2467,668,3677,659,5756,1197,6468,1108,4344,907,1840,578,2343,725,1669,511
0500000US42029,42029,"Chester County, Pennsylvania",165463,2312,5828,1272,4559,884,4731,1004,4370,875,6033,1183,5867,1116,6196,1228,5844,1086,4908,1050,13192,1777,15647,1880,22599,2339,18564,1950,11739,1297,16374,1755,19012,1656
0500000US42033,42033,"Clearfield County, Pennsylvania",32209,960,2454,632,2413,495,3035,574,2104,557,1783,438,1767,448,1553,407,1840,521,1497,390,2997,569,3525,678,3104,761,2184,620,716,336,821,520,416,339
0500000US42037,42037,"Columbia County, Pennsylvania",24953,894,2101,579,2127,589,2211,508,1691,464,1337,487,1649,502,1217,339,1188,318,953,313,2136,491,2528,569,2385,408,1505,413,1138,303,356,142,431,203
0500000US42039,42039,"Crawford County, Pennsylvania",34027,1198,2013,409,2648,615,3437,686,1979,410,2205,438,2122,540,1818,610,1860,418,1885,386,2838,527,3107,592,4635,756,1847,413,652,259,581,275,400,174
0500000US42041,42041,"Cumberland County, Pennsylvania",89019,1720,3836,997,3367,848,3103,806,3582,991,4809,1053,3927,979,3950,1034,5609,1109,4182,877,8515,1395,12030,1682,12194,1257,8082,1246,5011,986,3826,842,2996,855
0500000US42043,42043,"Dauphin County, Pennsylvania",81950,2282,3520,881,3493,706,3953,818,4325,998,4003,1095,4135,1031,3813,870,4664,1002,4180,862,6578,1285,10241,1388,11425,1498,6792,1151,4054,919,3522,748,3252,822
0500000US42045,42045,"Delaware County, Pennsylvania",156564,2334,6295,1108,5401,1137,7125,1263,7228,1227,5769,1138,6934,1264,7838,1235,6429,1175,5336,1108,11899,1308,15193,1688,20500,1917,15032,1652,10997,1213,10522,1309,14066,1352
0500000US42049,42049,"Erie County, Pennsylvania",100817,1818,7782,1086,7156,1372,6363,1077,5609,1079,6872,1353,5614,1042,6048,1085,6473,1156,3747,678,10497,1257,10286,1372,9930,1162,7208,1042,2896,679,2398,635,1938,625
0500000US42051,42051,"Fayette County, Pennsylvania",51968,1455,3923,720,4080,866,4735,822,4058,917,4418,1063,3891,849,2675,731,2563,630,2806,630,4912,949,4494,1066,4991,852,2087,460,1136,395,862,418,337,207
0500000US42055,42055,"Franklin County, Pennsylvania",53896,1424,2666,738,2172,673,3077,748,3991,890,2847,829,3182,665,2937,745,3074,859,3017,809,4646,871,7051,1146,7034,1299,4665,907,1585,611,1298,602,654,380
0500000US42063,42063,"Indiana County, Pennsylvania",33587,883,2934,576,2326,516,2230,619,2373,599,1791,426,2297,579,1953,514,1452,393,1894,645,2819,616,3266,615,3975,752,2134,490,795,330,933,394,415,245
0500000US42069,42069,"Lackawanna County, Pennsylvania",82674,1701,5805,1024,5844,1062,5624,1022,5185,1184,4668,900,4101,775,5694,1118,4864,1089,4432,996,6191,1155,7758,1302,9687,1353,5694,975,2529,733,2614,675,1984,578
0500000US42071,42071,"Lancaster County, Pennsylvania",178728,2076,7108,1057,8017,1262,9785,1424,10868,1642,8561,1367,9378,1410,9471,1358,8003,1262,10429,1693,17097,1763,21674,1930,25452,2124,12951,1484,9125,1316,6799,1090,4010,851
0500000US42073,42073,"Lawrence County, Pennsylvania",34710,1101,2828,612,2294,518,2530,592,2414,616,2270,602,2076,547,1853,489,1860,594,2076,479,2731,525,3644,719,3911,655,2552,526,547,209,474,268,650,315
0500000US42075,42075,"Lebanon County, Pennsylvania",47128,1176,2403,694,2324,650,1981,546,2778,762,2612,682,2072,517,2985,782,2274,640,1713,545,5027,972,7119,1029,5247,917,4550,994,2067,685,1135,375,841,372
0500000US42077,42077,"Lehigh County, Pennsylvania",114119,2268,7159,1664,5875,1234,6994,1366,6877,1409,5589,1168,5735,1100,4627,930,6240,1569,4853,1246,9882,1827,12273,1473,15849,1836,7849,1155,5434,1181,4556,1154,4327,959
0500000US42079,42079,"Luzerne County, Pennsylvania",123123,2189,8959,1223,9058,1143,8172,1330,8608,1182,7360,1347,6730,1026,7403,1276,5864,849,6329,882,10408,1247,12180,1428,15228,1684,7414,1090,3278,641,3504,907,2628,716
0500000US42081,42081,"Lycoming County, Pennsylvania",44315,1198,2918,738,2726,745,2468,688,3083,690,3167,972,3005,676,2829,731,2404,504,2445,619,3876,757,5333,859,5040,778,2590,507,1036,331,773,302,622,241
0500000US42085,42085,"Mercer County, Pennsylvania",43255,1238,2584,641,2281,498,3419,720,2435,613,3044,672,2878,549,2751,631,3429,736,1991,484,3941,767,4125,703,4994,973,3502,819,538,181,597,252,746,370
0500000US42089,42089,"Monroe County, Pennsylvania",47766,2946,3357,1180,1728,841,3295,1315,2962,909,2076,713,2487,788,1790,739,1949,765,3171,1172,4148,1196,6153,1363,6680,1278,3382,1081,2354,940,1482,622,752,479
