GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2011 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2011 inflation-adjusted dollars)
0500000US34001,34001,"Atlantic County, New Jersey",31376,30049
0500000US34005,34005,"Burlington County, New Jersey",50179,38653
0500000US34009,34009,"Cape May County, New Jersey",-,**
0500000US34011,34011,"Cumberland County, New Jersey",29157,18590
0500000US34013,34013,"Essex County, New Jersey",13199,10109
0500000US34015,34015,"Gloucester County, New Jersey",-,**
0500000US34019,34019,"Hunterdon County, New Jersey",-,**
0500000US34023,34023,"Middlesex County, New Jersey",60341,51218
0500000US34031,34031,"Passaic County, New Jersey",65215,20238
0500000US34033,34033,"Salem County, New Jersey",-,**
0500000US34035,34035,"Somerset County, New Jersey",-,**
0500000US34037,34037,"Sussex County, New Jersey",-,**
0500000US34041,34041,"Warren County, New Jersey",-,**
0500000US42001,42001,"Adams County, Pennsylvania",76695,8812
0500000US42003,42003,"Allegheny County, Pennsylvania",40948,16184
0500000US42005,42005,"Armstrong County, Pennsylvania",-,**
0500000US42007,42007,"Beaver County, Pennsylvania",-,**
0500000US42013,42013,"Blair County, Pennsylvania",-,**
0500000US42017,42017,"Bucks County, Pennsylvania",80136,45002
0500000US42019,42019,"Butler County, Pennsylvania",35795,25131
0500000US42021,42021,"Cambria County, Pennsylvania",-,**
0500000US42025,42025,"Carbon County, Pennsylvania",-,**
0500000US42029,42029,"Chester County, Pennsylvania",94048,27024
0500000US42033,42033,"Clearfield County, Pennsylvania",57891,13435
0500000US42037,42037,"Columbia County, Pennsylvania",-,**
0500000US42039,42039,"Crawford County, Pennsylvania",-,**
0500000US42041,42041,"Cumberland County, Pennsylvania",-,**
0500000US42045,42045,"Delaware County, Pennsylvania",62385,50422
0500000US42049,42049,"Erie County, Pennsylvania",27150,21246
0500000US42051,42051,"Fayette County, Pennsylvania",-,**
0500000US42055,42055,"Franklin County, Pennsylvania",28429,21077
0500000US42063,42063,"Indiana County, Pennsylvania","2,500-",***
0500000US42069,42069,"Lackawanna County, Pennsylvania",16505,4840
0500000US42071,42071,"Lancaster County, Pennsylvania",-,**
0500000US42073,42073,"Lawrence County, Pennsylvania",-,**
0500000US42075,42075,"Lebanon County, Pennsylvania",-,**
0500000US42077,42077,"Lehigh County, Pennsylvania",-,**
0500000US42079,42079,"Luzerne County, Pennsylvania",10135,2631
0500000US42081,42081,"Lycoming County, Pennsylvania",21594,18025
0500000US42085,42085,"Mercer County, Pennsylvania",16429,810
0500000US42089,42089,"Monroe County, Pennsylvania",-,**
0500000US42095,42095,"Northampton County, Pennsylvania",27717,16317
0500000US42097,42097,"Northumberland County, Pennsylvania",-,**
0500000US42101,42101,"Philadelphia County, Pennsylvania",17784,10445
0500000US42107,42107,"Schuylkill County, Pennsylvania",-,**
0500000US42111,42111,"Somerset County, Pennsylvania",-,**
0500000US42125,42125,"Washington County, Pennsylvania",-,**
