GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 to 24 years,Margin of Error; Male: - 20 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 44 years,Margin of Error; Male: - 35 to 44 years,Estimate; Male: - 45 to 54 years,Margin of Error; Male: - 45 to 54 years,Estimate; Male: - 55 to 64 years,Margin of Error; Male: - 55 to 64 years,Estimate; Male: - 65 to 74 years,Margin of Error; Male: - 65 to 74 years,Estimate; Male: - 75 to 84 years,Margin of Error; Male: - 75 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 to 24 years,Margin of Error; Female: - 20 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 44 years,Margin of Error; Female: - 35 to 44 years,Estimate; Female: - 45 to 54 years,Margin of Error; Female: - 45 to 54 years,Estimate; Female: - 55 to 64 years,Margin of Error; Female: - 55 to 64 years,Estimate; Female: - 65 to 74 years,Margin of Error; Female: - 65 to 74 years,Estimate; Female: - 75 to 84 years,Margin of Error; Female: - 75 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
0500000US34001,34001,"Atlantic County, New Jersey",44567,1882,20793,1013,1630,427,2029,507,1154,476,925,422,1014,421,1856,167,1205,142,811,488,2973,447,3091,280,2096,261,1241,31,712,78,56,78,23774,1296,1517,192,1530,731,1539,570,1012,463,629,130,2124,382,1383,101,564,367,3936,503,3713,257,2796,186,1638,157,887,297,506,285
0500000US34003,34003,"Bergen County, New Jersey",50478,2186,23349,1412,1130,433,1630,585,1373,470,1302,102,540,410,2021,733,1197,670,1435,432,3369,196,4041,519,2727,158,1616,490,563,330,405,419,27129,1176,1274,367,1262,533,1798,449,972,318,868,165,858,531,2093,576,1835,363,3940,361,4674,354,3619,216,2250,277,1295,341,391,314
0500000US34005,34005,"Burlington County, New Jersey",70525,2871,35282,1649,2199,274,2337,697,1799,636,1357,423,1210,630,3572,803,2162,538,2109,288,5169,218,5842,284,3750,32,2242,274,1483,154,51,68,35243,1753,1905,664,2305,657,2282,721,1393,425,721,421,1897,531,1870,327,2336,143,4894,464,6236,399,4441,261,2815,345,1617,285,531,271
0500000US34007,34007,"Camden County, New Jersey",102432,2926,47163,1466,3890,575,3944,917,3929,786,2701,316,1484,316,4028,555,2955,235,3157,393,6214,505,6197,587,4825,242,2437,107,778,302,624,302,55269,1891,3423,519,3112,805,4475,737,2752,506,1640,180,4360,344,3731,337,4138,431,7395,390,7898,394,6232,583,3480,243,1624,504,1009,496
0500000US34011,34011,"Cumberland County, New Jersey",32005,1658,17895,945,799,431,1013,436,1083,372,687,351,293,273,1741,463,1983,399,2190,217,3413,188,2546,73,1388,203,545,110,207,108,7,11,14110,963,943,328,1317,289,966,321,493,169,735,420,1041,136,1069,185,680,204,2181,359,1864,205,1395,72,819,192,170,128,437,128
0500000US34013,34013,"Essex County, New Jersey",313745,3357,144337,2012,11209,483,10452,1223,11327,1247,7621,467,4247,468,12104,371,9912,297,9998,403,20188,461,20528,569,14737,320,7605,255,3800,344,609,277,169408,1981,11081,682,10578,1243,11251,1312,7191,256,4598,231,12641,558,12177,489,12309,382,23730,515,24661,474,18743,827,11369,237,6638,415,2441,515
0500000US34015,34015,"Gloucester County, New Jersey",29717,1629,14092,947,954,339,1440,434,911,372,859,388,388,376,1356,382,674,192,895,127,1814,110,2100,192,1379,146,870,278,309,276,143,108,15625,936,1130,53,1243,441,794,413,761,387,1162,709,860,661,718,445,1023,144,1839,488,2369,167,1858,74,1027,92,698,177,143,165
0500000US34017,34017,"Hudson County, New Jersey",86669,4520,41136,2634,2723,574,1935,647,3333,576,1550,518,1277,270,4341,754,3496,394,3444,359,6349,572,6281,972,3459,301,1810,189,902,196,236,150,45533,2124,3055,636,2387,607,3543,775,2032,454,1281,175,3704,479,3325,404,3404,272,6924,378,6173,666,5242,568,2624,204,1596,202,243,175
0500000US34021,34021,"Mercer County, New Jersey",73229,2189,34425,1276,2718,533,1739,491,3026,616,1840,176,949,463,3323,481,2296,153,2472,83,4515,302,5194,176,3563,200,1673,217,1045,89,72,89,38804,1294,2199,550,2543,846,2620,829,1659,260,1371,192,2866,367,2331,275,2685,165,5341,312,5759,293,4522,174,2586,192,1121,336,1201,430
