GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
0500000US34001,34001,"Atlantic County, New Jersey",15688,1400,2551,677,1048,396,1107,407,1135,457,640,313,1414,645,600,376,704,384,483,338,800,496,1648,688,1179,504,1192,444,902,545,188,167,97,119
0500000US34003,34003,"Bergen County, New Jersey",18557,1468,2460,923,990,564,273,243,515,352,338,328,977,582,341,256,466,297,465,366,1768,732,2966,941,2362,916,1561,583,1025,543,1376,574,674,392
0500000US34005,34005,"Burlington County, New Jersey",24789,1525,1292,738,851,472,683,329,1186,466,1042,548,931,450,844,501,1222,600,1918,809,2243,698,2827,834,4812,1063,1597,508,1227,597,1155,521,959,399
0500000US34007,34007,"Camden County, New Jersey",35525,2069,5102,1074,1931,778,1721,670,1744,537,1809,666,2497,873,2271,786,2125,765,1249,577,2162,793,3209,923,4121,982,1932,623,2201,778,1130,450,321,194
0500000US34011,34011,"Cumberland County, New Jersey",8101,902,1017,371,432,239,743,423,378,218,406,213,654,403,305,230,453,297,568,365,580,424,393,223,962,479,574,399,281,228,297,295,58,93
0500000US34013,34013,"Essex County, New Jersey",114684,2866,17367,1630,9627,1264,7700,1106,8304,1387,8094,1473,7149,1243,6051,1015,4200,976,4506,910,8269,1392,9449,1289,10389,1355,5399,965,3096,827,2960,736,2124,679
0500000US34015,34015,"Gloucester County, New Jersey",10833,926,385,224,602,410,762,575,331,257,243,210,552,411,617,498,474,341,382,301,901,466,1420,663,1000,429,1136,488,1137,475,645,387,246,208
0500000US34017,34017,"Hudson County, New Jersey",31128,2054,3957,946,2774,852,1917,567,1793,723,1687,551,1311,575,1463,568,688,318,1362,529,1713,510,2514,794,3062,872,2805,850,1490,580,1278,615,1314,516
0500000US34021,34021,"Mercer County, New Jersey",26415,1705,4031,1076,1649,589,1209,457,1949,728,1635,722,2718,1009,972,567,821,465,1565,807,2087,707,2170,802,1550,499,1858,775,695,341,830,546,676,518
0500000US34023,34023,"Middlesex County, New Jersey",27409,1513,2586,1052,1030,495,1372,620,428,333,1711,799,989,519,1832,730,730,416,706,403,1690,609,2618,889,4060,925,3446,1030,1184,396,2311,784,716,406
0500000US34025,34025,"Monmouth County, New Jersey",18015,1159,2135,726,682,363,988,542,557,357,563,329,1390,661,1115,543,451,286,1032,489,1465,673,1445,540,2421,703,1553,463,775,506,1144,449,299,302
0500000US34027,34027,"Morris County, New Jersey",5311,900,359,269,230,203,43,76,330,367,146,207,141,132,258,271,284,208,215,221,534,375,344,299,1027,478,176,184,426,403,218,184,580,380
0500000US34029,34029,"Ocean County, New Jersey",5808,725,422,279,128,190,452,393,82,106,71,124,434,385,97,126,37,65,690,506,250,184,851,502,833,399,805,397,134,156,417,364,105,118
0500000US34031,34031,"Passaic County, New Jersey",21371,1540,5584,1092,1950,670,1084,590,1210,599,1031,409,1637,624,689,391,611,368,896,565,1324,538,1496,560,1866,623,580,319,393,293,321,218,699,642
0500000US34033,34033,"Salem County, New Jersey",3548,503,608,374,313,200,396,214,213,185,202,210,138,184,167,140,252,277,71,92,199,159,260,161,208,155,168,166,230,304,64,110,59,72
0500000US34035,34035,"Somerset County, New Jersey",9736,694,303,223,145,150,279,231,523,335,978,599,357,381,182,156,266,244,118,104,1095,582,1059,515,1151,566,1016,462,585,319,1208,546,471,298
0500000US34039,34039,"Union County, New Jersey",41379,1740,3361,863,2685,760,1782,632,1551,538,1909,704,2514,851,1554,688,1743,580,1750,653,4408,1171,4978,1081,5511,1076,3687,851,1680,593,1117,647,1149,408
0500000US42003,42003,"Allegheny County, Pennsylvania",66274,2076,11567,1263,7028,1209,4797,968,5797,1167,5169,1135,5447,1159,2935,786,3220,942,2732,741,4083,971,3409,736,5360,1010,2216,647,753,386,1368,499,393,234
0500000US42007,42007,"Beaver County, Pennsylvania",4251,534,719,385,265,193,738,443,430,353,238,242,217,199,171,209,320,247,69,87,258,198,391,380,23,41,97,104,231,327,84,100,0,165
0500000US42011,42011,"Berks County, Pennsylvania",7698,947,1324,567,1237,610,1038,729,426,280,813,435,395,297,206,147,445,299,234,186,442,293,488,289,365,201,235,236,0,165,50,84,0,165
0500000US42017,42017,"Bucks County, Pennsylvania",8231,869,250,237,573,342,389,344,537,371,421,306,787,405,459,322,917,525,292,220,993,564,730,383,627,416,586,343,57,101,163,155,450,375
0500000US42029,42029,"Chester County, Pennsylvania",9152,867,652,315,650,469,286,208,408,259,425,263,831,459,333,258,737,438,28,47,689,370,714,379,1122,573,1055,501,538,427,173,180,511,358
0500000US42043,42043,"Dauphin County, Pennsylvania",18084,1299,2672,758,1271,544,1291,583,1041,530,1031,491,1174,484,790,530,1118,557,870,403,2454,853,1524,556,1231,495,706,419,367,316,436,321,108,138
0500000US42045,42045,"Delaware County, Pennsylvania",38308,1351,4738,931,2221,711,3205,793,3297,939,2374,743,2119,792,2532,675,1644,597,1520,587,3402,810,2854,817,3886,940,2554,931,900,400,586,280,476,391
0500000US42049,42049,"Erie County, Pennsylvania",6675,711,1598,522,454,290,746,348,706,325,328,216,118,143,361,269,317,245,221,185,686,463,624,369,355,229,74,88,87,140,0,165,0,165
0500000US42071,42071,"Lancaster County, Pennsylvania",6646,834,1079,553,663,507,283,256,383,205,392,340,392,286,649,407,331,329,400,523,514,363,603,513,566,497,259,234,0,165,132,154,0,165
0500000US42077,42077,"Lehigh County, Pennsylvania",8132,1072,1058,535,489,394,207,243,837,503,463,486,825,540,188,221,399,460,461,412,1005,816,1170,639,407,355,191,208,176,202,143,172,113,188
0500000US42089,42089,"Monroe County, Pennsylvania",6704,1025,0,165,278,304,147,200,438,369,313,328,605,610,848,576,381,329,464,500,360,267,892,590,1115,737,317,295,143,219,32,56,371,339
0500000US42091,42091,"Montgomery County, Pennsylvania",25887,1587,1763,641,1071,449,1188,438,1692,726,1353,589,1699,732,1249,622,993,532,680,459,1958,772,2581,904,4322,1134,1747,542,1832,741,909,360,850,399
0500000US42095,42095,"Northampton County, Pennsylvania",4175,659,407,271,561,458,456,331,155,140,298,278,314,307,96,89,242,191,196,280,497,418,396,256,111,108,268,291,54,92,75,132,49,86
0500000US42101,42101,"Philadelphia County, Pennsylvania",245024,4198,44481,3236,26735,2853,22140,2555,18635,2393,17007,2158,15467,1941,11631,1702,11920,1721,8754,1429,18736,2137,17440,1944,16300,2038,7740,1425,3729,1072,1940,662,2369,757
0500000US42133,42133,"York County, Pennsylvania",8326,791,1625,602,210,207,674,417,921,626,475,289,559,317,726,473,747,383,386,370,115,123,358,238,385,324,163,180,550,494,229,344,203,189
