GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
0500000US34001,34001,"Atlantic County, New Jersey",5541,690,403,455,260,287,275,218,298,234,220,187,125,108,381,262,249,226,437,279,634,358,581,361,844,386,157,168,476,375,64,107,137,194
0500000US34003,34003,"Bergen County, New Jersey",46164,1844,3259,982,1043,531,956,429,1067,426,912,462,977,496,695,364,1452,627,1413,517,2267,827,4004,881,5708,969,7836,1278,3679,883,5637,1088,5259,1135
0500000US34005,34005,"Burlington County, New Jersey",6483,587,456,298,63,83,88,103,92,112,143,159,55,69,224,187,102,128,108,178,267,221,953,451,643,340,555,264,700,338,854,373,1180,589
0500000US34007,34007,"Camden County, New Jersey",8317,824,614,344,209,172,328,270,219,178,266,215,139,211,528,303,214,188,378,266,723,411,724,469,1569,543,412,242,609,341,568,294,817,445
0500000US34013,34013,"Essex County, New Jersey",11129,892,223,162,571,395,272,208,391,310,230,248,382,313,273,203,371,313,301,251,456,409,626,468,1094,445,1854,503,1569,521,1282,375,1234,449
0500000US34017,34017,"Hudson County, New Jersey",31533,1506,1738,629,673,388,748,418,748,372,394,250,845,366,951,460,788,363,1394,654,1848,608,2036,564,4249,1038,4725,979,2625,766,3557,824,4214,803
0500000US34021,34021,"Mercer County, New Jersey",10273,859,467,323,0,192,0,192,242,249,377,364,144,217,111,165,40,66,87,146,744,462,845,354,1058,646,1248,526,513,419,1683,708,2714,739
0500000US34023,34023,"Middlesex County, New Jersey",53714,1576,1256,503,612,370,1302,604,568,303,658,243,520,325,1084,556,1112,390,905,543,2592,801,3714,908,8958,1316,9211,1369,4485,1073,8395,1493,8342,1092
0500000US34025,34025,"Monmouth County, New Jersey",10077,759,680,438,152,150,503,372,317,233,522,389,252,191,0,192,225,285,125,155,404,242,762,352,1309,550,1264,473,510,251,1420,476,1632,477
0500000US34027,34027,"Morris County, New Jersey",14376,884,404,252,181,160,206,148,155,162,389,226,209,200,135,107,295,394,184,120,453,325,1313,453,2583,653,1946,772,1523,450,1782,514,2618,591
