GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
0500000US34003,34003,"Bergen County, New Jersey",18205,2407,1277,719,1261,800,927,615,1036,724,775,665,482,327,381,407,428,477,1389,828,1838,845,1537,725,3351,992,619,403,943,479,1407,825,554,397
0500000US34007,34007,"Camden County, New Jersey",11905,1506,1959,882,682,418,1328,675,1194,573,448,357,458,410,377,334,487,352,555,405,371,256,740,518,1580,652,1253,925,65,105,408,448,0,200
0500000US34013,34013,"Essex County, New Jersey",23873,2078,2958,881,1172,514,1866,722,2646,885,2070,823,937,502,1561,554,1228,629,896,462,1768,681,1124,506,2261,847,2253,784,683,431,228,199,222,172
0500000US34017,34017,"Hudson County, New Jersey",25693,2695,2898,1052,1782,581,1822,757,2087,870,1098,520,1502,665,957,576,1333,686,1535,822,3133,812,2057,752,2437,685,635,380,1724,887,522,345,171,165
0500000US34021,34021,"Mercer County, New Jersey",6882,1297,521,441,516,422,500,450,122,156,605,436,53,91,185,213,354,336,358,323,1058,612,927,586,723,474,493,381,56,96,328,248,83,153
0500000US34023,34023,"Middlesex County, New Jersey",10247,1748,618,413,649,382,898,583,537,369,401,274,792,518,692,521,623,405,472,284,559,465,885,617,890,610,1080,605,571,308,224,218,356,400
0500000US34025,34025,"Monmouth County, New Jersey",5077,1234,379,356,124,137,94,153,416,379,590,485,63,107,330,328,427,406,606,419,652,453,328,240,315,292,379,328,54,92,181,289,139,150
0500000US34031,34031,"Passaic County, New Jersey",14739,1454,1101,441,1911,682,1452,656,1045,377,1192,582,554,422,607,357,450,268,749,455,461,253,1404,523,1393,649,1081,572,673,374,312,325,354,314
0500000US34039,34039,"Union County, New Jersey",21977,2075,1648,851,594,370,1700,723,2295,814,1088,517,1788,801,1507,803,1201,598,946,515,2321,810,1983,760,1500,632,1495,560,1043,622,674,447,194,227
0500000US42011,42011,"Berks County, Pennsylvania",7235,1225,878,484,976,621,487,376,962,601,98,121,275,267,473,291,330,266,413,408,123,143,514,473,915,560,639,516,0,172,0,172,152,242
0500000US42077,42077,"Lehigh County, Pennsylvania",8036,1440,1446,730,655,494,586,393,390,476,489,354,287,278,760,474,220,255,376,288,861,545,1191,684,539,379,46,78,62,99,128,175,0,172
0500000US42101,42101,"Philadelphia County, Pennsylvania",22614,2485,5679,1258,1775,728,2684,1129,1827,677,1138,449,956,589,1190,713,1865,828,1206,522,1146,584,1076,516,1063,599,534,341,326,283,149,117,0,172
