GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 to 24 years,Margin of Error; Male: - 20 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 44 years,Margin of Error; Male: - 35 to 44 years,Estimate; Male: - 45 to 54 years,Margin of Error; Male: - 45 to 54 years,Estimate; Male: - 55 to 64 years,Margin of Error; Male: - 55 to 64 years,Estimate; Male: - 65 to 74 years,Margin of Error; Male: - 65 to 74 years,Estimate; Male: - 75 to 84 years,Margin of Error; Male: - 75 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 to 24 years,Margin of Error; Female: - 20 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 44 years,Margin of Error; Female: - 35 to 44 years,Estimate; Female: - 45 to 54 years,Margin of Error; Female: - 45 to 54 years,Estimate; Female: - 55 to 64 years,Margin of Error; Female: - 55 to 64 years,Estimate; Female: - 65 to 74 years,Margin of Error; Female: - 65 to 74 years,Estimate; Female: - 75 to 84 years,Margin of Error; Female: - 75 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
0500000US34001,34001,"Atlantic County, New Jersey",22964,524,10800,472,441,392,487,261,1138,262,567,195,222,190,691,227,646,72,610,105,1480,195,1790,50,1520,195,1042,126,141,122,25,44,12164,557,925,485,883,289,602,266,471,195,475,230,515,227,836,195,813,76,1903,114,1869,19,1595,195,890,245,355,244,32,55
0500000US34003,34003,"Bergen County, New Jersey",149488,2165,70682,1273,4061,500,5158,717,4058,765,2926,178,1507,114,3560,497,4393,125,5821,283,12493,366,10914,289,8329,282,4850,125,2123,379,489,379,78806,1116,4052,549,4220,801,4574,916,2842,138,1408,218,4221,182,4894,299,6560,384,14407,362,12636,276,9883,61,5742,238,2164,509,1203,509
0500000US34005,34005,"Burlington County, New Jersey",19690,1231,9978,707,737,176,799,463,1011,479,302,187,201,190,314,234,708,82,780,161,1582,346,1394,215,1101,142,577,254,323,240,149,133,9712,821,724,198,445,225,505,295,405,223,244,197,310,276,661,318,928,95,1608,264,1597,157,1248,207,883,361,120,149,34,61
0500000US34007,34007,"Camden County, New Jersey",29608,811,14338,458,993,191,957,275,843,302,639,262,482,238,772,206,1038,77,1152,86,2788,340,1530,320,1495,127,1169,282,291,200,189,167,15270,629,916,210,1019,349,920,373,485,255,311,42,956,175,996,141,1282,195,2601,77,2110,166,1799,49,1415,279,460,279,0,195
0500000US34013,34013,"Essex County, New Jersey",40041,996,18773,646,1178,221,1055,327,1111,316,723,78,578,246,1181,269,1191,171,1428,57,3384,190,2846,167,2050,219,1397,195,579,89,72,83,21268,579,974,185,1154,541,1224,525,722,77,246,201,1275,253,1429,90,1822,81,4025,129,3175,91,2751,53,1673,81,659,164,139,159
0500000US34015,34015,"Gloucester County, New Jersey",8587,849,4070,519,131,187,247,196,490,271,264,133,53,87,528,220,112,121,49,87,612,230,745,277,315,150,477,166,47,79,0,195,4517,481,89,97,151,156,584,221,193,114,101,138,302,165,253,192,193,143,1110,264,556,287,387,210,382,152,216,193,0,195
0500000US34017,34017,"Hudson County, New Jersey",99389,1224,49994,787,3715,288,1790,456,1986,458,1007,84,647,3,3422,176,7523,98,8612,123,9478,267,4572,190,3862,116,2272,390,970,160,138,160,49395,685,3460,273,2182,484,1695,474,1003,195,529,44,3315,145,6475,522,7813,170,8387,212,5181,163,4839,189,2919,77,1437,202,160,192
0500000US34021,34021,"Mercer County, New Jersey",37568,1076,18502,547,1026,251,1406,565,1528,598,810,195,603,404,1221,407,910,163,1290,195,3612,195,2888,151,1732,195,905,223,478,107,93,107,19066,667,1082,306,1594,609,1064,496,743,100,604,311,1483,332,968,207,1374,139,3997,195,2749,262,1836,195,977,272,422,163,173,159
0500000US34023,34023,"Middlesex County, New Jersey",199268,1890,99308,962,7148,366,6786,1016,7601,1001,3791,112,2717,100,5672,137,7003,175,8977,147,19495,219,13062,385,9260,207,5283,164,2019,326,494,306,99960,1129,6881,302,8185,869,6031,910,3262,184,2530,163,6182,349,8141,90,9669,314,18064,324,12861,237,9374,228,5594,138,1948,538,1238,563
