GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars)
0500000US34001,34001,"Atlantic County, New Jersey",67822,3405
0500000US34003,34003,"Bergen County, New Jersey",91189,1958
0500000US34005,34005,"Burlington County, New Jersey",82307,2732
0500000US34007,34007,"Camden County, New Jersey",72733,3152
0500000US34009,34009,"Cape May County, New Jersey",58039,4001
0500000US34011,34011,"Cumberland County, New Jersey",55137,4931
0500000US34013,34013,"Essex County, New Jersey",90722,5554
0500000US34015,34015,"Gloucester County, New Jersey",82816,2794
0500000US34017,34017,"Hudson County, New Jersey",75340,4735
0500000US34019,34019,"Hunterdon County, New Jersey",103835,5486
0500000US34021,34021,"Mercer County, New Jersey",93583,7250
0500000US34023,34023,"Middlesex County, New Jersey",78015,4225
0500000US34025,34025,"Monmouth County, New Jersey",93000,3278
0500000US34027,34027,"Morris County, New Jersey",102464,2654
0500000US34029,34029,"Ocean County, New Jersey",64359,2703
0500000US34031,34031,"Passaic County, New Jersey",82517,3506
0500000US34033,34033,"Salem County, New Jersey",67188,5896
0500000US34035,34035,"Somerset County, New Jersey",104992,5411
0500000US34037,34037,"Sussex County, New Jersey",81083,4680
0500000US34039,34039,"Union County, New Jersey",93912,5448
0500000US34041,34041,"Warren County, New Jersey",72971,4768
0500000US42001,42001,"Adams County, Pennsylvania",63040,3146
0500000US42003,42003,"Allegheny County, Pennsylvania",57452,1372
0500000US42005,42005,"Armstrong County, Pennsylvania",45998,4442
0500000US42007,42007,"Beaver County, Pennsylvania",53746,3306
0500000US42011,42011,"Berks County, Pennsylvania",61746,1177
0500000US42013,42013,"Blair County, Pennsylvania",44327,3829
0500000US42017,42017,"Bucks County, Pennsylvania",80287,2146
0500000US42019,42019,"Butler County, Pennsylvania",60228,2846
0500000US42021,42021,"Cambria County, Pennsylvania",44078,2443
0500000US42025,42025,"Carbon County, Pennsylvania",50141,3253
0500000US42027,42027,"Centre County, Pennsylvania",53596,4046
0500000US42029,42029,"Chester County, Pennsylvania",89675,3517
0500000US42033,42033,"Clearfield County, Pennsylvania",39650,2827
0500000US42037,42037,"Columbia County, Pennsylvania",48775,4331
0500000US42039,42039,"Crawford County, Pennsylvania",45288,2914
0500000US42041,42041,"Cumberland County, Pennsylvania",64553,3080
0500000US42043,42043,"Dauphin County, Pennsylvania",62061,2546
0500000US42045,42045,"Delaware County, Pennsylvania",73380,3016
0500000US42049,42049,"Erie County, Pennsylvania",48039,2503
0500000US42051,42051,"Fayette County, Pennsylvania",37703,2828
0500000US42055,42055,"Franklin County, Pennsylvania",51184,2558
0500000US42063,42063,"Indiana County, Pennsylvania",42921,3528
0500000US42069,42069,"Lackawanna County, Pennsylvania",46587,2805
0500000US42071,42071,"Lancaster County, Pennsylvania",60621,1900
0500000US42073,42073,"Lawrence County, Pennsylvania",47054,2996
0500000US42075,42075,"Lebanon County, Pennsylvania",57554,4933
0500000US42077,42077,"Lehigh County, Pennsylvania",65553,3073
0500000US42079,42079,"Luzerne County, Pennsylvania",45385,1713
0500000US42081,42081,"Lycoming County, Pennsylvania",45857,2846
0500000US42085,42085,"Mercer County, Pennsylvania",44449,3201
0500000US42089,42089,"Monroe County, Pennsylvania",59791,5881
0500000US42091,42091,"Montgomery County, Pennsylvania",82778,1939
0500000US42095,42095,"Northampton County, Pennsylvania",64101,2325
0500000US42097,42097,"Northumberland County, Pennsylvania",39820,2698
0500000US42101,42101,"Philadelphia County, Pennsylvania",54422,1868
0500000US42107,42107,"Schuylkill County, Pennsylvania",42636,2513
0500000US42111,42111,"Somerset County, Pennsylvania",46434,1864
0500000US42125,42125,"Washington County, Pennsylvania",56955,2969
0500000US42129,42129,"Westmoreland County, Pennsylvania",54916,2113
0500000US42133,42133,"York County, Pennsylvania",61322,1277
