GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2015 Inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)
0500000US34001,34001,"Atlantic County, New Jersey",59871,14256
0500000US34003,34003,"Bergen County, New Jersey",104808,8057
0500000US34005,34005,"Burlington County, New Jersey",89042,9226
0500000US34007,34007,"Camden County, New Jersey",85108,14363
0500000US34009,34009,"Cape May County, New Jersey",23161,18489
0500000US34011,34011,"Cumberland County, New Jersey",65996,28712
0500000US34013,34013,"Essex County, New Jersey",106911,13788
0500000US34015,34015,"Gloucester County, New Jersey",123288,69447
0500000US34017,34017,"Hudson County, New Jersey",100690,6112
0500000US34019,34019,"Hunterdon County, New Jersey",167557,93633
0500000US34021,34021,"Mercer County, New Jersey",131292,17585
0500000US34023,34023,"Middlesex County, New Jersey",111159,3772
0500000US34025,34025,"Monmouth County, New Jersey",111089,22437
0500000US34027,34027,"Morris County, New Jersey",140851,20460
0500000US34029,34029,"Ocean County, New Jersey",92654,39025
0500000US34031,34031,"Passaic County, New Jersey",93650,15958
0500000US34033,34033,"Salem County, New Jersey",52557,26439
0500000US34035,34035,"Somerset County, New Jersey",150848,10911
0500000US34037,34037,"Sussex County, New Jersey",127701,42529
0500000US34039,34039,"Union County, New Jersey",122994,17629
0500000US34041,34041,"Warren County, New Jersey",80417,60990
0500000US42001,42001,"Adams County, Pennsylvania",-,**
0500000US42003,42003,"Allegheny County, Pennsylvania",58038,8095
0500000US42005,42005,"Armstrong County, Pennsylvania",-,**
0500000US42007,42007,"Beaver County, Pennsylvania",19036,14333
0500000US42011,42011,"Berks County, Pennsylvania",70429,36222
0500000US42013,42013,"Blair County, Pennsylvania",192122,57049
0500000US42017,42017,"Bucks County, Pennsylvania",105755,23711
0500000US42019,42019,"Butler County, Pennsylvania",57203,45819
0500000US42021,42021,"Cambria County, Pennsylvania",44459,24240
0500000US42025,42025,"Carbon County, Pennsylvania",-,**
0500000US42027,42027,"Centre County, Pennsylvania",40376,20159
0500000US42029,42029,"Chester County, Pennsylvania",120142,14338
0500000US42033,42033,"Clearfield County, Pennsylvania",-,**
0500000US42041,42041,"Cumberland County, Pennsylvania",78772,12259
0500000US42043,42043,"Dauphin County, Pennsylvania",56976,17470
0500000US42045,42045,"Delaware County, Pennsylvania",73085,17831
0500000US42049,42049,"Erie County, Pennsylvania",36505,22236
0500000US42051,42051,"Fayette County, Pennsylvania",-,**
0500000US42055,42055,"Franklin County, Pennsylvania","250,000+",***
0500000US42063,42063,"Indiana County, Pennsylvania",-,**
0500000US42069,42069,"Lackawanna County, Pennsylvania",49009,11706
0500000US42071,42071,"Lancaster County, Pennsylvania",76308,22402
0500000US42073,42073,"Lawrence County, Pennsylvania",-,**
0500000US42075,42075,"Lebanon County, Pennsylvania",47656,16320
0500000US42077,42077,"Lehigh County, Pennsylvania",77698,31237
0500000US42079,42079,"Luzerne County, Pennsylvania",57738,27534
0500000US42089,42089,"Monroe County, Pennsylvania",78935,25490
0500000US42091,42091,"Montgomery County, Pennsylvania",85795,4995
0500000US42095,42095,"Northampton County, Pennsylvania",67417,27687
0500000US42101,42101,"Philadelphia County, Pennsylvania",41604,6486
0500000US42107,42107,"Schuylkill County, Pennsylvania",-,**
0500000US42111,42111,"Somerset County, Pennsylvania",-,**
0500000US42125,42125,"Washington County, Pennsylvania",103818,41563
0500000US42129,42129,"Westmoreland County, Pennsylvania",132745,70305
0500000US42133,42133,"York County, Pennsylvania",39297,24805
