GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04
0500000US34001,34001,"Atlantic County, New Jersey",30468,1013,31687,1443,27556,3089
0500000US34003,34003,"Bergen County, New Jersey",50171,1206,60274,1492,40105,2502
0500000US34005,34005,"Burlington County, New Jersey",42624,2715,50753,923,36279,1047
0500000US34007,34007,"Camden County, New Jersey",36727,1130,42133,2198,31501,1248
0500000US34009,34009,"Cape May County, New Jersey",33196,3907,40402,3575,29538,3446
0500000US34011,34011,"Cumberland County, New Jersey",23604,2798,22167,2420,25748,3191
0500000US34013,34013,"Essex County, New Jersey",35866,1129,40938,766,31088,1101
0500000US34015,34015,"Gloucester County, New Jersey",42322,2198,51230,1066,35785,2040
0500000US34017,34017,"Hudson County, New Jersey",40117,1666,43133,3052,32678,2819
0500000US34019,34019,"Hunterdon County, New Jersey",56145,4118,72490,5766,41162,2996
0500000US34021,34021,"Mercer County, New Jersey",40004,2511,45104,4239,34261,3290
0500000US34023,34023,"Middlesex County, New Jersey",42612,2447,52251,1764,35560,1290
0500000US34025,34025,"Monmouth County, New Jersey",42626,3007,54989,4154,34826,2108
0500000US34027,34027,"Morris County, New Jersey",51824,828,63843,4373,40921,1785
0500000US34029,34029,"Ocean County, New Jersey",36301,980,45841,1626,28889,1753
0500000US34031,34031,"Passaic County, New Jersey",31932,745,40254,1925,26050,803
0500000US34033,34033,"Salem County, New Jersey",32641,4931,37623,4883,27181,4426
0500000US34035,34035,"Somerset County, New Jersey",50644,1303,64121,5054,40151,3736
0500000US34037,34037,"Sussex County, New Jersey",46181,3174,52226,3160,37238,3573
0500000US34039,34039,"Union County, New Jersey",39982,2189,43859,3930,32400,3112
0500000US34041,34041,"Warren County, New Jersey",40425,3120,50618,2217,30845,2181
0500000US42001,42001,"Adams County, Pennsylvania",30503,1059,36722,2637,25535,2394
0500000US42003,42003,"Allegheny County, Pennsylvania",35683,659,42000,733,30355,605
0500000US42005,42005,"Armstrong County, Pennsylvania",30233,2395,37236,3600,20969,2451
0500000US42007,42007,"Beaver County, Pennsylvania",33120,2680,40492,1876,27377,1933
0500000US42011,42011,"Berks County, Pennsylvania",31664,734,38260,2513,26592,1183
0500000US42013,42013,"Blair County, Pennsylvania",27873,1867,35324,4005,23302,1522
0500000US42017,42017,"Bucks County, Pennsylvania",40718,560,49699,3380,32833,2055
0500000US42019,42019,"Butler County, Pennsylvania",39364,2892,50053,3178,29357,2786
0500000US42021,42021,"Cambria County, Pennsylvania",27412,1874,32325,4010,22164,1555
0500000US42025,42025,"Carbon County, Pennsylvania",34141,3373,40116,4563,29830,2475
0500000US42027,42027,"Centre County, Pennsylvania",25081,2058,29033,4147,20910,1199
0500000US42029,42029,"Chester County, Pennsylvania",44434,3058,54901,2171,33124,4361
0500000US42033,42033,"Clearfield County, Pennsylvania",26031,1442,30601,2196,20690,1671
0500000US42037,42037,"Columbia County, Pennsylvania",30663,1858,36631,1886,23902,2473
0500000US42039,42039,"Crawford County, Pennsylvania",28387,2256,33748,2426,22365,1908
0500000US42041,42041,"Cumberland County, Pennsylvania",36203,1322,42176,1934,27660,2147
0500000US42043,42043,"Dauphin County, Pennsylvania",35876,968,40405,1870,32558,2099
0500000US42045,42045,"Delaware County, Pennsylvania",37160,1253,45284,2469,30898,1302
0500000US42049,42049,"Erie County, Pennsylvania",27482,1362,32270,2121,22656,1552
0500000US42051,42051,"Fayette County, Pennsylvania",27257,2192,33806,4877,21911,1743
0500000US42055,42055,"Franklin County, Pennsylvania",34337,3188,40536,1291,28678,2297
0500000US42063,42063,"Indiana County, Pennsylvania",21645,1246,28341,2958,17089,1107
0500000US42069,42069,"Lackawanna County, Pennsylvania",30741,1183,37490,3522,25676,1262
0500000US42071,42071,"Lancaster County, Pennsylvania",31505,679,41211,807,24320,1807
0500000US42073,42073,"Lawrence County, Pennsylvania",29142,2839,36321,1656,22238,2707
0500000US42075,42075,"Lebanon County, Pennsylvania",31216,938,39178,5148,25358,3243
0500000US42077,42077,"Lehigh County, Pennsylvania",35005,2169,41992,1655,30020,1630
0500000US42079,42079,"Luzerne County, Pennsylvania",30932,629,36343,1049,26022,1178
0500000US42081,42081,"Lycoming County, Pennsylvania",28981,2903,36316,1650,21315,1040
0500000US42085,42085,"Mercer County, Pennsylvania",26146,1380,31554,3761,22450,1854
0500000US42089,42089,"Monroe County, Pennsylvania",31827,2123,40899,2773,25358,2856
0500000US42091,42091,"Montgomery County, Pennsylvania",45269,853,54354,1995,36634,797
0500000US42095,42095,"Northampton County, Pennsylvania",32052,1136,40390,1044,25837,1158
0500000US42097,42097,"Northumberland County, Pennsylvania",29932,2453,36483,2394,22665,2388
0500000US42101,42101,"Philadelphia County, Pennsylvania",30678,437,31680,607,29454,1599
0500000US42107,42107,"Schuylkill County, Pennsylvania",33572,2587,40560,1176,26810,2175
0500000US42111,42111,"Somerset County, Pennsylvania",27073,1516,30725,1336,23446,2508
0500000US42125,42125,"Washington County, Pennsylvania",33723,2801,42142,2200,26020,1459
0500000US42129,42129,"Westmoreland County, Pennsylvania",34725,2160,42089,1258,26828,968
0500000US42133,42133,"York County, Pennsylvania",35106,1779,42153,1210,28017,2015
