GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 to 24 years,Margin of Error; Male: - 20 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 44 years,Margin of Error; Male: - 35 to 44 years,Estimate; Male: - 45 to 54 years,Margin of Error; Male: - 45 to 54 years,Estimate; Male: - 55 to 64 years,Margin of Error; Male: - 55 to 64 years,Estimate; Male: - 65 to 74 years,Margin of Error; Male: - 65 to 74 years,Estimate; Male: - 75 to 84 years,Margin of Error; Male: - 75 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 to 24 years,Margin of Error; Female: - 20 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 44 years,Margin of Error; Female: - 35 to 44 years,Estimate; Female: - 45 to 54 years,Margin of Error; Female: - 45 to 54 years,Estimate; Female: - 55 to 64 years,Margin of Error; Female: - 55 to 64 years,Estimate; Female: - 65 to 74 years,Margin of Error; Female: - 65 to 74 years,Estimate; Female: - 75 to 84 years,Margin of Error; Female: - 75 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
0500000US34001,34001,"Atlantic County, New Jersey",22087,3740,11223,2113,881,393,1245,569,798,388,583,425,412,441,1223,433,822,549,1316,456,1184,645,1461,597,377,358,204,273,717,397,0,206,10864,2036,1232,649,1362,580,1118,486,232,256,64,107,499,434,1056,483,779,324,1700,566,1046,372,755,481,565,384,456,398,0,206
0500000US34003,34003,"Bergen County, New Jersey",21817,4312,10561,2320,613,384,681,374,410,358,558,314,165,162,826,362,1020,577,1098,518,2165,742,1407,555,800,423,617,442,187,222,14,30,11256,2445,966,539,902,475,553,331,524,398,286,274,992,609,625,362,1234,611,2164,628,1347,436,987,520,520,274,156,255,0,206
0500000US34005,34005,"Burlington County, New Jersey",6606,1831,3935,1165,175,159,195,147,171,153,93,114,594,413,136,150,458,462,379,370,439,292,711,375,545,264,39,71,0,206,0,206,2671,932,61,74,59,75,125,116,86,97,562,483,0,206,210,154,245,184,407,214,357,267,374,213,185,186,0,206,0,206
0500000US34007,34007,"Camden County, New Jersey",34974,5144,17978,3222,1647,905,1506,727,2716,1171,1405,533,864,609,1168,525,1238,739,920,539,2909,1094,2072,677,799,525,538,301,48,79,148,187,16996,2689,1128,574,1160,675,1852,907,1145,412,690,331,1392,593,1395,513,1413,632,3124,748,1951,681,736,352,613,319,291,215,106,129
0500000US34013,34013,"Essex County, New Jersey",76091,7157,38159,4244,3788,1321,2763,883,3637,1182,1679,704,1069,438,1949,899,2263,838,3340,821,7604,1360,5311,1235,2573,842,1459,498,320,354,404,388,37932,3954,4031,1176,3650,959,3807,1112,1834,582,829,360,1646,684,2678,796,3856,848,6152,1268,4123,883,2377,783,1733,636,932,509,284,287
0500000US34017,34017,"Hudson County, New Jersey",97592,9024,48512,5027,4049,1155,2839,1075,3160,1205,2440,707,1876,765,3293,1015,4342,1329,4177,1175,7986,1551,6150,1325,4493,1036,2346,784,902,475,459,396,49080,4873,3606,1006,3982,1507,2807,987,2082,687,1297,611,3131,910,3485,996,4595,1174,6858,1167,7641,1102,5106,1053,3063,846,1012,397,415,416
0500000US34023,34023,"Middlesex County, New Jersey",34796,5507,16437,2884,1032,618,1979,1018,1652,841,394,311,827,420,787,357,806,412,871,611,3144,888,2272,970,1449,678,763,351,251,319,210,176,18359,3161,878,554,954,532,2044,871,727,357,365,310,775,370,1314,617,1745,668,3093,935,2401,828,2436,708,1027,539,42,70,558,392
0500000US34025,34025,"Monmouth County, New Jersey",18106,4061,9700,2422,327,334,573,381,1074,613,686,395,462,368,822,522,837,520,608,418,1963,656,1469,551,548,439,217,255,72,122,42,68,8406,2157,857,604,878,602,551,319,143,193,150,172,911,664,585,367,599,386,1444,591,979,505,974,528,228,171,107,152,0,206
0500000US34029,34029,"Ocean County, New Jersey",16287,5202,8235,2919,1273,817,1239,780,831,553,282,288,279,364,534,387,816,472,397,491,1290,738,613,358,459,254,168,153,54,101,0,206,8052,2530,254,411,941,667,675,503,482,443,179,276,831,549,1040,550,593,382,1290,573,957,476,465,355,187,231,158,234,0,206
0500000US34031,34031,"Passaic County, New Jersey",80677,6844,40655,3660,3478,917,2763,646,2985,861,1906,549,1674,404,4473,1276,3480,714,2852,999,5796,1210,5480,998,3151,803,1776,697,799,428,42,71,40022,3905,2894,1025,3180,928,2679,1009,1628,505,1059,437,4175,648,3606,942,2796,779,5574,905,5552,892,4038,994,1717,608,944,525,180,287
0500000US34039,34039,"Union County, New Jersey",86031,7551,45325,4073,3822,950,3380,1104,3127,775,2486,724,1424,642,4832,957,3061,1006,3775,902,7392,1352,5908,1240,3917,885,1686,582,515,376,0,206,40706,4477,3578,957,2795,1259,2811,873,2369,796,1927,647,2784,1135,3337,759,3182,803,6319,984,5472,758,3261,934,1996,565,753,505,122,168
0500000US42011,42011,"Berks County, Pennsylvania",19329,4190,11131,2803,1240,732,878,572,1171,541,1051,488,285,251,1136,600,1298,567,745,425,1628,616,955,515,614,404,130,127,0,179,0,179,8198,1770,779,466,688,366,603,347,318,302,292,206,739,500,592,465,894,442,1429,581,992,438,519,281,284,226,69,124,0,179
0500000US42045,42045,"Delaware County, Pennsylvania",8919,1929,4742,1137,286,247,322,360,988,410,215,231,70,112,355,389,417,368,692,500,503,349,271,211,346,188,277,221,0,179,0,179,4177,1063,362,382,194,208,288,320,214,194,182,225,323,272,9,20,675,473,585,373,618,400,488,319,116,97,123,222,0,179
0500000US42071,42071,"Lancaster County, Pennsylvania",11348,2853,4915,1448,556,447,896,518,209,271,133,170,171,303,412,339,360,300,338,374,786,541,728,466,166,207,0,179,101,167,59,104,6433,1682,396,347,673,517,310,272,564,408,82,121,302,262,920,467,349,332,1126,506,913,419,652,372,0,179,146,157,0,179
0500000US42075,42075,"Lebanon County, Pennsylvania",10864,2222,6146,1222,460,236,491,281,1044,366,353,281,0,179,918,536,286,341,576,399,529,406,1160,573,135,244,178,261,16,29,0,179,4718,1192,186,193,271,284,673,430,496,285,183,280,332,246,297,219,724,484,896,444,228,308,392,449,40,70,0,179,0,179
0500000US42077,42077,"Lehigh County, Pennsylvania",21216,4179,10751,2369,940,553,685,554,1276,579,215,219,351,307,878,520,948,620,1449,627,1108,583,1851,746,571,358,211,204,268,398,0,179,10465,2281,1566,759,620,371,814,628,513,404,150,188,749,596,1052,588,802,351,1460,594,1377,492,784,452,453,352,125,194,0,179
0500000US42079,42079,"Luzerne County, Pennsylvania",11432,3358,5736,1701,762,498,974,655,731,434,302,265,81,129,623,437,559,477,675,450,572,405,236,233,184,248,37,81,0,179,0,179,5696,1902,790,538,627,352,769,609,255,302,353,357,566,354,324,296,266,285,1037,483,528,286,61,109,29,48,55,77,36,61
