GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 to 24 years,Margin of Error; Male: - 20 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 44 years,Margin of Error; Male: - 35 to 44 years,Estimate; Male: - 45 to 54 years,Margin of Error; Male: - 45 to 54 years,Estimate; Male: - 55 to 64 years,Margin of Error; Male: - 55 to 64 years,Estimate; Male: - 65 to 74 years,Margin of Error; Male: - 65 to 74 years,Estimate; Male: - 75 to 84 years,Margin of Error; Male: - 75 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 to 24 years,Margin of Error; Female: - 20 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 44 years,Margin of Error; Female: - 35 to 44 years,Estimate; Female: - 45 to 54 years,Margin of Error; Female: - 45 to 54 years,Estimate; Female: - 55 to 64 years,Margin of Error; Female: - 55 to 64 years,Estimate; Female: - 65 to 74 years,Margin of Error; Female: - 65 to 74 years,Estimate; Female: - 75 to 84 years,Margin of Error; Female: - 75 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
0500000US34003,34003,"Bergen County, New Jersey",24179,3712,12787,2511,1582,793,2598,1106,1312,503,470,272,432,264,1729,784,1253,805,409,266,961,542,872,373,619,335,262,223,196,312,92,157,11392,1989,1607,631,1352,560,1674,801,593,408,441,393,830,384,498,329,805,423,1115,518,1373,495,600,379,252,197,252,165,0,206
0500000US34005,34005,"Burlington County, New Jersey",16234,3015,7633,1571,1293,580,622,430,696,305,279,196,156,216,652,463,1070,650,593,401,1140,613,666,367,82,88,301,204,74,125,9,19,8601,1865,1211,595,785,487,1078,457,887,526,145,198,696,450,244,172,1110,442,766,396,862,464,474,265,343,288,0,206,0,206
0500000US34007,34007,"Camden County, New Jersey",16850,3798,7243,1628,1103,591,842,550,1050,522,212,205,124,204,546,451,942,736,974,587,554,395,557,499,205,151,130,110,0,206,4,10,9607,2991,1977,1054,797,519,1283,760,572,433,85,71,779,616,827,465,339,307,1425,769,720,407,388,306,119,108,296,291,0,206
0500000US34013,34013,"Essex County, New Jersey",19295,3254,10090,1956,1457,599,1584,639,996,540,771,418,224,251,442,436,809,445,808,499,793,364,1040,533,656,390,18,31,492,315,0,206,9205,1758,737,489,1126,483,607,377,540,404,67,111,480,351,906,485,597,291,1088,599,944,441,866,431,653,387,500,448,94,150
0500000US34017,34017,"Hudson County, New Jersey",26703,3978,13833,2478,1893,766,1983,1395,1558,754,957,503,631,475,287,309,876,490,1252,553,1801,660,826,466,1146,508,370,268,171,202,82,91,12870,2508,2917,1147,1556,798,619,423,270,280,135,156,463,324,898,419,1180,695,1587,579,1159,634,1176,509,432,267,346,259,132,157
0500000US34021,34021,"Mercer County, New Jersey",10072,2195,5088,1586,1148,636,974,619,359,356,354,361,27,48,260,154,447,354,198,323,255,307,418,326,374,433,215,240,59,97,0,206,4984,1285,529,392,676,398,629,505,291,293,100,101,735,588,296,239,59,97,156,184,829,434,212,174,372,297,39,64,61,97
0500000US34023,34023,"Middlesex County, New Jersey",23379,3833,12231,2283,1776,642,1236,522,1356,610,860,472,462,412,1154,572,1114,717,935,539,1066,592,1016,506,783,391,281,249,183,284,9,19,11148,2150,1132,536,1307,689,1660,660,817,541,379,296,1370,640,1044,637,417,285,675,289,1044,570,722,448,496,451,85,109,0,206
0500000US34025,34025,"Monmouth County, New Jersey",13132,3047,6567,1527,879,477,1436,631,968,410,335,317,132,178,438,406,791,551,437,432,357,260,165,145,589,343,40,48,0,206,0,206,6565,1883,730,365,930,581,897,499,780,591,303,235,582,516,165,263,330,399,573,401,548,292,520,366,145,155,62,95,0,206
0500000US34027,34027,"Morris County, New Jersey",10696,2567,5198,1367,973,596,603,334,704,316,287,187,206,233,536,344,807,636,94,111,260,229,193,169,214,207,193,200,128,167,0,206,5498,1453,799,392,888,403,1038,466,230,237,125,151,286,267,416,578,399,375,412,268,552,383,320,237,0,206,33,73,0,206
0500000US34029,34029,"Ocean County, New Jersey",8948,2056,4676,1340,480,508,674,476,247,249,310,297,0,206,108,124,772,556,340,309,544,418,390,281,330,336,269,333,212,193,0,206,4272,1322,849,582,673,429,479,495,147,201,83,140,192,154,275,243,221,204,483,391,344,287,237,188,289,338,0,206,0,206
0500000US34031,34031,"Passaic County, New Jersey",10778,3007,4418,1373,353,289,182,186,508,485,48,80,189,173,558,429,690,473,150,221,455,323,485,337,410,321,259,182,102,122,29,48,6360,1841,599,498,410,317,952,536,426,280,111,145,697,483,203,162,519,623,638,364,496,345,757,461,203,175,221,239,128,138
0500000US34039,34039,"Union County, New Jersey",12327,2290,5242,1031,895,400,994,463,722,439,229,184,204,193,190,205,224,213,137,121,718,333,200,156,362,284,159,197,208,192,0,206,7085,1663,1000,612,815,567,862,608,184,181,117,145,549,411,625,431,457,321,790,380,814,328,503,302,223,222,0,206,146,186
0500000US42003,42003,"Allegheny County, Pennsylvania",39363,4558,21034,2631,4042,1022,3226,1165,2454,836,1743,627,927,550,1471,569,2112,742,944,540,1652,652,1280,519,441,321,477,280,201,298,64,88,18329,2702,3470,960,1827,772,2412,915,1105,544,669,470,1642,646,1578,678,1190,478,1694,665,989,415,898,394,570,298,109,106,176,141
0500000US42011,42011,"Berks County, Pennsylvania",23610,4720,11865,3034,1604,851,2238,919,1066,627,994,522,651,392,861,573,764,460,357,246,1664,932,882,517,77,92,376,327,331,366,0,179,11745,2671,992,573,1301,590,1290,639,827,636,760,408,835,588,1078,612,1436,631,1019,573,932,585,906,415,263,278,106,194,0,179
0500000US42017,42017,"Bucks County, Pennsylvania",10449,2081,5209,1457,793,400,798,491,522,369,254,242,242,269,370,413,326,260,213,270,673,384,477,354,36,64,459,447,46,90,0,179,5240,1258,862,467,569,468,448,301,317,196,217,185,354,406,495,390,316,240,488,459,557,423,230,184,337,243,50,95,0,179
0500000US42029,42029,"Chester County, Pennsylvania",9849,1565,4939,932,832,376,1084,546,522,297,311,230,261,232,530,385,588,315,126,156,415,323,9,15,192,146,18,32,51,89,0,179,4910,1137,597,340,581,363,991,500,203,146,124,140,488,320,365,433,241,195,643,373,347,264,188,142,33,53,52,92,57,106
0500000US42045,42045,"Delaware County, Pennsylvania",16715,3697,6905,1518,1838,597,1407,686,638,365,638,408,346,200,554,580,154,171,311,197,166,144,322,260,202,198,329,314,0,179,0,179,9810,2734,1489,887,1447,629,1211,650,278,199,455,288,867,526,1043,636,912,445,506,237,752,455,697,580,153,146,0,179,0,179
0500000US42049,42049,"Erie County, Pennsylvania",8719,2201,4289,1228,565,422,1029,637,500,405,285,205,136,143,709,405,341,361,118,111,108,112,175,151,248,239,75,125,0,179,0,179,4430,1320,955,374,867,548,743,384,169,147,323,303,352,233,294,255,106,116,116,121,229,188,159,143,117,174,0,179,0,179
