GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2017 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2017 inflation-adjusted dollars)
0500000US34001,34001,"Atlantic County, New Jersey",37569,7443
0500000US34003,34003,"Bergen County, New Jersey",85025,17500
0500000US34005,34005,"Burlington County, New Jersey",88768,36122
0500000US34007,34007,"Camden County, New Jersey",33653,8385
0500000US34009,34009,"Cape May County, New Jersey",21334,4250
0500000US34011,34011,"Cumberland County, New Jersey",30889,20678
0500000US34013,34013,"Essex County, New Jersey",34220,5460
0500000US34015,34015,"Gloucester County, New Jersey",48945,19468
0500000US34017,34017,"Hudson County, New Jersey",46937,4837
0500000US34019,34019,"Hunterdon County, New Jersey",117708,42383
0500000US34021,34021,"Mercer County, New Jersey",34541,27186
0500000US34023,34023,"Middlesex County, New Jersey",56609,6820
0500000US34025,34025,"Monmouth County, New Jersey",59044,22671
0500000US34027,34027,"Morris County, New Jersey",71680,19801
0500000US34029,34029,"Ocean County, New Jersey",54023,9324
0500000US34031,34031,"Passaic County, New Jersey",41204,4879
0500000US34033,34033,"Salem County, New Jersey",24278,8441
0500000US34035,34035,"Somerset County, New Jersey",56685,50217
0500000US34039,34039,"Union County, New Jersey",57742,9323
0500000US42001,42001,"Adams County, Pennsylvania",55748,30275
0500000US42003,42003,"Allegheny County, Pennsylvania",40452,11137
0500000US42005,42005,"Armstrong County, Pennsylvania",-,**
0500000US42007,42007,"Beaver County, Pennsylvania",-,**
0500000US42011,42011,"Berks County, Pennsylvania",47640,8732
0500000US42013,42013,"Blair County, Pennsylvania",-,**
0500000US42017,42017,"Bucks County, Pennsylvania",43254,5723
0500000US42019,42019,"Butler County, Pennsylvania",-,**
0500000US42025,42025,"Carbon County, Pennsylvania",-,**
0500000US42027,42027,"Centre County, Pennsylvania",-,**
0500000US42029,42029,"Chester County, Pennsylvania",50345,26265
0500000US42033,42033,"Clearfield County, Pennsylvania",-,**
0500000US42037,42037,"Columbia County, Pennsylvania",-,**
0500000US42039,42039,"Crawford County, Pennsylvania",-,**
0500000US42043,42043,"Dauphin County, Pennsylvania",48463,30899
0500000US42045,42045,"Delaware County, Pennsylvania",35561,18570
0500000US42049,42049,"Erie County, Pennsylvania",26703,8711
0500000US42051,42051,"Fayette County, Pennsylvania",-,**
0500000US42063,42063,"Indiana County, Pennsylvania",-,**
0500000US42069,42069,"Lackawanna County, Pennsylvania",59219,28093
0500000US42071,42071,"Lancaster County, Pennsylvania",38738,21440
0500000US42073,42073,"Lawrence County, Pennsylvania",-,**
0500000US42075,42075,"Lebanon County, Pennsylvania",47054,4687
0500000US42077,42077,"Lehigh County, Pennsylvania",37649,13059
0500000US42079,42079,"Luzerne County, Pennsylvania",33253,13806
0500000US42081,42081,"Lycoming County, Pennsylvania",-,**
0500000US42085,42085,"Mercer County, Pennsylvania",-,**
0500000US42089,42089,"Monroe County, Pennsylvania",72930,38746
0500000US42091,42091,"Montgomery County, Pennsylvania",67231,25746
0500000US42095,42095,"Northampton County, Pennsylvania",49821,49117
0500000US42101,42101,"Philadelphia County, Pennsylvania",26169,4498
0500000US42111,42111,"Somerset County, Pennsylvania",-,**
0500000US42125,42125,"Washington County, Pennsylvania",62872,51210
0500000US42133,42133,"York County, Pennsylvania",55597,14965
