GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2006 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2006 inflation-adjusted dollars)
0500000US34001,34001,"Atlantic County, New Jersey",19523,17496
0500000US34005,34005,"Burlington County, New Jersey",-,**
0500000US34007,34007,"Camden County, New Jersey",34712,13131
0500000US34009,34009,"Cape May County, New Jersey",-,**
0500000US34013,34013,"Essex County, New Jersey",50939,21622
0500000US34015,34015,"Gloucester County, New Jersey",62061,57847
0500000US34017,34017,"Hudson County, New Jersey",46409,29026
0500000US34019,34019,"Hunterdon County, New Jersey",-,**
0500000US34021,34021,"Mercer County, New Jersey",65856,2194
0500000US34023,34023,"Middlesex County, New Jersey",72846,44403
0500000US34025,34025,"Monmouth County, New Jersey",18571,5360
0500000US34027,34027,"Morris County, New Jersey",-,**
0500000US34031,34031,"Passaic County, New Jersey",101092,41978
0500000US34035,34035,"Somerset County, New Jersey","200,000+",***
0500000US34037,34037,"Sussex County, New Jersey",-,**
0500000US34039,34039,"Union County, New Jersey",42209,33324
0500000US34041,34041,"Warren County, New Jersey",-,**
0500000US42005,42005,"Armstrong County, Pennsylvania",-,**
0500000US42013,42013,"Blair County, Pennsylvania",-,**
0500000US42019,42019,"Butler County, Pennsylvania",-,**
0500000US42021,42021,"Cambria County, Pennsylvania",34806,16806
0500000US42027,42027,"Centre County, Pennsylvania",-,**
0500000US42033,42033,"Clearfield County, Pennsylvania",-,**
0500000US42037,42037,"Columbia County, Pennsylvania",60747,31157
0500000US42039,42039,"Crawford County, Pennsylvania",15294,15215
0500000US42049,42049,"Erie County, Pennsylvania",117098,59795
0500000US42063,42063,"Indiana County, Pennsylvania",-,**
0500000US42069,42069,"Lackawanna County, Pennsylvania",56250,35500
0500000US42073,42073,"Lawrence County, Pennsylvania",-,**
0500000US42075,42075,"Lebanon County, Pennsylvania",-,**
0500000US42081,42081,"Lycoming County, Pennsylvania",34398,25276
0500000US42085,42085,"Mercer County, Pennsylvania",-,**
0500000US42095,42095,"Northampton County, Pennsylvania",-,**
0500000US42097,42097,"Northumberland County, Pennsylvania",-,**
0500000US42101,42101,"Philadelphia County, Pennsylvania",28475,17690
0500000US42107,42107,"Schuylkill County, Pennsylvania",14043,7236
0500000US42111,42111,"Somerset County, Pennsylvania",-,**
0500000US42129,42129,"Westmoreland County, Pennsylvania",50019,31745
0500000US42133,42133,"York County, Pennsylvania",37140,16071
