GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2012 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2012 inflation-adjusted dollars)
0500000US34005,34005,"Burlington County, New Jersey",64503,15784
0500000US34009,34009,"Cape May County, New Jersey",68413,16649
0500000US34013,34013,"Essex County, New Jersey",38000,13697
0500000US34015,34015,"Gloucester County, New Jersey",43734,17983
0500000US34019,34019,"Hunterdon County, New Jersey",-,**
0500000US34021,34021,"Mercer County, New Jersey",182846,113470
0500000US34023,34023,"Middlesex County, New Jersey",105173,54718
0500000US34027,34027,"Morris County, New Jersey",-,**
0500000US34033,34033,"Salem County, New Jersey",-,**
0500000US34035,34035,"Somerset County, New Jersey",-,**
0500000US34037,34037,"Sussex County, New Jersey",-,**
0500000US34041,34041,"Warren County, New Jersey",-,**
0500000US42001,42001,"Adams County, Pennsylvania",-,**
0500000US42003,42003,"Allegheny County, Pennsylvania",31958,21999
0500000US42005,42005,"Armstrong County, Pennsylvania",77989,50443
0500000US42007,42007,"Beaver County, Pennsylvania",-,**
0500000US42013,42013,"Blair County, Pennsylvania",-,**
0500000US42017,42017,"Bucks County, Pennsylvania",82206,47834
0500000US42021,42021,"Cambria County, Pennsylvania",-,**
0500000US42025,42025,"Carbon County, Pennsylvania",57929,51804
0500000US42033,42033,"Clearfield County, Pennsylvania",80469,21743
0500000US42037,42037,"Columbia County, Pennsylvania",-,**
0500000US42041,42041,"Cumberland County, Pennsylvania",-,**
0500000US42043,42043,"Dauphin County, Pennsylvania",95451,55052
0500000US42051,42051,"Fayette County, Pennsylvania",-,**
0500000US42055,42055,"Franklin County, Pennsylvania",-,**
0500000US42063,42063,"Indiana County, Pennsylvania",-,**
0500000US42071,42071,"Lancaster County, Pennsylvania",30353,26146
0500000US42073,42073,"Lawrence County, Pennsylvania",-,**
0500000US42075,42075,"Lebanon County, Pennsylvania",-,**
0500000US42077,42077,"Lehigh County, Pennsylvania",61706,14714
0500000US42081,42081,"Lycoming County, Pennsylvania",34716,6564
0500000US42085,42085,"Mercer County, Pennsylvania",-,**
0500000US42089,42089,"Monroe County, Pennsylvania",-,**
0500000US42095,42095,"Northampton County, Pennsylvania",71339,953
0500000US42101,42101,"Philadelphia County, Pennsylvania",19178,5482
0500000US42107,42107,"Schuylkill County, Pennsylvania",-,**
0500000US42111,42111,"Somerset County, Pennsylvania",14300,5426
0500000US42125,42125,"Washington County, Pennsylvania",-,**
0500000US42129,42129,"Westmoreland County, Pennsylvania",16434,5184
