GEOID,NAME,racUniverse,racWhite,hispUniverse,notHisp,whiteNotHisp,povUniverse,stcty,above200
34015500100,"Census Tract 5001, Gloucester County, New Jersey",4233,3633,4233,3964,3523,4227,34015,3039
34015500201,"Census Tract 5002.01, Gloucester County, New Jersey",2425,2249,2425,2237,2186,2425,34015,1935
34015500202,"Census Tract 5002.02, Gloucester County, New Jersey",4464,3847,4464,4316,3768,4464,34015,3503
34015500203,"Census Tract 5002.03, Gloucester County, New Jersey",4632,4287,4632,4575,4247,4622,34015,3902
34015500204,"Census Tract 5002.04, Gloucester County, New Jersey",6437,4727,6437,5935,4567,6293,34015,5479
34015500205,"Census Tract 5002.05, Gloucester County, New Jersey",3485,3266,3485,3455,3236,3485,34015,2800
34015500300,"Census Tract 5003, Gloucester County, New Jersey",3012,2835,3012,2962,2811,2976,34015,2044
34015500400,"Census Tract 5004, Gloucester County, New Jersey",6009,3481,6009,5352,3387,6009,34015,3405
34015500500,"Census Tract 5005, Gloucester County, New Jersey",4870,4625,4870,4828,4602,4870,34015,3942
34015500600,"Census Tract 5006, Gloucester County, New Jersey",10252,8538,10252,9934,8365,10056,34015,9153
34015500701,"Census Tract 5007.01, Gloucester County, New Jersey",7751,7189,7751,7403,6881,7751,34015,6454
34015500702,"Census Tract 5007.02, Gloucester County, New Jersey",5947,5446,5947,5791,5446,5947,34015,5592
34015500703,"Census Tract 5007.03, Gloucester County, New Jersey",1465,1415,1465,1418,1383,1459,34015,1102
34015500800,"Census Tract 5008, Gloucester County, New Jersey",2163,1995,2163,2144,1989,2163,34015,1941
34015500900,"Census Tract 5009, Gloucester County, New Jersey",3027,2939,3027,2918,2846,3012,34015,2672
34015501001,"Census Tract 5010.01, Gloucester County, New Jersey",2196,1505,2196,1912,1444,2196,34015,1652
34015501002,"Census Tract 5010.02, Gloucester County, New Jersey",4119,1807,4119,3340,1501,4032,34015,2147
34015501003,"Census Tract 5010.03, Gloucester County, New Jersey",3709,2902,3709,3549,2816,3683,34015,2679
34015501101,"Census Tract 5011.01, Gloucester County, New Jersey",4349,2739,4349,3724,2610,4256,34015,2818
34015501102,"Census Tract 5011.02, Gloucester County, New Jersey",6701,4997,6701,6288,4702,6672,34015,5923
34015501103,"Census Tract 5011.03, Gloucester County, New Jersey",5013,4110,5013,4667,4023,5001,34015,4110
34015501104,"Census Tract 5011.04, Gloucester County, New Jersey",3145,2514,3145,2990,2359,2911,34015,2420
34015501105,"Census Tract 5011.05, Gloucester County, New Jersey",3049,2420,3049,2930,2321,3049,34015,2133
34015501106,"Census Tract 5011.06, Gloucester County, New Jersey",3912,2278,3912,3706,2278,3786,34015,3134
34015501107,"Census Tract 5011.07, Gloucester County, New Jersey",4421,4064,4421,4201,4003,4393,34015,3414
34015501201,"Census Tract 5012.01, Gloucester County, New Jersey",6211,5479,6211,6063,5409,6211,34015,5781
34015501202,"Census Tract 5012.02, Gloucester County, New Jersey",4661,4309,4661,4595,4243,4653,34015,4276
34015501203,"Census Tract 5012.03, Gloucester County, New Jersey",3162,3142,3162,3158,3138,3162,34015,2900
34015501204,"Census Tract 5012.04, Gloucester County, New Jersey",3875,3633,3875,3796,3584,3865,34015,3352
34015501205,"Census Tract 5012.05, Gloucester County, New Jersey",2855,2457,2855,2732,2341,2855,34015,2369
34015501206,"Census Tract 5012.06, Gloucester County, New Jersey",3629,3038,3629,3339,2826,3473,34015,2785
34015501208,"Census Tract 5012.08, Gloucester County, New Jersey",4052,3734,4052,3970,3652,4004,34015,3518
