GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17
Id,Id2,Geography,Total:,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
0500000US34001,34001,"Atlantic County, New Jersey",4113,294,271,303,468,368,390,348,226,221,508,369,195,84,11,43,14
0500000US34003,34003,"Bergen County, New Jersey",7866,482,276,310,425,468,474,528,418,442,761,1099,1192,591,182,155,63
0500000US34005,34005,"Burlington County, New Jersey",1717,115,64,77,52,84,161,145,88,97,240,197,225,104,37,10,21
0500000US34007,34007,"Camden County, New Jersey",7108,1426,653,643,579,425,432,471,431,279,592,586,317,126,56,21,71
0500000US34009,34009,"Cape May County, New Jersey",378,72,23,80,25,29,10,29,37,23,27,11,12,0,0,0,0
0500000US34011,34011,"Cumberland County, New Jersey",3494,621,404,288,284,205,331,243,253,160,245,228,97,69,46,12,8
0500000US34013,34013,"Essex County, New Jersey",15694,2686,1294,1404,1208,1068,984,981,979,526,1255,1398,1092,373,198,123,125
0500000US34015,34015,"Gloucester County, New Jersey",607,22,64,31,77,37,23,55,31,35,50,70,70,32,10,0,0
0500000US34017,34017,"Hudson County, New Jersey",27737,3869,1780,1937,2159,2137,2113,1894,1727,1630,2562,2349,2081,823,284,163,229
0500000US34019,34019,"Hunterdon County, New Jersey",107,8,0,0,7,3,8,8,2,18,24,0,9,0,11,9,0
0500000US34021,34021,"Mercer County, New Jersey",4079,519,140,287,264,269,371,245,182,185,475,470,299,200,61,78,34
0500000US34023,34023,"Middlesex County, New Jersey",11043,845,546,624,665,679,673,744,741,651,1162,1361,1200,506,264,188,194
0500000US34025,34025,"Monmouth County, New Jersey",2419,174,201,134,262,242,175,160,128,90,229,219,204,76,62,30,33
0500000US34027,34027,"Morris County, New Jersey",2257,93,101,54,138,115,105,153,138,97,212,270,305,225,148,83,20
