GEO.id,GEO.id2,GEO.display-label,VD01
Id,Id2,Geography,Median household income in 1999
0500000US34001,34001,"Atlantic County, New Jersey",40990
0500000US34003,34003,"Bergen County, New Jersey",48188
0500000US34005,34005,"Burlington County, New Jersey",42273
0500000US34007,34007,"Camden County, New Jersey",40882
0500000US34009,34009,"Cape May County, New Jersey",102792
0500000US34011,34011,"Cumberland County, New Jersey",37444
0500000US34013,34013,"Essex County, New Jersey",41316
0500000US34015,34015,"Gloucester County, New Jersey",49615
0500000US34017,34017,"Hudson County, New Jersey",39632
0500000US34019,34019,"Hunterdon County, New Jersey",80899
0500000US34021,34021,"Mercer County, New Jersey",56389
0500000US34023,34023,"Middlesex County, New Jersey",41538
0500000US34025,34025,"Monmouth County, New Jersey",48583
0500000US34027,34027,"Morris County, New Jersey",69286
0500000US34029,34029,"Ocean County, New Jersey",37610
0500000US34031,34031,"Passaic County, New Jersey",47857
0500000US34033,34033,"Salem County, New Jersey",15357
0500000US34035,34035,"Somerset County, New Jersey",68000
0500000US34037,34037,"Sussex County, New Jersey",46458
0500000US34039,34039,"Union County, New Jersey",50781
0500000US34041,34041,"Warren County, New Jersey",41442
0500000US42001,42001,"Adams County, Pennsylvania",44097
0500000US42003,42003,"Allegheny County, Pennsylvania",29135
0500000US42005,42005,"Armstrong County, Pennsylvania",16250
0500000US42007,42007,"Beaver County, Pennsylvania",27917
0500000US42009,42009,"Bedford County, Pennsylvania",63750
0500000US42011,42011,"Berks County, Pennsylvania",33194
0500000US42013,42013,"Blair County, Pennsylvania",13750
0500000US42015,42015,"Bradford County, Pennsylvania",23750
0500000US42017,42017,"Bucks County, Pennsylvania",53438
0500000US42019,42019,"Butler County, Pennsylvania",23594
0500000US42021,42021,"Cambria County, Pennsylvania",35455
0500000US42023,42023,"Cameron County, Pennsylvania",0
0500000US42025,42025,"Carbon County, Pennsylvania",43125
0500000US42027,42027,"Centre County, Pennsylvania",51875
0500000US42029,42029,"Chester County, Pennsylvania",37303
0500000US42031,42031,"Clarion County, Pennsylvania",9750
0500000US42033,42033,"Clearfield County, Pennsylvania",57734
0500000US42035,42035,"Clinton County, Pennsylvania",8214
0500000US42037,42037,"Columbia County, Pennsylvania",36250
0500000US42039,42039,"Crawford County, Pennsylvania",36250
0500000US42041,42041,"Cumberland County, Pennsylvania",31051
0500000US42043,42043,"Dauphin County, Pennsylvania",31786
0500000US42045,42045,"Delaware County, Pennsylvania",28208
0500000US42047,42047,"Elk County, Pennsylvania",38594
0500000US42049,42049,"Erie County, Pennsylvania",20972
0500000US42051,42051,"Fayette County, Pennsylvania",30500
0500000US42053,42053,"Forest County, Pennsylvania",22679
0500000US42055,42055,"Franklin County, Pennsylvania",36591
0500000US42057,42057,"Fulton County, Pennsylvania",35000
0500000US42059,42059,"Greene County, Pennsylvania",28250
0500000US42061,42061,"Huntingdon County, Pennsylvania",65833
0500000US42063,42063,"Indiana County, Pennsylvania",42500
0500000US42065,42065,"Jefferson County, Pennsylvania",35313
0500000US42067,42067,"Juniata County, Pennsylvania",27083
0500000US42069,42069,"Lackawanna County, Pennsylvania",30714
0500000US42071,42071,"Lancaster County, Pennsylvania",36250
0500000US42073,42073,"Lawrence County, Pennsylvania",24875
0500000US42075,42075,"Lebanon County, Pennsylvania",26071
0500000US42077,42077,"Lehigh County, Pennsylvania",30625
0500000US42079,42079,"Luzerne County, Pennsylvania",16250
0500000US42081,42081,"Lycoming County, Pennsylvania",33828
0500000US42083,42083,"McKean County, Pennsylvania",20000
0500000US42085,42085,"Mercer County, Pennsylvania",19750
0500000US42087,42087,"Mifflin County, Pennsylvania",21250
0500000US42089,42089,"Monroe County, Pennsylvania",51591
0500000US42091,42091,"Montgomery County, Pennsylvania",47656
0500000US42093,42093,"Montour County, Pennsylvania",13583
0500000US42095,42095,"Northampton County, Pennsylvania",40208
0500000US42097,42097,"Northumberland County, Pennsylvania",8750
0500000US42099,42099,"Perry County, Pennsylvania",18750
0500000US42101,42101,"Philadelphia County, Pennsylvania",25918
0500000US42103,42103,"Pike County, Pennsylvania",76727
0500000US42105,42105,"Potter County, Pennsylvania",18750
0500000US42107,42107,"Schuylkill County, Pennsylvania",36771
0500000US42109,42109,"Snyder County, Pennsylvania",28750
0500000US42111,42111,"Somerset County, Pennsylvania",35417
0500000US42113,42113,"Sullivan County, Pennsylvania",6250
0500000US42115,42115,"Susquehanna County, Pennsylvania",36250
0500000US42117,42117,"Tioga County, Pennsylvania",38750
0500000US42119,42119,"Union County, Pennsylvania",24028
0500000US42121,42121,"Venango County, Pennsylvania",36429
0500000US42123,42123,"Warren County, Pennsylvania",27500
0500000US42125,42125,"Washington County, Pennsylvania",24167
0500000US42127,42127,"Wayne County, Pennsylvania",43333
0500000US42129,42129,"Westmoreland County, Pennsylvania",47083
0500000US42131,42131,"Wyoming County, Pennsylvania",23750
0500000US42133,42133,"York County, Pennsylvania",35833
