GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03
Id,Id2,Geography,Aggregate number of vehicles available:,Owner occupied,Renter occupied
0500000US34005,34005,"Burlington County, New Jersey",279121,233981,45140
0500000US34007,34007,"Camden County, New Jersey",289471,235145,54326
0500000US34015,34015,"Gloucester County, New Jersey",164590,142735,21855
0500000US34021,34021,"Mercer County, New Jersey",204368,158556,45812
0500000US42017,42017,"Bucks County, Pennsylvania",410513,346526,63987
0500000US42029,42029,"Chester County, Pennsylvania",295945,245477,50468
0500000US42045,42045,"Delaware County, Pennsylvania",323267,263937,59330
0500000US42091,42091,"Montgomery County, Pennsylvania",502220,407544,94676
0500000US42101,42101,"Philadelphia County, Pennsylvania",547682,394802,152880
