Year,Core,DevCom,GroSub,Rural,34005,34007,34015,34021,42017,42029,42045,42091,42101,NJCnt,PASub,DVRPC
2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,-1656,4401,19514,3832,4991,142,2607,2341,3808,5913,636,6931,-1278,10081,17288,26091
2002,-3515,9691,40508,9340,11370,2140,7032,4455,8108,12933,614,12440,-3068,24997,34095,56024
2003,-3420,15049,60185,14494,16990,3185,11838,7182,11072,20319,727,17785,-2790,39195,49903,86308
2004,54,17691,77805,19852,20532,5116,16406,9557,14462,28113,-96,20141,1171,51611,62620,115402
2005,1883,17938,93839,22889,20755,7279,19962,10162,16817,35710,321,21622,3921,58158,74470,136549
2006,3000,21470,109206,27247,21416,8719,25063,10944,19965,44378,1803,22414,6221,66142,88560,160923
2007,11986,26750,119685,30136,20465,9355,29200,11491,22141,51815,3206,25305,15579,70511,102467,188557
2008,24041,29418,127764,33649,19549,9648,31213,12693,24415,57479,4733,28465,26677,73103,115092,214872
2009,33099,34751,136893,35794,19736,9221,32500,14027,26034,62594,6730,33805,35890,75484,129163,240537
2010,8429,38931,156629,38156,24704,6700,32407,16342,26165,64418,7128,49684,14597,80153,147395,242145
2011,19910,42144,162204,39610,25990,6374,33018,16613,26801,67902,7306,53889,25975,81995,155898,263868
2012,32185,45911,168167,40655,26760,6021,33325,18831,26306,70781,9009,57615,38270,84937,163711,286918
2013,38222,47123,173220,41855,25362,4992,33564,20749,26055,73886,9836,61541,44435,84667,171318,300420
2014,43458,49674,179669,43138,25822,4107,34564,21386,26540,77362,11140,64650,50368,85879,179692,315939
2015,49187,50590,183658,43500,24348,4003,35064,21516,26943,79724,11932,66572,56833,84931,185171,326935
2016,52104,51898,188231,43880,23846,3935,35116,22072,27485,80987,12222,69359,61091,84969,190053,336113
2017,58555,57105,193924,44949,24100,3913,35619,23145,29075,83791,12923,74778,67189,86777,200567,354533
