Year,Core,DevCom,GroSub,Rural,34005,34007,34015,34021,42017,42029,42045,42091,42101,NJCnt,PASub,DVRPC
2000,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
2001,-0.1%,0.2%,2.1%,1.3%,1.2%,0.0%,1.0%,0.7%,0.6%,1.4%,0.1%,0.9%,-0.1%,0.7%,0.7%,0.5%
2002,-0.2%,0.4%,4.3%,3.2%,2.7%,0.4%,2.7%,1.3%,1.4%,3.0%,0.1%,1.7%,-0.2%,1.6%,1.5%,1.0%
2003,-0.2%,0.6%,6.4%,5.0%,4.0%,0.6%,4.6%,2.0%,1.8%,4.7%,0.1%,2.4%,-0.2%,2.5%,2.1%,1.6%
2004,0.0%,0.7%,8.3%,6.9%,4.8%,1.0%,6.4%,2.7%,2.4%,6.5%,0.0%,2.7%,0.1%,3.4%,2.7%,2.1%
2005,0.1%,0.7%,10.0%,7.9%,4.9%,1.4%,7.8%,2.9%,2.8%,8.2%,0.1%,2.9%,0.3%,3.8%,3.2%,2.5%
2006,0.2%,0.9%,11.6%,9.4%,5.0%,1.7%,9.8%,3.1%,3.3%,10.2%,0.3%,3.0%,0.4%,4.3%,3.8%,3.0%
2007,0.7%,1.1%,12.7%,10.4%,4.8%,1.8%,11.4%,3.3%,3.7%,11.9%,0.6%,3.4%,1.0%,4.6%,4.4%,3.5%
2008,1.4%,1.2%,13.6%,11.7%,4.6%,1.9%,12.2%,3.6%,4.1%,13.2%,0.9%,3.8%,1.8%,4.7%,4.9%,4.0%
2009,1.9%,1.4%,14.6%,12.4%,4.6%,1.8%,12.7%,4.0%,4.3%,14.4%,1.2%,4.5%,2.4%,4.9%,5.5%,4.5%
2010,0.5%,1.6%,16.7%,13.2%,5.8%,1.3%,12.6%,4.6%,4.4%,14.8%,1.3%,6.6%,1.0%,5.2%,6.3%,4.5%
2011,1.2%,1.7%,17.3%,13.7%,6.1%,1.3%,12.9%,4.7%,4.5%,15.6%,1.3%,7.2%,1.7%,5.3%,6.7%,4.9%
2012,1.9%,1.9%,17.9%,14.1%,6.3%,1.2%,13.0%,5.4%,4.4%,16.3%,1.6%,7.7%,2.5%,5.5%,7.0%,5.3%
2013,2.2%,1.9%,18.4%,14.5%,6.0%,1.0%,13.1%,5.9%,4.3%,17.0%,1.8%,8.2%,2.9%,5.5%,7.3%,5.6%
2014,2.5%,2.0%,19.1%,15.0%,6.1%,0.8%,13.5%,6.1%,4.4%,17.8%,2.0%,8.6%,3.3%,5.6%,7.7%,5.9%
2015,2.9%,2.1%,19.5%,15.1%,5.7%,0.8%,13.7%,6.1%,4.5%,18.3%,2.2%,8.9%,3.8%,5.5%,7.9%,6.1%
2016,3.0%,2.1%,20.0%,15.2%,5.6%,0.8%,13.7%,6.3%,4.6%,18.6%,2.2%,9.2%,4.0%,5.5%,8.1%,6.2%
2017,3.4%,2.3%,20.6%,15.6%,5.7%,0.8%,13.9%,6.6%,4.9%,19.2%,2.3%,10.0%,4.4%,5.6%,8.6%,6.6%
