Year,Core,DevCom,GroSub,Rural,34005,34007,34015,34021,42017,42029,42045,42091,42101,NJCnt,PASub,DVRPC
2000,1715881,2446763,939823,288522,424496,506806,256587,351588,599266,435502,551773,751297,1513674,1539477,2337838,5390989
2001,1714225,2451164,959337,292354,429487,506948,259194,353929,603074,441415,552409,758228,1512396,1549558,2355126,5417080
2002,1712366,2456454,980331,297862,435866,508946,263619,356043,607374,448435,552387,763737,1510606,1564474,2371933,5447013
2003,1712461,2461812,1000008,303016,441486,509991,268425,358770,610338,455821,552500,769082,1510884,1578672,2387741,5477297
2004,1715935,2464454,1017628,308374,445028,511922,272993,361145,613728,463615,551677,771438,1514845,1591088,2400458,5506391
2005,1717764,2464701,1033662,311411,445251,514085,276549,361750,616083,471212,552094,772919,1517595,1597635,2412308,5527538
2006,1718881,2468233,1049029,315769,445912,515525,281650,362532,619231,479880,553576,773711,1519895,1605619,2426398,5551912
2007,1727867,2473513,1059508,318658,444961,516161,285787,363079,621407,487317,554979,776602,1529253,1609988,2440305,5579546
2008,1739922,2476181,1067587,322171,444045,516454,287800,364281,623681,492981,556506,779762,1540351,1612580,2452930,5605861
2009,1748980,2481514,1076716,324316,444232,516027,289087,365615,625300,498096,558503,785102,1549564,1614961,2467001,5631526
2010,1724310,2485694,1096452,326678,449200,513506,288994,367930,625431,499920,558901,800981,1528271,1619630,2485233,5633134
2011,1735791,2488907,1102027,328132,450486,513180,289605,368201,626067,503404,559079,805186,1539649,1621472,2493736,5654857
2012,1748066,2492674,1107990,329177,451256,512827,289912,370419,625572,506283,560782,808912,1551944,1624414,2501549,5677907
2013,1754103,2493886,1113043,330377,449858,511798,290151,372337,625321,509388,561609,812838,1558109,1624144,2509156,5691409
2014,1759339,2496437,1119492,331660,450318,510913,291151,372974,625806,512864,562913,815947,1564042,1625356,2517530,5706928
2015,1765068,2497353,1123481,332022,448844,510809,291651,373104,626209,515226,563705,817869,1570507,1624408,2523009,5717924
2016,1767985,2498661,1128054,332402,448342,510741,291703,373660,626751,516489,563995,820656,1574765,1624446,2527891,5727102
2017,1774436,2503868,1133747,333471,448596,510719,292206,374733,628341,519293,564696,826075,1580863,1626254,2538405,5745522
