Label,34005,34007,34015,34021,42017,42029,42045,42091,42101
2010 Base,0,0,0,0,0,0,0,0,0
Natural Increase,965,2065,753,1434,525,1922,1404,1957,8883
Net Migration,364,-2425,-128,-1228,152,1631,-1233,2371,2696
2010-2011 Change,1329,-360,625,206,677,3553,171,4328,11579
Natural Increase,881,2085,767,1369,284,1942,1428,1874,9021
Net Migration,-82,-2459,-449,877,-756,993,317,1973,3488
2010-2012 Change,2128,-734,943,2452,205,6488,1916,8175,24088
Natural Increase,464,1630,384,1406,-20,1629,907,1409,8509
Net Migration,-1880,-2698,-126,512,-202,1538,-42,2625,-2274
2010-2013 Change,712,-1802,1201,4370,-17,9655,2781,12209,30323
Natural Increase,704,1745,473,1323,336,1755,1473,1832,8427
Net Migration,-198,-2663,571,-741,215,1806,-126,1375,-2420
2010-2014 Change,1218,-2720,2245,4952,534,13216,4128,15416,36330
Natural Increase,401,1628,522,1172,74,1772,1361,1151,8239
Net Migration,-1883,-1735,3,-1083,380,623,-539,838,-1698
2010-2015 Change,-264,-2827,2770,5041,988,15611,4950,17405,42871
Natural Increase,283,1482,335,1219,55,1365,1020,1331,7038
Net Migration,-785,-1554,-281,-673,502,-100,-733,1470,-2771
2010-2016 Change,-766,-2899,2824,5587,1545,16876,5237,20206,47138
Natural Increase,352,1477,259,1098,-21,1366,993,1011,6750
Net Migration,-88,-1508,255,-43,1653,1461,-291,4465,-577
2010-2017 Change,-502,-2930,3338,6642,3177,19703,5939,25682,53311
