Label,34005,34007,34015,34021,42017,42029,42045,42091,42101
2010 Base,0,0,0,0,0,0,0,0,0
International Migration,848,1410,297,2383,768,1071,1580,2022,7816
Domestic Migration,-484,-3835,-425,-3611,-616,560,-2813,349,-5120
2010-2011 Net Migration,364,-2425,-128,-1228,152,1631,-1233,2371,2696
International Migration,1173,1502,330,2414,785,1104,1612,2150,8285
Domestic Migration,-1255,-3961,-779,-1537,-1541,-111,-1295,-177,-4797
2010-2012 Net Migration,282,-4884,-577,-351,-604,2624,-916,4344,6184
International Migration,911,1607,359,2660,806,1126,1640,2322,8476
Domestic Migration,-2791,-4305,-485,-2148,-1008,412,-1682,303,-10750
2010-2013 Net Migration,-1598,-7582,-703,161,-806,4162,-958,6969,3910
International Migration,977,1741,374,2932,913,1352,1817,2648,9399
Domestic Migration,-1175,-4404,197,-3673,-698,454,-1943,-1273,-11819
2010-2014 Net Migration,-1796,-10245,-132,-580,-591,5968,-1084,8344,1490
International Migration,1130,1877,406,3177,989,1515,1983,2839,10073
Domestic Migration,-3013,-3612,-403,-4260,-609,-892,-2522,-2001,-11771
2010-2015 Net Migration,-3679,-11980,-129,-1663,-211,6591,-1623,9182,-208
International Migration,1029,1942,420,3226,1004,1561,2036,2902,10307
Domestic Migration,-1814,-3496,-701,-3899,-502,-1661,-2769,-1432,-13078
2010-2016 Net Migration,-4464,-13534,-410,-2336,291,6491,-2356,10652,-2979
International Migration,930,1930,419,3218,1002,1566,2026,2879,10240
Domestic Migration,-1018,-3438,-164,-3261,651,-105,-2317,1586,-10817
2010-2017 Net Migration,-4552,-15042,-155,-2379,1944,7952,-2647,15117,-3556
