SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
50,34,5,New Jersey,Burlington County,1,0,423394,209402,213992,166405,171814,33793,32098,501,474,5416,6270,96,66,3191,3270,169018,174471,35669,34124,1408,1432,6581,7368,249,215,199589,206173,158745,165784,32244,30816,382,383,5334,6193,58,55,2826,2942,161042,168156,33826,32603,1199,1235,6434,7212,206,194,9813,7819,7660,6030,1549,1282,119,91,82,77,38,11,365,328,7976,6315,1843,1521,209,197,147,156,43,21
50,34,5,New Jersey,Burlington County,1,1,27172,13850,13322,10427,10044,2398,2249,28,41,439,458,6,4,552,526,10907,10515,2768,2621,101,115,656,619,27,25,13056,12570,9861,9535,2235,2086,18,31,434,448,5,1,503,469,10303,9954,2563,2426,82,91,641,588,26,22,794,752,566,509,163,163,10,10,5,10,1,3,49,57,604,561,205,195,19,24,15,31,1,3
50,34,5,New Jersey,Burlington County,1,2,30391,15456,14935,11957,11375,2683,2658,32,33,384,394,7,4,393,471,12305,11791,2946,2971,113,114,516,558,12,20,14699,14188,11374,10862,2563,2500,25,25,376,386,3,3,358,412,11690,11224,2801,2765,92,93,502,539,8,17,757,747,583,513,120,158,7,8,8,8,4,1,35,59,615,567,145,206,21,21,14,19,4,3
50,34,5,New Jersey,Burlington County,1,3,31219,16135,15084,12302,11584,2911,2732,39,29,448,395,7,7,428,337,12659,11873,3182,2960,141,99,610,509,22,17,15378,14373,11739,11024,2783,2613,32,22,441,393,6,6,377,315,12056,11293,3018,2824,119,80,586,504,19,15,757,711,563,560,128,119,7,7,7,2,1,1,51,22,603,580,164,136,22,19,24,5,3,2
50,34,5,New Jersey,Burlington County,1,4,26859,14032,12827,10623,9750,2704,2344,36,42,361,377,4,2,304,312,10893,10016,2888,2550,120,120,452,467,14,17,13228,12127,10043,9222,2537,2225,23,35,354,365,1,2,270,278,10279,9456,2695,2404,100,103,442,449,11,16,804,700,580,528,167,119,13,7,7,12,3,0,34,34,614,560,193,146,20,17,10,18,3,1
50,34,5,New Jersey,Burlington County,1,5,22436,12668,9768,8612,7423,3347,1772,67,28,330,310,18,7,294,228,8827,7600,3546,1916,140,87,423,393,49,17,11429,9131,7788,6941,3060,1652,35,20,318,306,7,6,221,206,7938,7104,3194,1781,95,70,405,383,36,14,1239,637,824,482,287,120,32,8,12,4,11,1,73,22,889,496,352,135,45,17,18,10,13,3
50,34,5,New Jersey,Burlington County,1,6,26135,13725,12410,10144,9575,2853,2039,46,34,453,535,10,10,219,217,10312,9748,2965,2157,116,100,546,623,23,26,12735,11760,9400,9091,2675,1917,30,23,443,526,5,9,182,194,9535,9247,2756,2018,94,80,529,609,18,25,990,650,744,484,178,122,16,11,10,9,5,1,37,23,777,501,209,139,22,20,17,14,5,1
50,34,5,New Jersey,Burlington County,1,7,31542,15787,15755,12394,12434,2623,2473,32,38,539,596,10,4,189,210,12544,12599,2721,2590,97,91,609,687,18,15,14795,15060,11572,11908,2487,2349,29,28,532,590,6,3,169,182,11705,12050,2568,2444,91,75,598,674,14,12,992,695,822,526,136,124,3,10,7,6,4,1,20,28,839,549,153,146,6,16,11,13,4,3
50,34,5,New Jersey,Burlington County,1,8,38345,19171,19174,15392,15474,2979,2881,46,32,532,550,10,6,212,231,15557,15649,3075,3014,111,121,636,636,20,15,18213,18463,14593,14891,2862,2788,34,25,523,545,5,4,196,210,14743,15047,2945,2908,96,108,624,625,15,12,958,711,799,583,117,93,12,7,9,5,5,2,16,21,814,602,130,106,15,13,12,11,5,3
50,34,5,New Jersey,Burlington County,1,9,37472,18772,18700,15423,15173,2636,2716,37,47,490,541,10,3,176,220,15556,15330,2718,2840,82,146,576,618,27,11,18003,18136,14766,14707,2557,2644,30,41,483,539,8,3,159,202,14884,14848,2626,2752,71,130,567,612,24,11,769,564,657,466,79,72,7,6,7,2,2,0,17,18,672,482,92,88,11,16,9,6,3,0
50,34,5,New Jersey,Burlington County,1,10,31331,15324,16007,12777,12990,2000,2335,35,30,386,502,6,7,120,143,12872,13088,2051,2406,99,106,430,547,12,15,14751,15540,12278,12617,1944,2264,30,25,386,497,5,7,108,130,12363,12705,1985,2328,88,94,427,539,11,15,573,467,499,373,56,71,5,5,0,5,1,0,12,13,509,383,66,78,11,12,3,8,1,0
50,34,5,New Jersey,Burlington County,1,11,28729,13945,14784,11732,12123,1774,2056,34,40,314,445,4,4,87,116,11796,12207,1816,2121,91,113,333,470,9,9,13524,14419,11384,11813,1720,2020,31,37,308,442,3,4,78,103,11440,11884,1756,2073,84,106,324,465,8,9,421,365,348,310,54,36,3,3,6,3,1,0,9,13,356,323,60,48,7,7,9,5,1,0
50,34,5,New Jersey,Burlington County,1,12,21755,10565,11190,8902,9173,1326,1600,16,25,243,323,1,2,77,67,8960,9212,1368,1640,70,66,257,341,3,9,10309,10966,8677,8982,1305,1578,16,21,243,318,1,2,67,65,8727,9019,1339,1618,65,61,256,335,3,9,256,224,225,191,21,22,0,4,0,5,0,0,10,2,233,193,29,22,5,5,1,6,0,0
50,34,5,New Jersey,Burlington County,1,13,16790,8012,8778,6579,7128,1146,1319,21,15,219,262,2,0,45,54,6614,7168,1166,1353,44,43,232,278,5,2,7825,8594,6412,6974,1130,1297,19,12,217,259,2,0,45,52,6447,7012,1150,1329,42,39,230,275,5,2,187,184,167,154,16,22,2,3,2,3,0,0,0,2,167,156,16,24,2,4,2,3,0,0
50,34,5,New Jersey,Burlington County,1,14,14951,6893,8058,5730,6720,1006,1048,10,10,117,239,1,2,29,39,5749,6749,1023,1067,25,31,125,248,3,5,6762,7908,5612,6587,994,1035,10,10,116,238,1,2,29,36,5631,6613,1011,1052,25,30,124,247,3,5,131,150,118,133,12,13,0,0,1,1,0,0,0,3,118,136,12,15,0,1,1,1,0,0
50,34,5,New Jersey,Burlington County,1,15,14086,6123,7963,5259,6984,737,737,8,11,87,188,0,1,32,42,5286,7014,751,757,26,36,96,198,3,5,6026,7855,5173,6890,730,727,6,10,86,187,0,1,31,40,5199,6919,743,745,24,34,95,197,3,5,97,108,86,94,7,10,2,1,1,1,0,0,1,2,87,95,8,12,2,2,1,1,0,0
50,34,5,New Jersey,Burlington County,1,16,11560,4725,6835,4261,6199,396,521,9,6,38,85,0,1,21,23,4280,6218,404,529,18,15,47,97,1,1,4672,6758,4215,6137,389,512,9,5,38,84,0,1,21,19,4234,6153,397,516,18,13,47,94,1,1,53,77,46,62,7,9,0,1,0,1,0,0,0,4,46,65,7,13,0,2,0,3,0,0
50,34,5,New Jersey,Burlington County,1,17,7130,2637,4493,2448,4080,152,338,3,8,25,46,0,1,9,20,2454,4097,157,348,10,16,25,51,1,3,2616,4450,2429,4048,151,331,3,8,25,46,0,1,8,16,2435,4061,155,339,9,15,25,50,1,3,21,43,19,32,1,7,0,0,0,0,0,0,1,4,19,36,2,9,1,1,0,1,0,0
50,34,5,New Jersey,Burlington County,1,18,5491,1582,3909,1443,3585,122,280,2,5,11,24,0,1,4,14,1447,3597,124,284,4,13,12,28,0,3,1568,3875,1429,3555,122,278,2,5,11,24,0,0,4,13,1433,3567,124,281,4,13,12,27,0,1,14,34,14,30,0,2,0,0,0,0,0,1,0,1,14,30,0,3,0,0,0,1,0,2
50,34,5,New Jersey,Burlington County,2,0,423329,209385,213944,166389,171762,33792,32102,502,475,5415,6269,96,66,3191,3270,169002,174419,35668,34128,1409,1433,6580,7367,249,215,199567,206120,158724,165727,32243,30820,383,384,5333,6192,58,55,2826,2942,161021,168099,33825,32607,1200,1236,6433,7211,206,194,9818,7824,7665,6035,1549,1282,119,91,82,77,38,11,365,328,7981,6320,1843,1521,209,197,147,156,43,21
50,34,5,New Jersey,Burlington County,2,1,27175,13849,13326,10426,10047,2398,2250,28,41,439,458,6,4,552,526,10906,10518,2768,2622,101,115,656,619,27,25,13055,12574,9860,9538,2235,2087,18,31,434,448,5,1,503,469,10302,9957,2563,2427,82,91,641,588,26,22,794,752,566,509,163,163,10,10,5,10,1,3,49,57,604,561,205,195,19,24,15,31,1,3
50,34,5,New Jersey,Burlington County,2,2,30390,15457,14933,11959,11374,2683,2658,32,33,383,393,7,4,393,471,12307,11790,2946,2971,113,114,515,557,12,20,14699,14185,11375,10860,2563,2500,25,25,375,385,3,3,358,412,11691,11222,2801,2765,92,93,501,538,8,17,758,748,584,514,120,158,7,8,8,8,4,1,35,59,616,568,145,206,21,21,14,19,4,3
50,34,5,New Jersey,Burlington County,2,3,31221,16136,15085,12303,11585,2911,2732,39,29,448,395,7,7,428,337,12660,11874,3182,2960,141,99,610,509,22,17,15377,14372,11738,11023,2783,2613,32,22,441,393,6,6,377,315,12055,11292,3018,2824,119,80,586,504,19,15,759,713,565,562,128,119,7,7,7,2,1,1,51,22,605,582,164,136,22,19,24,5,3,2
50,34,5,New Jersey,Burlington County,2,4,26862,14033,12829,10623,9752,2705,2344,36,42,361,377,4,2,304,312,10893,10018,2889,2550,120,120,452,467,14,17,13228,12129,10042,9224,2538,2225,23,35,354,365,1,2,270,278,10278,9458,2696,2404,100,103,442,449,11,16,805,700,581,528,167,119,13,7,7,12,3,0,34,34,615,560,193,146,20,17,10,18,3,1
50,34,5,New Jersey,Burlington County,2,5,22432,12667,9765,8611,7420,3347,1772,67,28,330,310,18,7,294,228,8826,7597,3546,1916,140,87,423,393,49,17,11428,9128,7787,6938,3060,1652,35,20,318,306,7,6,221,206,7937,7101,3194,1781,95,70,405,383,36,14,1239,637,824,482,287,120,32,8,12,4,11,1,73,22,889,496,352,135,45,17,18,10,13,3
50,34,5,New Jersey,Burlington County,2,6,26139,13725,12414,10143,9578,2853,2040,47,34,453,535,10,10,219,217,10311,9751,2965,2158,117,100,546,623,23,26,12735,11763,9399,9093,2675,1918,31,23,443,526,5,9,182,194,9534,9249,2756,2019,95,80,529,609,18,25,990,651,744,485,178,122,16,11,10,9,5,1,37,23,777,502,209,139,22,20,17,14,5,1
50,34,5,New Jersey,Burlington County,2,7,31547,15789,15758,12396,12437,2623,2473,32,38,539,596,10,4,189,210,12546,12602,2721,2590,97,91,609,687,18,15,14797,15063,11574,11911,2487,2349,29,28,532,590,6,3,169,182,11707,12053,2568,2444,91,75,598,674,14,12,992,695,822,526,136,124,3,10,7,6,4,1,20,28,839,549,153,146,6,16,11,13,4,3
50,34,5,New Jersey,Burlington County,2,8,38349,19174,19175,15395,15475,2979,2881,46,32,532,550,10,6,212,231,15560,15650,3075,3014,111,121,636,636,20,15,18215,18464,14595,14892,2862,2788,34,25,523,545,5,4,196,210,14745,15048,2945,2908,96,108,624,625,15,12,959,711,800,583,117,93,12,7,9,5,5,2,16,21,815,602,130,106,15,13,12,11,5,3
50,34,5,New Jersey,Burlington County,2,9,37465,18769,18696,15420,15168,2636,2717,37,47,490,541,10,3,176,220,15553,15325,2718,2841,82,146,576,618,27,11,18000,18132,14763,14702,2557,2645,30,41,483,539,8,3,159,202,14881,14843,2626,2753,71,130,567,612,24,11,769,564,657,466,79,72,7,6,7,2,2,0,17,18,672,482,92,88,11,16,9,6,3,0
