geoid,stCode,coCode,geography,planningArea,PL_FIPS,MCD2,year,population
3400503370,34,005,Bass River Township,Rural Area,03370,03370,2e3,1511
3400505740,34,005,Beverly City,Developed Community,05740,05740,2e3,2659
3400506670,34,005,Bordentown City,Developed Community,06670,06670,2e3,3964
3400506700,34,005,Bordentown Township,Growing Suburb,06700,06700,2e3,8574
3400508920,34,005,Burlington City,Developed Community,08920,08920,2e3,9726
3400508950,34,005,Burlington Township,Growing Suburb,08950,08950,2e3,20443
3400512670,34,005,Chesterfield Township,Rural Area,12670,12670,2e3,5966
3400512940,34,005,Cinnaminson Township,Developed Community,12940,12940,2e3,14599
3400517080,34,005,Delanco Township,Developed Community,17080,17080,2e3,3232
3400517440,34,005,Delran Township,Developed Community,17440,17440,2e3,15565
3400518790,34,005,Eastampton Township,Growing Suburb,18790,18790,2e3,6260
3400520050,34,005,Edgewater Park Township,Developed Community,20050,20050,2e3,7857
3400522110,34,005,Evesham Township,Growing Suburb,22110,22110,2e3,42509
3400523250,34,005,Fieldsboro Borough,Developed Community,23250,23250,2e3,523
3400523850,34,005,Florence Township,Growing Suburb,23850,23850,2e3,10778
3400529010,34,005,Hainesport Township,Growing Suburb,29010,29010,2e3,4226
3400542060,34,005,Lumberton Township,Growing Suburb,42060,42060,2e3,10567
3400543290,34,005,Mansfield Township,Rural Area,43290,43290,2e3,5271
3400543740,34,005,Maple Shade Township,Developed Community,43740,43740,2e3,19060
3400545120,34,005,Medford Township,Growing Suburb,45120,45120,2e3,22310
3400545210,34,005,Medford Lakes Borough,Developed Community,45210,45210,2e3,4181
3400547880,34,005,Moorestown Township,Developed Community,47880,47880,2e3,19073
3400548900,34,005,Mount Holly Township,Developed Community,48900,48900,2e3,10720
3400549020,34,005,Mount Laurel Township,Developed Community,49020,49020,2e3,40206
3400551510,34,005,New Hanover Township,Developed Community,51510,51510,2e3,9773
3400553070,34,005,North Hanover Township,Rural Area,53070,53070,2e3,7304
3400555800,34,005,Palmyra Borough,Developed Community,55800,55800,2e3,7145
3400557480,34,005,Pemberton Borough,Developed Community,57480,57480,2e3,1209
3400557510,34,005,Pemberton Township,Rural Area,57510,57510,2e3,28542
3400563510,34,005,Riverside Township,Developed Community,63510,63510,2e3,7901
3400563660,34,005,Riverton Borough,Developed Community,63660,63660,2e3,2755
3400566810,34,005,Shamong Township,Rural Area,66810,66810,2e3,6470
3400568610,34,005,Southampton Township,Rural Area,68610,68610,2e3,10411
3400569990,34,005,Springfield Township,Rural Area,69990,69990,2e3,3245
3400572060,34,005,Tabernacle Township,Rural Area,72060,72060,2e3,7165
3400577150,34,005,Washington Township,Rural Area,77150,77150,2e3,622
3400578200,34,005,Westampton Township,Growing Suburb,78200,78200,2e3,7224
3400581440,34,005,Willingboro Township,Developed Community,81440,81440,2e3,32961
3400582420,34,005,Woodland Township,Rural Area,82420,82420,2e3,1293
3400582960,34,005,Wrightstown Borough,Developed Community,82960,82960,2e3,747
3400702200,34,007,Audubon Borough,Developed Community,02200,02200,2e3,9166
3400702230,34,007,Audubon Park Borough,Developed Community,02230,02230,2e3,1100
3400703250,34,007,Barrington Borough,Developed Community,03250,03250,2e3,7073
3400704750,34,007,Bellmawr Borough,Developed Community,04750,04750,2e3,11255
3400705440,34,007,Berlin Borough,Developed Community,05440,05440,2e3,6228
3400705470,34,007,Berlin Township,Developed Community,05470,05470,2e3,5286
3400708170,34,007,Brooklawn Borough,Developed Community,08170,08170,2e3,2341
3400710000,34,007,Camden City,Core City,10000,10000,2e3,79780
3400712280,34,007,Cherry Hill Township,Developed Community,12280,12280,2e3,69905
3400712550,34,007,Chesilhurst Borough,Developed Community,12550,12550,2e3,1519
3400713420,34,007,Clementon Borough,Developed Community,13420,13420,2e3,4978
3400714260,34,007,Collingswood Borough,Developed Community,14260,14260,2e3,14308
3400726070,34,007,Gibbsboro Borough,Developed Community,26070,26070,2e3,2436
3400726760,34,007,Gloucester Township,Developed Community,26760,26760,2e3,63401
3400726820,34,007,Gloucester City,Developed Community,26820,26820,2e3,11466
3400728740,34,007,Haddon Township,Developed Community,28740,28740,2e3,14631
3400728770,34,007,Haddonfield Borough,Developed Community,28770,28770,2e3,11642
3400728800,34,007,Haddon Heights Borough,Developed Community,28800,28800,2e3,7534
3400732220,34,007,Hi-Nella Borough,Developed Community,32220,32220,2e3,1027
3400739210,34,007,Laurel Springs Borough,Developed Community,39210,39210,2e3,1967
3400739420,34,007,Lawnside Borough,Developed Community,39420,39420,2e3,2702
