year,popTotal,popCCDC,percent
1990,5182705,4174350,0.8054384727666344
2e3,5392246,4160723,0.7716122372755249
2001,5418553,4163589,0.7683949940140846
2002,5448284,4166768,0.7647853893078995
2003,5476762,4170595,0.7615074381541502
2004,5507626,4178166,0.7586146917020147
2005,5529489,4180761,0.7560845134152541
2006,5554755,4186207,0.7536258574860637
2007,5582913,4201132,0.7524982029990437
2008,5607867,4214494,0.7515324454021467
2009,5632702,4227833,0.7505870184504702
2010,5626186,4206483,0.7476615597138097
2011,5654857,4224698,0.7470919246941169
2012,5677907,4240740,0.7468843713009037
2013,5691409,4247989,0.7463861760769609
2014,5706928,4255776,0.745720990347171
2015,5717924,4262421,0.7454490475913985
2016,5727102,4266646,0.744992144369002
2017,5745522,4278304,0.744632776621515
