GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 to 24 years,Margin of Error; Male: - 20 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 44 years,Margin of Error; Male: - 35 to 44 years,Estimate; Male: - 45 to 54 years,Margin of Error; Male: - 45 to 54 years,Estimate; Male: - 55 to 64 years,Margin of Error; Male: - 55 to 64 years,Estimate; Male: - 65 to 74 years,Margin of Error; Male: - 65 to 74 years,Estimate; Male: - 75 to 84 years,Margin of Error; Male: - 75 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 to 24 years,Margin of Error; Female: - 20 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 44 years,Margin of Error; Female: - 35 to 44 years,Estimate; Female: - 45 to 54 years,Margin of Error; Female: - 45 to 54 years,Estimate; Female: - 55 to 64 years,Margin of Error; Female: - 55 to 64 years,Estimate; Female: - 65 to 74 years,Margin of Error; Female: - 65 to 74 years,Estimate; Female: - 75 to 84 years,Margin of Error; Female: - 75 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
0500000US34001,34001,"Atlantic County, New Jersey",41149,1639,19546,648,1673,299,1415,813,2470,797,1304,278,1257,723,1360,663,758,429,1016,193,2809,278,2140,327,1550,288,530,377,1202,276,62,103,21603,1498,1593,195,1671,759,2373,684,1079,366,535,412,958,566,1115,281,1551,94,3088,576,3137,168,1857,198,1315,109,746,268,585,268
0500000US34003,34003,"Bergen County, New Jersey",47242,1946,20467,1424,1349,658,1643,624,1215,635,721,317,255,322,1458,703,1331,246,1049,604,3953,625,3471,475,2218,278,1555,209,249,209,0,278,26775,1185,1794,719,749,452,2692,512,1413,342,1337,661,974,609,1398,278,1655,161,4931,321,3999,180,2808,142,1670,102,1088,222,267,205
0500000US34005,34005,"Burlington County, New Jersey",65304,1965,30622,1330,2373,216,2108,600,3189,644,1712,321,332,265,2550,466,1879,295,1579,566,4933,370,4205,236,2855,96,1875,278,1032,103,0,278,34682,1145,2302,307,2694,808,2478,676,1533,283,927,145,2591,151,1870,389,2394,278,5642,359,5074,179,3510,136,2255,278,1302,206,110,181
0500000US34007,34007,"Camden County, New Jersey",94570,1681,42432,1076,3743,418,5733,942,2967,762,2904,152,1483,130,3024,308,2586,172,2645,72,5916,442,5025,226,3305,84,1902,278,1129,135,70,119,52138,989,3961,396,4723,1156,4404,992,2934,274,1595,139,3673,65,3477,163,3660,210,7957,387,6891,222,4362,65,2653,136,1600,311,248,209
0500000US34011,34011,"Cumberland County, New Jersey",22478,3505,10781,1870,1134,415,741,469,1310,724,947,388,472,382,281,386,1608,608,283,225,1447,679,1008,308,836,41,423,84,125,103,166,111,11697,1751,1555,325,639,476,914,725,454,305,360,357,1041,357,619,575,757,425,1650,226,1681,94,999,139,415,213,507,135,106,131
0500000US34013,34013,"Essex County, New Jersey",318609,3151,143872,1675,14381,526,15564,1698,12031,1613,7904,223,4438,185,10058,346,9160,495,9310,525,20143,514,18506,475,11764,384,6378,172,2723,733,1512,699,174737,1791,13871,359,12691,1569,13926,1595,8191,182,4777,305,11869,557,11732,273,12723,420,27309,482,23048,651,16876,295,9637,978,6821,597,1266,576
0500000US34015,34015,"Gloucester County, New Jersey",26357,1277,11751,705,902,194,739,351,1319,455,627,253,143,246,1190,529,704,512,468,334,1950,436,1506,202,854,437,746,404,528,355,75,118,14606,925,693,239,555,358,1548,500,1126,426,99,168,841,480,1397,538,980,278,2535,455,1729,261,1396,72,846,305,861,305,0,278
0500000US34017,34017,"Hudson County, New Jersey",80494,2638,36486,1346,3641,369,2359,867,4523,861,2152,177,980,278,2789,272,2091,471,3334,615,6253,541,3964,513,2578,323,1239,109,583,62,0,278,44008,1753,3578,334,3228,786,3197,782,2027,278,1095,140,3414,406,2973,158,3691,579,6955,504,5706,542,4093,506,2162,174,1592,216,297,355
0500000US34021,34021,"Mercer County, New Jersey",66167,1773,30560,922,2913,225,3710,838,2338,683,1971,43,863,288,1893,268,1938,241,2110,204,4216,361,3753,248,2443,134,1848,300,371,278,193,213,35607,1259,2681,427,2021,672,3212,817,1854,396,1028,569,2418,559,2440,314,2446,164,5709,94,4942,300,3041,267,2246,162,1351,301,218,209
0500000US34023,34023,"Middlesex County, New Jersey",68978,2171,32235,798,2213,714,2525,840,3355,855,1724,278,995,432,2295,444,1944,126,2351,278,6018,188,4521,161,2551,122,1123,284,490,273,130,155,36743,1621,2750,391,1646,707,4352,839,2090,338,303,361,2639,978,2279,144,2765,98,6844,210,5029,529,3142,250,1724,81,794,246,386,246
0500000US34025,34025,"Monmouth County, New Jersey",46816,1448,21057,1124,1956,456,996,523,3038,785,940,400,517,413,1728,459,1342,126,863,312,2919,169,3006,184,1883,98,1078,101,650,129,141,129,25759,630,1923,225,1625,503,2643,501,1331,89,764,278,2353,617,688,544,1559,292,3573,265,3746,146,2534,278,1645,70,849,301,526,323
0500000US34027,34027,"Morris County, New Jersey",13419,847,6285,774,660,449,113,160,999,535,322,274,189,178,137,167,695,323,338,307,520,442,1532,500,518,401,203,174,59,96,0,278,7134,630,102,145,454,224,638,268,419,313,488,404,123,159,373,311,407,304,1291,592,1227,537,550,389,749,518,313,184,0,278
0500000US34029,34029,"Ocean County, New Jersey",17952,1155,8775,836,691,389,591,451,1051,523,678,436,198,214,843,420,419,383,355,201,854,551,1732,620,1069,410,294,410,0,278,0,278,9177,812,674,144,749,675,855,367,589,392,315,221,641,397,433,459,683,471,1639,532,1091,140,731,152,551,304,125,147,101,130
0500000US34031,34031,"Passaic County, New Jersey",58824,1260,26829,616,2962,166,2093,952,3321,1040,1675,50,894,50,1939,254,1685,106,1485,154,3761,198,3048,184,2288,117,1069,278,570,143,39,67,31995,938,2367,455,1645,669,3347,644,1644,46,952,278,2219,103,2094,221,2112,109,5379,524,4004,142,3252,197,1855,136,718,250,407,246
0500000US34033,34033,"Salem County, New Jersey",9997,401,4734,412,328,321,673,304,491,251,296,126,350,274,465,198,0,278,184,173,473,217,623,223,352,194,223,202,203,172,73,108,5263,348,292,278,393,246,506,257,247,126,278,230,432,260,111,199,90,127,941,140,741,21,464,65,400,247,368,247,0,278
0500000US34035,34035,"Somerset County, New Jersey",27937,1940,13535,1284,977,444,736,528,1709,337,1014,312,384,391,970,482,518,537,922,258,2506,583,1820,278,1650,187,73,87,187,229,69,112,14402,1178,1878,958,789,596,1205,621,317,312,824,427,456,420,766,268,692,386,2913,356,2231,149,1253,88,655,332,365,312,58,95
