GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 to 24 years,Margin of Error; Male: - 20 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 44 years,Margin of Error; Male: - 35 to 44 years,Estimate; Male: - 45 to 54 years,Margin of Error; Male: - 45 to 54 years,Estimate; Male: - 55 to 64 years,Margin of Error; Male: - 55 to 64 years,Estimate; Male: - 65 to 74 years,Margin of Error; Male: - 65 to 74 years,Estimate; Male: - 75 to 84 years,Margin of Error; Male: - 75 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 to 24 years,Margin of Error; Female: - 20 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 44 years,Margin of Error; Female: - 35 to 44 years,Estimate; Female: - 45 to 54 years,Margin of Error; Female: - 45 to 54 years,Estimate; Female: - 55 to 64 years,Margin of Error; Female: - 55 to 64 years,Estimate; Female: - 65 to 74 years,Margin of Error; Female: - 65 to 74 years,Estimate; Female: - 75 to 84 years,Margin of Error; Female: - 75 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
0500000US34001,34001,"Atlantic County, New Jersey",16528,933,8284,590,549,332,594,240,600,264,219,219,144,238,252,326,112,187,1496,455,1660,278,1370,66,1043,281,160,189,85,116,0,278,8244,700,497,304,738,353,605,284,327,275,282,272,89,154,673,333,919,75,1737,475,1089,497,1176,273,0,278,112,150,0,278
0500000US34003,34003,"Bergen County, New Jersey",118918,2932,57985,1507,3256,563,5310,1231,2875,1033,2701,135,1359,278,3238,578,3836,278,5448,278,11527,550,9588,210,5297,194,2786,438,670,438,94,159,60933,1696,3769,283,4494,1108,3837,1026,2427,246,1214,278,2948,379,3834,261,5988,214,12491,885,10133,205,5527,289,2866,111,1003,449,402,325
0500000US34005,34005,"Burlington County, New Jersey",17843,550,8278,448,658,296,278,178,959,209,224,190,0,278,885,367,447,385,663,403,1467,485,1529,538,910,191,117,150,87,146,54,93,9565,531,703,303,819,228,435,219,515,266,108,173,588,385,832,425,1003,278,1584,250,1190,62,863,278,480,247,445,247,0,278
0500000US34007,34007,"Camden County, New Jersey",23266,739,11266,590,881,92,868,320,835,320,412,231,542,438,741,389,370,292,999,133,1798,104,1681,278,1255,278,743,170,141,170,0,278,12000,394,683,163,633,321,1173,283,669,231,233,229,956,229,797,278,1075,278,1915,134,1706,126,1268,105,780,141,112,111,0,278
0500000US34013,34013,"Essex County, New Jersey",31148,1454,15223,868,1003,241,1249,365,647,359,883,284,433,338,941,338,1140,278,1185,60,2759,103,2248,307,1646,135,931,260,158,187,0,278,15925,794,938,204,942,357,876,352,464,286,362,203,494,308,1098,198,1460,133,3088,134,2888,206,1817,145,982,366,240,256,276,381
0500000US34017,34017,"Hudson County, New Jersey",64379,2410,33072,1098,2247,399,1961,736,1812,689,1122,278,571,388,2732,416,3522,130,3832,133,5788,456,4324,156,2977,78,1817,272,214,179,153,192,31307,1964,2636,659,1670,780,1024,776,928,278,495,538,2314,547,2720,261,3542,228,5345,355,4695,289,3322,278,1627,278,989,278,0,278
0500000US34021,34021,"Mercer County, New Jersey",27003,440,13501,349,750,162,729,266,959,323,951,230,554,438,1181,384,564,324,1377,278,2565,278,1939,278,1729,193,203,193,0,278,0,278,13502,398,852,103,1087,288,605,309,214,230,169,181,902,181,1160,278,1700,278,2779,278,1924,278,1597,301,291,230,85,104,137,164
0500000US34023,34023,"Middlesex County, New Jersey",142233,1852,71960,1294,6846,345,4710,797,4637,871,2318,186,1308,278,3636,130,5790,115,9947,406,15166,179,8896,215,4900,102,2582,278,1070,199,154,199,70273,944,6428,174,5259,640,3879,766,2338,82,1349,278,3434,278,6906,201,9273,292,13408,135,8586,149,5057,278,2680,118,1087,380,589,380
0500000US34025,34025,"Monmouth County, New Jersey",31308,1582,15287,840,1028,135,535,307,1588,427,595,305,796,442,1048,491,505,546,923,611,3260,623,2626,166,1541,278,608,299,234,209,0,278,16021,1034,781,308,962,363,929,271,1052,388,395,293,1239,474,435,358,1297,99,3357,208,2823,150,1463,166,889,333,269,264,130,209
